context: Science Fell in Love, So I Tried to Prove It response:	All right, Himuro.
context: Science Fell in Love, So I Tried to Prove It\All right, Himuro. response:	Close your eyes.
context: Science Fell in Love, So I Tried to Prove It\All right, Himuro.\Close your eyes. response:	Now hold it, and lift your chin 30 degrees.
context: Science Fell in Love, So I Tried to Prove It\All right, Himuro.\Close your eyes.\Now hold it, and lift your chin 30 degrees. response:	Proof 6 Science-types Fell in Love, So They Tried Kissing.
context: Science Fell in Love, So I Tried to Prove It\All right, Himuro.\Close your eyes.\Now hold it, and lift your chin 30 degrees.\Proof 6 Science-types Fell in Love, So They Tried Kissing. response:	Another 6.5 degrees.
context: Science Fell in Love, So I Tried to Prove It\All right, Himuro.\Close your eyes.\Now hold it, and lift your chin 30 degrees.\Proof 6 Science-types Fell in Love, So They Tried Kissing.\Another 6.5 degrees. response:	Good.
context: Science Fell in Love, So I Tried to Prove It\All right, Himuro.\Close your eyes.\Now hold it, and lift your chin 30 degrees.\Proof 6 Science-types Fell in Love, So They Tried Kissing.\Another 6.5 degrees.\Good. response:	According to the data, that will give us a height of 4 cm.
context: Science Fell in Love, So I Tried to Prove It\All right, Himuro.\Close your eyes.\Now hold it, and lift your chin 30 degrees.\Proof 6 Science-types Fell in Love, So They Tried Kissing.\Another 6.5 degrees.\Good.\According to the data, that will give us a height of 4 cm. response:	Now, as long as I tilt my head at an angle of 40 degrees,
context: All right, Himuro.\Close your eyes.\Now hold it, and lift your chin 30 degrees.\Proof 6 Science-types Fell in Love, So They Tried Kissing.\Another 6.5 degrees.\Good.\According to the data, that will give us a height of 4 cm.\Now, as long as I tilt my head at an angle of 40 degrees, response:	even if I keep my glasses on, we should avoid a collision of noses.
context: Close your eyes.\Now hold it, and lift your chin 30 degrees.\Proof 6 Science-types Fell in Love, So They Tried Kissing.\Another 6.5 degrees.\Good.\According to the data, that will give us a height of 4 cm.\Now, as long as I tilt my head at an angle of 40 degrees,\even if I keep my glasses on, we should avoid a collision of noses. response:	Times you didn't want to kiss +1
context: Now hold it, and lift your chin 30 degrees.\Proof 6 Science-types Fell in Love, So They Tried Kissing.\Another 6.5 degrees.\Good.\According to the data, that will give us a height of 4 cm.\Now, as long as I tilt my head at an angle of 40 degrees,\even if I keep my glasses on, we should avoid a collision of noses.\Times you didn't want to kiss +1 response:	Um...
context: Proof 6 Science-types Fell in Love, So They Tried Kissing.\Another 6.5 degrees.\Good.\According to the data, that will give us a height of 4 cm.\Now, as long as I tilt my head at an angle of 40 degrees,\even if I keep my glasses on, we should avoid a collision of noses.\Times you didn't want to kiss +1\Um... response:	Himuro-senpai's doesn't want to counter is rising rapidly.
context: Another 6.5 degrees.\Good.\According to the data, that will give us a height of 4 cm.\Now, as long as I tilt my head at an angle of 40 degrees,\even if I keep my glasses on, we should avoid a collision of noses.\Times you didn't want to kiss +1\Um...\Himuro-senpai's doesn't want to counter is rising rapidly. response:	Wh-What's the meaning of this, Himuro?!
context: Good.\According to the data, that will give us a height of 4 cm.\Now, as long as I tilt my head at an angle of 40 degrees,\even if I keep my glasses on, we should avoid a collision of noses.\Times you didn't want to kiss +1\Um...\Himuro-senpai's doesn't want to counter is rising rapidly.\Wh-What's the meaning of this, Himuro?! response:	I thought you loved me!
context: According to the data, that will give us a height of 4 cm.\Now, as long as I tilt my head at an angle of 40 degrees,\even if I keep my glasses on, we should avoid a collision of noses.\Times you didn't want to kiss +1\Um...\Himuro-senpai's doesn't want to counter is rising rapidly.\Wh-What's the meaning of this, Himuro?!\I thought you loved me! response:	That hasn't been established for certain yet!
context: Now, as long as I tilt my head at an angle of 40 degrees,\even if I keep my glasses on, we should avoid a collision of noses.\Times you didn't want to kiss +1\Um...\Himuro-senpai's doesn't want to counter is rising rapidly.\Wh-What's the meaning of this, Himuro?!\I thought you loved me!\That hasn't been established for certain yet! response:	It's not like that.
context: even if I keep my glasses on, we should avoid a collision of noses.\Times you didn't want to kiss +1\Um...\Himuro-senpai's doesn't want to counter is rising rapidly.\Wh-What's the meaning of this, Himuro?!\I thought you loved me!\That hasn't been established for certain yet!\It's not like that. response:	It's not that I don't want you to, Yukimura-kun...
context: Times you didn't want to kiss +1\Um...\Himuro-senpai's doesn't want to counter is rising rapidly.\Wh-What's the meaning of this, Himuro?!\I thought you loved me!\That hasn't been established for certain yet!\It's not like that.\It's not that I don't want you to, Yukimura-kun... response:	I don't quite understand it myself, but...
context: Um...\Himuro-senpai's doesn't want to counter is rising rapidly.\Wh-What's the meaning of this, Himuro?!\I thought you loved me!\That hasn't been established for certain yet!\It's not like that.\It's not that I don't want you to, Yukimura-kun...\I don't quite understand it myself, but... response:	somehow... I don't want to do it like this, like it's work...
context: Himuro-senpai's doesn't want to counter is rising rapidly.\Wh-What's the meaning of this, Himuro?!\I thought you loved me!\That hasn't been established for certain yet!\It's not like that.\It's not that I don't want you to, Yukimura-kun...\I don't quite understand it myself, but...\somehow... I don't want to do it like this, like it's work... response:	And even if you asked me for specifics, I wouldn't really know, but...
context: Wh-What's the meaning of this, Himuro?!\I thought you loved me!\That hasn't been established for certain yet!\It's not like that.\It's not that I don't want you to, Yukimura-kun...\I don't quite understand it myself, but...\somehow... I don't want to do it like this, like it's work...\And even if you asked me for specifics, I wouldn't really know, but... response:	Himuro-senpai!
context: I thought you loved me!\That hasn't been established for certain yet!\It's not like that.\It's not that I don't want you to, Yukimura-kun...\I don't quite understand it myself, but...\somehow... I don't want to do it like this, like it's work...\And even if you asked me for specifics, I wouldn't really know, but...\Himuro-senpai! response:	You're adorable!
context: That hasn't been established for certain yet!\It's not like that.\It's not that I don't want you to, Yukimura-kun...\I don't quite understand it myself, but...\somehow... I don't want to do it like this, like it's work...\And even if you asked me for specifics, I wouldn't really know, but...\Himuro-senpai!\You're adorable! response:	Huh?
context: It's not like that.\It's not that I don't want you to, Yukimura-kun...\I don't quite understand it myself, but...\somehow... I don't want to do it like this, like it's work...\And even if you asked me for specifics, I wouldn't really know, but...\Himuro-senpai!\You're adorable!\Huh? response:	She's right, Yukimura-senpai!
context: It's not that I don't want you to, Yukimura-kun...\I don't quite understand it myself, but...\somehow... I don't want to do it like this, like it's work...\And even if you asked me for specifics, I wouldn't really know, but...\Himuro-senpai!\You're adorable!\Huh?\She's right, Yukimura-senpai! response:	A kiss isn't something you should do just to be done with it.
context: I don't quite understand it myself, but...\somehow... I don't want to do it like this, like it's work...\And even if you asked me for specifics, I wouldn't really know, but...\Himuro-senpai!\You're adorable!\Huh?\She's right, Yukimura-senpai!\A kiss isn't something you should do just to be done with it. response:	The right mood is important for this kind of thing!
context: somehow... I don't want to do it like this, like it's work...\And even if you asked me for specifics, I wouldn't really know, but...\Himuro-senpai!\You're adorable!\Huh?\She's right, Yukimura-senpai!\A kiss isn't something you should do just to be done with it.\The right mood is important for this kind of thing! response:	Mood?
context: And even if you asked me for specifics, I wouldn't really know, but...\Himuro-senpai!\You're adorable!\Huh?\She's right, Yukimura-senpai!\A kiss isn't something you should do just to be done with it.\The right mood is important for this kind of thing!\Mood? response:	Something like... Well, you know...
context: Himuro-senpai!\You're adorable!\Huh?\She's right, Yukimura-senpai!\A kiss isn't something you should do just to be done with it.\The right mood is important for this kind of thing!\Mood?\Something like... Well, you know... response:	A restaurant with a night view, or...
context: You're adorable!\Huh?\She's right, Yukimura-senpai!\A kiss isn't something you should do just to be done with it.\The right mood is important for this kind of thing!\Mood?\Something like... Well, you know...\A restaurant with a night view, or... response:	Walking along a beach at sunset...
