context: How is it? response:	Good!
context: How is it?\Good! response:	Is anyone home?
context: How is it?\Good!\Is anyone home? response:	Yes!
context: How is it?\Good!\Is anyone home?\Yes! response:	Coming...
context: How is it?\Good!\Is anyone home?\Yes!\Coming... response:	Dai-chan, long time no see.
context: How is it?\Good!\Is anyone home?\Yes!\Coming...\Dai-chan, long time no see. response:	Haruko!
context: How is it?\Good!\Is anyone home?\Yes!\Coming...\Dai-chan, long time no see.\Haruko! response:	What are you doing here?
context: How is it?\Good!\Is anyone home?\Yes!\Coming...\Dai-chan, long time no see.\Haruko!\What are you doing here? response:	Rin-chan!
context: Good!\Is anyone home?\Yes!\Coming...\Dai-chan, long time no see.\Haruko!\What are you doing here?\Rin-chan! response:	Reina-chan?!
context: Is anyone home?\Yes!\Coming...\Dai-chan, long time no see.\Haruko!\What are you doing here?\Rin-chan!\Reina-chan?! response:	Rin-chan!
context: Yes!\Coming...\Dai-chan, long time no see.\Haruko!\What are you doing here?\Rin-chan!\Reina-chan?!\Rin-chan! response:	What's going on, Reina-chan?
context: Coming...\Dai-chan, long time no see.\Haruko!\What are you doing here?\Rin-chan!\Reina-chan?!\Rin-chan!\What's going on, Reina-chan? response:	Are you going somewhere?
context: Dai-chan, long time no see.\Haruko!\What are you doing here?\Rin-chan!\Reina-chan?!\Rin-chan!\What's going on, Reina-chan?\Are you going somewhere? response:	Haruko...
context: Haruko!\What are you doing here?\Rin-chan!\Reina-chan?!\Rin-chan!\What's going on, Reina-chan?\Are you going somewhere?\Haruko... response:	Uh-uh. We came to visit.
context: What are you doing here?\Rin-chan!\Reina-chan?!\Rin-chan!\What's going on, Reina-chan?\Are you going somewhere?\Haruko...\Uh-uh. We came to visit. response:	Oh, really?
context: Rin-chan!\Reina-chan?!\Rin-chan!\What's going on, Reina-chan?\Are you going somewhere?\Haruko...\Uh-uh. We came to visit.\Oh, really? response:	Um...
context: Reina-chan?!\Rin-chan!\What's going on, Reina-chan?\Are you going somewhere?\Haruko...\Uh-uh. We came to visit.\Oh, really?\Um... response:	Reina-chan, do you like sweet buns?
context: Rin-chan!\What's going on, Reina-chan?\Are you going somewhere?\Haruko...\Uh-uh. We came to visit.\Oh, really?\Um...\Reina-chan, do you like sweet buns? response:	What's that?
context: What's going on, Reina-chan?\Are you going somewhere?\Haruko...\Uh-uh. We came to visit.\Oh, really?\Um...\Reina-chan, do you like sweet buns?\What's that? response:	Round sweets.
context: Are you going somewhere?\Haruko...\Uh-uh. We came to visit.\Oh, really?\Um...\Reina-chan, do you like sweet buns?\What's that?\Round sweets. response:	Then I like it!
context: Haruko...\Uh-uh. We came to visit.\Oh, really?\Um...\Reina-chan, do you like sweet buns?\What's that?\Round sweets.\Then I like it! response:	Then Rin, pour some barley tea for Reina-chan.
context: Uh-uh. We came to visit.\Oh, really?\Um...\Reina-chan, do you like sweet buns?\What's that?\Round sweets.\Then I like it!\Then Rin, pour some barley tea for Reina-chan. response:	Okay. Reina-chan, let's go.
context: Oh, really?\Um...\Reina-chan, do you like sweet buns?\What's that?\Round sweets.\Then I like it!\Then Rin, pour some barley tea for Reina-chan.\Okay. Reina-chan, let's go. response:	You came right during snack time!
