context: Hey! What are you looking for today? response:	Non-player characters...
context: Hey! What are you looking for today?\Non-player characters... response:	Clerk Hey!
context: Hey! What are you looking for today?\Non-player characters...\Clerk Hey! response:	People in the game that aren't players.
context: Hey! What are you looking for today?\Non-player characters...\Clerk Hey!\People in the game that aren't players. response:	Clerk What are you looking for today?
context: Hey! What are you looking for today?\Non-player characters...\Clerk Hey!\People in the game that aren't players.\Clerk What are you looking for today? response:	They say only predetermined lines,
context: Hey! What are you looking for today?\Non-player characters...\Clerk Hey!\People in the game that aren't players.\Clerk What are you looking for today?\They say only predetermined lines, response:	have no personalities,
context: Hey! What are you looking for today?\Non-player characters...\Clerk Hey!\People in the game that aren't players.\Clerk What are you looking for today?\They say only predetermined lines,\have no personalities, response:	Where's the inn?
context: Hey! What are you looking for today?\Non-player characters...\Clerk Hey!\People in the game that aren't players.\Clerk What are you looking for today?\They say only predetermined lines,\have no personalities,\Where's the inn? response:	and exist merely to fulfill their game roles.
context: Non-player characters...\Clerk Hey!\People in the game that aren't players.\Clerk What are you looking for today?\They say only predetermined lines,\have no personalities,\Where's the inn?\and exist merely to fulfill their game roles. response:	Hey! You're totally hot! I'm in love with you!
context: Clerk Hey!\People in the game that aren't players.\Clerk What are you looking for today?\They say only predetermined lines,\have no personalities,\Where's the inn?\and exist merely to fulfill their game roles.\Hey! You're totally hot! I'm in love with you! response:	In Elder Tale, players are called adventurers,
context: People in the game that aren't players.\Clerk What are you looking for today?\They say only predetermined lines,\have no personalities,\Where's the inn?\and exist merely to fulfill their game roles.\Hey! You're totally hot! I'm in love with you!\In Elder Tale, players are called adventurers, response:	and NPCs are known as People of the Land.
context: Clerk What are you looking for today?\They say only predetermined lines,\have no personalities,\Where's the inn?\and exist merely to fulfill their game roles.\Hey! You're totally hot! I'm in love with you!\In Elder Tale, players are called adventurers,\and NPCs are known as People of the Land. response:	But after the Apocalypse, something changed.
context: They say only predetermined lines,\have no personalities,\Where's the inn?\and exist merely to fulfill their game roles.\Hey! You're totally hot! I'm in love with you!\In Elder Tale, players are called adventurers,\and NPCs are known as People of the Land.\But after the Apocalypse, something changed. response:	Serara, you're okay, right?
context: have no personalities,\Where's the inn?\and exist merely to fulfill their game roles.\Hey! You're totally hot! I'm in love with you!\In Elder Tale, players are called adventurers,\and NPCs are known as People of the Land.\But after the Apocalypse, something changed.\Serara, you're okay, right? response:	I'm so glad...
context: Where's the inn?\and exist merely to fulfill their game roles.\Hey! You're totally hot! I'm in love with you!\In Elder Tale, players are called adventurers,\and NPCs are known as People of the Land.\But after the Apocalypse, something changed.\Serara, you're okay, right?\I'm so glad... response:	I'm really relieved.
context: and exist merely to fulfill their game roles.\Hey! You're totally hot! I'm in love with you!\In Elder Tale, players are called adventurers,\and NPCs are known as People of the Land.\But after the Apocalypse, something changed.\Serara, you're okay, right?\I'm so glad...\I'm really relieved. response:	Yes, I'm sorry I worried you.
