context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator. response:	They were far more powerful than humans.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans. response:	Humanity was immediately pushed to the brink of extinction.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction. response:	The survivors built three walls: Maria, Rose, and Sina.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\The survivors built three walls: Maria, Rose, and Sina. response:	There, they enjoyed a century of peace.
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\The survivors built three walls: Maria, Rose, and Sina.\There, they enjoyed a century of peace. response:	However...
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\The survivors built three walls: Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However... response:	Where the Left Arm Went The Battle for Trost (5)
context: Over a hundred years ago,\humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\The survivors built three walls: Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\Where the Left Arm Went The Battle for Trost (5) response:	One reason so many soldiers died
context: humanity suddenly found itself faced with a new predator.\They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\The survivors built three walls: Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\Where the Left Arm Went The Battle for Trost (5)\One reason so many soldiers died response:	in the Titans' attack on Trost
context: They were far more powerful than humans.\Humanity was immediately pushed to the brink of extinction.\The survivors built three walls: Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\Where the Left Arm Went The Battle for Trost (5)\One reason so many soldiers died\in the Titans' attack on Trost response:	was the absence of the elite Survey Corps.
context: Humanity was immediately pushed to the brink of extinction.\The survivors built three walls: Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\Where the Left Arm Went The Battle for Trost (5)\One reason so many soldiers died\in the Titans' attack on Trost\was the absence of the elite Survey Corps. response:	Only that morning,
context: The survivors built three walls: Maria, Rose, and Sina.\There, they enjoyed a century of peace.\However...\Where the Left Arm Went The Battle for Trost (5)\One reason so many soldiers died\in the Titans' attack on Trost\was the absence of the elite Survey Corps.\Only that morning, response:	they had embarked on a reconnaissance mission beyond the walls.
