context: Captain's log, March 3rd. response:	DRAGONs appeared.
context: Captain's log, March 3rd.\DRAGONs appeared. response:	My squad was ordered to engage.
context: Captain's log, March 3rd.\DRAGONs appeared.\My squad was ordered to engage. response:	But Ange once again ignored her orders and acted on her own.
context: Captain's log, March 3rd.\DRAGONs appeared.\My squad was ordered to engage.\But Ange once again ignored her orders and acted on her own. response:	Ange attacked by herself and destroyed the target.
context: Captain's log, March 3rd.\DRAGONs appeared.\My squad was ordered to engage.\But Ange once again ignored her orders and acted on her own.\Ange attacked by herself and destroyed the target. response:	I've had enough, you scrooge.
context: Captain's log, March 3rd.\DRAGONs appeared.\My squad was ordered to engage.\But Ange once again ignored her orders and acted on her own.\Ange attacked by herself and destroyed the target.\I've had enough, you scrooge. response:	We can barely afford our meals
context: Captain's log, March 3rd.\DRAGONs appeared.\My squad was ordered to engage.\But Ange once again ignored her orders and acted on her own.\Ange attacked by herself and destroyed the target.\I've had enough, you scrooge.\We can barely afford our meals response:	because you keep taking all the money.
context: Captain's log, March 3rd.\DRAGONs appeared.\My squad was ordered to engage.\But Ange once again ignored her orders and acted on her own.\Ange attacked by herself and destroyed the target.\I've had enough, you scrooge.\We can barely afford our meals\because you keep taking all the money. response:	What's this?
context: DRAGONs appeared.\My squad was ordered to engage.\But Ange once again ignored her orders and acted on her own.\Ange attacked by herself and destroyed the target.\I've had enough, you scrooge.\We can barely afford our meals\because you keep taking all the money.\What's this? response:	For your troubles.
context: My squad was ordered to engage.\But Ange once again ignored her orders and acted on her own.\Ange attacked by herself and destroyed the target.\I've had enough, you scrooge.\We can barely afford our meals\because you keep taking all the money.\What's this?\For your troubles. response:	Want more?
context: But Ange once again ignored her orders and acted on her own.\Ange attacked by herself and destroyed the target.\I've had enough, you scrooge.\We can barely afford our meals\because you keep taking all the money.\What's this?\For your troubles.\Want more? response:	Don't bullshit me.
context: Ange attacked by herself and destroyed the target.\I've had enough, you scrooge.\We can barely afford our meals\because you keep taking all the money.\What's this?\For your troubles.\Want more?\Don't bullshit me. response:	All right. No fighting.
context: I've had enough, you scrooge.\We can barely afford our meals\because you keep taking all the money.\What's this?\For your troubles.\Want more?\Don't bullshit me.\All right. No fighting. response:	Enough, Ange.
context: We can barely afford our meals\because you keep taking all the money.\What's this?\For your troubles.\Want more?\Don't bullshit me.\All right. No fighting.\Enough, Ange. response:	Why can't you follow orders?
context: because you keep taking all the money.\What's this?\For your troubles.\Want more?\Don't bullshit me.\All right. No fighting.\Enough, Ange.\Why can't you follow orders? response:	I'm defeating the DRAGONs, am I not?
context: What's this?\For your troubles.\Want more?\Don't bullshit me.\All right. No fighting.\Enough, Ange.\Why can't you follow orders?\I'm defeating the DRAGONs, am I not? response:	That's not the point.
context: For your troubles.\Want more?\Don't bullshit me.\All right. No fighting.\Enough, Ange.\Why can't you follow orders?\I'm defeating the DRAGONs, am I not?\That's not the point. response:	If you keep disrupting the squad
context: Want more?\Don't bullshit me.\All right. No fighting.\Enough, Ange.\Why can't you follow orders?\I'm defeating the DRAGONs, am I not?\That's not the point.\If you keep disrupting the squad response:	Fine me or execute me as you like.
context: Don't bullshit me.\All right. No fighting.\Enough, Ange.\Why can't you follow orders?\I'm defeating the DRAGONs, am I not?\That's not the point.\If you keep disrupting the squad\Fine me or execute me as you like. response:	Ange!
context: All right. No fighting.\Enough, Ange.\Why can't you follow orders?\I'm defeating the DRAGONs, am I not?\That's not the point.\If you keep disrupting the squad\Fine me or execute me as you like.\Ange! response:	Maintain discipline and follow orders...
context: Enough, Ange.\Why can't you follow orders?\I'm defeating the DRAGONs, am I not?\That's not the point.\If you keep disrupting the squad\Fine me or execute me as you like.\Ange!\Maintain discipline and follow orders... response:	If she can't do that, we may have to force Ange off the Villkiss.
context: Why can't you follow orders?\I'm defeating the DRAGONs, am I not?\That's not the point.\If you keep disrupting the squad\Fine me or execute me as you like.\Ange!\Maintain discipline and follow orders...\If she can't do that, we may have to force Ange off the Villkiss. response:	Log complete.
context: I'm defeating the DRAGONs, am I not?\That's not the point.\If you keep disrupting the squad\Fine me or execute me as you like.\Ange!\Maintain discipline and follow orders...\If she can't do that, we may have to force Ange off the Villkiss.\Log complete. response:	No additional notes.
context: That's not the point.\If you keep disrupting the squad\Fine me or execute me as you like.\Ange!\Maintain discipline and follow orders...\If she can't do that, we may have to force Ange off the Villkiss.\Log complete.\No additional notes. response:	zero.
context: If you keep disrupting the squad\Fine me or execute me as you like.\Ange!\Maintain discipline and follow orders...\If she can't do that, we may have to force Ange off the Villkiss.\Log complete.\No additional notes.\zero. response:	Salia's Depression
context: Fine me or execute me as you like.\Ange!\Maintain discipline and follow orders...\If she can't do that, we may have to force Ange off the Villkiss.\Log complete.\No additional notes.\zero.\Salia's Depression response:	Captain's log, March 4th.
context: Ange!\Maintain discipline and follow orders...\If she can't do that, we may have to force Ange off the Villkiss.\Log complete.\No additional notes.\zero.\Salia's Depression\Captain's log, March 4th. response:	We received a message from outside of Arzenal.
context: Maintain discipline and follow orders...\If she can't do that, we may have to force Ange off the Villkiss.\Log complete.\No additional notes.\zero.\Salia's Depression\Captain's log, March 4th.\We received a message from outside of Arzenal. response:	Arrived at the southern edge of Galia,
context: If she can't do that, we may have to force Ange off the Villkiss.\Log complete.\No additional notes.\zero.\Salia's Depression\Captain's log, March 4th.\We received a message from outside of Arzenal.\Arrived at the southern edge of Galia, response:	but no sign of our friends.
context: Log complete.\No additional notes.\zero.\Salia's Depression\Captain's log, March 4th.\We received a message from outside of Arzenal.\Arrived at the southern edge of Galia,\but no sign of our friends. response:	Planning to continue recon toward the Empire of Misurugi.
context: No additional notes.\zero.\Salia's Depression\Captain's log, March 4th.\We received a message from outside of Arzenal.\Arrived at the southern edge of Galia,\but no sign of our friends.\Planning to continue recon toward the Empire of Misurugi. response:	That snot-nosed brat is still alive.
context: zero.\Salia's Depression\Captain's log, March 4th.\We received a message from outside of Arzenal.\Arrived at the southern edge of Galia,\but no sign of our friends.\Planning to continue recon toward the Empire of Misurugi.\That snot-nosed brat is still alive. response:	Tusk.
context: Salia's Depression\Captain's log, March 4th.\We received a message from outside of Arzenal.\Arrived at the southern edge of Galia,\but no sign of our friends.\Planning to continue recon toward the Empire of Misurugi.\That snot-nosed brat is still alive.\Tusk. response:	Yeah.
context: Captain's log, March 4th.\We received a message from outside of Arzenal.\Arrived at the southern edge of Galia,\but no sign of our friends.\Planning to continue recon toward the Empire of Misurugi.\That snot-nosed brat is still alive.\Tusk.\Yeah. response:	To think it was him that saved Ange...
context: We received a message from outside of Arzenal.\Arrived at the southern edge of Galia,\but no sign of our friends.\Planning to continue recon toward the Empire of Misurugi.\That snot-nosed brat is still alive.\Tusk.\Yeah.\To think it was him that saved Ange... response:	So it was him that fixed the Villkiss.
context: Arrived at the southern edge of Galia,\but no sign of our friends.\Planning to continue recon toward the Empire of Misurugi.\That snot-nosed brat is still alive.\Tusk.\Yeah.\To think it was him that saved Ange...\So it was him that fixed the Villkiss. response:	Probably.
context: but no sign of our friends.\Planning to continue recon toward the Empire of Misurugi.\That snot-nosed brat is still alive.\Tusk.\Yeah.\To think it was him that saved Ange...\So it was him that fixed the Villkiss.\Probably. response:	Are you saying Ange was alone with a man?
context: Planning to continue recon toward the Empire of Misurugi.\That snot-nosed brat is still alive.\Tusk.\Yeah.\To think it was him that saved Ange...\So it was him that fixed the Villkiss.\Probably.\Are you saying Ange was alone with a man? response:	Jasmine, you're in charge of contacting Tusk.
context: That snot-nosed brat is still alive.\Tusk.\Yeah.\To think it was him that saved Ange...\So it was him that fixed the Villkiss.\Probably.\Are you saying Ange was alone with a man?\Jasmine, you're in charge of contacting Tusk. response:	We'll need his help again soon.
context: Tusk.\Yeah.\To think it was him that saved Ange...\So it was him that fixed the Villkiss.\Probably.\Are you saying Ange was alone with a man?\Jasmine, you're in charge of contacting Tusk.\We'll need his help again soon. response:	All right.
context: Yeah.\To think it was him that saved Ange...\So it was him that fixed the Villkiss.\Probably.\Are you saying Ange was alone with a man?\Jasmine, you're in charge of contacting Tusk.\We'll need his help again soon.\All right. response:	So, our problem here...
context: To think it was him that saved Ange...\So it was him that fixed the Villkiss.\Probably.\Are you saying Ange was alone with a man?\Jasmine, you're in charge of contacting Tusk.\We'll need his help again soon.\All right.\So, our problem here... response:	You want Ange removed from the Villkiss?
context: So it was him that fixed the Villkiss.\Probably.\Are you saying Ange was alone with a man?\Jasmine, you're in charge of contacting Tusk.\We'll need his help again soon.\All right.\So, our problem here...\You want Ange removed from the Villkiss? response:	She's arrogant now that she can use the Villkiss better.
context: Probably.\Are you saying Ange was alone with a man?\Jasmine, you're in charge of contacting Tusk.\We'll need his help again soon.\All right.\So, our problem here...\You want Ange removed from the Villkiss?\She's arrogant now that she can use the Villkiss better. response:	Her selfish behavior will someday put the squad at risk.
context: Are you saying Ange was alone with a man?\Jasmine, you're in charge of contacting Tusk.\We'll need his help again soon.\All right.\So, our problem here...\You want Ange removed from the Villkiss?\She's arrogant now that she can use the Villkiss better.\Her selfish behavior will someday put the squad at risk. response:	Before that happens
context: Jasmine, you're in charge of contacting Tusk.\We'll need his help again soon.\All right.\So, our problem here...\You want Ange removed from the Villkiss?\She's arrogant now that she can use the Villkiss better.\Her selfish behavior will someday put the squad at risk.\Before that happens response:	Before that happens, the captain should do something about it.
context: We'll need his help again soon.\All right.\So, our problem here...\You want Ange removed from the Villkiss?\She's arrogant now that she can use the Villkiss better.\Her selfish behavior will someday put the squad at risk.\Before that happens\Before that happens, the captain should do something about it. response:	You can deal with it.
context: All right.\So, our problem here...\You want Ange removed from the Villkiss?\She's arrogant now that she can use the Villkiss better.\Her selfish behavior will someday put the squad at risk.\Before that happens\Before that happens, the captain should do something about it.\You can deal with it. response:	I'm counting on you, Salia.
context: So, our problem here...\You want Ange removed from the Villkiss?\She's arrogant now that she can use the Villkiss better.\Her selfish behavior will someday put the squad at risk.\Before that happens\Before that happens, the captain should do something about it.\You can deal with it.\I'm counting on you, Salia. response:	Captain's log, March 5th.
context: You want Ange removed from the Villkiss?\She's arrogant now that she can use the Villkiss better.\Her selfish behavior will someday put the squad at risk.\Before that happens\Before that happens, the captain should do something about it.\You can deal with it.\I'm counting on you, Salia.\Captain's log, March 5th. response:	Impossible.
context: She's arrogant now that she can use the Villkiss better.\Her selfish behavior will someday put the squad at risk.\Before that happens\Before that happens, the captain should do something about it.\You can deal with it.\I'm counting on you, Salia.\Captain's log, March 5th.\Impossible. response:	Impossible!
context: Her selfish behavior will someday put the squad at risk.\Before that happens\Before that happens, the captain should do something about it.\You can deal with it.\I'm counting on you, Salia.\Captain's log, March 5th.\Impossible.\Impossible! response:	How could a human become a Norma's servant?
context: Before that happens\Before that happens, the captain should do something about it.\You can deal with it.\I'm counting on you, Salia.\Captain's log, March 5th.\Impossible.\Impossible!\How could a human become a Norma's servant? response:	Norma are antisocial, vicious, uneducated,
context: Before that happens, the captain should do something about it.\You can deal with it.\I'm counting on you, Salia.\Captain's log, March 5th.\Impossible.\Impossible!\How could a human become a Norma's servant?\Norma are antisocial, vicious, uneducated, response:	dirty, mana-starved byproducts of human society.
context: You can deal with it.\I'm counting on you, Salia.\Captain's log, March 5th.\Impossible.\Impossible!\How could a human become a Norma's servant?\Norma are antisocial, vicious, uneducated,\dirty, mana-starved byproducts of human society. response:	Sure, sure.
context: I'm counting on you, Salia.\Captain's log, March 5th.\Impossible.\Impossible!\How could a human become a Norma's servant?\Norma are antisocial, vicious, uneducated,\dirty, mana-starved byproducts of human society.\Sure, sure. response:	Momoka-san, are you aware of what you're doing?
context: Captain's log, March 5th.\Impossible.\Impossible!\How could a human become a Norma's servant?\Norma are antisocial, vicious, uneducated,\dirty, mana-starved byproducts of human society.\Sure, sure.\Momoka-san, are you aware of what you're doing? response:	Yes, I'm happy.
context: Impossible.\Impossible!\How could a human become a Norma's servant?\Norma are antisocial, vicious, uneducated,\dirty, mana-starved byproducts of human society.\Sure, sure.\Momoka-san, are you aware of what you're doing?\Yes, I'm happy. response:	Good for you, Momoka.
context: Impossible!\How could a human become a Norma's servant?\Norma are antisocial, vicious, uneducated,\dirty, mana-starved byproducts of human society.\Sure, sure.\Momoka-san, are you aware of what you're doing?\Yes, I'm happy.\Good for you, Momoka. response:	You get to be with Ange.
context: How could a human become a Norma's servant?\Norma are antisocial, vicious, uneducated,\dirty, mana-starved byproducts of human society.\Sure, sure.\Momoka-san, are you aware of what you're doing?\Yes, I'm happy.\Good for you, Momoka.\You get to be with Ange. response:	What's up, Ersha?
context: Norma are antisocial, vicious, uneducated,\dirty, mana-starved byproducts of human society.\Sure, sure.\Momoka-san, are you aware of what you're doing?\Yes, I'm happy.\Good for you, Momoka.\You get to be with Ange.\What's up, Ersha? response:	The festivals are coming up, right?
context: dirty, mana-starved byproducts of human society.\Sure, sure.\Momoka-san, are you aware of what you're doing?\Yes, I'm happy.\Good for you, Momoka.\You get to be with Ange.\What's up, Ersha?\The festivals are coming up, right? response:	I want to prepare some things for the children.
context: Sure, sure.\Momoka-san, are you aware of what you're doing?\Yes, I'm happy.\Good for you, Momoka.\You get to be with Ange.\What's up, Ersha?\The festivals are coming up, right?\I want to prepare some things for the children. response:	Ange, huh?
context: Momoka-san, are you aware of what you're doing?\Yes, I'm happy.\Good for you, Momoka.\You get to be with Ange.\What's up, Ersha?\The festivals are coming up, right?\I want to prepare some things for the children.\Ange, huh? response:	I need to do something about her.
context: Yes, I'm happy.\Good for you, Momoka.\You get to be with Ange.\What's up, Ersha?\The festivals are coming up, right?\I want to prepare some things for the children.\Ange, huh?\I need to do something about her. response:	What are you going to do?
context: Good for you, Momoka.\You get to be with Ange.\What's up, Ersha?\The festivals are coming up, right?\I want to prepare some things for the children.\Ange, huh?\I need to do something about her.\What are you going to do? response:	She's filthy rich. She'll just buy herself out of any punishment.
context: You get to be with Ange.\What's up, Ersha?\The festivals are coming up, right?\I want to prepare some things for the children.\Ange, huh?\I need to do something about her.\What are you going to do?\She's filthy rich. She'll just buy herself out of any punishment. response:	Besides, she won't do anything you say.
context: What's up, Ersha?\The festivals are coming up, right?\I want to prepare some things for the children.\Ange, huh?\I need to do something about her.\What are you going to do?\She's filthy rich. She'll just buy herself out of any punishment.\Besides, she won't do anything you say. response:	What's your point?
