context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	During the initial confrontations with Phantom Lord,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\During the initial confrontations with Phantom Lord, response:	Master and Erza were defeated!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\During the initial confrontations with Phantom Lord,\Master and Erza were defeated! response:	In order for us to stop the Magic Giant,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\During the initial confrontations with Phantom Lord,\Master and Erza were defeated!\In order for us to stop the Magic Giant, response:	we have to defeat the Element 4.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\During the initial confrontations with Phantom Lord,\Master and Erza were defeated!\In order for us to stop the Magic Giant,\we have to defeat the Element 4. response:	And by the way, Lucy, who is being targeted by Phantom,
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\During the initial confrontations with Phantom Lord,\Master and Erza were defeated!\In order for us to stop the Magic Giant,\we have to defeat the Element 4.\And by the way, Lucy, who is being targeted by Phantom, response:	was hidden away in the safe-house, but...
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\During the initial confrontations with Phantom Lord,\Master and Erza were defeated!\In order for us to stop the Magic Giant,\we have to defeat the Element 4.\And by the way, Lucy, who is being targeted by Phantom,\was hidden away in the safe-house, but... response:	I've got a bad feeling about this.
context: Previously on Fairy Tail!\During the initial confrontations with Phantom Lord,\Master and Erza were defeated!\In order for us to stop the Magic Giant,\we have to defeat the Element 4.\And by the way, Lucy, who is being targeted by Phantom,\was hidden away in the safe-house, but...\I've got a bad feeling about this. response:	It'll be all right! I'll yell it out countless times.
