context: Ow! Hey, watch out! response:	Geez...
context: Ow! Hey, watch out!\Geez... response:	Hinami!
context: Ow! Hey, watch out!\Geez...\Hinami! response:	Big Brother!
context: Ow! Hey, watch out!\Geez...\Hinami!\Big Brother! response:	Sorry!
context: Ow! Hey, watch out!\Geez...\Hinami!\Big Brother!\Sorry! response:	Hinami, what's the matter?
context: Ow! Hey, watch out!\Geez...\Hinami!\Big Brother!\Sorry!\Hinami, what's the matter? response:	Mom is... Mom is...!
context: Ow! Hey, watch out!\Geez...\Hinami!\Big Brother!\Sorry!\Hinami, what's the matter?\Mom is... Mom is...! response:	Huh? Where is she?
context: Ow! Hey, watch out!\Geez...\Hinami!\Big Brother!\Sorry!\Hinami, what's the matter?\Mom is... Mom is...!\Huh? Where is she? response:	Let's go!
context: Geez...\Hinami!\Big Brother!\Sorry!\Hinami, what's the matter?\Mom is... Mom is...!\Huh? Where is she?\Let's go! response:	You're not accustomed to fighting, are you?
context: Hinami!\Big Brother!\Sorry!\Hinami, what's the matter?\Mom is... Mom is...!\Huh? Where is she?\Let's go!\You're not accustomed to fighting, are you? response:	You aren't using your kagune to its fullest extent.
context: Big Brother!\Sorry!\Hinami, what's the matter?\Mom is... Mom is...!\Huh? Where is she?\Let's go!\You're not accustomed to fighting, are you?\You aren't using your kagune to its fullest extent. response:	The mother, laying down her life for her child-
context: Sorry!\Hinami, what's the matter?\Mom is... Mom is...!\Huh? Where is she?\Let's go!\You're not accustomed to fighting, are you?\You aren't using your kagune to its fullest extent.\The mother, laying down her life for her child- response:	It makes my skin crawl. It's so comical,
context: Hinami, what's the matter?\Mom is... Mom is...!\Huh? Where is she?\Let's go!\You're not accustomed to fighting, are you?\You aren't using your kagune to its fullest extent.\The mother, laying down her life for her child-\It makes my skin crawl. It's so comical, response:	watching you ghouls imitate human behavior.
context: Mom is... Mom is...!\Huh? Where is she?\Let's go!\You're not accustomed to fighting, are you?\You aren't using your kagune to its fullest extent.\The mother, laying down her life for her child-\It makes my skin crawl. It's so comical,\watching you ghouls imitate human behavior. response:	What good will it do for me to go there?
context: Huh? Where is she?\Let's go!\You're not accustomed to fighting, are you?\You aren't using your kagune to its fullest extent.\The mother, laying down her life for her child-\It makes my skin crawl. It's so comical,\watching you ghouls imitate human behavior.\What good will it do for me to go there? response:	Amon, you've done enough.
context: Let's go!\You're not accustomed to fighting, are you?\You aren't using your kagune to its fullest extent.\The mother, laying down her life for her child-\It makes my skin crawl. It's so comical,\watching you ghouls imitate human behavior.\What good will it do for me to go there?\Amon, you've done enough. response:	I'll handle the rest.
context: You're not accustomed to fighting, are you?\You aren't using your kagune to its fullest extent.\The mother, laying down her life for her child-\It makes my skin crawl. It's so comical,\watching you ghouls imitate human behavior.\What good will it do for me to go there?\Amon, you've done enough.\I'll handle the rest. response:	What do I do?
context: You aren't using your kagune to its fullest extent.\The mother, laying down her life for her child-\It makes my skin crawl. It's so comical,\watching you ghouls imitate human behavior.\What good will it do for me to go there?\Amon, you've done enough.\I'll handle the rest.\What do I do? response:	Why...? No, not that!
context: The mother, laying down her life for her child-\It makes my skin crawl. It's so comical,\watching you ghouls imitate human behavior.\What good will it do for me to go there?\Amon, you've done enough.\I'll handle the rest.\What do I do?\Why...? No, not that! response:	Absolutely right!
context: It makes my skin crawl. It's so comical,\watching you ghouls imitate human behavior.\What good will it do for me to go there?\Amon, you've done enough.\I'll handle the rest.\What do I do?\Why...? No, not that!\Absolutely right! response:	Honey...
context: watching you ghouls imitate human behavior.\What good will it do for me to go there?\Amon, you've done enough.\I'll handle the rest.\What do I do?\Why...? No, not that!\Absolutely right!\Honey... response:	Good... Good! Fantastic!
context: What good will it do for me to go there?\Amon, you've done enough.\I'll handle the rest.\What do I do?\Why...? No, not that!\Absolutely right!\Honey...\Good... Good! Fantastic! response:	Despair, terror, hatred! That's the expression! More! Show me more!
context: Amon, you've done enough.\I'll handle the rest.\What do I do?\Why...? No, not that!\Absolutely right!\Honey...\Good... Good! Fantastic!\Despair, terror, hatred! That's the expression! More! Show me more! response:	Mom-
context: I'll handle the rest.\What do I do?\Why...? No, not that!\Absolutely right!\Honey...\Good... Good! Fantastic!\Despair, terror, hatred! That's the expression! More! Show me more!\Mom- response:	No, keep quiet!
context: What do I do?\Why...? No, not that!\Absolutely right!\Honey...\Good... Good! Fantastic!\Despair, terror, hatred! That's the expression! More! Show me more!\Mom-\No, keep quiet! response:	What do I do? What am I supposed to do?
context: Why...? No, not that!\Absolutely right!\Honey...\Good... Good! Fantastic!\Despair, terror, hatred! That's the expression! More! Show me more!\Mom-\No, keep quiet!\What do I do? What am I supposed to do? response:	The least I can do in the way of pity is to ask for any last words.
context: Absolutely right!\Honey...\Good... Good! Fantastic!\Despair, terror, hatred! That's the expression! More! Show me more!\Mom-\No, keep quiet!\What do I do? What am I supposed to do?\The least I can do in the way of pity is to ask for any last words. response:	What's wrong? There's no reason to hold back.
context: Honey...\Good... Good! Fantastic!\Despair, terror, hatred! That's the expression! More! Show me more!\Mom-\No, keep quiet!\What do I do? What am I supposed to do?\The least I can do in the way of pity is to ask for any last words.\What's wrong? There's no reason to hold back. response:	Whoa...!
context: Good... Good! Fantastic!\Despair, terror, hatred! That's the expression! More! Show me more!\Mom-\No, keep quiet!\What do I do? What am I supposed to do?\The least I can do in the way of pity is to ask for any last words.\What's wrong? There's no reason to hold back.\Whoa...! response:	Too bad. Your time is up.
context: Despair, terror, hatred! That's the expression! More! Show me more!\Mom-\No, keep quiet!\What do I do? What am I supposed to do?\The least I can do in the way of pity is to ask for any last words.\What's wrong? There's no reason to hold back.\Whoa...!\Too bad. Your time is up. response:	About all I could do was to prevent her from seeing that sight.
context: Mom-\No, keep quiet!\What do I do? What am I supposed to do?\The least I can do in the way of pity is to ask for any last words.\What's wrong? There's no reason to hold back.\Whoa...!\Too bad. Your time is up.\About all I could do was to prevent her from seeing that sight. response:	Tell me, oh tell me, the way it works
context: No, keep quiet!\What do I do? What am I supposed to do?\The least I can do in the way of pity is to ask for any last words.\What's wrong? There's no reason to hold back.\Whoa...!\Too bad. Your time is up.\About all I could do was to prevent her from seeing that sight.\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: What do I do? What am I supposed to do?\The least I can do in the way of pity is to ask for any last words.\What's wrong? There's no reason to hold back.\Whoa...!\Too bad. Your time is up.\About all I could do was to prevent her from seeing that sight.\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: The least I can do in the way of pity is to ask for any last words.\What's wrong? There's no reason to hold back.\Whoa...!\Too bad. Your time is up.\About all I could do was to prevent her from seeing that sight.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: What's wrong? There's no reason to hold back.\Whoa...!\Too bad. Your time is up.\About all I could do was to prevent her from seeing that sight.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: Whoa...!\Too bad. Your time is up.\About all I could do was to prevent her from seeing that sight.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: Too bad. Your time is up.\About all I could do was to prevent her from seeing that sight.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me
context: About all I could do was to prevent her from seeing that sight.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me response:	In this twisted world, I'm gradually growing transparent and vanishing
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
