context: No! response:	I-I'm sorry...
context: No!\I-I'm sorry... response:	That's enough, Hikari.
context: No!\I-I'm sorry...\That's enough, Hikari. response:	Come home.
context: No!\I-I'm sorry...\That's enough, Hikari.\Come home. response:	What's going to happen on the surface?
context: No!\I-I'm sorry...\That's enough, Hikari.\Come home.\What's going to happen on the surface? response:	Episode Ten: The Saltflake Snow Falls and Falls
context: No!\I-I'm sorry...\That's enough, Hikari.\Come home.\What's going to happen on the surface?\Episode Ten: The Saltflake Snow Falls and Falls response:	Now, then...
context: No!\I-I'm sorry...\That's enough, Hikari.\Come home.\What's going to happen on the surface?\Episode Ten: The Saltflake Snow Falls and Falls\Now, then... response:	Long ago, the Sea God
context: No!\I-I'm sorry...\That's enough, Hikari.\Come home.\What's going to happen on the surface?\Episode Ten: The Saltflake Snow Falls and Falls\Now, then...\Long ago, the Sea God response:	was saddened by the humans who went up to the surface and left the sea,
context: I-I'm sorry...\That's enough, Hikari.\Come home.\What's going to happen on the surface?\Episode Ten: The Saltflake Snow Falls and Falls\Now, then...\Long ago, the Sea God\was saddened by the humans who went up to the surface and left the sea, response:	so he went into hiding far below into the depths of the ocean.
context: That's enough, Hikari.\Come home.\What's going to happen on the surface?\Episode Ten: The Saltflake Snow Falls and Falls\Now, then...\Long ago, the Sea God\was saddened by the humans who went up to the surface and left the sea,\so he went into hiding far below into the depths of the ocean. response:	After that, saltflake snow fell and amassed both in the sea and on the surface,
context: Come home.\What's going to happen on the surface?\Episode Ten: The Saltflake Snow Falls and Falls\Now, then...\Long ago, the Sea God\was saddened by the humans who went up to the surface and left the sea,\so he went into hiding far below into the depths of the ocean.\After that, saltflake snow fell and amassed both in the sea and on the surface, response:	and the world gradually turned cold and gray.
context: What's going to happen on the surface?\Episode Ten: The Saltflake Snow Falls and Falls\Now, then...\Long ago, the Sea God\was saddened by the humans who went up to the surface and left the sea,\so he went into hiding far below into the depths of the ocean.\After that, saltflake snow fell and amassed both in the sea and on the surface,\and the world gradually turned cold and gray. response:	Then one girl dove into the sea to see the Sea God.
context: Episode Ten: The Saltflake Snow Falls and Falls\Now, then...\Long ago, the Sea God\was saddened by the humans who went up to the surface and left the sea,\so he went into hiding far below into the depths of the ocean.\After that, saltflake snow fell and amassed both in the sea and on the surface,\and the world gradually turned cold and gray.\Then one girl dove into the sea to see the Sea God. response:	She wanted to save the humans.
context: Now, then...\Long ago, the Sea God\was saddened by the humans who went up to the surface and left the sea,\so he went into hiding far below into the depths of the ocean.\After that, saltflake snow fell and amassed both in the sea and on the surface,\and the world gradually turned cold and gray.\Then one girl dove into the sea to see the Sea God.\She wanted to save the humans. response:	The Sea God's heart was moved by the girl's wish,
context: Long ago, the Sea God\was saddened by the humans who went up to the surface and left the sea,\so he went into hiding far below into the depths of the ocean.\After that, saltflake snow fell and amassed both in the sea and on the surface,\and the world gradually turned cold and gray.\Then one girl dove into the sea to see the Sea God.\She wanted to save the humans.\The Sea God's heart was moved by the girl's wish, response:	and he joined the people once again.
context: was saddened by the humans who went up to the surface and left the sea,\so he went into hiding far below into the depths of the ocean.\After that, saltflake snow fell and amassed both in the sea and on the surface,\and the world gradually turned cold and gray.\Then one girl dove into the sea to see the Sea God.\She wanted to save the humans.\The Sea God's heart was moved by the girl's wish,\and he joined the people once again. response:	And now, it's not that the Sea God kept himself from the people.
context: so he went into hiding far below into the depths of the ocean.\After that, saltflake snow fell and amassed both in the sea and on the surface,\and the world gradually turned cold and gray.\Then one girl dove into the sea to see the Sea God.\She wanted to save the humans.\The Sea God's heart was moved by the girl's wish,\and he joined the people once again.\And now, it's not that the Sea God kept himself from the people. response:	The people have forgotten about the Sea God, and moved away.
context: After that, saltflake snow fell and amassed both in the sea and on the surface,\and the world gradually turned cold and gray.\Then one girl dove into the sea to see the Sea God.\She wanted to save the humans.\The Sea God's heart was moved by the girl's wish,\and he joined the people once again.\And now, it's not that the Sea God kept himself from the people.\The people have forgotten about the Sea God, and moved away. response:	Without prayers, the Sea God loses his power...
context: and the world gradually turned cold and gray.\Then one girl dove into the sea to see the Sea God.\She wanted to save the humans.\The Sea God's heart was moved by the girl's wish,\and he joined the people once again.\And now, it's not that the Sea God kept himself from the people.\The people have forgotten about the Sea God, and moved away.\Without prayers, the Sea God loses his power... response:	Compared to before, the Sea God's power is much weaker and smaller.
context: Then one girl dove into the sea to see the Sea God.\She wanted to save the humans.\The Sea God's heart was moved by the girl's wish,\and he joined the people once again.\And now, it's not that the Sea God kept himself from the people.\The people have forgotten about the Sea God, and moved away.\Without prayers, the Sea God loses his power...\Compared to before, the Sea God's power is much weaker and smaller. response:	Hikari.
context: She wanted to save the humans.\The Sea God's heart was moved by the girl's wish,\and he joined the people once again.\And now, it's not that the Sea God kept himself from the people.\The people have forgotten about the Sea God, and moved away.\Without prayers, the Sea God loses his power...\Compared to before, the Sea God's power is much weaker and smaller.\Hikari. response:	Are you listening?
context: The Sea God's heart was moved by the girl's wish,\and he joined the people once again.\And now, it's not that the Sea God kept himself from the people.\The people have forgotten about the Sea God, and moved away.\Without prayers, the Sea God loses his power...\Compared to before, the Sea God's power is much weaker and smaller.\Hikari.\Are you listening? response:	Yeah.
context: and he joined the people once again.\And now, it's not that the Sea God kept himself from the people.\The people have forgotten about the Sea God, and moved away.\Without prayers, the Sea God loses his power...\Compared to before, the Sea God's power is much weaker and smaller.\Hikari.\Are you listening?\Yeah. response:	But it's a fairytale.
context: And now, it's not that the Sea God kept himself from the people.\The people have forgotten about the Sea God, and moved away.\Without prayers, the Sea God loses his power...\Compared to before, the Sea God's power is much weaker and smaller.\Hikari.\Are you listening?\Yeah.\But it's a fairytale. response:	This is the story of humans themselves...
context: The people have forgotten about the Sea God, and moved away.\Without prayers, the Sea God loses his power...\Compared to before, the Sea God's power is much weaker and smaller.\Hikari.\Are you listening?\Yeah.\But it's a fairytale.\This is the story of humans themselves... response:	Of the upcoming demise that will happen in about fifty or a hundred years.
context: Without prayers, the Sea God loses his power...\Compared to before, the Sea God's power is much weaker and smaller.\Hikari.\Are you listening?\Yeah.\But it's a fairytale.\This is the story of humans themselves...\Of the upcoming demise that will happen in about fifty or a hundred years. response:	What?
context: Compared to before, the Sea God's power is much weaker and smaller.\Hikari.\Are you listening?\Yeah.\But it's a fairytale.\This is the story of humans themselves...\Of the upcoming demise that will happen in about fifty or a hundred years.\What? response:	Upcoming demise? Humans?
context: Hikari.\Are you listening?\Yeah.\But it's a fairytale.\This is the story of humans themselves...\Of the upcoming demise that will happen in about fifty or a hundred years.\What?\Upcoming demise? Humans? response:	You mean humans will die?
context: Are you listening?\Yeah.\But it's a fairytale.\This is the story of humans themselves...\Of the upcoming demise that will happen in about fifty or a hundred years.\What?\Upcoming demise? Humans?\You mean humans will die? response:	The only way that humans will survive
context: Yeah.\But it's a fairytale.\This is the story of humans themselves...\Of the upcoming demise that will happen in about fifty or a hundred years.\What?\Upcoming demise? Humans?\You mean humans will die?\The only way that humans will survive response:	is if they can sleep and escape the upcoming freezing world.
context: But it's a fairytale.\This is the story of humans themselves...\Of the upcoming demise that will happen in about fifty or a hundred years.\What?\Upcoming demise? Humans?\You mean humans will die?\The only way that humans will survive\is if they can sleep and escape the upcoming freezing world. response:	Sleep?
context: This is the story of humans themselves...\Of the upcoming demise that will happen in about fifty or a hundred years.\What?\Upcoming demise? Humans?\You mean humans will die?\The only way that humans will survive\is if they can sleep and escape the upcoming freezing world.\Sleep? response:	From here on, the saltflake snow will continue to fall and amass.
context: Of the upcoming demise that will happen in about fifty or a hundred years.\What?\Upcoming demise? Humans?\You mean humans will die?\The only way that humans will survive\is if they can sleep and escape the upcoming freezing world.\Sleep?\From here on, the saltflake snow will continue to fall and amass. response:	The world will start freezing,
context: What?\Upcoming demise? Humans?\You mean humans will die?\The only way that humans will survive\is if they can sleep and escape the upcoming freezing world.\Sleep?\From here on, the saltflake snow will continue to fall and amass.\The world will start freezing, response:	and people will not be able to bear the cold that will eventually come.
context: Upcoming demise? Humans?\You mean humans will die?\The only way that humans will survive\is if they can sleep and escape the upcoming freezing world.\Sleep?\From here on, the saltflake snow will continue to fall and amass.\The world will start freezing,\and people will not be able to bear the cold that will eventually come. response:	Therefore, we will go into a long sleep and let time pass,
context: You mean humans will die?\The only way that humans will survive\is if they can sleep and escape the upcoming freezing world.\Sleep?\From here on, the saltflake snow will continue to fall and amass.\The world will start freezing,\and people will not be able to bear the cold that will eventually come.\Therefore, we will go into a long sleep and let time pass, response:	waiting until the Sea God is able to regain his power.
context: The only way that humans will survive\is if they can sleep and escape the upcoming freezing world.\Sleep?\From here on, the saltflake snow will continue to fall and amass.\The world will start freezing,\and people will not be able to bear the cold that will eventually come.\Therefore, we will go into a long sleep and let time pass,\waiting until the Sea God is able to regain his power. response:	The people of Shioshishio must sleep immediately.
