context: Reporting... response:	The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima
context: Reporting...\The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima response:	and are trying to crash it into Extalia.
context: Reporting...\The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima\and are trying to crash it into Extalia. response:	Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,
context: Reporting...\The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima\and are trying to crash it into Extalia.\Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima, response:	and are now being held captive in the Royal City.
context: Reporting...\The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima\and are trying to crash it into Extalia.\Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,\and are now being held captive in the Royal City. response:	At this rate, Extalia...
context: Reporting...\The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima\and are trying to crash it into Extalia.\Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,\and are now being held captive in the Royal City.\At this rate, Extalia... response:	How incredibly reckless!
context: Reporting...\The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima\and are trying to crash it into Extalia.\Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,\and are now being held captive in the Royal City.\At this rate, Extalia...\How incredibly reckless! response:	Fearsome indeed!
context: Reporting...\The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima\and are trying to crash it into Extalia.\Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,\and are now being held captive in the Royal City.\At this rate, Extalia...\How incredibly reckless!\Fearsome indeed! response:	To think they would go so far...
context: The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima\and are trying to crash it into Extalia.\Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,\and are now being held captive in the Royal City.\At this rate, Extalia...\How incredibly reckless!\Fearsome indeed!\To think they would go so far... response:	Furthermore, one of the Fallen and a human have appeared in the town,
context: and are trying to crash it into Extalia.\Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,\and are now being held captive in the Royal City.\At this rate, Extalia...\How incredibly reckless!\Fearsome indeed!\To think they would go so far...\Furthermore, one of the Fallen and a human have appeared in the town, response:	and are spreading the word to abandon Extalia and escape...
context: Nichiya-sama, as well as the majority of the Royal Guard, have been turned into a lacrima,\and are now being held captive in the Royal City.\At this rate, Extalia...\How incredibly reckless!\Fearsome indeed!\To think they would go so far...\Furthermore, one of the Fallen and a human have appeared in the town,\and are spreading the word to abandon Extalia and escape... response:	They're causing a riot outside of the castle... How should we deal with the situation?
context: and are now being held captive in the Royal City.\At this rate, Extalia...\How incredibly reckless!\Fearsome indeed!\To think they would go so far...\Furthermore, one of the Fallen and a human have appeared in the town,\and are spreading the word to abandon Extalia and escape...\They're causing a riot outside of the castle... How should we deal with the situation? response:	Lead me there.
context: At this rate, Extalia...\How incredibly reckless!\Fearsome indeed!\To think they would go so far...\Furthermore, one of the Fallen and a human have appeared in the town,\and are spreading the word to abandon Extalia and escape...\They're causing a riot outside of the castle... How should we deal with the situation?\Lead me there. response:	What?!
context: How incredibly reckless!\Fearsome indeed!\To think they would go so far...\Furthermore, one of the Fallen and a human have appeared in the town,\and are spreading the word to abandon Extalia and escape...\They're causing a riot outside of the castle... How should we deal with the situation?\Lead me there.\What?! response:	My Queen!
context: Fearsome indeed!\To think they would go so far...\Furthermore, one of the Fallen and a human have appeared in the town,\and are spreading the word to abandon Extalia and escape...\They're causing a riot outside of the castle... How should we deal with the situation?\Lead me there.\What?!\My Queen! response:	What are you intending to do?
context: To think they would go so far...\Furthermore, one of the Fallen and a human have appeared in the town,\and are spreading the word to abandon Extalia and escape...\They're causing a riot outside of the castle... How should we deal with the situation?\Lead me there.\What?!\My Queen!\What are you intending to do? response:	The time...
context: Furthermore, one of the Fallen and a human have appeared in the town,\and are spreading the word to abandon Extalia and escape...\They're causing a riot outside of the castle... How should we deal with the situation?\Lead me there.\What?!\My Queen!\What are you intending to do?\The time... response:	The time has come.
context: and are spreading the word to abandon Extalia and escape...\They're causing a riot outside of the castle... How should we deal with the situation?\Lead me there.\What?!\My Queen!\What are you intending to do?\The time...\The time has come. response:	The Boy Back Then.
context: They're causing a riot outside of the castle... How should we deal with the situation?\Lead me there.\What?!\My Queen!\What are you intending to do?\The time...\The time has come.\The Boy Back Then. response:	Gajeel!
