context: Richie. I'm sorry for lyin' to you. response:	Be good to Ri'ko.
context: Richie. I'm sorry for lyin' to you.\Be good to Ri'ko. response:	Take care.
context: Richie. I'm sorry for lyin' to you.\Be good to Ri'ko.\Take care. response:	What should I do?
context: Richie. I'm sorry for lyin' to you.\Be good to Ri'ko.\Take care.\What should I do? response:	I forget what I was like before I met you
context: Richie. I'm sorry for lyin' to you.\Be good to Ri'ko.\Take care.\What should I do?\I forget what I was like before I met you response:	The wind caresses my cheek
context: Richie. I'm sorry for lyin' to you.\Be good to Ri'ko.\Take care.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek response:	JLullaby of BirdlandJ
context: Richie. I'm sorry for lyin' to you.\Be good to Ri'ko.\Take care.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ response:	Kick my heels going down the slope
context: Richie. I'm sorry for lyin' to you.\Be good to Ri'ko.\Take care.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope response:	As my worthless shadow grows
context: Be good to Ri'ko.\Take care.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows response:	It's like an endless summer vacation
context: Take care.\What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation response:	Feels like sneakin' into the swimming pool
context: What should I do?\I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool response:	Hey, let's swim with our clothes on, jump in!!
context: I forget what I was like before I met you\The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!! response:	A shocking seductive spiral
context: The wind caresses my cheek\JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral response:	This beat that pierces my heart is strange
context: JLullaby of BirdlandJ\Kick my heels going down the slope\As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange response:	(It flares up, then vanishes)
