context: How many times do I have to tell you before you can get it in your head?! response:	Shirokawa, don't dye your hair! Earrings aren't allowed, either!
context: How many times do I have to tell you before you can get it in your head?!\Shirokawa, don't dye your hair! Earrings aren't allowed, either! response:	Sarashina! Button your shirt up to the second button!
context: How many times do I have to tell you before you can get it in your head?!\Shirokawa, don't dye your hair! Earrings aren't allowed, either!\Sarashina! Button your shirt up to the second button! response:	Fasten your belt at your waist!
context: How many times do I have to tell you before you can get it in your head?!\Shirokawa, don't dye your hair! Earrings aren't allowed, either!\Sarashina! Button your shirt up to the second button!\Fasten your belt at your waist! response:	Kurosaki! Don't step on the heels of your shoes!
context: How many times do I have to tell you before you can get it in your head?!\Shirokawa, don't dye your hair! Earrings aren't allowed, either!\Sarashina! Button your shirt up to the second button!\Fasten your belt at your waist!\Kurosaki! Don't step on the heels of your shoes! response:	This is what you should look like!
context: How many times do I have to tell you before you can get it in your head?!\Shirokawa, don't dye your hair! Earrings aren't allowed, either!\Sarashina! Button your shirt up to the second button!\Fasten your belt at your waist!\Kurosaki! Don't step on the heels of your shoes!\This is what you should look like! response:	Come back in proper attire!
context: How many times do I have to tell you before you can get it in your head?!\Shirokawa, don't dye your hair! Earrings aren't allowed, either!\Sarashina! Button your shirt up to the second button!\Fasten your belt at your waist!\Kurosaki! Don't step on the heels of your shoes!\This is what you should look like!\Come back in proper attire! response:	Seriously...
context: How many times do I have to tell you before you can get it in your head?!\Shirokawa, don't dye your hair! Earrings aren't allowed, either!\Sarashina! Button your shirt up to the second button!\Fasten your belt at your waist!\Kurosaki! Don't step on the heels of your shoes!\This is what you should look like!\Come back in proper attire!\Seriously... response:	This school is full of savages!
context: Shirokawa, don't dye your hair! Earrings aren't allowed, either!\Sarashina! Button your shirt up to the second button!\Fasten your belt at your waist!\Kurosaki! Don't step on the heels of your shoes!\This is what you should look like!\Come back in proper attire!\Seriously...\This school is full of savages! response:	Hey, Yukimura, did you manage to complete that guide?
context: Sarashina! Button your shirt up to the second button!\Fasten your belt at your waist!\Kurosaki! Don't step on the heels of your shoes!\This is what you should look like!\Come back in proper attire!\Seriously...\This school is full of savages!\Hey, Yukimura, did you manage to complete that guide? response:	Prez, is this really necessary?
context: Fasten your belt at your waist!\Kurosaki! Don't step on the heels of your shoes!\This is what you should look like!\Come back in proper attire!\Seriously...\This school is full of savages!\Hey, Yukimura, did you manage to complete that guide?\Prez, is this really necessary? response:	A Student Guidebook?
context: Kurosaki! Don't step on the heels of your shoes!\This is what you should look like!\Come back in proper attire!\Seriously...\This school is full of savages!\Hey, Yukimura, did you manage to complete that guide?\Prez, is this really necessary?\A Student Guidebook? response:	Fool!
context: This is what you should look like!\Come back in proper attire!\Seriously...\This school is full of savages!\Hey, Yukimura, did you manage to complete that guide?\Prez, is this really necessary?\A Student Guidebook?\Fool! response:	Of course it's necessary!
context: Come back in proper attire!\Seriously...\This school is full of savages!\Hey, Yukimura, did you manage to complete that guide?\Prez, is this really necessary?\A Student Guidebook?\Fool!\Of course it's necessary! response:	If we don't enforce it, the boys will start being lazy again!
context: Seriously...\This school is full of savages!\Hey, Yukimura, did you manage to complete that guide?\Prez, is this really necessary?\A Student Guidebook?\Fool!\Of course it's necessary!\If we don't enforce it, the boys will start being lazy again! response:	Yes, ma'am!
context: This school is full of savages!\Hey, Yukimura, did you manage to complete that guide?\Prez, is this really necessary?\A Student Guidebook?\Fool!\Of course it's necessary!\If we don't enforce it, the boys will start being lazy again!\Yes, ma'am! response:	It's only been a few years since Seika High became a coed school.
