context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter! response:	Yes...
context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter!\Yes... response:	And we faced off against the Poison Dragon, Cobra!
context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter!\Yes...\And we faced off against the Poison Dragon, Cobra! response:	Yes...!
context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter!\Yes...\And we faced off against the Poison Dragon, Cobra!\Yes...! response:	But you know, doesn't old man Jura kinda look like a potato?
context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter!\Yes...\And we faced off against the Poison Dragon, Cobra!\Yes...!\But you know, doesn't old man Jura kinda look like a potato? response:	I am not a potato!
context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter!\Yes...\And we faced off against the Poison Dragon, Cobra!\Yes...!\But you know, doesn't old man Jura kinda look like a potato?\I am not a potato! response:	I'm kinda... My body doesn't feel so...
context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter!\Yes...\And we faced off against the Poison Dragon, Cobra!\Yes...!\But you know, doesn't old man Jura kinda look like a potato?\I am not a potato!\I'm kinda... My body doesn't feel so... response:	Is it his poison?
context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter!\Yes...\And we faced off against the Poison Dragon, Cobra!\Yes...!\But you know, doesn't old man Jura kinda look like a potato?\I am not a potato!\I'm kinda... My body doesn't feel so...\Is it his poison? response:	Damn it...
context: Yes...\And we faced off against the Poison Dragon, Cobra!\Yes...!\But you know, doesn't old man Jura kinda look like a potato?\I am not a potato!\I'm kinda... My body doesn't feel so...\Is it his poison?\Damn it... response:	I can't move... either...
context: And we faced off against the Poison Dragon, Cobra!\Yes...!\But you know, doesn't old man Jura kinda look like a potato?\I am not a potato!\I'm kinda... My body doesn't feel so...\Is it his poison?\Damn it...\I can't move... either... response:	Plus... I'm on transportation...
context: Yes...!\But you know, doesn't old man Jura kinda look like a potato?\I am not a potato!\I'm kinda... My body doesn't feel so...\Is it his poison?\Damn it...\I can't move... either...\Plus... I'm on transportation... response:	By the pride of the Six Generals, I will defeat you!
context: But you know, doesn't old man Jura kinda look like a potato?\I am not a potato!\I'm kinda... My body doesn't feel so...\Is it his poison?\Damn it...\I can't move... either...\Plus... I'm on transportation...\By the pride of the Six Generals, I will defeat you! response:	Jura, the Tenth Saint!
context: I am not a potato!\I'm kinda... My body doesn't feel so...\Is it his poison?\Damn it...\I can't move... either...\Plus... I'm on transportation...\By the pride of the Six Generals, I will defeat you!\Jura, the Tenth Saint! response:	Damn it... I can't move...
context: I'm kinda... My body doesn't feel so...\Is it his poison?\Damn it...\I can't move... either...\Plus... I'm on transportation...\By the pride of the Six Generals, I will defeat you!\Jura, the Tenth Saint!\Damn it... I can't move... response:	I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!
context: Is it his poison?\Damn it...\I can't move... either...\Plus... I'm on transportation...\By the pride of the Six Generals, I will defeat you!\Jura, the Tenth Saint!\Damn it... I can't move...\I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer! response:	Enough, Cobra.
context: Damn it...\I can't move... either...\Plus... I'm on transportation...\By the pride of the Six Generals, I will defeat you!\Jura, the Tenth Saint!\Damn it... I can't move...\I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!\Enough, Cobra. response:	B-Brain?
context: I can't move... either...\Plus... I'm on transportation...\By the pride of the Six Generals, I will defeat you!\Jura, the Tenth Saint!\Damn it... I can't move...\I can hear it... I can hear the end of the life of an Old Generation Dragon Slayer!\Enough, Cobra.\B-Brain? response:	What are you...
