context: Access granted. response:	Access granted.
context: Access granted.\Access granted. response:	Here we go!
context: Access granted.\Access granted.\Here we go! response:	Please give us your signatures to keep Sakura Hall from closing!
context: Access granted.\Access granted.\Here we go!\Please give us your signatures to keep Sakura Hall from closing! response:	If two-thirds of all students show their support,
context: Access granted.\Access granted.\Here we go!\Please give us your signatures to keep Sakura Hall from closing!\If two-thirds of all students show their support, response:	we can protest the school's decision.
context: Access granted.\Access granted.\Here we go!\Please give us your signatures to keep Sakura Hall from closing!\If two-thirds of all students show their support,\we can protest the school's decision. response:	Please help us.
context: Access granted.\Access granted.\Here we go!\Please give us your signatures to keep Sakura Hall from closing!\If two-thirds of all students show their support,\we can protest the school's decision.\Please help us. response:	Please show your support!
context: Access granted.\Access granted.\Here we go!\Please give us your signatures to keep Sakura Hall from closing!\If two-thirds of all students show their support,\we can protest the school's decision.\Please help us.\Please show your support! response:	This is harder than I expected.
context: Access granted.\Here we go!\Please give us your signatures to keep Sakura Hall from closing!\If two-thirds of all students show their support,\we can protest the school's decision.\Please help us.\Please show your support!\This is harder than I expected. response:	It has nothing to do with the other students.
context: Here we go!\Please give us your signatures to keep Sakura Hall from closing!\If two-thirds of all students show their support,\we can protest the school's decision.\Please help us.\Please show your support!\This is harder than I expected.\It has nothing to do with the other students. response:	Hey, I heard Sakura Hall's in trouble.
context: Please give us your signatures to keep Sakura Hall from closing!\If two-thirds of all students show their support,\we can protest the school's decision.\Please help us.\Please show your support!\This is harder than I expected.\It has nothing to do with the other students.\Hey, I heard Sakura Hall's in trouble. response:	Miyahara-kun.
context: If two-thirds of all students show their support,\we can protest the school's decision.\Please help us.\Please show your support!\This is harder than I expected.\It has nothing to do with the other students.\Hey, I heard Sakura Hall's in trouble.\Miyahara-kun. response:	I'll support you.
context: we can protest the school's decision.\Please help us.\Please show your support!\This is harder than I expected.\It has nothing to do with the other students.\Hey, I heard Sakura Hall's in trouble.\Miyahara-kun.\I'll support you. response:	We oppose the closing of Sakura Hall!!
context: Please help us.\Please show your support!\This is harder than I expected.\It has nothing to do with the other students.\Hey, I heard Sakura Hall's in trouble.\Miyahara-kun.\I'll support you.\We oppose the closing of Sakura Hall!! response:	Good luck.
context: Please show your support!\This is harder than I expected.\It has nothing to do with the other students.\Hey, I heard Sakura Hall's in trouble.\Miyahara-kun.\I'll support you.\We oppose the closing of Sakura Hall!!\Good luck. response:	Um, Miyahara-kun...
context: This is harder than I expected.\It has nothing to do with the other students.\Hey, I heard Sakura Hall's in trouble.\Miyahara-kun.\I'll support you.\We oppose the closing of Sakura Hall!!\Good luck.\Um, Miyahara-kun... response:	Thank you for everything.
context: It has nothing to do with the other students.\Hey, I heard Sakura Hall's in trouble.\Miyahara-kun.\I'll support you.\We oppose the closing of Sakura Hall!!\Good luck.\Um, Miyahara-kun...\Thank you for everything. response:	I'll tell my friends about it.
context: Hey, I heard Sakura Hall's in trouble.\Miyahara-kun.\I'll support you.\We oppose the closing of Sakura Hall!!\Good luck.\Um, Miyahara-kun...\Thank you for everything.\I'll tell my friends about it. response:	Sure, thanks.
