context: Piano! response:	Piano...
context: Piano!\Piano... response:	I must play the piano!
context: Piano!\Piano...\I must play the piano! response:	Mukyaaa!!!
context: Piano!\Piano...\I must play the piano!\Mukyaaa!!! response:	Although it's a very strange Rachmaninoff,
context: Piano!\Piano...\I must play the piano!\Mukyaaa!!!\Although it's a very strange Rachmaninoff, response:	it's very interesting!
context: Piano!\Piano...\I must play the piano!\Mukyaaa!!!\Although it's a very strange Rachmaninoff,\it's very interesting! response:	However,
context: Piano!\Piano...\I must play the piano!\Mukyaaa!!!\Although it's a very strange Rachmaninoff,\it's very interesting!\However, response:	it cannot be harmonized in an orchestra.
context: Piano!\Piano...\I must play the piano!\Mukyaaa!!!\Although it's a very strange Rachmaninoff,\it's very interesting!\However,\it cannot be harmonized in an orchestra. response:	Why?
context: Piano...\I must play the piano!\Mukyaaa!!!\Although it's a very strange Rachmaninoff,\it's very interesting!\However,\it cannot be harmonized in an orchestra.\Why? response:	Nodame also wants to perform a concerto in an orchestra
context: I must play the piano!\Mukyaaa!!!\Although it's a very strange Rachmaninoff,\it's very interesting!\However,\it cannot be harmonized in an orchestra.\Why?\Nodame also wants to perform a concerto in an orchestra response:	Milch, please let me do it too!
context: Mukyaaa!!!\Although it's a very strange Rachmaninoff,\it's very interesting!\However,\it cannot be harmonized in an orchestra.\Why?\Nodame also wants to perform a concerto in an orchestra\Milch, please let me do it too! response:	Nodame-chan,
context: Although it's a very strange Rachmaninoff,\it's very interesting!\However,\it cannot be harmonized in an orchestra.\Why?\Nodame also wants to perform a concerto in an orchestra\Milch, please let me do it too!\Nodame-chan, response:	just as you are now, it's impossible!
context: it's very interesting!\However,\it cannot be harmonized in an orchestra.\Why?\Nodame also wants to perform a concerto in an orchestra\Milch, please let me do it too!\Nodame-chan,\just as you are now, it's impossible! response:	unless you face music face to face more,
context: However,\it cannot be harmonized in an orchestra.\Why?\Nodame also wants to perform a concerto in an orchestra\Milch, please let me do it too!\Nodame-chan,\just as you are now, it's impossible!\unless you face music face to face more, response:	you won't be able to enjoy music from your heart
context: it cannot be harmonized in an orchestra.\Why?\Nodame also wants to perform a concerto in an orchestra\Milch, please let me do it too!\Nodame-chan,\just as you are now, it's impossible!\unless you face music face to face more,\you won't be able to enjoy music from your heart response:	Nodame is enjoying it...
context: Why?\Nodame also wants to perform a concerto in an orchestra\Milch, please let me do it too!\Nodame-chan,\just as you are now, it's impossible!\unless you face music face to face more,\you won't be able to enjoy music from your heart\Nodame is enjoying it... response:	Why did you say such a thing?
context: Nodame also wants to perform a concerto in an orchestra\Milch, please let me do it too!\Nodame-chan,\just as you are now, it's impossible!\unless you face music face to face more,\you won't be able to enjoy music from your heart\Nodame is enjoying it...\Why did you say such a thing? response:	Oh, it's time already
context: Milch, please let me do it too!\Nodame-chan,\just as you are now, it's impossible!\unless you face music face to face more,\you won't be able to enjoy music from your heart\Nodame is enjoying it...\Why did you say such a thing?\Oh, it's time already response:	I have to go.
context: Nodame-chan,\just as you are now, it's impossible!\unless you face music face to face more,\you won't be able to enjoy music from your heart\Nodame is enjoying it...\Why did you say such a thing?\Oh, it's time already\I have to go. response:	Milch...
context: just as you are now, it's impossible!\unless you face music face to face more,\you won't be able to enjoy music from your heart\Nodame is enjoying it...\Why did you say such a thing?\Oh, it's time already\I have to go.\Milch... response:	Wait, Milch!
context: unless you face music face to face more,\you won't be able to enjoy music from your heart\Nodame is enjoying it...\Why did you say such a thing?\Oh, it's time already\I have to go.\Milch...\Wait, Milch! response:	Nodame-chan...
context: you won't be able to enjoy music from your heart\Nodame is enjoying it...\Why did you say such a thing?\Oh, it's time already\I have to go.\Milch...\Wait, Milch!\Nodame-chan... response:	don't forget to lock your door
context: Nodame is enjoying it...\Why did you say such a thing?\Oh, it's time already\I have to go.\Milch...\Wait, Milch!\Nodame-chan...\don't forget to lock your door response:	A dream?
context: Why did you say such a thing?\Oh, it's time already\I have to go.\Milch...\Wait, Milch!\Nodame-chan...\don't forget to lock your door\A dream? response:	Good morning, Chiaki!
context: Oh, it's time already\I have to go.\Milch...\Wait, Milch!\Nodame-chan...\don't forget to lock your door\A dream?\Good morning, Chiaki! response:	Don't you remember?
context: I have to go.\Milch...\Wait, Milch!\Nodame-chan...\don't forget to lock your door\A dream?\Good morning, Chiaki!\Don't you remember? response:	No mistake, after that School Festival,
context: Milch...\Wait, Milch!\Nodame-chan...\don't forget to lock your door\A dream?\Good morning, Chiaki!\Don't you remember?\No mistake, after that School Festival, response:	I was dragged around by Maestro to...
context: Wait, Milch!\Nodame-chan...\don't forget to lock your door\A dream?\Good morning, Chiaki!\Don't you remember?\No mistake, after that School Festival,\I was dragged around by Maestro to... response:	Ginza,
context: Nodame-chan...\don't forget to lock your door\A dream?\Good morning, Chiaki!\Don't you remember?\No mistake, after that School Festival,\I was dragged around by Maestro to...\Ginza, response:	Kyoto,
context: don't forget to lock your door\A dream?\Good morning, Chiaki!\Don't you remember?\No mistake, after that School Festival,\I was dragged around by Maestro to...\Ginza,\Kyoto, response:	and onsen (hot spring)...
context: A dream?\Good morning, Chiaki!\Don't you remember?\No mistake, after that School Festival,\I was dragged around by Maestro to...\Ginza,\Kyoto,\and onsen (hot spring)... response:	for three days and three nights.
context: Good morning, Chiaki!\Don't you remember?\No mistake, after that School Festival,\I was dragged around by Maestro to...\Ginza,\Kyoto,\and onsen (hot spring)...\for three days and three nights. response:	Yesterday, again we went drinking in Roppongi,
context: Don't you remember?\No mistake, after that School Festival,\I was dragged around by Maestro to...\Ginza,\Kyoto,\and onsen (hot spring)...\for three days and three nights.\Yesterday, again we went drinking in Roppongi, response:	that way, I ended up in Maestro's Hotel...
context: No mistake, after that School Festival,\I was dragged around by Maestro to...\Ginza,\Kyoto,\and onsen (hot spring)...\for three days and three nights.\Yesterday, again we went drinking in Roppongi,\that way, I ended up in Maestro's Hotel... response:	Then?
context: I was dragged around by Maestro to...\Ginza,\Kyoto,\and onsen (hot spring)...\for three days and three nights.\Yesterday, again we went drinking in Roppongi,\that way, I ended up in Maestro's Hotel...\Then? response:	Earlier I took him to Narita
context: Ginza,\Kyoto,\and onsen (hot spring)...\for three days and three nights.\Yesterday, again we went drinking in Roppongi,\that way, I ended up in Maestro's Hotel...\Then?\Earlier I took him to Narita response:	because if he changed his mind and said he wanted to remain in Japan, it won't be good.
context: Kyoto,\and onsen (hot spring)...\for three days and three nights.\Yesterday, again we went drinking in Roppongi,\that way, I ended up in Maestro's Hotel...\Then?\Earlier I took him to Narita\because if he changed his mind and said he wanted to remain in Japan, it won't be good. response:	I'm still here to settle the remaining bill, and to deliver this...
context: and onsen (hot spring)...\for three days and three nights.\Yesterday, again we went drinking in Roppongi,\that way, I ended up in Maestro's Hotel...\Then?\Earlier I took him to Narita\because if he changed his mind and said he wanted to remain in Japan, it won't be good.\I'm still here to settle the remaining bill, and to deliver this... response:	Dearest Chiaki
context: for three days and three nights.\Yesterday, again we went drinking in Roppongi,\that way, I ended up in Maestro's Hotel...\Then?\Earlier I took him to Narita\because if he changed his mind and said he wanted to remain in Japan, it won't be good.\I'm still here to settle the remaining bill, and to deliver this...\Dearest Chiaki response:	Huh?
context: Yesterday, again we went drinking in Roppongi,\that way, I ended up in Maestro's Hotel...\Then?\Earlier I took him to Narita\because if he changed his mind and said he wanted to remain in Japan, it won't be good.\I'm still here to settle the remaining bill, and to deliver this...\Dearest Chiaki\Huh? response:	From Maestro for Chiaki
context: that way, I ended up in Maestro's Hotel...\Then?\Earlier I took him to Narita\because if he changed his mind and said he wanted to remain in Japan, it won't be good.\I'm still here to settle the remaining bill, and to deliver this...\Dearest Chiaki\Huh?\From Maestro for Chiaki response:	Chiaki, I have something to ask you.
context: Then?\Earlier I took him to Narita\because if he changed his mind and said he wanted to remain in Japan, it won't be good.\I'm still here to settle the remaining bill, and to deliver this...\Dearest Chiaki\Huh?\From Maestro for Chiaki\Chiaki, I have something to ask you. response:	Please send to Germany
context: Earlier I took him to Narita\because if he changed his mind and said he wanted to remain in Japan, it won't be good.\I'm still here to settle the remaining bill, and to deliver this...\Dearest Chiaki\Huh?\From Maestro for Chiaki\Chiaki, I have something to ask you.\Please send to Germany response:	the photo book of Mami Nagaoka
context: because if he changed his mind and said he wanted to remain in Japan, it won't be good.\I'm still here to settle the remaining bill, and to deliver this...\Dearest Chiaki\Huh?\From Maestro for Chiaki\Chiaki, I have something to ask you.\Please send to Germany\the photo book of Mami Nagaoka response:	which will be released in December
context: I'm still here to settle the remaining bill, and to deliver this...\Dearest Chiaki\Huh?\From Maestro for Chiaki\Chiaki, I have something to ask you.\Please send to Germany\the photo book of Mami Nagaoka\which will be released in December response:	Oi!
context: Dearest Chiaki\Huh?\From Maestro for Chiaki\Chiaki, I have something to ask you.\Please send to Germany\the photo book of Mami Nagaoka\which will be released in December\Oi! response:	Good bye
context: Huh?\From Maestro for Chiaki\Chiaki, I have something to ask you.\Please send to Germany\the photo book of Mami Nagaoka\which will be released in December\Oi!\Good bye response:	Wait...
context: From Maestro for Chiaki\Chiaki, I have something to ask you.\Please send to Germany\the photo book of Mami Nagaoka\which will be released in December\Oi!\Good bye\Wait... response:	Please convey my gratitude to Maestro...for now.
context: Chiaki, I have something to ask you.\Please send to Germany\the photo book of Mami Nagaoka\which will be released in December\Oi!\Good bye\Wait...\Please convey my gratitude to Maestro...for now. response:	I'll convey it to him
context: Please send to Germany\the photo book of Mami Nagaoka\which will be released in December\Oi!\Good bye\Wait...\Please convey my gratitude to Maestro...for now.\I'll convey it to him response:	And from me to you too
context: the photo book of Mami Nagaoka\which will be released in December\Oi!\Good bye\Wait...\Please convey my gratitude to Maestro...for now.\I'll convey it to him\And from me to you too response:	Eh?
