context: So she merged with multiple copies of her consciousness at once? response:	- Nurse's Room
context: So she merged with multiple copies of her consciousness at once?\- Nurse's Room response:	Yeah...
context: So she merged with multiple copies of her consciousness at once?\- Nurse's Room\Yeah... response:	It's my fault.
context: So she merged with multiple copies of her consciousness at once?\- Nurse's Room\Yeah...\It's my fault. response:	You did the best job you could as the front's leader.
context: So she merged with multiple copies of her consciousness at once?\- Nurse's Room\Yeah...\It's my fault.\You did the best job you could as the front's leader. response:	You got us through the most dangerous situation we've been in.
context: So she merged with multiple copies of her consciousness at once?\- Nurse's Room\Yeah...\It's my fault.\You did the best job you could as the front's leader.\You got us through the most dangerous situation we've been in. response:	And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.
context: So she merged with multiple copies of her consciousness at once?\- Nurse's Room\Yeah...\It's my fault.\You did the best job you could as the front's leader.\You got us through the most dangerous situation we've been in.\And nobody anticipated that she'd create all those clones and lie in wait for us in Guild. response:	And it was Kanade's
context: So she merged with multiple copies of her consciousness at once?\- Nurse's Room\Yeah...\It's my fault.\You did the best job you could as the front's leader.\You got us through the most dangerous situation we've been in.\And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.\And it was Kanade's response:	The ruthless Kanade's plan...
context: - Nurse's Room\Yeah...\It's my fault.\You did the best job you could as the front's leader.\You got us through the most dangerous situation we've been in.\And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.\And it was Kanade's\The ruthless Kanade's plan... response:	It was Kanade, so I don't think we could have done anything else.
context: Yeah...\It's my fault.\You did the best job you could as the front's leader.\You got us through the most dangerous situation we've been in.\And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.\And it was Kanade's\The ruthless Kanade's plan...\It was Kanade, so I don't think we could have done anything else. response:	Really?
context: It's my fault.\You did the best job you could as the front's leader.\You got us through the most dangerous situation we've been in.\And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.\And it was Kanade's\The ruthless Kanade's plan...\It was Kanade, so I don't think we could have done anything else.\Really? response:	It's good to hear you say that.
context: You did the best job you could as the front's leader.\You got us through the most dangerous situation we've been in.\And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.\And it was Kanade's\The ruthless Kanade's plan...\It was Kanade, so I don't think we could have done anything else.\Really?\It's good to hear you say that. response:	Hey...
context: You got us through the most dangerous situation we've been in.\And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.\And it was Kanade's\The ruthless Kanade's plan...\It was Kanade, so I don't think we could have done anything else.\Really?\It's good to hear you say that.\Hey... response:	Didn't you tell me that no one gets sick so there's no hospital?
context: And nobody anticipated that she'd create all those clones and lie in wait for us in Guild.\And it was Kanade's\The ruthless Kanade's plan...\It was Kanade, so I don't think we could have done anything else.\Really?\It's good to hear you say that.\Hey...\Didn't you tell me that no one gets sick so there's no hospital? response:	Why won't you wake up then?
context: And it was Kanade's\The ruthless Kanade's plan...\It was Kanade, so I don't think we could have done anything else.\Really?\It's good to hear you say that.\Hey...\Didn't you tell me that no one gets sick so there's no hospital?\Why won't you wake up then? response:	Dammit!
context: The ruthless Kanade's plan...\It was Kanade, so I don't think we could have done anything else.\Really?\It's good to hear you say that.\Hey...\Didn't you tell me that no one gets sick so there's no hospital?\Why won't you wake up then?\Dammit! response:	This has never happened before.
context: It was Kanade, so I don't think we could have done anything else.\Really?\It's good to hear you say that.\Hey...\Didn't you tell me that no one gets sick so there's no hospital?\Why won't you wake up then?\Dammit!\This has never happened before. response:	It's the first time Angel has been in this condition.
context: Really?\It's good to hear you say that.\Hey...\Didn't you tell me that no one gets sick so there's no hospital?\Why won't you wake up then?\Dammit!\This has never happened before.\It's the first time Angel has been in this condition. response:	Depending on the circumstances, it's entirely possible that she won't wake up.
context: It's good to hear you say that.\Hey...\Didn't you tell me that no one gets sick so there's no hospital?\Why won't you wake up then?\Dammit!\This has never happened before.\It's the first time Angel has been in this condition.\Depending on the circumstances, it's entirely possible that she won't wake up. response:	No, given how irregular this is, she'll definitely wake up.
context: Hey...\Didn't you tell me that no one gets sick so there's no hospital?\Why won't you wake up then?\Dammit!\This has never happened before.\It's the first time Angel has been in this condition.\Depending on the circumstances, it's entirely possible that she won't wake up.\No, given how irregular this is, she'll definitely wake up. response:	At some point she'll wake up, and it'll be like she just overslept.
context: Didn't you tell me that no one gets sick so there's no hospital?\Why won't you wake up then?\Dammit!\This has never happened before.\It's the first time Angel has been in this condition.\Depending on the circumstances, it's entirely possible that she won't wake up.\No, given how irregular this is, she'll definitely wake up.\At some point she'll wake up, and it'll be like she just overslept. response:	And who will she be when she wakes up?
context: Why won't you wake up then?\Dammit!\This has never happened before.\It's the first time Angel has been in this condition.\Depending on the circumstances, it's entirely possible that she won't wake up.\No, given how irregular this is, she'll definitely wake up.\At some point she'll wake up, and it'll be like she just overslept.\And who will she be when she wakes up? response:	Shiina talked!?
context: Dammit!\This has never happened before.\It's the first time Angel has been in this condition.\Depending on the circumstances, it's entirely possible that she won't wake up.\No, given how irregular this is, she'll definitely wake up.\At some point she'll wake up, and it'll be like she just overslept.\And who will she be when she wakes up?\Shiina talked!? response:	This must be a very, very serious problem!
context: This has never happened before.\It's the first time Angel has been in this condition.\Depending on the circumstances, it's entirely possible that she won't wake up.\No, given how irregular this is, she'll definitely wake up.\At some point she'll wake up, and it'll be like she just overslept.\And who will she be when she wakes up?\Shiina talked!?\This must be a very, very serious problem! response:	Exactly.
context: It's the first time Angel has been in this condition.\Depending on the circumstances, it's entirely possible that she won't wake up.\No, given how irregular this is, she'll definitely wake up.\At some point she'll wake up, and it'll be like she just overslept.\And who will she be when she wakes up?\Shiina talked!?\This must be a very, very serious problem!\Exactly. response:	That's the problem.
context: Depending on the circumstances, it's entirely possible that she won't wake up.\No, given how irregular this is, she'll definitely wake up.\At some point she'll wake up, and it'll be like she just overslept.\And who will she be when she wakes up?\Shiina talked!?\This must be a very, very serious problem!\Exactly.\That's the problem. response:	So, which Angel?
context: No, given how irregular this is, she'll definitely wake up.\At some point she'll wake up, and it'll be like she just overslept.\And who will she be when she wakes up?\Shiina talked!?\This must be a very, very serious problem!\Exactly.\That's the problem.\So, which Angel? response:	It'll be the first Angel, the one who went fishing with us.
context: At some point she'll wake up, and it'll be like she just overslept.\And who will she be when she wakes up?\Shiina talked!?\This must be a very, very serious problem!\Exactly.\That's the problem.\So, which Angel?\It'll be the first Angel, the one who went fishing with us. response:	But the clones which attacked us were all aggressive and ruthless.
context: And who will she be when she wakes up?\Shiina talked!?\This must be a very, very serious problem!\Exactly.\That's the problem.\So, which Angel?\It'll be the first Angel, the one who went fishing with us.\But the clones which attacked us were all aggressive and ruthless. response:	And there were about 100 of them.
context: Shiina talked!?\This must be a very, very serious problem!\Exactly.\That's the problem.\So, which Angel?\It'll be the first Angel, the one who went fishing with us.\But the clones which attacked us were all aggressive and ruthless.\And there were about 100 of them. response:	But why is she unconscious now?
context: This must be a very, very serious problem!\Exactly.\That's the problem.\So, which Angel?\It'll be the first Angel, the one who went fishing with us.\But the clones which attacked us were all aggressive and ruthless.\And there were about 100 of them.\But why is she unconscious now? response:	All those minds must be fighting in her little head and kind of...
context: Exactly.\That's the problem.\So, which Angel?\It'll be the first Angel, the one who went fishing with us.\But the clones which attacked us were all aggressive and ruthless.\And there were about 100 of them.\But why is she unconscious now?\All those minds must be fighting in her little head and kind of... response:	getting mixed up, making it really bad for her?
context: That's the problem.\So, which Angel?\It'll be the first Angel, the one who went fishing with us.\But the clones which attacked us were all aggressive and ruthless.\And there were about 100 of them.\But why is she unconscious now?\All those minds must be fighting in her little head and kind of...\getting mixed up, making it really bad for her? response:	So if she wakes up, will she retain the minds of those other 100?
context: So, which Angel?\It'll be the first Angel, the one who went fishing with us.\But the clones which attacked us were all aggressive and ruthless.\And there were about 100 of them.\But why is she unconscious now?\All those minds must be fighting in her little head and kind of...\getting mixed up, making it really bad for her?\So if she wakes up, will she retain the minds of those other 100? response:	Just going by the ratio, the chances of her waking up as her old self are about 1.
context: It'll be the first Angel, the one who went fishing with us.\But the clones which attacked us were all aggressive and ruthless.\And there were about 100 of them.\But why is she unconscious now?\All those minds must be fighting in her little head and kind of...\getting mixed up, making it really bad for her?\So if she wakes up, will she retain the minds of those other 100?\Just going by the ratio, the chances of her waking up as her old self are about 1. response:	What do we do?
context: But the clones which attacked us were all aggressive and ruthless.\And there were about 100 of them.\But why is she unconscious now?\All those minds must be fighting in her little head and kind of...\getting mixed up, making it really bad for her?\So if she wakes up, will she retain the minds of those other 100?\Just going by the ratio, the chances of her waking up as her old self are about 1.\What do we do? response:	I'm dealing with it.
context: And there were about 100 of them.\But why is she unconscious now?\All those minds must be fighting in her little head and kind of...\getting mixed up, making it really bad for her?\So if she wakes up, will she retain the minds of those other 100?\Just going by the ratio, the chances of her waking up as her old self are about 1.\What do we do?\I'm dealing with it. response:	I sent Takeyama to the Angel Area, along with someone who can translate the manual.
context: But why is she unconscious now?\All those minds must be fighting in her little head and kind of...\getting mixed up, making it really bad for her?\So if she wakes up, will she retain the minds of those other 100?\Just going by the ratio, the chances of her waking up as her old self are about 1.\What do we do?\I'm dealing with it.\I sent Takeyama to the Angel Area, along with someone who can translate the manual. response:	Where are TK and Matsushita?
context: All those minds must be fighting in her little head and kind of...\getting mixed up, making it really bad for her?\So if she wakes up, will she retain the minds of those other 100?\Just going by the ratio, the chances of her waking up as her old self are about 1.\What do we do?\I'm dealing with it.\I sent Takeyama to the Angel Area, along with someone who can translate the manual.\Where are TK and Matsushita? response:	The nurse's office.
context: getting mixed up, making it really bad for her?\So if she wakes up, will she retain the minds of those other 100?\Just going by the ratio, the chances of her waking up as her old self are about 1.\What do we do?\I'm dealing with it.\I sent Takeyama to the Angel Area, along with someone who can translate the manual.\Where are TK and Matsushita?\The nurse's office. response:	They're on lookout duty.
context: So if she wakes up, will she retain the minds of those other 100?\Just going by the ratio, the chances of her waking up as her old self are about 1.\What do we do?\I'm dealing with it.\I sent Takeyama to the Angel Area, along with someone who can translate the manual.\Where are TK and Matsushita?\The nurse's office.\They're on lookout duty. response:	So TK's useless at English after all, huh...
context: Just going by the ratio, the chances of her waking up as her old self are about 1.\What do we do?\I'm dealing with it.\I sent Takeyama to the Angel Area, along with someone who can translate the manual.\Where are TK and Matsushita?\The nurse's office.\They're on lookout duty.\So TK's useless at English after all, huh... response:	So you're going to delete all the data, change the login password, and seal all her abilities?
context: What do we do?\I'm dealing with it.\I sent Takeyama to the Angel Area, along with someone who can translate the manual.\Where are TK and Matsushita?\The nurse's office.\They're on lookout duty.\So TK's useless at English after all, huh...\So you're going to delete all the data, change the login password, and seal all her abilities? response:	That's just a temporary solution.
