context: What? response:	A pincer attack!
context: What?\A pincer attack! response:	So that's the Ovid prophesied in the ancient legend...
context: What?\A pincer attack!\So that's the Ovid prophesied in the ancient legend... response:	The Vox.
context: What?\A pincer attack!\So that's the Ovid prophesied in the ancient legend...\The Vox. response:	It's beautiful.
context: What?\A pincer attack!\So that's the Ovid prophesied in the ancient legend...\The Vox.\It's beautiful. response:	The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.
context: What?\A pincer attack!\So that's the Ovid prophesied in the ancient legend...\The Vox.\It's beautiful.\The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant. response:	We'll refer to it as unit three.
context: What?\A pincer attack!\So that's the Ovid prophesied in the ancient legend...\The Vox.\It's beautiful.\The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.\We'll refer to it as unit three. response:	Issue an order to the pilot!
context: What?\A pincer attack!\So that's the Ovid prophesied in the ancient legend...\The Vox.\It's beautiful.\The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.\We'll refer to it as unit three.\Issue an order to the pilot! response:	Tell her to vacate the premises immediately!
context: A pincer attack!\So that's the Ovid prophesied in the ancient legend...\The Vox.\It's beautiful.\The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.\We'll refer to it as unit three.\Issue an order to the pilot!\Tell her to vacate the premises immediately! response:	Hey, you in the black robot over there!
context: So that's the Ovid prophesied in the ancient legend...\The Vox.\It's beautiful.\The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.\We'll refer to it as unit three.\Issue an order to the pilot!\Tell her to vacate the premises immediately!\Hey, you in the black robot over there! response:	Watch what you're doing!
context: The Vox.\It's beautiful.\The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.\We'll refer to it as unit three.\Issue an order to the pilot!\Tell her to vacate the premises immediately!\Hey, you in the black robot over there!\Watch what you're doing! response:	That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,
context: It's beautiful.\The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.\We'll refer to it as unit three.\Issue an order to the pilot!\Tell her to vacate the premises immediately!\Hey, you in the black robot over there!\Watch what you're doing!\That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi, response:	Erika, and everyone else lives!
context: The Ovid that's entered the airspace above Kamogawa has been confirmed as a new enemy combatant.\We'll refer to it as unit three.\Issue an order to the pilot!\Tell her to vacate the premises immediately!\Hey, you in the black robot over there!\Watch what you're doing!\That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,\Erika, and everyone else lives! response:	I'm coming to save you right now,
context: We'll refer to it as unit three.\Issue an order to the pilot!\Tell her to vacate the premises immediately!\Hey, you in the black robot over there!\Watch what you're doing!\That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,\Erika, and everyone else lives!\I'm coming to save you right now, response:	Kamogawa!
context: Issue an order to the pilot!\Tell her to vacate the premises immediately!\Hey, you in the black robot over there!\Watch what you're doing!\That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,\Erika, and everyone else lives!\I'm coming to save you right now,\Kamogawa! response:	Let's see how good the pilot
context: Tell her to vacate the premises immediately!\Hey, you in the black robot over there!\Watch what you're doing!\That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,\Erika, and everyone else lives!\I'm coming to save you right now,\Kamogawa!\Let's see how good the pilot response:	who is pledged to the legendary Ovid really is.
context: Hey, you in the black robot over there!\Watch what you're doing!\That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,\Erika, and everyone else lives!\I'm coming to save you right now,\Kamogawa!\Let's see how good the pilot\who is pledged to the legendary Ovid really is. response:	Vox Aura is now engaged in close-range combat with enemy unit three.
context: Watch what you're doing!\That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,\Erika, and everyone else lives!\I'm coming to save you right now,\Kamogawa!\Let's see how good the pilot\who is pledged to the legendary Ovid really is.\Vox Aura is now engaged in close-range combat with enemy unit three. response:	Lan Blooms in Kamogawa
context: That's the town where Uncle Hiroshi and Ms. Machiko, Sachi, Michi,\Erika, and everyone else lives!\I'm coming to save you right now,\Kamogawa!\Let's see how good the pilot\who is pledged to the legendary Ovid really is.\Vox Aura is now engaged in close-range combat with enemy unit three.\Lan Blooms in Kamogawa response:	Lan Blooms in Kamogawa
context: Erika, and everyone else lives!\I'm coming to save you right now,\Kamogawa!\Let's see how good the pilot\who is pledged to the legendary Ovid really is.\Vox Aura is now engaged in close-range combat with enemy unit three.\Lan Blooms in Kamogawa\Lan Blooms in Kamogawa response:	The Municipal Fire and Disaster Management Department has issued
context: I'm coming to save you right now,\Kamogawa!\Let's see how good the pilot\who is pledged to the legendary Ovid really is.\Vox Aura is now engaged in close-range combat with enemy unit three.\Lan Blooms in Kamogawa\Lan Blooms in Kamogawa\The Municipal Fire and Disaster Management Department has issued response:	an evacuation order for all Kamogawa residents.
