context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	It's the first round of the second stage of the Royal Knights Selection Exam.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\It's the first round of the second stage of the Royal Knights Selection Exam. response:	Sol's attack left Mimosa unable to move.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\It's the first round of the second stage of the Royal Knights Selection Exam.\Sol's attack left Mimosa unable to move. response:	Asta was forced to face off with Magna, who came to attack their crystal on his own.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\It's the first round of the second stage of the Royal Knights Selection Exam.\Sol's attack left Mimosa unable to move.\Asta was forced to face off with Magna, who came to attack their crystal on his own. response:	Also...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\It's the first round of the second stage of the Royal Knights Selection Exam.\Sol's attack left Mimosa unable to move.\Asta was forced to face off with Magna, who came to attack their crystal on his own.\Also... response:	What do you think you're doing without me?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\It's the first round of the second stage of the Royal Knights Selection Exam.\Sol's attack left Mimosa unable to move.\Asta was forced to face off with Magna, who came to attack their crystal on his own.\Also...\What do you think you're doing without me? response:	Crap! I'm not gonna be able to take both of them on!
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\It's the first round of the second stage of the Royal Knights Selection Exam.\Sol's attack left Mimosa unable to move.\Asta was forced to face off with Magna, who came to attack their crystal on his own.\Also...\What do you think you're doing without me?\Crap! I'm not gonna be able to take both of them on! response:	The one who saved Asta was a mysterious mage named Xerx.
context: He was called the Wizard King, and he became a legend.\It's the first round of the second stage of the Royal Knights Selection Exam.\Sol's attack left Mimosa unable to move.\Asta was forced to face off with Magna, who came to attack their crystal on his own.\Also...\What do you think you're doing without me?\Crap! I'm not gonna be able to take both of them on!\The one who saved Asta was a mysterious mage named Xerx. response:	Attack the cherry blossom guy, you little shit!
context: It's the first round of the second stage of the Royal Knights Selection Exam.\Sol's attack left Mimosa unable to move.\Asta was forced to face off with Magna, who came to attack their crystal on his own.\Also...\What do you think you're doing without me?\Crap! I'm not gonna be able to take both of them on!\The one who saved Asta was a mysterious mage named Xerx.\Attack the cherry blossom guy, you little shit! response:	I'll take care of this in an instant!
context: Sol's attack left Mimosa unable to move.\Asta was forced to face off with Magna, who came to attack their crystal on his own.\Also...\What do you think you're doing without me?\Crap! I'm not gonna be able to take both of them on!\The one who saved Asta was a mysterious mage named Xerx.\Attack the cherry blossom guy, you little shit!\I'll take care of this in an instant! response:	And that instant's all I need!
context: Asta was forced to face off with Magna, who came to attack their crystal on his own.\Also...\What do you think you're doing without me?\Crap! I'm not gonna be able to take both of them on!\The one who saved Asta was a mysterious mage named Xerx.\Attack the cherry blossom guy, you little shit!\I'll take care of this in an instant!\And that instant's all I need! response:	With the help of Mimosa's plant spell that lets her control the enemy's movements,
context: Also...\What do you think you're doing without me?\Crap! I'm not gonna be able to take both of them on!\The one who saved Asta was a mysterious mage named Xerx.\Attack the cherry blossom guy, you little shit!\I'll take care of this in an instant!\And that instant's all I need!\With the help of Mimosa's plant spell that lets her control the enemy's movements, response:	Asta and the rest of B Team were able to claim victory.
context: What do you think you're doing without me?\Crap! I'm not gonna be able to take both of them on!\The one who saved Asta was a mysterious mage named Xerx.\Attack the cherry blossom guy, you little shit!\I'll take care of this in an instant!\And that instant's all I need!\With the help of Mimosa's plant spell that lets her control the enemy's movements,\Asta and the rest of B Team were able to claim victory. response:	And now, the destined battle between the brothers Finral and Langris is about to begin.
context: Crap! I'm not gonna be able to take both of them on!\The one who saved Asta was a mysterious mage named Xerx.\Attack the cherry blossom guy, you little shit!\I'll take care of this in an instant!\And that instant's all I need!\With the help of Mimosa's plant spell that lets her control the enemy's movements,\Asta and the rest of B Team were able to claim victory.\And now, the destined battle between the brothers Finral and Langris is about to begin. response:	Special Little Brother vs. Failed Big Brother
context: The one who saved Asta was a mysterious mage named Xerx.\Attack the cherry blossom guy, you little shit!\I'll take care of this in an instant!\And that instant's all I need!\With the help of Mimosa's plant spell that lets her control the enemy's movements,\Asta and the rest of B Team were able to claim victory.\And now, the destined battle between the brothers Finral and Langris is about to begin.\Special Little Brother vs. Failed Big Brother response:	There you go.
context: Attack the cherry blossom guy, you little shit!\I'll take care of this in an instant!\And that instant's all I need!\With the help of Mimosa's plant spell that lets her control the enemy's movements,\Asta and the rest of B Team were able to claim victory.\And now, the destined battle between the brothers Finral and Langris is about to begin.\Special Little Brother vs. Failed Big Brother\There you go. response:	Th-Thank you, Vanessa.
context: I'll take care of this in an instant!\And that instant's all I need!\With the help of Mimosa's plant spell that lets her control the enemy's movements,\Asta and the rest of B Team were able to claim victory.\And now, the destined battle between the brothers Finral and Langris is about to begin.\Special Little Brother vs. Failed Big Brother\There you go.\Th-Thank you, Vanessa. response:	That's perfect! You look awesome!
context: And that instant's all I need!\With the help of Mimosa's plant spell that lets her control the enemy's movements,\Asta and the rest of B Team were able to claim victory.\And now, the destined battle between the brothers Finral and Langris is about to begin.\Special Little Brother vs. Failed Big Brother\There you go.\Th-Thank you, Vanessa.\That's perfect! You look awesome! response:	Could you do mine, too?
context: With the help of Mimosa's plant spell that lets her control the enemy's movements,\Asta and the rest of B Team were able to claim victory.\And now, the destined battle between the brothers Finral and Langris is about to begin.\Special Little Brother vs. Failed Big Brother\There you go.\Th-Thank you, Vanessa.\That's perfect! You look awesome!\Could you do mine, too? response:	You already lost, though.
context: Asta and the rest of B Team were able to claim victory.\And now, the destined battle between the brothers Finral and Langris is about to begin.\Special Little Brother vs. Failed Big Brother\There you go.\Th-Thank you, Vanessa.\That's perfect! You look awesome!\Could you do mine, too?\You already lost, though. response:	It looks fine. You look like the failure that you are.
context: And now, the destined battle between the brothers Finral and Langris is about to begin.\Special Little Brother vs. Failed Big Brother\There you go.\Th-Thank you, Vanessa.\That's perfect! You look awesome!\Could you do mine, too?\You already lost, though.\It looks fine. You look like the failure that you are. response:	What?! Who're you calling a failure?!
context: Special Little Brother vs. Failed Big Brother\There you go.\Th-Thank you, Vanessa.\That's perfect! You look awesome!\Could you do mine, too?\You already lost, though.\It looks fine. You look like the failure that you are.\What?! Who're you calling a failure?! response:	Now, now. Try to stay calm, Magna.
context: There you go.\Th-Thank you, Vanessa.\That's perfect! You look awesome!\Could you do mine, too?\You already lost, though.\It looks fine. You look like the failure that you are.\What?! Who're you calling a failure?!\Now, now. Try to stay calm, Magna. response:	Like a loser should.
context: Th-Thank you, Vanessa.\That's perfect! You look awesome!\Could you do mine, too?\You already lost, though.\It looks fine. You look like the failure that you are.\What?! Who're you calling a failure?!\Now, now. Try to stay calm, Magna.\Like a loser should. response:	You bastard! I'm gonna kill you!
context: That's perfect! You look awesome!\Could you do mine, too?\You already lost, though.\It looks fine. You look like the failure that you are.\What?! Who're you calling a failure?!\Now, now. Try to stay calm, Magna.\Like a loser should.\You bastard! I'm gonna kill you! response:	I'm so gonna kill you!
context: Could you do mine, too?\You already lost, though.\It looks fine. You look like the failure that you are.\What?! Who're you calling a failure?!\Now, now. Try to stay calm, Magna.\Like a loser should.\You bastard! I'm gonna kill you!\I'm so gonna kill you! response:	Good! Let's do this now!
context: You already lost, though.\It looks fine. You look like the failure that you are.\What?! Who're you calling a failure?!\Now, now. Try to stay calm, Magna.\Like a loser should.\You bastard! I'm gonna kill you!\I'm so gonna kill you!\Good! Let's do this now! response:	Wait, you guys
context: It looks fine. You look like the failure that you are.\What?! Who're you calling a failure?!\Now, now. Try to stay calm, Magna.\Like a loser should.\You bastard! I'm gonna kill you!\I'm so gonna kill you!\Good! Let's do this now!\Wait, you guys response:	As I thought, that guy is a very skilled flame magic caster.
context: What?! Who're you calling a failure?!\Now, now. Try to stay calm, Magna.\Like a loser should.\You bastard! I'm gonna kill you!\I'm so gonna kill you!\Good! Let's do this now!\Wait, you guys\As I thought, that guy is a very skilled flame magic caster. response:	The lightning guy is also one to look out for.
context: Now, now. Try to stay calm, Magna.\Like a loser should.\You bastard! I'm gonna kill you!\I'm so gonna kill you!\Good! Let's do this now!\Wait, you guys\As I thought, that guy is a very skilled flame magic caster.\The lightning guy is also one to look out for. response:	I know.
context: Like a loser should.\You bastard! I'm gonna kill you!\I'm so gonna kill you!\Good! Let's do this now!\Wait, you guys\As I thought, that guy is a very skilled flame magic caster.\The lightning guy is also one to look out for.\I know. response:	Luck is trying to cheer him up...
context: You bastard! I'm gonna kill you!\I'm so gonna kill you!\Good! Let's do this now!\Wait, you guys\As I thought, that guy is a very skilled flame magic caster.\The lightning guy is also one to look out for.\I know.\Luck is trying to cheer him up... response:	La, la. Gimme more noms.
context: I'm so gonna kill you!\Good! Let's do this now!\Wait, you guys\As I thought, that guy is a very skilled flame magic caster.\The lightning guy is also one to look out for.\I know.\Luck is trying to cheer him up...\La, la. Gimme more noms. response:	My, aren't you a hungry little one?
context: Good! Let's do this now!\Wait, you guys\As I thought, that guy is a very skilled flame magic caster.\The lightning guy is also one to look out for.\I know.\Luck is trying to cheer him up...\La, la. Gimme more noms.\My, aren't you a hungry little one? response:	Marie... Marie... Always Marie.
context: Wait, you guys\As I thought, that guy is a very skilled flame magic caster.\The lightning guy is also one to look out for.\I know.\Luck is trying to cheer him up...\La, la. Gimme more noms.\My, aren't you a hungry little one?\Marie... Marie... Always Marie. response:	What's going on over there?
context: As I thought, that guy is a very skilled flame magic caster.\The lightning guy is also one to look out for.\I know.\Luck is trying to cheer him up...\La, la. Gimme more noms.\My, aren't you a hungry little one?\Marie... Marie... Always Marie.\What's going on over there? response:	The Black Bulls, huh?
context: The lightning guy is also one to look out for.\I know.\Luck is trying to cheer him up...\La, la. Gimme more noms.\My, aren't you a hungry little one?\Marie... Marie... Always Marie.\What's going on over there?\The Black Bulls, huh? response:	I guess bulls will be bulls.
context: I know.\Luck is trying to cheer him up...\La, la. Gimme more noms.\My, aren't you a hungry little one?\Marie... Marie... Always Marie.\What's going on over there?\The Black Bulls, huh?\I guess bulls will be bulls. response:	Come on, you guys, stop! This is embarrassing!
context: Luck is trying to cheer him up...\La, la. Gimme more noms.\My, aren't you a hungry little one?\Marie... Marie... Always Marie.\What's going on over there?\The Black Bulls, huh?\I guess bulls will be bulls.\Come on, you guys, stop! This is embarrassing! response:	Why are you so stiff?
context: La, la. Gimme more noms.\My, aren't you a hungry little one?\Marie... Marie... Always Marie.\What's going on over there?\The Black Bulls, huh?\I guess bulls will be bulls.\Come on, you guys, stop! This is embarrassing!\Why are you so stiff? response:	I'm sure this next match
context: My, aren't you a hungry little one?\Marie... Marie... Always Marie.\What's going on over there?\The Black Bulls, huh?\I guess bulls will be bulls.\Come on, you guys, stop! This is embarrassing!\Why are you so stiff?\I'm sure this next match response:	will be complicated for you, given who you're up against.
context: Marie... Marie... Always Marie.\What's going on over there?\The Black Bulls, huh?\I guess bulls will be bulls.\Come on, you guys, stop! This is embarrassing!\Why are you so stiff?\I'm sure this next match\will be complicated for you, given who you're up against. response:	Uh... Y-Yeah, I guess.
context: What's going on over there?\The Black Bulls, huh?\I guess bulls will be bulls.\Come on, you guys, stop! This is embarrassing!\Why are you so stiff?\I'm sure this next match\will be complicated for you, given who you're up against.\Uh... Y-Yeah, I guess. response:	Not to mention, I've never beaten my little brother in anything.
context: The Black Bulls, huh?\I guess bulls will be bulls.\Come on, you guys, stop! This is embarrassing!\Why are you so stiff?\I'm sure this next match\will be complicated for you, given who you're up against.\Uh... Y-Yeah, I guess.\Not to mention, I've never beaten my little brother in anything. response:	Don't worry.
context: I guess bulls will be bulls.\Come on, you guys, stop! This is embarrassing!\Why are you so stiff?\I'm sure this next match\will be complicated for you, given who you're up against.\Uh... Y-Yeah, I guess.\Not to mention, I've never beaten my little brother in anything.\Don't worry. response:	I've fought alongside you, so I know.
context: Come on, you guys, stop! This is embarrassing!\Why are you so stiff?\I'm sure this next match\will be complicated for you, given who you're up against.\Uh... Y-Yeah, I guess.\Not to mention, I've never beaten my little brother in anything.\Don't worry.\I've fought alongside you, so I know. response:	You changed after meeting Asta.
context: Why are you so stiff?\I'm sure this next match\will be complicated for you, given who you're up against.\Uh... Y-Yeah, I guess.\Not to mention, I've never beaten my little brother in anything.\Don't worry.\I've fought alongside you, so I know.\You changed after meeting Asta. response:	The same goes for me.
context: I'm sure this next match\will be complicated for you, given who you're up against.\Uh... Y-Yeah, I guess.\Not to mention, I've never beaten my little brother in anything.\Don't worry.\I've fought alongside you, so I know.\You changed after meeting Asta.\The same goes for me. response:	I was able to face something hidden deep within my heart that I'd been ignoring.
context: will be complicated for you, given who you're up against.\Uh... Y-Yeah, I guess.\Not to mention, I've never beaten my little brother in anything.\Don't worry.\I've fought alongside you, so I know.\You changed after meeting Asta.\The same goes for me.\I was able to face something hidden deep within my heart that I'd been ignoring. response:	You're not going to lose so easily now.
context: Uh... Y-Yeah, I guess.\Not to mention, I've never beaten my little brother in anything.\Don't worry.\I've fought alongside you, so I know.\You changed after meeting Asta.\The same goes for me.\I was able to face something hidden deep within my heart that I'd been ignoring.\You're not going to lose so easily now. response:	Now get out there and show everyone how cool you are. Just like your hair.
context: Not to mention, I've never beaten my little brother in anything.\Don't worry.\I've fought alongside you, so I know.\You changed after meeting Asta.\The same goes for me.\I was able to face something hidden deep within my heart that I'd been ignoring.\You're not going to lose so easily now.\Now get out there and show everyone how cool you are. Just like your hair. response:	Vanessa...
context: Don't worry.\I've fought alongside you, so I know.\You changed after meeting Asta.\The same goes for me.\I was able to face something hidden deep within my heart that I'd been ignoring.\You're not going to lose so easily now.\Now get out there and show everyone how cool you are. Just like your hair.\Vanessa... response:	You've got this, Finral!
context: I've fought alongside you, so I know.\You changed after meeting Asta.\The same goes for me.\I was able to face something hidden deep within my heart that I'd been ignoring.\You're not going to lose so easily now.\Now get out there and show everyone how cool you are. Just like your hair.\Vanessa...\You've got this, Finral! response:	Don't lose like Magna, and come fight me.
context: You changed after meeting Asta.\The same goes for me.\I was able to face something hidden deep within my heart that I'd been ignoring.\You're not going to lose so easily now.\Now get out there and show everyone how cool you are. Just like your hair.\Vanessa...\You've got this, Finral!\Don't lose like Magna, and come fight me. response:	Yeah! Don't lose like The hell did you say?!
context: The same goes for me.\I was able to face something hidden deep within my heart that I'd been ignoring.\You're not going to lose so easily now.\Now get out there and show everyone how cool you are. Just like your hair.\Vanessa...\You've got this, Finral!\Don't lose like Magna, and come fight me.\Yeah! Don't lose like The hell did you say?! response:	I-I'm rooting for you, too!
context: I was able to face something hidden deep within my heart that I'd been ignoring.\You're not going to lose so easily now.\Now get out there and show everyone how cool you are. Just like your hair.\Vanessa...\You've got this, Finral!\Don't lose like Magna, and come fight me.\Yeah! Don't lose like The hell did you say?!\I-I'm rooting for you, too! response:	You've got this. You've got this. You've got this. You've got this. You've got this. You've got this...
context: You're not going to lose so easily now.\Now get out there and show everyone how cool you are. Just like your hair.\Vanessa...\You've got this, Finral!\Don't lose like Magna, and come fight me.\Yeah! Don't lose like The hell did you say?!\I-I'm rooting for you, too!\You've got this. You've got this. You've got this. You've got this. You've got this. You've got this... response:	You'd better not embarrass the rest of the squad.
context: Now get out there and show everyone how cool you are. Just like your hair.\Vanessa...\You've got this, Finral!\Don't lose like Magna, and come fight me.\Yeah! Don't lose like The hell did you say?!\I-I'm rooting for you, too!\You've got this. You've got this. You've got this. You've got this. You've got this. You've got this...\You'd better not embarrass the rest of the squad. response:	Yeah.
context: Vanessa...\You've got this, Finral!\Don't lose like Magna, and come fight me.\Yeah! Don't lose like The hell did you say?!\I-I'm rooting for you, too!\You've got this. You've got this. You've got this. You've got this. You've got this. You've got this...\You'd better not embarrass the rest of the squad.\Yeah. response:	Charmy... Even Gauche.
context: You've got this, Finral!\Don't lose like Magna, and come fight me.\Yeah! Don't lose like The hell did you say?!\I-I'm rooting for you, too!\You've got this. You've got this. You've got this. You've got this. You've got this. You've got this...\You'd better not embarrass the rest of the squad.\Yeah.\Charmy... Even Gauche. response:	Thanks, you guys. I'm so happy I joined the Black Bu
context: Don't lose like Magna, and come fight me.\Yeah! Don't lose like The hell did you say?!\I-I'm rooting for you, too!\You've got this. You've got this. You've got this. You've got this. You've got this. You've got this...\You'd better not embarrass the rest of the squad.\Yeah.\Charmy... Even Gauche.\Thanks, you guys. I'm so happy I joined the Black Bu response:	Please, more noms.
context: Yeah! Don't lose like The hell did you say?!\I-I'm rooting for you, too!\You've got this. You've got this. You've got this. You've got this. You've got this. You've got this...\You'd better not embarrass the rest of the squad.\Yeah.\Charmy... Even Gauche.\Thanks, you guys. I'm so happy I joined the Black Bu\Please, more noms. response:	I want to see Marie as soon as possible, so win this in one second.
