context: Gather round! response:	Our first game today is with Nekoma.
context: Gather round!\Our first game today is with Nekoma. response:	How did we do yesterday?
context: Gather round!\Our first game today is with Nekoma.\How did we do yesterday? response:	This will be our third set overall with Nekoma.
context: Gather round!\Our first game today is with Nekoma.\How did we do yesterday?\This will be our third set overall with Nekoma. response:	Yesterday, we played two sets with them.
context: Gather round!\Our first game today is with Nekoma.\How did we do yesterday?\This will be our third set overall with Nekoma.\Yesterday, we played two sets with them. response:	The scores were 17-25 and 19-25, both our losses.
context: Gather round!\Our first game today is with Nekoma.\How did we do yesterday?\This will be our third set overall with Nekoma.\Yesterday, we played two sets with them.\The scores were 17-25 and 19-25, both our losses. response:	Simply put, we haven't won a single set.
context: Gather round!\Our first game today is with Nekoma.\How did we do yesterday?\This will be our third set overall with Nekoma.\Yesterday, we played two sets with them.\The scores were 17-25 and 19-25, both our losses.\Simply put, we haven't won a single set. response:	But if we calm down and go out there in full force,
context: Gather round!\Our first game today is with Nekoma.\How did we do yesterday?\This will be our third set overall with Nekoma.\Yesterday, we played two sets with them.\The scores were 17-25 and 19-25, both our losses.\Simply put, we haven't won a single set.\But if we calm down and go out there in full force, response:	they should be opponents we can fight on equal footing.
context: Our first game today is with Nekoma.\How did we do yesterday?\This will be our third set overall with Nekoma.\Yesterday, we played two sets with them.\The scores were 17-25 and 19-25, both our losses.\Simply put, we haven't won a single set.\But if we calm down and go out there in full force,\they should be opponents we can fight on equal footing. response:	Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?
context: How did we do yesterday?\This will be our third set overall with Nekoma.\Yesterday, we played two sets with them.\The scores were 17-25 and 19-25, both our losses.\Simply put, we haven't won a single set.\But if we calm down and go out there in full force,\they should be opponents we can fight on equal footing.\Hinata and Kageyama, this is your first Nekoma set in a while, isn't it? response:	Go show'em what you've got.
context: This will be our third set overall with Nekoma.\Yesterday, we played two sets with them.\The scores were 17-25 and 19-25, both our losses.\Simply put, we haven't won a single set.\But if we calm down and go out there in full force,\they should be opponents we can fight on equal footing.\Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?\Go show'em what you've got. response:	Right!
context: Yesterday, we played two sets with them.\The scores were 17-25 and 19-25, both our losses.\Simply put, we haven't won a single set.\But if we calm down and go out there in full force,\they should be opponents we can fight on equal footing.\Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?\Go show'em what you've got.\Right! response:	Okay, we're good to go.
context: The scores were 17-25 and 19-25, both our losses.\Simply put, we haven't won a single set.\But if we calm down and go out there in full force,\they should be opponents we can fight on equal footing.\Hinata and Kageyama, this is your first Nekoma set in a while, isn't it?\Go show'em what you've got.\Right!\Okay, we're good to go. response:	Nice serve, Fukunaga!
