context: Ye Hua. response:	Ye Hua?
context: Ye Hua.\Ye Hua? response:	Ye Hua.
context: Ye Hua.\Ye Hua?\Ye Hua. response:	Are you asleep?
context: Ye Hua.\Ye Hua?\Ye Hua.\Are you asleep? response:	No.
context: Ye Hua.\Ye Hua?\Ye Hua.\Are you asleep?\No. response:	Is Nai Nai in your room?
context: Ye Hua.\Ye Hua?\Ye Hua.\Are you asleep?\No.\Is Nai Nai in your room? response:	Nai Nai is already in bed.
context: Ye Hua.\Ye Hua?\Ye Hua.\Are you asleep?\No.\Is Nai Nai in your room?\Nai Nai is already in bed. response:	I heard from Nai Nai that...
context: Ye Hua.\Ye Hua?\Ye Hua.\Are you asleep?\No.\Is Nai Nai in your room?\Nai Nai is already in bed.\I heard from Nai Nai that... response:	The battle in Far North is dire.
context: Ye Hua?\Ye Hua.\Are you asleep?\No.\Is Nai Nai in your room?\Nai Nai is already in bed.\I heard from Nai Nai that...\The battle in Far North is dire. response:	Are you all right?
context: Ye Hua.\Are you asleep?\No.\Is Nai Nai in your room?\Nai Nai is already in bed.\I heard from Nai Nai that...\The battle in Far North is dire.\Are you all right? response:	I'm doing very well.
context: Are you asleep?\No.\Is Nai Nai in your room?\Nai Nai is already in bed.\I heard from Nai Nai that...\The battle in Far North is dire.\Are you all right?\I'm doing very well. response:	We...
context: No.\Is Nai Nai in your room?\Nai Nai is already in bed.\I heard from Nai Nai that...\The battle in Far North is dire.\Are you all right?\I'm doing very well.\We... response:	We haven't seen each other for half a year.
context: Is Nai Nai in your room?\Nai Nai is already in bed.\I heard from Nai Nai that...\The battle in Far North is dire.\Are you all right?\I'm doing very well.\We...\We haven't seen each other for half a year. response:	Ye Hua.
context: Nai Nai is already in bed.\I heard from Nai Nai that...\The battle in Far North is dire.\Are you all right?\I'm doing very well.\We...\We haven't seen each other for half a year.\Ye Hua. response:	Listen.
context: I heard from Nai Nai that...\The battle in Far North is dire.\Are you all right?\I'm doing very well.\We...\We haven't seen each other for half a year.\Ye Hua.\Listen. response:	The baby... has been moving around a lot these days.
context: The battle in Far North is dire.\Are you all right?\I'm doing very well.\We...\We haven't seen each other for half a year.\Ye Hua.\Listen.\The baby... has been moving around a lot these days. response:	Sometimes, I can feel his hands and feet.
context: Are you all right?\I'm doing very well.\We...\We haven't seen each other for half a year.\Ye Hua.\Listen.\The baby... has been moving around a lot these days.\Sometimes, I can feel his hands and feet. response:	I don't want him to be born too soon.
context: I'm doing very well.\We...\We haven't seen each other for half a year.\Ye Hua.\Listen.\The baby... has been moving around a lot these days.\Sometimes, I can feel his hands and feet.\I don't want him to be born too soon. response:	I'm worried that you won't get to see him be born.
context: We...\We haven't seen each other for half a year.\Ye Hua.\Listen.\The baby... has been moving around a lot these days.\Sometimes, I can feel his hands and feet.\I don't want him to be born too soon.\I'm worried that you won't get to see him be born. response:	Ye Hua, I'd like to know...
context: We haven't seen each other for half a year.\Ye Hua.\Listen.\The baby... has been moving around a lot these days.\Sometimes, I can feel his hands and feet.\I don't want him to be born too soon.\I'm worried that you won't get to see him be born.\Ye Hua, I'd like to know... response:	That day...
context: Ye Hua.\Listen.\The baby... has been moving around a lot these days.\Sometimes, I can feel his hands and feet.\I don't want him to be born too soon.\I'm worried that you won't get to see him be born.\Ye Hua, I'd like to know...\That day... response:	At the Lakes of the Far East...
context: Listen.\The baby... has been moving around a lot these days.\Sometimes, I can feel his hands and feet.\I don't want him to be born too soon.\I'm worried that you won't get to see him be born.\Ye Hua, I'd like to know...\That day...\At the Lakes of the Far East... response:	The oath that we made... Does that still count?
context: The baby... has been moving around a lot these days.\Sometimes, I can feel his hands and feet.\I don't want him to be born too soon.\I'm worried that you won't get to see him be born.\Ye Hua, I'd like to know...\That day...\At the Lakes of the Far East...\The oath that we made... Does that still count? response:	I want to wait until our child is born to tell him the story of his parents.
context: Sometimes, I can feel his hands and feet.\I don't want him to be born too soon.\I'm worried that you won't get to see him be born.\Ye Hua, I'd like to know...\That day...\At the Lakes of the Far East...\The oath that we made... Does that still count?\I want to wait until our child is born to tell him the story of his parents. response:	Then he will know what his father has on his mind.
context: I don't want him to be born too soon.\I'm worried that you won't get to see him be born.\Ye Hua, I'd like to know...\That day...\At the Lakes of the Far East...\The oath that we made... Does that still count?\I want to wait until our child is born to tell him the story of his parents.\Then he will know what his father has on his mind. response:	It does count.
context: I'm worried that you won't get to see him be born.\Ye Hua, I'd like to know...\That day...\At the Lakes of the Far East...\The oath that we made... Does that still count?\I want to wait until our child is born to tell him the story of his parents.\Then he will know what his father has on his mind.\It does count. response:	I know now.
context: Ye Hua, I'd like to know...\That day...\At the Lakes of the Far East...\The oath that we made... Does that still count?\I want to wait until our child is born to tell him the story of his parents.\Then he will know what his father has on his mind.\It does count.\I know now. response:	Take care.
context: That day...\At the Lakes of the Far East...\The oath that we made... Does that still count?\I want to wait until our child is born to tell him the story of his parents.\Then he will know what his father has on his mind.\It does count.\I know now.\Take care. response:	I await your return.
context: At the Lakes of the Far East...\The oath that we made... Does that still count?\I want to wait until our child is born to tell him the story of his parents.\Then he will know what his father has on his mind.\It does count.\I know now.\Take care.\I await your return. response:	Little chap.
context: The oath that we made... Does that still count?\I want to wait until our child is born to tell him the story of his parents.\Then he will know what his father has on his mind.\It does count.\I know now.\Take care.\I await your return.\Little chap. response:	Your father will soon return to the palace.
context: I want to wait until our child is born to tell him the story of his parents.\Then he will know what his father has on his mind.\It does count.\I know now.\Take care.\I await your return.\Little chap.\Your father will soon return to the palace. response:	You have to grow slowly.
context: Then he will know what his father has on his mind.\It does count.\I know now.\Take care.\I await your return.\Little chap.\Your father will soon return to the palace.\You have to grow slowly. response:	Then he can see you when you're born.
context: It does count.\I know now.\Take care.\I await your return.\Little chap.\Your father will soon return to the palace.\You have to grow slowly.\Then he can see you when you're born. response:	That would be the best.
context: I know now.\Take care.\I await your return.\Little chap.\Your father will soon return to the palace.\You have to grow slowly.\Then he can see you when you're born.\That would be the best. response:	My prince, great victory!
context: Take care.\I await your return.\Little chap.\Your father will soon return to the palace.\You have to grow slowly.\Then he can see you when you're born.\That would be the best.\My prince, great victory! response:	Keep talking.
context: I await your return.\Little chap.\Your father will soon return to the palace.\You have to grow slowly.\Then he can see you when you're born.\That would be the best.\My prince, great victory!\Keep talking. response:	Ghost Lord Li Jing made use of the freezing weather
context: Little chap.\Your father will soon return to the palace.\You have to grow slowly.\Then he can see you when you're born.\That would be the best.\My prince, great victory!\Keep talking.\Ghost Lord Li Jing made use of the freezing weather response:	and transported much ice upstream.
context: Your father will soon return to the palace.\You have to grow slowly.\Then he can see you when you're born.\That would be the best.\My prince, great victory!\Keep talking.\Ghost Lord Li Jing made use of the freezing weather\and transported much ice upstream. response:	Then he used his powers to melt the ice.
context: You have to grow slowly.\Then he can see you when you're born.\That would be the best.\My prince, great victory!\Keep talking.\Ghost Lord Li Jing made use of the freezing weather\and transported much ice upstream.\Then he used his powers to melt the ice. response:	Then he borrowed the Celestial Tribe's powers of rain and thunder
context: Then he can see you when you're born.\That would be the best.\My prince, great victory!\Keep talking.\Ghost Lord Li Jing made use of the freezing weather\and transported much ice upstream.\Then he used his powers to melt the ice.\Then he borrowed the Celestial Tribe's powers of rain and thunder response:	to create rainfall for three days and nights.
