context: We beat Brain, and there's only one of Oracion Seis left! response:	That is just a dream.
context: We beat Brain, and there's only one of Oracion Seis left!\That is just a dream. response:	But we were caught by a trap, and Mr. Potato Head was...
context: We beat Brain, and there's only one of Oracion Seis left!\That is just a dream.\But we were caught by a trap, and Mr. Potato Head was... response:	That is also a dream.
context: We beat Brain, and there's only one of Oracion Seis left!\That is just a dream.\But we were caught by a trap, and Mr. Potato Head was...\That is also a dream. response:	I know the light that's inside Jellal.
context: We beat Brain, and there's only one of Oracion Seis left!\That is just a dream.\But we were caught by a trap, and Mr. Potato Head was...\That is also a dream.\I know the light that's inside Jellal. response:	And that, especially, is a dream.
context: We beat Brain, and there's only one of Oracion Seis left!\That is just a dream.\But we were caught by a trap, and Mr. Potato Head was...\That is also a dream.\I know the light that's inside Jellal.\And that, especially, is a dream. response:	You can still stand?
context: We beat Brain, and there's only one of Oracion Seis left!\That is just a dream.\But we were caught by a trap, and Mr. Potato Head was...\That is also a dream.\I know the light that's inside Jellal.\And that, especially, is a dream.\You can still stand? response:	Just as the rumors say, Erza...
context: We beat Brain, and there's only one of Oracion Seis left!\That is just a dream.\But we were caught by a trap, and Mr. Potato Head was...\That is also a dream.\I know the light that's inside Jellal.\And that, especially, is a dream.\You can still stand?\Just as the rumors say, Erza... response:	Breaking you will totally be worth the effort!
context: That is just a dream.\But we were caught by a trap, and Mr. Potato Head was...\That is also a dream.\I know the light that's inside Jellal.\And that, especially, is a dream.\You can still stand?\Just as the rumors say, Erza...\Breaking you will totally be worth the effort! response:	I will stop you and your idiotic goals!
context: But we were caught by a trap, and Mr. Potato Head was...\That is also a dream.\I know the light that's inside Jellal.\And that, especially, is a dream.\You can still stand?\Just as the rumors say, Erza...\Breaking you will totally be worth the effort!\I will stop you and your idiotic goals! response:	Without fail.
context: That is also a dream.\I know the light that's inside Jellal.\And that, especially, is a dream.\You can still stand?\Just as the rumors say, Erza...\Breaking you will totally be worth the effort!\I will stop you and your idiotic goals!\Without fail. response:	There is no stopping us! We are near!
context: I know the light that's inside Jellal.\And that, especially, is a dream.\You can still stand?\Just as the rumors say, Erza...\Breaking you will totally be worth the effort!\I will stop you and your idiotic goals!\Without fail.\There is no stopping us! We are near! response:	Caitshelter!
context: And that, especially, is a dream.\You can still stand?\Just as the rumors say, Erza...\Breaking you will totally be worth the effort!\I will stop you and your idiotic goals!\Without fail.\There is no stopping us! We are near!\Caitshelter! response:	Come to me, Erza.
context: You can still stand?\Just as the rumors say, Erza...\Breaking you will totally be worth the effort!\I will stop you and your idiotic goals!\Without fail.\There is no stopping us! We are near!\Caitshelter!\Come to me, Erza. response:	Or rather, Titania...
context: Just as the rumors say, Erza...\Breaking you will totally be worth the effort!\I will stop you and your idiotic goals!\Without fail.\There is no stopping us! We are near!\Caitshelter!\Come to me, Erza.\Or rather, Titania... response:	Now, show me your true strength.
context: Breaking you will totally be worth the effort!\I will stop you and your idiotic goals!\Without fail.\There is no stopping us! We are near!\Caitshelter!\Come to me, Erza.\Or rather, Titania...\Now, show me your true strength. response:	Although your attacks still won't be able to hit me.
context: I will stop you and your idiotic goals!\Without fail.\There is no stopping us! We are near!\Caitshelter!\Come to me, Erza.\Or rather, Titania...\Now, show me your true strength.\Although your attacks still won't be able to hit me. response:	Yes, that's right. His magic, Reflector, can bend away any attack.
context: Without fail.\There is no stopping us! We are near!\Caitshelter!\Come to me, Erza.\Or rather, Titania...\Now, show me your true strength.\Although your attacks still won't be able to hit me.\Yes, that's right. His magic, Reflector, can bend away any attack. response:	Is there a way to defeat him?
context: There is no stopping us! We are near!\Caitshelter!\Come to me, Erza.\Or rather, Titania...\Now, show me your true strength.\Although your attacks still won't be able to hit me.\Yes, that's right. His magic, Reflector, can bend away any attack.\Is there a way to defeat him? response:	Zero!
context: Caitshelter!\Come to me, Erza.\Or rather, Titania...\Now, show me your true strength.\Although your attacks still won't be able to hit me.\Yes, that's right. His magic, Reflector, can bend away any attack.\Is there a way to defeat him?\Zero! response:	So fast!
context: Come to me, Erza.\Or rather, Titania...\Now, show me your true strength.\Although your attacks still won't be able to hit me.\Yes, that's right. His magic, Reflector, can bend away any attack.\Is there a way to defeat him?\Zero!\So fast! response:	But...
context: Or rather, Titania...\Now, show me your true strength.\Although your attacks still won't be able to hit me.\Yes, that's right. His magic, Reflector, can bend away any attack.\Is there a way to defeat him?\Zero!\So fast!\But... response:	My Reflector will not be broken, no matter how quickly you move!
context: Now, show me your true strength.\Although your attacks still won't be able to hit me.\Yes, that's right. His magic, Reflector, can bend away any attack.\Is there a way to defeat him?\Zero!\So fast!\But...\My Reflector will not be broken, no matter how quickly you move! response:	See?
context: Although your attacks still won't be able to hit me.\Yes, that's right. His magic, Reflector, can bend away any attack.\Is there a way to defeat him?\Zero!\So fast!\But...\My Reflector will not be broken, no matter how quickly you move!\See? response:	W-What?
context: Yes, that's right. His magic, Reflector, can bend away any attack.\Is there a way to defeat him?\Zero!\So fast!\But...\My Reflector will not be broken, no matter how quickly you move!\See?\W-What? response:	There are two.
context: Is there a way to defeat him?\Zero!\So fast!\But...\My Reflector will not be broken, no matter how quickly you move!\See?\W-What?\There are two. response:	There are two weaknesses to your magic.
context: Zero!\So fast!\But...\My Reflector will not be broken, no matter how quickly you move!\See?\W-What?\There are two.\There are two weaknesses to your magic. response:	Two weaknesses?
context: So fast!\But...\My Reflector will not be broken, no matter how quickly you move!\See?\W-What?\There are two.\There are two weaknesses to your magic.\Two weaknesses? response:	In just a short time, she...
context: But...\My Reflector will not be broken, no matter how quickly you move!\See?\W-What?\There are two.\There are two weaknesses to your magic.\Two weaknesses?\In just a short time, she... response:	You may be able to bend magic and objects,
context: My Reflector will not be broken, no matter how quickly you move!\See?\W-What?\There are two.\There are two weaknesses to your magic.\Two weaknesses?\In just a short time, she...\You may be able to bend magic and objects, response:	but you are unable to bend human bodies.
context: See?\W-What?\There are two.\There are two weaknesses to your magic.\Two weaknesses?\In just a short time, she...\You may be able to bend magic and objects,\but you are unable to bend human bodies. response:	If that were not the case, it would have been faster to warp my body than my armor.
context: W-What?\There are two.\There are two weaknesses to your magic.\Two weaknesses?\In just a short time, she...\You may be able to bend magic and objects,\but you are unable to bend human bodies.\If that were not the case, it would have been faster to warp my body than my armor. response:	Am I right?
context: There are two.\There are two weaknesses to your magic.\Two weaknesses?\In just a short time, she...\You may be able to bend magic and objects,\but you are unable to bend human bodies.\If that were not the case, it would have been faster to warp my body than my armor.\Am I right? response:	So, what of it?
context: There are two weaknesses to your magic.\Two weaknesses?\In just a short time, she...\You may be able to bend magic and objects,\but you are unable to bend human bodies.\If that were not the case, it would have been faster to warp my body than my armor.\Am I right?\So, what of it? response:	Even if that's the case, if I'm being serious, I can finish you off with your clothes.
context: Two weaknesses?\In just a short time, she...\You may be able to bend magic and objects,\but you are unable to bend human bodies.\If that were not the case, it would have been faster to warp my body than my armor.\Am I right?\So, what of it?\Even if that's the case, if I'm being serious, I can finish you off with your clothes. response:	The second weakness: This!
context: In just a short time, she...\You may be able to bend magic and objects,\but you are unable to bend human bodies.\If that were not the case, it would have been faster to warp my body than my armor.\Am I right?\So, what of it?\Even if that's the case, if I'm being serious, I can finish you off with your clothes.\The second weakness: This! response:	Erza, what are you...
context: You may be able to bend magic and objects,\but you are unable to bend human bodies.\If that were not the case, it would have been faster to warp my body than my armor.\Am I right?\So, what of it?\Even if that's the case, if I'm being serious, I can finish you off with your clothes.\The second weakness: This!\Erza, what are you... response:	But he said that attacks won't hit him!
context: but you are unable to bend human bodies.\If that were not the case, it would have been faster to warp my body than my armor.\Am I right?\So, what of it?\Even if that's the case, if I'm being serious, I can finish you off with your clothes.\The second weakness: This!\Erza, what are you...\But he said that attacks won't hit him! response:	While you were bending my armor, you dodged my sword normally!
context: If that were not the case, it would have been faster to warp my body than my armor.\Am I right?\So, what of it?\Even if that's the case, if I'm being serious, I can finish you off with your clothes.\The second weakness: This!\Erza, what are you...\But he said that attacks won't hit him!\While you were bending my armor, you dodged my sword normally! response:	Why didn't you bend the path of the sword instead?
context: Am I right?\So, what of it?\Even if that's the case, if I'm being serious, I can finish you off with your clothes.\The second weakness: This!\Erza, what are you...\But he said that attacks won't hit him!\While you were bending my armor, you dodged my sword normally!\Why didn't you bend the path of the sword instead? response:	The answer: Because you can only bend things in one limited area at a time.
context: So, what of it?\Even if that's the case, if I'm being serious, I can finish you off with your clothes.\The second weakness: This!\Erza, what are you...\But he said that attacks won't hit him!\While you were bending my armor, you dodged my sword normally!\Why didn't you bend the path of the sword instead?\The answer: Because you can only bend things in one limited area at a time. response:	The area around yourself, or the area around your enemy...
context: Even if that's the case, if I'm being serious, I can finish you off with your clothes.\The second weakness: This!\Erza, what are you...\But he said that attacks won't hit him!\While you were bending my armor, you dodged my sword normally!\Why didn't you bend the path of the sword instead?\The answer: Because you can only bend things in one limited area at a time.\The area around yourself, or the area around your enemy... response:	You must choose one or the other.
context: The second weakness: This!\Erza, what are you...\But he said that attacks won't hit him!\While you were bending my armor, you dodged my sword normally!\Why didn't you bend the path of the sword instead?\The answer: Because you can only bend things in one limited area at a time.\The area around yourself, or the area around your enemy...\You must choose one or the other. response:	While you are casting your magic on me, you cannot activate Reflector around yourself.
