context: One winter day, response:	I found an invitation in my shoe locker
context: One winter day,\I found an invitation in my shoe locker response:	from someone named Summer X.
context: One winter day,\I found an invitation in my shoe locker\from someone named Summer X. response:	Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X
context: One winter day,\I found an invitation in my shoe locker\from someone named Summer X.\Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X response:	I decided to ignore it,
context: One winter day,\I found an invitation in my shoe locker\from someone named Summer X.\Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X\I decided to ignore it, response:	but the next day, after gym,
context: One winter day,\I found an invitation in my shoe locker\from someone named Summer X.\Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X\I decided to ignore it,\but the next day, after gym, response:	it popped up again in my bag.
context: One winter day,\I found an invitation in my shoe locker\from someone named Summer X.\Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X\I decided to ignore it,\but the next day, after gym,\it popped up again in my bag. response:	Since it appeared that
context: One winter day,\I found an invitation in my shoe locker\from someone named Summer X.\Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X\I decided to ignore it,\but the next day, after gym,\it popped up again in my bag.\Since it appeared that response:	the contents of my bag had been disturbed,
context: I found an invitation in my shoe locker\from someone named Summer X.\Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X\I decided to ignore it,\but the next day, after gym,\it popped up again in my bag.\Since it appeared that\the contents of my bag had been disturbed, response:	I immediately confronted Natsume-san.
context: from someone named Summer X.\Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X\I decided to ignore it,\but the next day, after gym,\it popped up again in my bag.\Since it appeared that\the contents of my bag had been disturbed,\I immediately confronted Natsume-san. response:	I just wanted to surprise you!
context: Invitation for Mizutani Shizuku We're Having a Christmas Party Time: Second Friday Place: Misawa Batting Center Santa's coming too!! From the Mystery Sender, -Summer X\I decided to ignore it,\but the next day, after gym,\it popped up again in my bag.\Since it appeared that\the contents of my bag had been disturbed,\I immediately confronted Natsume-san.\I just wanted to surprise you! response:	She spat it out easily.
context: I decided to ignore it,\but the next day, after gym,\it popped up again in my bag.\Since it appeared that\the contents of my bag had been disturbed,\I immediately confronted Natsume-san.\I just wanted to surprise you!\She spat it out easily. response:	Which brings us here.
context: but the next day, after gym,\it popped up again in my bag.\Since it appeared that\the contents of my bag had been disturbed,\I immediately confronted Natsume-san.\I just wanted to surprise you!\She spat it out easily.\Which brings us here. response:	Christmas
context: it popped up again in my bag.\Since it appeared that\the contents of my bag had been disturbed,\I immediately confronted Natsume-san.\I just wanted to surprise you!\She spat it out easily.\Which brings us here.\Christmas response:	Chicken! Chicken!
