context: Tsukiyama! response:	Mmm... Long time no see, Miss Kirishima.
context: Tsukiyama!\Mmm... Long time no see, Miss Kirishima. response:	What do you want?
context: Tsukiyama!\Mmm... Long time no see, Miss Kirishima.\What do you want? response:	As cold as ever, I see.
context: Tsukiyama!\Mmm... Long time no see, Miss Kirishima.\What do you want?\As cold as ever, I see. response:	Well, I suppose that's what's charming about you.
context: Tsukiyama!\Mmm... Long time no see, Miss Kirishima.\What do you want?\As cold as ever, I see.\Well, I suppose that's what's charming about you. response:	You disgust me, you prig.
context: Tsukiyama!\Mmm... Long time no see, Miss Kirishima.\What do you want?\As cold as ever, I see.\Well, I suppose that's what's charming about you.\You disgust me, you prig. response:	You, with the eye patch...
context: Tsukiyama!\Mmm... Long time no see, Miss Kirishima.\What do you want?\As cold as ever, I see.\Well, I suppose that's what's charming about you.\You disgust me, you prig.\You, with the eye patch... response:	You're new here, huh?
context: Tsukiyama!\Mmm... Long time no see, Miss Kirishima.\What do you want?\As cold as ever, I see.\Well, I suppose that's what's charming about you.\You disgust me, you prig.\You, with the eye patch...\You're new here, huh? response:	U-Um...
context: Mmm... Long time no see, Miss Kirishima.\What do you want?\As cold as ever, I see.\Well, I suppose that's what's charming about you.\You disgust me, you prig.\You, with the eye patch...\You're new here, huh?\U-Um... response:	U-um...
context: What do you want?\As cold as ever, I see.\Well, I suppose that's what's charming about you.\You disgust me, you prig.\You, with the eye patch...\You're new here, huh?\U-Um...\U-um... response:	What's your name?
context: As cold as ever, I see.\Well, I suppose that's what's charming about you.\You disgust me, you prig.\You, with the eye patch...\You're new here, huh?\U-Um...\U-um...\What's your name? response:	K-Kaneki.
context: Well, I suppose that's what's charming about you.\You disgust me, you prig.\You, with the eye patch...\You're new here, huh?\U-Um...\U-um...\What's your name?\K-Kaneki. response:	What a wondrous aroma.
context: You disgust me, you prig.\You, with the eye patch...\You're new here, huh?\U-Um...\U-um...\What's your name?\K-Kaneki.\What a wondrous aroma. response:	Hey, you're interfering with our work, and you're gross,
context: You, with the eye patch...\You're new here, huh?\U-Um...\U-um...\What's your name?\K-Kaneki.\What a wondrous aroma.\Hey, you're interfering with our work, and you're gross, response:	so get lost already.
context: You're new here, huh?\U-Um...\U-um...\What's your name?\K-Kaneki.\What a wondrous aroma.\Hey, you're interfering with our work, and you're gross,\so get lost already. response:	You really are tactless, aren't you?
context: U-Um...\U-um...\What's your name?\K-Kaneki.\What a wondrous aroma.\Hey, you're interfering with our work, and you're gross,\so get lost already.\You really are tactless, aren't you? response:	I'll be by some other time to enjoy some coffee.
context: U-um...\What's your name?\K-Kaneki.\What a wondrous aroma.\Hey, you're interfering with our work, and you're gross,\so get lost already.\You really are tactless, aren't you?\I'll be by some other time to enjoy some coffee. response:	Some time when Mr. Yoshimura is around.
context: What's your name?\K-Kaneki.\What a wondrous aroma.\Hey, you're interfering with our work, and you're gross,\so get lost already.\You really are tactless, aren't you?\I'll be by some other time to enjoy some coffee.\Some time when Mr. Yoshimura is around. response:	O-Okay...
context: K-Kaneki.\What a wondrous aroma.\Hey, you're interfering with our work, and you're gross,\so get lost already.\You really are tactless, aren't you?\I'll be by some other time to enjoy some coffee.\Some time when Mr. Yoshimura is around.\O-Okay... response:	Ravissant. See you later, Kaneki.
context: What a wondrous aroma.\Hey, you're interfering with our work, and you're gross,\so get lost already.\You really are tactless, aren't you?\I'll be by some other time to enjoy some coffee.\Some time when Mr. Yoshimura is around.\O-Okay...\Ravissant. See you later, Kaneki. response:	We'll meet again.
context: Hey, you're interfering with our work, and you're gross,\so get lost already.\You really are tactless, aren't you?\I'll be by some other time to enjoy some coffee.\Some time when Mr. Yoshimura is around.\O-Okay...\Ravissant. See you later, Kaneki.\We'll meet again. response:	W-Who was that?
context: so get lost already.\You really are tactless, aren't you?\I'll be by some other time to enjoy some coffee.\Some time when Mr. Yoshimura is around.\O-Okay...\Ravissant. See you later, Kaneki.\We'll meet again.\W-Who was that? response:	Watch out for that guy.
context: You really are tactless, aren't you?\I'll be by some other time to enjoy some coffee.\Some time when Mr. Yoshimura is around.\O-Okay...\Ravissant. See you later, Kaneki.\We'll meet again.\W-Who was that?\Watch out for that guy. response:	He's one of the 20th Ward's parasites.
context: I'll be by some other time to enjoy some coffee.\Some time when Mr. Yoshimura is around.\O-Okay...\Ravissant. See you later, Kaneki.\We'll meet again.\W-Who was that?\Watch out for that guy.\He's one of the 20th Ward's parasites. response:	Mmm, merci.
context: Some time when Mr. Yoshimura is around.\O-Okay...\Ravissant. See you later, Kaneki.\We'll meet again.\W-Who was that?\Watch out for that guy.\He's one of the 20th Ward's parasites.\Mmm, merci. response:	Kaneki, huh?
context: O-Okay...\Ravissant. See you later, Kaneki.\We'll meet again.\W-Who was that?\Watch out for that guy.\He's one of the 20th Ward's parasites.\Mmm, merci.\Kaneki, huh? response:	How intriguing...
context: Ravissant. See you later, Kaneki.\We'll meet again.\W-Who was that?\Watch out for that guy.\He's one of the 20th Ward's parasites.\Mmm, merci.\Kaneki, huh?\How intriguing... response:	that scent is.
context: We'll meet again.\W-Who was that?\Watch out for that guy.\He's one of the 20th Ward's parasites.\Mmm, merci.\Kaneki, huh?\How intriguing...\that scent is. response:	Tell me, oh tell me, the way it works
context: W-Who was that?\Watch out for that guy.\He's one of the 20th Ward's parasites.\Mmm, merci.\Kaneki, huh?\How intriguing...\that scent is.\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: Watch out for that guy.\He's one of the 20th Ward's parasites.\Mmm, merci.\Kaneki, huh?\How intriguing...\that scent is.\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: He's one of the 20th Ward's parasites.\Mmm, merci.\Kaneki, huh?\How intriguing...\that scent is.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: Mmm, merci.\Kaneki, huh?\How intriguing...\that scent is.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: Kaneki, huh?\How intriguing...\that scent is.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: How intriguing...\that scent is.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me
context: that scent is.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me response:	In this twisted world, I'm gradually growing transparent and vanishing
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	Don't look for me; don't look at me
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\Don't look for me; don't look at me response:	Don't look for me; don't look at me
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\Don't look for me; don't look at me\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\Don't look for me; don't look at me\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
