context: Mashima-kun is still down by 5 cards! response:	He can't catch up!
context: Mashima-kun is still down by 5 cards!\He can't catch up! response:	That early mistake is making a difference.
context: Mashima-kun is still down by 5 cards!\He can't catch up!\That early mistake is making a difference. response:	He stabilized midway through the game and made some good plays,
context: Mashima-kun is still down by 5 cards!\He can't catch up!\That early mistake is making a difference.\He stabilized midway through the game and made some good plays, response:	but his luck is still terrible!
context: Mashima-kun is still down by 5 cards!\He can't catch up!\That early mistake is making a difference.\He stabilized midway through the game and made some good plays,\but his luck is still terrible! response:	The last five cards have been on my side.
context: Mashima-kun is still down by 5 cards!\He can't catch up!\That early mistake is making a difference.\He stabilized midway through the game and made some good plays,\but his luck is still terrible!\The last five cards have been on my side. response:	Should I focus on defending the seven cards on my side
context: Mashima-kun is still down by 5 cards!\He can't catch up!\That early mistake is making a difference.\He stabilized midway through the game and made some good plays,\but his luck is still terrible!\The last five cards have been on my side.\Should I focus on defending the seven cards on my side response:	instead of attacking the two on the opponent's side?
context: Mashima-kun is still down by 5 cards!\He can't catch up!\That early mistake is making a difference.\He stabilized midway through the game and made some good plays,\but his luck is still terrible!\The last five cards have been on my side.\Should I focus on defending the seven cards on my side\instead of attacking the two on the opponent's side? response:	Living Ghost
context: He can't catch up!\That early mistake is making a difference.\He stabilized midway through the game and made some good plays,\but his luck is still terrible!\The last five cards have been on my side.\Should I focus on defending the seven cards on my side\instead of attacking the two on the opponent's side?\Living Ghost response:	I don't need you, Dr. Harada.
context: That early mistake is making a difference.\He stabilized midway through the game and made some good plays,\but his luck is still terrible!\The last five cards have been on my side.\Should I focus on defending the seven cards on my side\instead of attacking the two on the opponent's side?\Living Ghost\I don't need you, Dr. Harada. response:	When in trouble...
context: He stabilized midway through the game and made some good plays,\but his luck is still terrible!\The last five cards have been on my side.\Should I focus on defending the seven cards on my side\instead of attacking the two on the opponent's side?\Living Ghost\I don't need you, Dr. Harada.\When in trouble... response:	As the years pass...
context: but his luck is still terrible!\The last five cards have been on my side.\Should I focus on defending the seven cards on my side\instead of attacking the two on the opponent's side?\Living Ghost\I don't need you, Dr. Harada.\When in trouble...\As the years pass... response:	Go lower right!
context: The last five cards have been on my side.\Should I focus on defending the seven cards on my side\instead of attacking the two on the opponent's side?\Living Ghost\I don't need you, Dr. Harada.\When in trouble...\As the years pass...\Go lower right! response:	Yes!
context: Should I focus on defending the seven cards on my side\instead of attacking the two on the opponent's side?\Living Ghost\I don't need you, Dr. Harada.\When in trouble...\As the years pass...\Go lower right!\Yes! response:	Thank you very much.
context: instead of attacking the two on the opponent's side?\Living Ghost\I don't need you, Dr. Harada.\When in trouble...\As the years pass...\Go lower right!\Yes!\Thank you very much. response:	Thank you very much.
