context: No! I don't want to die! response:	Shut up!
context: No! I don't want to die!\Shut up! response:	Let go! This is why I didn't want to come here!
context: No! I don't want to die!\Shut up!\Let go! This is why I didn't want to come here! response:	Kimari-san...
context: No! I don't want to die!\Shut up!\Let go! This is why I didn't want to come here!\Kimari-san... response:	Shut up! If you want her to live, fork over the cash!
context: No! I don't want to die!\Shut up!\Let go! This is why I didn't want to come here!\Kimari-san...\Shut up! If you want her to live, fork over the cash! response:	Help me! I have a turtle and a hamster who need me!
context: No! I don't want to die!\Shut up!\Let go! This is why I didn't want to come here!\Kimari-san...\Shut up! If you want her to live, fork over the cash!\Help me! I have a turtle and a hamster who need me! response:	I'm sorry, I'm just a temp. You'll want to talk to the banking manager...
context: No! I don't want to die!\Shut up!\Let go! This is why I didn't want to come here!\Kimari-san...\Shut up! If you want her to live, fork over the cash!\Help me! I have a turtle and a hamster who need me!\I'm sorry, I'm just a temp. You'll want to talk to the banking manager... response:	This is no time to be playing around.
context: No! I don't want to die!\Shut up!\Let go! This is why I didn't want to come here!\Kimari-san...\Shut up! If you want her to live, fork over the cash!\Help me! I have a turtle and a hamster who need me!\I'm sorry, I'm just a temp. You'll want to talk to the banking manager...\This is no time to be playing around. response:	You're still laughing?!
context: Shut up!\Let go! This is why I didn't want to come here!\Kimari-san...\Shut up! If you want her to live, fork over the cash!\Help me! I have a turtle and a hamster who need me!\I'm sorry, I'm just a temp. You'll want to talk to the banking manager...\This is no time to be playing around.\You're still laughing?! response:	She's right. It's not nice to keep laughing at her...
context: Let go! This is why I didn't want to come here!\Kimari-san...\Shut up! If you want her to live, fork over the cash!\Help me! I have a turtle and a hamster who need me!\I'm sorry, I'm just a temp. You'll want to talk to the banking manager...\This is no time to be playing around.\You're still laughing?!\She's right. It's not nice to keep laughing at her... response:	Yuzuki-chan. That's the kind of thing that hurts most...
context: Kimari-san...\Shut up! If you want her to live, fork over the cash!\Help me! I have a turtle and a hamster who need me!\I'm sorry, I'm just a temp. You'll want to talk to the banking manager...\This is no time to be playing around.\You're still laughing?!\She's right. It's not nice to keep laughing at her...\Yuzuki-chan. That's the kind of thing that hurts most... response:	Can you hear me?
