context: Agreement response:	I lost.
context: Agreement\I lost. response:	He was my father's friend.
context: Agreement\I lost.\He was my father's friend. response:	Why didn't you take the dragon?
context: Agreement\I lost.\He was my father's friend.\Why didn't you take the dragon? response:	I had a feeling if I took the dragon, you would've checkmated me.
context: Agreement\I lost.\He was my father's friend.\Why didn't you take the dragon?\I had a feeling if I took the dragon, you would've checkmated me. response:	And it looked like I could checkmate you from the first move.
context: Agreement\I lost.\He was my father's friend.\Why didn't you take the dragon?\I had a feeling if I took the dragon, you would've checkmated me.\And it looked like I could checkmate you from the first move. response:	And here I thought you would go for the dragon.
context: Agreement\I lost.\He was my father's friend.\Why didn't you take the dragon?\I had a feeling if I took the dragon, you would've checkmated me.\And it looked like I could checkmate you from the first move.\And here I thought you would go for the dragon. response:	You don't play like a child.
context: Agreement\I lost.\He was my father's friend.\Why didn't you take the dragon?\I had a feeling if I took the dragon, you would've checkmated me.\And it looked like I could checkmate you from the first move.\And here I thought you would go for the dragon.\You don't play like a child. response:	You came to checkmate me.
context: I lost.\He was my father's friend.\Why didn't you take the dragon?\I had a feeling if I took the dragon, you would've checkmated me.\And it looked like I could checkmate you from the first move.\And here I thought you would go for the dragon.\You don't play like a child.\You came to checkmate me. response:	Even though he was my father's friend, every time he came over,
context: He was my father's friend.\Why didn't you take the dragon?\I had a feeling if I took the dragon, you would've checkmated me.\And it looked like I could checkmate you from the first move.\And here I thought you would go for the dragon.\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over, response:	I would get happy and restless.
context: Why didn't you take the dragon?\I had a feeling if I took the dragon, you would've checkmated me.\And it looked like I could checkmate you from the first move.\And here I thought you would go for the dragon.\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless. response:	Kouda, sorry I'm late.
context: I had a feeling if I took the dragon, you would've checkmated me.\And it looked like I could checkmate you from the first move.\And here I thought you would go for the dragon.\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late. response:	An emergency came up.
context: And it looked like I could checkmate you from the first move.\And here I thought you would go for the dragon.\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up. response:	Oh, good work.
context: And here I thought you would go for the dragon.\You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work. response:	Sorry to keep you waiting.
context: You don't play like a child.\You came to checkmate me.\Even though he was my father's friend, every time he came over,\I would get happy and restless.\Kouda, sorry I'm late.\An emergency came up.\Oh, good work.\Sorry to keep you waiting. response:	No, that's fine. I was playing with Rei.
