context: No! response:	Fate doesn't matter.
context: No!\Fate doesn't matter. response:	Focus on us, right now...
context: No!\Fate doesn't matter.\Focus on us, right now... response:	Zessica?
context: No!\Fate doesn't matter.\Focus on us, right now...\Zessica? response:	Man!
context: No!\Fate doesn't matter.\Focus on us, right now...\Zessica?\Man! response:	I was late to lunch, and they were all out of yakisoba sandwiches...
context: No!\Fate doesn't matter.\Focus on us, right now...\Zessica?\Man!\I was late to lunch, and they were all out of yakisoba sandwiches... response:	Zessica...
context: No!\Fate doesn't matter.\Focus on us, right now...\Zessica?\Man!\I was late to lunch, and they were all out of yakisoba sandwiches...\Zessica... response:	Um...
context: No!\Fate doesn't matter.\Focus on us, right now...\Zessica?\Man!\I was late to lunch, and they were all out of yakisoba sandwiches...\Zessica...\Um... response:	What you said before Aquarion went out of control...
context: Fate doesn't matter.\Focus on us, right now...\Zessica?\Man!\I was late to lunch, and they were all out of yakisoba sandwiches...\Zessica...\Um...\What you said before Aquarion went out of control... response:	I love you.
context: Focus on us, right now...\Zessica?\Man!\I was late to lunch, and they were all out of yakisoba sandwiches...\Zessica...\Um...\What you said before Aquarion went out of control...\I love you. response:	Right now, Mikono -
context: Zessica?\Man!\I was late to lunch, and they were all out of yakisoba sandwiches...\Zessica...\Um...\What you said before Aquarion went out of control...\I love you.\Right now, Mikono - response:	Okay! Fine!
context: Man!\I was late to lunch, and they were all out of yakisoba sandwiches...\Zessica...\Um...\What you said before Aquarion went out of control...\I love you.\Right now, Mikono -\Okay! Fine! response:	It's all right.
context: I was late to lunch, and they were all out of yakisoba sandwiches...\Zessica...\Um...\What you said before Aquarion went out of control...\I love you.\Right now, Mikono -\Okay! Fine!\It's all right. response:	I knew it would turn out like this anyway.
context: Zessica...\Um...\What you said before Aquarion went out of control...\I love you.\Right now, Mikono -\Okay! Fine!\It's all right.\I knew it would turn out like this anyway. response:	Bye!
context: Um...\What you said before Aquarion went out of control...\I love you.\Right now, Mikono -\Okay! Fine!\It's all right.\I knew it would turn out like this anyway.\Bye! response:	Zessica, wait!
context: What you said before Aquarion went out of control...\I love you.\Right now, Mikono -\Okay! Fine!\It's all right.\I knew it would turn out like this anyway.\Bye!\Zessica, wait! response:	Mikono...
context: I love you.\Right now, Mikono -\Okay! Fine!\It's all right.\I knew it would turn out like this anyway.\Bye!\Zessica, wait!\Mikono... response:	I'm sorry for butting in.
context: Right now, Mikono -\Okay! Fine!\It's all right.\I knew it would turn out like this anyway.\Bye!\Zessica, wait!\Mikono...\I'm sorry for butting in. response:	Wait! Mikono! It's not like that!
context: Okay! Fine!\It's all right.\I knew it would turn out like this anyway.\Bye!\Zessica, wait!\Mikono...\I'm sorry for butting in.\Wait! Mikono! It's not like that! response:	Mikono!
context: It's all right.\I knew it would turn out like this anyway.\Bye!\Zessica, wait!\Mikono...\I'm sorry for butting in.\Wait! Mikono! It's not like that!\Mikono! response:	They've had the Special Training of the Grave and that mock battle.
context: I knew it would turn out like this anyway.\Bye!\Zessica, wait!\Mikono...\I'm sorry for butting in.\Wait! Mikono! It's not like that!\Mikono!\They've had the Special Training of the Grave and that mock battle. response:	It appears that they're ripening.
context: Bye!\Zessica, wait!\Mikono...\I'm sorry for butting in.\Wait! Mikono! It's not like that!\Mikono!\They've had the Special Training of the Grave and that mock battle.\It appears that they're ripening. response:	It may be time to dig it up.
context: Zessica, wait!\Mikono...\I'm sorry for butting in.\Wait! Mikono! It's not like that!\Mikono!\They've had the Special Training of the Grave and that mock battle.\It appears that they're ripening.\It may be time to dig it up. response:	Yep, I got rejected.
context: Mikono...\I'm sorry for butting in.\Wait! Mikono! It's not like that!\Mikono!\They've had the Special Training of the Grave and that mock battle.\It appears that they're ripening.\It may be time to dig it up.\Yep, I got rejected. response:	So, today at lunch, I think you got the wrong...
context: I'm sorry for butting in.\Wait! Mikono! It's not like that!\Mikono!\They've had the Special Training of the Grave and that mock battle.\It appears that they're ripening.\It may be time to dig it up.\Yep, I got rejected.\So, today at lunch, I think you got the wrong... response:	Never mind. Forget I said anything.
context: Wait! Mikono! It's not like that!\Mikono!\They've had the Special Training of the Grave and that mock battle.\It appears that they're ripening.\It may be time to dig it up.\Yep, I got rejected.\So, today at lunch, I think you got the wrong...\Never mind. Forget I said anything. response:	What's the matter with you? Love is forbidden, remember?
context: Mikono!\They've had the Special Training of the Grave and that mock battle.\It appears that they're ripening.\It may be time to dig it up.\Yep, I got rejected.\So, today at lunch, I think you got the wrong...\Never mind. Forget I said anything.\What's the matter with you? Love is forbidden, remember? response:	People could have died in that battle!
context: They've had the Special Training of the Grave and that mock battle.\It appears that they're ripening.\It may be time to dig it up.\Yep, I got rejected.\So, today at lunch, I think you got the wrong...\Never mind. Forget I said anything.\What's the matter with you? Love is forbidden, remember?\People could have died in that battle! response:	Get love off of your minds!
context: It appears that they're ripening.\It may be time to dig it up.\Yep, I got rejected.\So, today at lunch, I think you got the wrong...\Never mind. Forget I said anything.\What's the matter with you? Love is forbidden, remember?\People could have died in that battle!\Get love off of your minds! response:	Guess so.
context: It may be time to dig it up.\Yep, I got rejected.\So, today at lunch, I think you got the wrong...\Never mind. Forget I said anything.\What's the matter with you? Love is forbidden, remember?\People could have died in that battle!\Get love off of your minds!\Guess so. response:	On the other hand, when we're all fighting side by side,
context: Yep, I got rejected.\So, today at lunch, I think you got the wrong...\Never mind. Forget I said anything.\What's the matter with you? Love is forbidden, remember?\People could have died in that battle!\Get love off of your minds!\Guess so.\On the other hand, when we're all fighting side by side, response:	that's the perfect time for passionate love to grow.
context: So, today at lunch, I think you got the wrong...\Never mind. Forget I said anything.\What's the matter with you? Love is forbidden, remember?\People could have died in that battle!\Get love off of your minds!\Guess so.\On the other hand, when we're all fighting side by side,\that's the perfect time for passionate love to grow. response:	It's a human instinct.
context: Never mind. Forget I said anything.\What's the matter with you? Love is forbidden, remember?\People could have died in that battle!\Get love off of your minds!\Guess so.\On the other hand, when we're all fighting side by side,\that's the perfect time for passionate love to grow.\It's a human instinct. response:	You want to persist your genetic information before putting your life on the line.
context: What's the matter with you? Love is forbidden, remember?\People could have died in that battle!\Get love off of your minds!\Guess so.\On the other hand, when we're all fighting side by side,\that's the perfect time for passionate love to grow.\It's a human instinct.\You want to persist your genetic information before putting your life on the line. response:	Genetic information?
context: People could have died in that battle!\Get love off of your minds!\Guess so.\On the other hand, when we're all fighting side by side,\that's the perfect time for passionate love to grow.\It's a human instinct.\You want to persist your genetic information before putting your life on the line.\Genetic information? response:	That's a mere physical Union!
context: Get love off of your minds!\Guess so.\On the other hand, when we're all fighting side by side,\that's the perfect time for passionate love to grow.\It's a human instinct.\You want to persist your genetic information before putting your life on the line.\Genetic information?\That's a mere physical Union! response:	I'm talking about pure love here!
context: Guess so.\On the other hand, when we're all fighting side by side,\that's the perfect time for passionate love to grow.\It's a human instinct.\You want to persist your genetic information before putting your life on the line.\Genetic information?\That's a mere physical Union!\I'm talking about pure love here! response:	But if I really wanted to die...
context: On the other hand, when we're all fighting side by side,\that's the perfect time for passionate love to grow.\It's a human instinct.\You want to persist your genetic information before putting your life on the line.\Genetic information?\That's a mere physical Union!\I'm talking about pure love here!\But if I really wanted to die... response:	I guess I'd want to leave my genes.
context: that's the perfect time for passionate love to grow.\It's a human instinct.\You want to persist your genetic information before putting your life on the line.\Genetic information?\That's a mere physical Union!\I'm talking about pure love here!\But if I really wanted to die...\I guess I'd want to leave my genes. response:	Emergency meeting?
context: It's a human instinct.\You want to persist your genetic information before putting your life on the line.\Genetic information?\That's a mere physical Union!\I'm talking about pure love here!\But if I really wanted to die...\I guess I'd want to leave my genes.\Emergency meeting? response:	Everyone is here, I see.
context: You want to persist your genetic information before putting your life on the line.\Genetic information?\That's a mere physical Union!\I'm talking about pure love here!\But if I really wanted to die...\I guess I'd want to leave my genes.\Emergency meeting?\Everyone is here, I see. response:	I would like to entrust you with a mission of utmost secrecy.
context: Genetic information?\That's a mere physical Union!\I'm talking about pure love here!\But if I really wanted to die...\I guess I'd want to leave my genes.\Emergency meeting?\Everyone is here, I see.\I would like to entrust you with a mission of utmost secrecy. response:	But did you have to notify us like this?
context: That's a mere physical Union!\I'm talking about pure love here!\But if I really wanted to die...\I guess I'd want to leave my genes.\Emergency meeting?\Everyone is here, I see.\I would like to entrust you with a mission of utmost secrecy.\But did you have to notify us like this? response:	So what's this top secret mission?
context: I'm talking about pure love here!\But if I really wanted to die...\I guess I'd want to leave my genes.\Emergency meeting?\Everyone is here, I see.\I would like to entrust you with a mission of utmost secrecy.\But did you have to notify us like this?\So what's this top secret mission? response:	You must go to a place, and dig up an item.
context: But if I really wanted to die...\I guess I'd want to leave my genes.\Emergency meeting?\Everyone is here, I see.\I would like to entrust you with a mission of utmost secrecy.\But did you have to notify us like this?\So what's this top secret mission?\You must go to a place, and dig up an item. response:	What's the item?
