context: Take this! response:	Bring it on!
context: Take this!\Bring it on! response:	Muscles!
context: Take this!\Bring it on!\Muscles! response:	Muscles coming through!
context: Take this!\Bring it on!\Muscles!\Muscles coming through! response:	There!
context: Take this!\Bring it on!\Muscles!\Muscles coming through!\There! response:	Alright!
context: Take this!\Bring it on!\Muscles!\Muscles coming through!\There!\Alright! response:	It's over here, Komari-kun.
context: Take this!\Bring it on!\Muscles!\Muscles coming through!\There!\Alright!\It's over here, Komari-kun. response:	Found you!
context: Take this!\Bring it on!\Muscles!\Muscles coming through!\There!\Alright!\It's over here, Komari-kun.\Found you! response:	Alright, let's end practice here.
context: Bring it on!\Muscles!\Muscles coming through!\There!\Alright!\It's over here, Komari-kun.\Found you!\Alright, let's end practice here. response:	Sure.
context: Muscles!\Muscles coming through!\There!\Alright!\It's over here, Komari-kun.\Found you!\Alright, let's end practice here.\Sure. response:	Okay.
context: Muscles coming through!\There!\Alright!\It's over here, Komari-kun.\Found you!\Alright, let's end practice here.\Sure.\Okay. response:	Rin-chan, Yui-chan, good work!
context: There!\Alright!\It's over here, Komari-kun.\Found you!\Alright, let's end practice here.\Sure.\Okay.\Rin-chan, Yui-chan, good work! response:	You're a very happy camper, Komari-kun.
context: Alright!\It's over here, Komari-kun.\Found you!\Alright, let's end practice here.\Sure.\Okay.\Rin-chan, Yui-chan, good work!\You're a very happy camper, Komari-kun. response:	Let me give you a pat on the head.
context: It's over here, Komari-kun.\Found you!\Alright, let's end practice here.\Sure.\Okay.\Rin-chan, Yui-chan, good work!\You're a very happy camper, Komari-kun.\Let me give you a pat on the head. response:	But where is this Yui-chan?
context: Found you!\Alright, let's end practice here.\Sure.\Okay.\Rin-chan, Yui-chan, good work!\You're a very happy camper, Komari-kun.\Let me give you a pat on the head.\But where is this Yui-chan? response:	Kurugaya Yuiko.
context: Alright, let's end practice here.\Sure.\Okay.\Rin-chan, Yui-chan, good work!\You're a very happy camper, Komari-kun.\Let me give you a pat on the head.\But where is this Yui-chan?\Kurugaya Yuiko. response:	What?!
context: Sure.\Okay.\Rin-chan, Yui-chan, good work!\You're a very happy camper, Komari-kun.\Let me give you a pat on the head.\But where is this Yui-chan?\Kurugaya Yuiko.\What?! response:	You mean me?!
context: Okay.\Rin-chan, Yui-chan, good work!\You're a very happy camper, Komari-kun.\Let me give you a pat on the head.\But where is this Yui-chan?\Kurugaya Yuiko.\What?!\You mean me?! response:	At least call me Kurugaya-chan!
context: Rin-chan, Yui-chan, good work!\You're a very happy camper, Komari-kun.\Let me give you a pat on the head.\But where is this Yui-chan?\Kurugaya Yuiko.\What?!\You mean me?!\At least call me Kurugaya-chan! response:	But you're Yui-chan.
context: You're a very happy camper, Komari-kun.\Let me give you a pat on the head.\But where is this Yui-chan?\Kurugaya Yuiko.\What?!\You mean me?!\At least call me Kurugaya-chan!\But you're Yui-chan. response:	I'll call you Komarimax, then!
context: Let me give you a pat on the head.\But where is this Yui-chan?\Kurugaya Yuiko.\What?!\You mean me?!\At least call me Kurugaya-chan!\But you're Yui-chan.\I'll call you Komarimax, then! response:	Komarimax
context: But where is this Yui-chan?\Kurugaya Yuiko.\What?!\You mean me?!\At least call me Kurugaya-chan!\But you're Yui-chan.\I'll call you Komarimax, then!\Komarimax response:	Komarimax
context: Kurugaya Yuiko.\What?!\You mean me?!\At least call me Kurugaya-chan!\But you're Yui-chan.\I'll call you Komarimax, then!\Komarimax\Komarimax response:	Komarimax
context: What?!\You mean me?!\At least call me Kurugaya-chan!\But you're Yui-chan.\I'll call you Komarimax, then!\Komarimax\Komarimax\Komarimax response:	Komarimax
context: You mean me?!\At least call me Kurugaya-chan!\But you're Yui-chan.\I'll call you Komarimax, then!\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: At least call me Kurugaya-chan!\But you're Yui-chan.\I'll call you Komarimax, then!\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: But you're Yui-chan.\I'll call you Komarimax, then!\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: I'll call you Komarimax, then!\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	How's that? Embarrassing, right?
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\How's that? Embarrassing, right? response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\How's that? Embarrassing, right?\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\How's that? Embarrassing, right?\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\How's that? Embarrassing, right?\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\How's that? Embarrassing, right?\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\How's that? Embarrassing, right?\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\How's that? Embarrassing, right?\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: How's that? Embarrassing, right?\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Komarimax
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax response:	Sure. I don't mind.
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Sure. I don't mind. response:	Speaking of which, can you call her Komari-chan yet, Rin?
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Sure. I don't mind.\Speaking of which, can you call her Komari-chan yet, Rin? response:	It seems that the younger Natsume is quite shy.
context: Komarimax\Komarimax\Komarimax\Komarimax\Komarimax\Sure. I don't mind.\Speaking of which, can you call her Komari-chan yet, Rin?\It seems that the younger Natsume is quite shy. response:	Here.
context: Komarimax\Komarimax\Komarimax\Komarimax\Sure. I don't mind.\Speaking of which, can you call her Komari-chan yet, Rin?\It seems that the younger Natsume is quite shy.\Here. response:	Komari-chan
context: Komarimax\Komarimax\Komarimax\Sure. I don't mind.\Speaking of which, can you call her Komari-chan yet, Rin?\It seems that the younger Natsume is quite shy.\Here.\Komari-chan response:	Komari-chan
context: Komarimax\Komarimax\Sure. I don't mind.\Speaking of which, can you call her Komari-chan yet, Rin?\It seems that the younger Natsume is quite shy.\Here.\Komari-chan\Komari-chan response:	Komari-chan
context: Komarimax\Sure. I don't mind.\Speaking of which, can you call her Komari-chan yet, Rin?\It seems that the younger Natsume is quite shy.\Here.\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Sure. I don't mind.\Speaking of which, can you call her Komari-chan yet, Rin?\It seems that the younger Natsume is quite shy.\Here.\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Speaking of which, can you call her Komari-chan yet, Rin?\It seems that the younger Natsume is quite shy.\Here.\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: It seems that the younger Natsume is quite shy.\Here.\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Here.\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
context: Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan\Komari-chan response:	Komari-chan
