context: To grant my wishes? response:	Yep.
context: To grant my wishes?\Yep. response:	Noel.
context: To grant my wishes?\Yep.\Noel. response:	From seven years ago.
context: To grant my wishes?\Yep.\Noel.\From seven years ago. response:	What?
context: To grant my wishes?\Yep.\Noel.\From seven years ago.\What? response:	No, I mean
context: To grant my wishes?\Yep.\Noel.\From seven years ago.\What?\No, I mean response:	Nonoka.
context: To grant my wishes?\Yep.\Noel.\From seven years ago.\What?\No, I mean\Nonoka. response:	It can't be.
context: To grant my wishes?\Yep.\Noel.\From seven years ago.\What?\No, I mean\Nonoka.\It can't be. response:	Here, Nonoka.
context: Yep.\Noel.\From seven years ago.\What?\No, I mean\Nonoka.\It can't be.\Here, Nonoka. response:	Thanks, Noel.
context: Noel.\From seven years ago.\What?\No, I mean\Nonoka.\It can't be.\Here, Nonoka.\Thanks, Noel. response:	Their Promise
context: From seven years ago.\What?\No, I mean\Nonoka.\It can't be.\Here, Nonoka.\Thanks, Noel.\Their Promise response:	Nice weather.
context: What?\No, I mean\Nonoka.\It can't be.\Here, Nonoka.\Thanks, Noel.\Their Promise\Nice weather. response:	Morning, Dad.
context: No, I mean\Nonoka.\It can't be.\Here, Nonoka.\Thanks, Noel.\Their Promise\Nice weather.\Morning, Dad. response:	Morning.
context: Nonoka.\It can't be.\Here, Nonoka.\Thanks, Noel.\Their Promise\Nice weather.\Morning, Dad.\Morning. response:	Two eggs, right?
context: It can't be.\Here, Nonoka.\Thanks, Noel.\Their Promise\Nice weather.\Morning, Dad.\Morning.\Two eggs, right? response:	Sure.
context: Here, Nonoka.\Thanks, Noel.\Their Promise\Nice weather.\Morning, Dad.\Morning.\Two eggs, right?\Sure. response:	Saucer management funds to be increased.
context: Thanks, Noel.\Their Promise\Nice weather.\Morning, Dad.\Morning.\Two eggs, right?\Sure.\Saucer management funds to be increased. response:	Soft-boiled?
context: Their Promise\Nice weather.\Morning, Dad.\Morning.\Two eggs, right?\Sure.\Saucer management funds to be increased.\Soft-boiled? response:	Whatever.
context: Nice weather.\Morning, Dad.\Morning.\Two eggs, right?\Sure.\Saucer management funds to be increased.\Soft-boiled?\Whatever. response:	Don't you need to get dressed?
context: Morning, Dad.\Morning.\Two eggs, right?\Sure.\Saucer management funds to be increased.\Soft-boiled?\Whatever.\Don't you need to get dressed? response:	You're not one to talk.
context: Morning.\Two eggs, right?\Sure.\Saucer management funds to be increased.\Soft-boiled?\Whatever.\Don't you need to get dressed?\You're not one to talk. response:	As long as you aren't going to be late.
context: Two eggs, right?\Sure.\Saucer management funds to be increased.\Soft-boiled?\Whatever.\Don't you need to get dressed?\You're not one to talk.\As long as you aren't going to be late. response:	Late? For what?
context: Sure.\Saucer management funds to be increased.\Soft-boiled?\Whatever.\Don't you need to get dressed?\You're not one to talk.\As long as you aren't going to be late.\Late? For what? response:	School.
context: Saucer management funds to be increased.\Soft-boiled?\Whatever.\Don't you need to get dressed?\You're not one to talk.\As long as you aren't going to be late.\Late? For what?\School. response:	Isn't it the opening ceremony today?
context: Soft-boiled?\Whatever.\Don't you need to get dressed?\You're not one to talk.\As long as you aren't going to be late.\Late? For what?\School.\Isn't it the opening ceremony today? response:	No way, it's still August.
context: Whatever.\Don't you need to get dressed?\You're not one to talk.\As long as you aren't going to be late.\Late? For what?\School.\Isn't it the opening ceremony today?\No way, it's still August. response:	It's earlier than in Tokyo.
context: Don't you need to get dressed?\You're not one to talk.\As long as you aren't going to be late.\Late? For what?\School.\Isn't it the opening ceremony today?\No way, it's still August.\It's earlier than in Tokyo. response:	Why didn't you tell me sooner?
context: You're not one to talk.\As long as you aren't going to be late.\Late? For what?\School.\Isn't it the opening ceremony today?\No way, it's still August.\It's earlier than in Tokyo.\Why didn't you tell me sooner? response:	I thought you'd know, since it's the same as in elementary school.
context: As long as you aren't going to be late.\Late? For what?\School.\Isn't it the opening ceremony today?\No way, it's still August.\It's earlier than in Tokyo.\Why didn't you tell me sooner?\I thought you'd know, since it's the same as in elementary school. response:	I wouldn't remember that.
context: Late? For what?\School.\Isn't it the opening ceremony today?\No way, it's still August.\It's earlier than in Tokyo.\Why didn't you tell me sooner?\I thought you'd know, since it's the same as in elementary school.\I wouldn't remember that. response:	Can you toast the bread?
context: School.\Isn't it the opening ceremony today?\No way, it's still August.\It's earlier than in Tokyo.\Why didn't you tell me sooner?\I thought you'd know, since it's the same as in elementary school.\I wouldn't remember that.\Can you toast the bread? response:	Fine, fine.
context: Isn't it the opening ceremony today?\No way, it's still August.\It's earlier than in Tokyo.\Why didn't you tell me sooner?\I thought you'd know, since it's the same as in elementary school.\I wouldn't remember that.\Can you toast the bread?\Fine, fine. response:	Dad, you idiot.
context: No way, it's still August.\It's earlier than in Tokyo.\Why didn't you tell me sooner?\I thought you'd know, since it's the same as in elementary school.\I wouldn't remember that.\Can you toast the bread?\Fine, fine.\Dad, you idiot. response:	I'm Komiya Nonoka.
context: It's earlier than in Tokyo.\Why didn't you tell me sooner?\I thought you'd know, since it's the same as in elementary school.\I wouldn't remember that.\Can you toast the bread?\Fine, fine.\Dad, you idiot.\I'm Komiya Nonoka. response:	Nice to meet you.
context: Why didn't you tell me sooner?\I thought you'd know, since it's the same as in elementary school.\I wouldn't remember that.\Can you toast the bread?\Fine, fine.\Dad, you idiot.\I'm Komiya Nonoka.\Nice to meet you. response:	You should smile a little more.
context: I thought you'd know, since it's the same as in elementary school.\I wouldn't remember that.\Can you toast the bread?\Fine, fine.\Dad, you idiot.\I'm Komiya Nonoka.\Nice to meet you.\You should smile a little more. response:	The eggs weren't even soft-boiled.
context: I wouldn't remember that.\Can you toast the bread?\Fine, fine.\Dad, you idiot.\I'm Komiya Nonoka.\Nice to meet you.\You should smile a little more.\The eggs weren't even soft-boiled. response:	You said whatever.
context: Can you toast the bread?\Fine, fine.\Dad, you idiot.\I'm Komiya Nonoka.\Nice to meet you.\You should smile a little more.\The eggs weren't even soft-boiled.\You said whatever. response:	Be careful.
context: Fine, fine.\Dad, you idiot.\I'm Komiya Nonoka.\Nice to meet you.\You should smile a little more.\The eggs weren't even soft-boiled.\You said whatever.\Be careful. response:	I'm leaving.
context: Dad, you idiot.\I'm Komiya Nonoka.\Nice to meet you.\You should smile a little more.\The eggs weren't even soft-boiled.\You said whatever.\Be careful.\I'm leaving. response:	Nonoka.
context: I'm Komiya Nonoka.\Nice to meet you.\You should smile a little more.\The eggs weren't even soft-boiled.\You said whatever.\Be careful.\I'm leaving.\Nonoka. response:	Noel?!
context: Nice to meet you.\You should smile a little more.\The eggs weren't even soft-boiled.\You said whatever.\Be careful.\I'm leaving.\Nonoka.\Noel?! response:	I'm here to see you.
context: You should smile a little more.\The eggs weren't even soft-boiled.\You said whatever.\Be careful.\I'm leaving.\Nonoka.\Noel?!\I'm here to see you. response:	Sorry, I don't have time, thanks to Dad.
context: The eggs weren't even soft-boiled.\You said whatever.\Be careful.\I'm leaving.\Nonoka.\Noel?!\I'm here to see you.\Sorry, I don't have time, thanks to Dad. response:	See you later.
context: You said whatever.\Be careful.\I'm leaving.\Nonoka.\Noel?!\I'm here to see you.\Sorry, I don't have time, thanks to Dad.\See you later. response:	See you.
context: Be careful.\I'm leaving.\Nonoka.\Noel?!\I'm here to see you.\Sorry, I don't have time, thanks to Dad.\See you later.\See you. response:	Did you find the lost child?
context: I'm leaving.\Nonoka.\Noel?!\I'm here to see you.\Sorry, I don't have time, thanks to Dad.\See you later.\See you.\Did you find the lost child? response:	So you weren't a tourist.
context: Nonoka.\Noel?!\I'm here to see you.\Sorry, I don't have time, thanks to Dad.\See you later.\See you.\Did you find the lost child?\So you weren't a tourist. response:	Nope.
context: Noel?!\I'm here to see you.\Sorry, I don't have time, thanks to Dad.\See you later.\See you.\Did you find the lost child?\So you weren't a tourist.\Nope. response:	I just moved here.
context: I'm here to see you.\Sorry, I don't have time, thanks to Dad.\See you later.\See you.\Did you find the lost child?\So you weren't a tourist.\Nope.\I just moved here. response:	Do you know which class you're in?
context: Sorry, I don't have time, thanks to Dad.\See you later.\See you.\Did you find the lost child?\So you weren't a tourist.\Nope.\I just moved here.\Do you know which class you're in? response:	No, not yet.
context: See you later.\See you.\Did you find the lost child?\So you weren't a tourist.\Nope.\I just moved here.\Do you know which class you're in?\No, not yet. response:	There aren't too many people going from this town.
context: See you.\Did you find the lost child?\So you weren't a tourist.\Nope.\I just moved here.\Do you know which class you're in?\No, not yet.\There aren't too many people going from this town. response:	Really?
context: Did you find the lost child?\So you weren't a tourist.\Nope.\I just moved here.\Do you know which class you're in?\No, not yet.\There aren't too many people going from this town.\Really? response:	Yeah.
context: So you weren't a tourist.\Nope.\I just moved here.\Do you know which class you're in?\No, not yet.\There aren't too many people going from this town.\Really?\Yeah. response:	I hope we're in the same class.
context: Nope.\I just moved here.\Do you know which class you're in?\No, not yet.\There aren't too many people going from this town.\Really?\Yeah.\I hope we're in the same class. response:	Yeah, me, too.
context: I just moved here.\Do you know which class you're in?\No, not yet.\There aren't too many people going from this town.\Really?\Yeah.\I hope we're in the same class.\Yeah, me, too. response:	I'm Komiya Nonoka.
context: Do you know which class you're in?\No, not yet.\There aren't too many people going from this town.\Really?\Yeah.\I hope we're in the same class.\Yeah, me, too.\I'm Komiya Nonoka. response:	Nice to meet you.
context: No, not yet.\There aren't too many people going from this town.\Really?\Yeah.\I hope we're in the same class.\Yeah, me, too.\I'm Komiya Nonoka.\Nice to meet you. response:	Okay, everyone, be good to her.
context: There aren't too many people going from this town.\Really?\Yeah.\I hope we're in the same class.\Yeah, me, too.\I'm Komiya Nonoka.\Nice to meet you.\Okay, everyone, be good to her. response:	Komiya-san, your seat is in the very back of the second row.
context: Really?\Yeah.\I hope we're in the same class.\Yeah, me, too.\I'm Komiya Nonoka.\Nice to meet you.\Okay, everyone, be good to her.\Komiya-san, your seat is in the very back of the second row. response:	Hey...
context: Yeah.\I hope we're in the same class.\Yeah, me, too.\I'm Komiya Nonoka.\Nice to meet you.\Okay, everyone, be good to her.\Komiya-san, your seat is in the very back of the second row.\Hey... response:	Hey!
context: I hope we're in the same class.\Yeah, me, too.\I'm Komiya Nonoka.\Nice to meet you.\Okay, everyone, be good to her.\Komiya-san, your seat is in the very back of the second row.\Hey...\Hey! response:	Don't you dare touch me.
context: Yeah, me, too.\I'm Komiya Nonoka.\Nice to meet you.\Okay, everyone, be good to her.\Komiya-san, your seat is in the very back of the second row.\Hey...\Hey!\Don't you dare touch me. response:	You could have said something if you knew.
context: I'm Komiya Nonoka.\Nice to meet you.\Okay, everyone, be good to her.\Komiya-san, your seat is in the very back of the second row.\Hey...\Hey!\Don't you dare touch me.\You could have said something if you knew. response:	Why?
context: Nice to meet you.\Okay, everyone, be good to her.\Komiya-san, your seat is in the very back of the second row.\Hey...\Hey!\Don't you dare touch me.\You could have said something if you knew.\Why? response:	We met by the lake before, right?
context: Okay, everyone, be good to her.\Komiya-san, your seat is in the very back of the second row.\Hey...\Hey!\Don't you dare touch me.\You could have said something if you knew.\Why?\We met by the lake before, right? response:	So?
context: Komiya-san, your seat is in the very back of the second row.\Hey...\Hey!\Don't you dare touch me.\You could have said something if you knew.\Why?\We met by the lake before, right?\So? response:	I wanted to know why you said what you did.
context: Hey...\Hey!\Don't you dare touch me.\You could have said something if you knew.\Why?\We met by the lake before, right?\So?\I wanted to know why you said what you did. response:	Is Nonoka done yet?
context: Hey!\Don't you dare touch me.\You could have said something if you knew.\Why?\We met by the lake before, right?\So?\I wanted to know why you said what you did.\Is Nonoka done yet? response:	Komiya-san, let's go home together.
context: Don't you dare touch me.\You could have said something if you knew.\Why?\We met by the lake before, right?\So?\I wanted to know why you said what you did.\Is Nonoka done yet?\Komiya-san, let's go home together. response:	You can call me Nonoka.
context: You could have said something if you knew.\Why?\We met by the lake before, right?\So?\I wanted to know why you said what you did.\Is Nonoka done yet?\Komiya-san, let's go home together.\You can call me Nonoka. response:	You can call me Koharu, too, then.
context: Why?\We met by the lake before, right?\So?\I wanted to know why you said what you did.\Is Nonoka done yet?\Komiya-san, let's go home together.\You can call me Nonoka.\You can call me Koharu, too, then. response:	Do you live by the lake?
context: We met by the lake before, right?\So?\I wanted to know why you said what you did.\Is Nonoka done yet?\Komiya-san, let's go home together.\You can call me Nonoka.\You can call me Koharu, too, then.\Do you live by the lake? response:	Yeah,
context: So?\I wanted to know why you said what you did.\Is Nonoka done yet?\Komiya-san, let's go home together.\You can call me Nonoka.\You can call me Koharu, too, then.\Do you live by the lake?\Yeah, response:	but it's more towards the mountains.
context: I wanted to know why you said what you did.\Is Nonoka done yet?\Komiya-san, let's go home together.\You can call me Nonoka.\You can call me Koharu, too, then.\Do you live by the lake?\Yeah,\but it's more towards the mountains. response:	So in the morning
context: Is Nonoka done yet?\Komiya-san, let's go home together.\You can call me Nonoka.\You can call me Koharu, too, then.\Do you live by the lake?\Yeah,\but it's more towards the mountains.\So in the morning response:	Hold it!
context: Komiya-san, let's go home together.\You can call me Nonoka.\You can call me Koharu, too, then.\Do you live by the lake?\Yeah,\but it's more towards the mountains.\So in the morning\Hold it! response:	Um...
context: You can call me Nonoka.\You can call me Koharu, too, then.\Do you live by the lake?\Yeah,\but it's more towards the mountains.\So in the morning\Hold it!\Um... response:	Mizusaka Yuzuki.
context: You can call me Koharu, too, then.\Do you live by the lake?\Yeah,\but it's more towards the mountains.\So in the morning\Hold it!\Um...\Mizusaka Yuzuki. response:	Is it true what you just said?
context: Do you live by the lake?\Yeah,\but it's more towards the mountains.\So in the morning\Hold it!\Um...\Mizusaka Yuzuki.\Is it true what you just said? response:	Did you really just move here?
context: Yeah,\but it's more towards the mountains.\So in the morning\Hold it!\Um...\Mizusaka Yuzuki.\Is it true what you just said?\Did you really just move here? response:	Yes...?
context: but it's more towards the mountains.\So in the morning\Hold it!\Um...\Mizusaka Yuzuki.\Is it true what you just said?\Did you really just move here?\Yes...? response:	Come with me.
context: So in the morning\Hold it!\Um...\Mizusaka Yuzuki.\Is it true what you just said?\Did you really just move here?\Yes...?\Come with me. response:	What?
context: Hold it!\Um...\Mizusaka Yuzuki.\Is it true what you just said?\Did you really just move here?\Yes...?\Come with me.\What? response:	H-Hey!
context: Um...\Mizusaka Yuzuki.\Is it true what you just said?\Did you really just move here?\Yes...?\Come with me.\What?\H-Hey! response:	Just come.
context: Mizusaka Yuzuki.\Is it true what you just said?\Did you really just move here?\Yes...?\Come with me.\What?\H-Hey!\Just come. response:	Wait, Mizusaka-san.
context: Is it true what you just said?\Did you really just move here?\Yes...?\Come with me.\What?\H-Hey!\Just come.\Wait, Mizusaka-san. response:	Did you need something from me?
context: Did you really just move here?\Yes...?\Come with me.\What?\H-Hey!\Just come.\Wait, Mizusaka-san.\Did you need something from me? response:	Tell me straight up what you think.
context: Yes...?\Come with me.\What?\H-Hey!\Just come.\Wait, Mizusaka-san.\Did you need something from me?\Tell me straight up what you think. response:	About what?
context: Come with me.\What?\H-Hey!\Just come.\Wait, Mizusaka-san.\Did you need something from me?\Tell me straight up what you think.\About what? response:	Isn't it obvious?
context: What?\H-Hey!\Just come.\Wait, Mizusaka-san.\Did you need something from me?\Tell me straight up what you think.\About what?\Isn't it obvious? response:	Do you like it?
context: H-Hey!\Just come.\Wait, Mizusaka-san.\Did you need something from me?\Tell me straight up what you think.\About what?\Isn't it obvious?\Do you like it? response:	Do you hate it?
context: Just come.\Wait, Mizusaka-san.\Did you need something from me?\Tell me straight up what you think.\About what?\Isn't it obvious?\Do you like it?\Do you hate it? response:	The saucer!
context: Wait, Mizusaka-san.\Did you need something from me?\Tell me straight up what you think.\About what?\Isn't it obvious?\Do you like it?\Do you hate it?\The saucer! response:	Excuse me, two fresh ginger ales.
context: Did you need something from me?\Tell me straight up what you think.\About what?\Isn't it obvious?\Do you like it?\Do you hate it?\The saucer!\Excuse me, two fresh ginger ales. response:	That's okay with you, right?
context: Tell me straight up what you think.\About what?\Isn't it obvious?\Do you like it?\Do you hate it?\The saucer!\Excuse me, two fresh ginger ales.\That's okay with you, right? response:	Sure, anything's fine.
context: About what?\Isn't it obvious?\Do you like it?\Do you hate it?\The saucer!\Excuse me, two fresh ginger ales.\That's okay with you, right?\Sure, anything's fine. response:	So, where were we?
context: Isn't it obvious?\Do you like it?\Do you hate it?\The saucer!\Excuse me, two fresh ginger ales.\That's okay with you, right?\Sure, anything's fine.\So, where were we? response:	We're continuing this?
context: Do you like it?\Do you hate it?\The saucer!\Excuse me, two fresh ginger ales.\That's okay with you, right?\Sure, anything's fine.\So, where were we?\We're continuing this? response:	Of course, it's important.
context: Do you hate it?\The saucer!\Excuse me, two fresh ginger ales.\That's okay with you, right?\Sure, anything's fine.\So, where were we?\We're continuing this?\Of course, it's important. response:	Calm down, okay?
context: The saucer!\Excuse me, two fresh ginger ales.\That's okay with you, right?\Sure, anything's fine.\So, where were we?\We're continuing this?\Of course, it's important.\Calm down, okay? response:	You might not know,
context: Excuse me, two fresh ginger ales.\That's okay with you, right?\Sure, anything's fine.\So, where were we?\We're continuing this?\Of course, it's important.\Calm down, okay?\You might not know, response:	but it was a huge mess seven years ago.
context: That's okay with you, right?\Sure, anything's fine.\So, where were we?\We're continuing this?\Of course, it's important.\Calm down, okay?\You might not know,\but it was a huge mess seven years ago. response:	I saw it on the news, so I kind of remember.
context: Sure, anything's fine.\So, where were we?\We're continuing this?\Of course, it's important.\Calm down, okay?\You might not know,\but it was a huge mess seven years ago.\I saw it on the news, so I kind of remember. response:	Besides, around that time, I
context: So, where were we?\We're continuing this?\Of course, it's important.\Calm down, okay?\You might not know,\but it was a huge mess seven years ago.\I saw it on the news, so I kind of remember.\Besides, around that time, I response:	Some things you just have to be there to understand.
context: We're continuing this?\Of course, it's important.\Calm down, okay?\You might not know,\but it was a huge mess seven years ago.\I saw it on the news, so I kind of remember.\Besides, around that time, I\Some things you just have to be there to understand. response:	A saucer just showed up out of nowhere and parked at the lake.
context: Of course, it's important.\Calm down, okay?\You might not know,\but it was a huge mess seven years ago.\I saw it on the news, so I kind of remember.\Besides, around that time, I\Some things you just have to be there to understand.\A saucer just showed up out of nowhere and parked at the lake. response:	Yet no one even cares anymore!
context: Calm down, okay?\You might not know,\but it was a huge mess seven years ago.\I saw it on the news, so I kind of remember.\Besides, around that time, I\Some things you just have to be there to understand.\A saucer just showed up out of nowhere and parked at the lake.\Yet no one even cares anymore! response:	Okay, come on.
context: You might not know,\but it was a huge mess seven years ago.\I saw it on the news, so I kind of remember.\Besides, around that time, I\Some things you just have to be there to understand.\A saucer just showed up out of nowhere and parked at the lake.\Yet no one even cares anymore!\Okay, come on. response:	Our drinks are here, too.
context: but it was a huge mess seven years ago.\I saw it on the news, so I kind of remember.\Besides, around that time, I\Some things you just have to be there to understand.\A saucer just showed up out of nowhere and parked at the lake.\Yet no one even cares anymore!\Okay, come on.\Our drinks are here, too. response:	Seriously, that saucer caused
context: I saw it on the news, so I kind of remember.\Besides, around that time, I\Some things you just have to be there to understand.\A saucer just showed up out of nowhere and parked at the lake.\Yet no one even cares anymore!\Okay, come on.\Our drinks are here, too.\Seriously, that saucer caused response:	Here, you can have mine.
context: Besides, around that time, I\Some things you just have to be there to understand.\A saucer just showed up out of nowhere and parked at the lake.\Yet no one even cares anymore!\Okay, come on.\Our drinks are here, too.\Seriously, that saucer caused\Here, you can have mine. response:	But I don't think the townspeople mind it.
context: Some things you just have to be there to understand.\A saucer just showed up out of nowhere and parked at the lake.\Yet no one even cares anymore!\Okay, come on.\Our drinks are here, too.\Seriously, that saucer caused\Here, you can have mine.\But I don't think the townspeople mind it. response:	They're all being fooled.
context: A saucer just showed up out of nowhere and parked at the lake.\Yet no one even cares anymore!\Okay, come on.\Our drinks are here, too.\Seriously, that saucer caused\Here, you can have mine.\But I don't think the townspeople mind it.\They're all being fooled. response:	By who?
context: Yet no one even cares anymore!\Okay, come on.\Our drinks are here, too.\Seriously, that saucer caused\Here, you can have mine.\But I don't think the townspeople mind it.\They're all being fooled.\By who? response:	The saucer.
context: Okay, come on.\Our drinks are here, too.\Seriously, that saucer caused\Here, you can have mine.\But I don't think the townspeople mind it.\They're all being fooled.\By who?\The saucer. response:	Obviously.
context: Our drinks are here, too.\Seriously, that saucer caused\Here, you can have mine.\But I don't think the townspeople mind it.\They're all being fooled.\By who?\The saucer.\Obviously. response:	It's just been pretending to sit there for seven years.
context: Seriously, that saucer caused\Here, you can have mine.\But I don't think the townspeople mind it.\They're all being fooled.\By who?\The saucer.\Obviously.\It's just been pretending to sit there for seven years. response:	What is it really up to?
context: Here, you can have mine.\But I don't think the townspeople mind it.\They're all being fooled.\By who?\The saucer.\Obviously.\It's just been pretending to sit there for seven years.\What is it really up to? response:	The town's safety is more and more at risk every day.
context: But I don't think the townspeople mind it.\They're all being fooled.\By who?\The saucer.\Obviously.\It's just been pretending to sit there for seven years.\What is it really up to?\The town's safety is more and more at risk every day. response:	We have to do something about it before it's too late.
context: They're all being fooled.\By who?\The saucer.\Obviously.\It's just been pretending to sit there for seven years.\What is it really up to?\The town's safety is more and more at risk every day.\We have to do something about it before it's too late. response:	I think the town's as safe as it could be.
context: By who?\The saucer.\Obviously.\It's just been pretending to sit there for seven years.\What is it really up to?\The town's safety is more and more at risk every day.\We have to do something about it before it's too late.\I think the town's as safe as it could be. response:	The saucer versus a friend in need,
context: The saucer.\Obviously.\It's just been pretending to sit there for seven years.\What is it really up to?\The town's safety is more and more at risk every day.\We have to do something about it before it's too late.\I think the town's as safe as it could be.\The saucer versus a friend in need, response:	whose side are you on?
context: Obviously.\It's just been pretending to sit there for seven years.\What is it really up to?\The town's safety is more and more at risk every day.\We have to do something about it before it's too late.\I think the town's as safe as it could be.\The saucer versus a friend in need,\whose side are you on? response:	Well, a friend in need, but...
