context: Hanasaku Iroha response:	Mom,
context: Hanasaku Iroha\Mom, response:	I'm not actually your child.
context: Hanasaku Iroha\Mom,\I'm not actually your child. response:	Your friend, an ailing jazz singer,
context: Hanasaku Iroha\Mom,\I'm not actually your child.\Your friend, an ailing jazz singer, response:	had a child with an American soldier who arrived at port.
context: Hanasaku Iroha\Mom,\I'm not actually your child.\Your friend, an ailing jazz singer,\had a child with an American soldier who arrived at port. response:	First of all, I don't have female friends.
context: Hanasaku Iroha\Mom,\I'm not actually your child.\Your friend, an ailing jazz singer,\had a child with an American soldier who arrived at port.\First of all, I don't have female friends. response:	Secondly, that's not something a child confesses to their mother.
context: Hanasaku Iroha\Mom,\I'm not actually your child.\Your friend, an ailing jazz singer,\had a child with an American soldier who arrived at port.\First of all, I don't have female friends.\Secondly, that's not something a child confesses to their mother. response:	Was worth a shot.
context: Hanasaku Iroha\Mom,\I'm not actually your child.\Your friend, an ailing jazz singer,\had a child with an American soldier who arrived at port.\First of all, I don't have female friends.\Secondly, that's not something a child confesses to their mother.\Was worth a shot. response:	Little miss Ohana, do you know how babies are made?
context: Mom,\I'm not actually your child.\Your friend, an ailing jazz singer,\had a child with an American soldier who arrived at port.\First of all, I don't have female friends.\Secondly, that's not something a child confesses to their mother.\Was worth a shot.\Little miss Ohana, do you know how babies are made? response:	I prefer the stork theory over the cabbage patch theory.
context: I'm not actually your child.\Your friend, an ailing jazz singer,\had a child with an American soldier who arrived at port.\First of all, I don't have female friends.\Secondly, that's not something a child confesses to their mother.\Was worth a shot.\Little miss Ohana, do you know how babies are made?\I prefer the stork theory over the cabbage patch theory. response:	Same here.
context: Your friend, an ailing jazz singer,\had a child with an American soldier who arrived at port.\First of all, I don't have female friends.\Secondly, that's not something a child confesses to their mother.\Was worth a shot.\Little miss Ohana, do you know how babies are made?\I prefer the stork theory over the cabbage patch theory.\Same here. response:	Digging up babies from a cabbage patch sounds quite deranged.
context: had a child with an American soldier who arrived at port.\First of all, I don't have female friends.\Secondly, that's not something a child confesses to their mother.\Was worth a shot.\Little miss Ohana, do you know how babies are made?\I prefer the stork theory over the cabbage patch theory.\Same here.\Digging up babies from a cabbage patch sounds quite deranged. response:	Crap, a deadline reminder call!
context: First of all, I don't have female friends.\Secondly, that's not something a child confesses to their mother.\Was worth a shot.\Little miss Ohana, do you know how babies are made?\I prefer the stork theory over the cabbage patch theory.\Same here.\Digging up babies from a cabbage patch sounds quite deranged.\Crap, a deadline reminder call! response:	Quick! Get it!
context: Secondly, that's not something a child confesses to their mother.\Was worth a shot.\Little miss Ohana, do you know how babies are made?\I prefer the stork theory over the cabbage patch theory.\Same here.\Digging up babies from a cabbage patch sounds quite deranged.\Crap, a deadline reminder call!\Quick! Get it! response:	Me?
context: Was worth a shot.\Little miss Ohana, do you know how babies are made?\I prefer the stork theory over the cabbage patch theory.\Same here.\Digging up babies from a cabbage patch sounds quite deranged.\Crap, a deadline reminder call!\Quick! Get it!\Me? response:	Just do it!
context: Little miss Ohana, do you know how babies are made?\I prefer the stork theory over the cabbage patch theory.\Same here.\Digging up babies from a cabbage patch sounds quite deranged.\Crap, a deadline reminder call!\Quick! Get it!\Me?\Just do it! response:	But my hands are wet!
context: I prefer the stork theory over the cabbage patch theory.\Same here.\Digging up babies from a cabbage patch sounds quite deranged.\Crap, a deadline reminder call!\Quick! Get it!\Me?\Just do it!\But my hands are wet! response:	Hello, Matsumae residence.
context: Same here.\Digging up babies from a cabbage patch sounds quite deranged.\Crap, a deadline reminder call!\Quick! Get it!\Me?\Just do it!\But my hands are wet!\Hello, Matsumae residence. response:	Oh, hi.
context: Digging up babies from a cabbage patch sounds quite deranged.\Crap, a deadline reminder call!\Quick! Get it!\Me?\Just do it!\But my hands are wet!\Hello, Matsumae residence.\Oh, hi. response:	It's your boyfriend.
context: Crap, a deadline reminder call!\Quick! Get it!\Me?\Just do it!\But my hands are wet!\Hello, Matsumae residence.\Oh, hi.\It's your boyfriend. response:	What?
context: Quick! Get it!\Me?\Just do it!\But my hands are wet!\Hello, Matsumae residence.\Oh, hi.\It's your boyfriend.\What? response:	Sorry, honey!
context: Me?\Just do it!\But my hands are wet!\Hello, Matsumae residence.\Oh, hi.\It's your boyfriend.\What?\Sorry, honey! response:	I've been so busy!
context: Just do it!\But my hands are wet!\Hello, Matsumae residence.\Oh, hi.\It's your boyfriend.\What?\Sorry, honey!\I've been so busy! response:	The editors are being so mean to me!
context: But my hands are wet!\Hello, Matsumae residence.\Oh, hi.\It's your boyfriend.\What?\Sorry, honey!\I've been so busy!\The editors are being so mean to me! response:	Are you coming over tonight?
