name,line
Raiden," Hello	 No salutations needed. My exalted status shall not be disclosed as we travel among the common folk. I acknowledge that you are a person of superior ability. Henceforth, you will be my guard. Worry not. Should any danger arise, I shall dispose of it."
Raiden, Idleness	 Inactivity serves no purpose whatsoever. Hmph.
Raiden, The Mortal World	 The world remains constant over the centuries. But human life is like the dew at dawn or a bubble rising through water. Transitory.
Raiden, Worldly Beauty	 All the world holds dear is but a backdrop of constant motion. I stand before it alone and unchanging.
Raiden,	 Rainfall alone does not constitute a storm. Thunder is required.
Raiden,	 The Winter Shogun approaches.
Raiden,	 Clear skies can do nothing to hide the brilliance of lightning. Divine bolts can strike even in the absence of rain. Do you see that tree? Wait...you understand? So... demonstration is not required? Good.
Raiden,"	 Yawning without covering your mouth? Uncouth. I will pardon your rudeness this time. Good morning to you, too."
Raiden,	 I command the thunder in all corners of the world to cease. Rest well tonight.
Raiden," Transience	 Thunder's roar and lightning's flash. So ephemeral. This is why reaching Eternity is desirable. ...Actually, this is why reaching Eternity is necessary."
Raiden," Eternity	 Erosion is a terrible thing. This body's purpose is to withstand wear and tear, that the one within might achieve Eternity."
Raiden," Okuzumeshuu	 I declare you my chamberlain. In other words, according to my judgment, you are useful to the Shogunate and loyal to me."
Raiden," Kamisato... One of the most distinguished clans in all of Inazuma. Despite Ayato's trickery in regard to the Tri-Commission's affairs, he is nevertheless a loyal subject. His past misdeeds shall be excused."
Raiden," A loyal and righteous subject, and an accomplished warrior. She is worthy to be called a hero. With an heir of such great promise, the future prosperity of the Kujou Clan is assured."
Raiden," Indeed. It was I who slew Orobaxi. But I also allowed the people of Sangonomiya to continue worshiping it as the Watatsumi Omikami, so that it might enjoy their offerings. Now, Sangonomiya has destroyed the local Narukami Shrine and rebels against the Shogunate. As the Divine Priestess representing the Watatsumi Omikami, she must be held accountable."
Raiden, Arataki Itto Who?
Raiden," Who? Ah, the firework maker. A manufacturer of fleeting illusions, enamored with the realm of fantasy and imagination, but a subject of mine nonetheless."
Raiden,  State your query. To the point.
Raiden," On stormy days, the people of Inazuma chant ""kuwabara, kuwabara,"" believing that this will protect themselves from being struck by lightning. You need not worry about any storm summoned by my own hand — they will bring you no harm. Lightning storms that occur naturally, however, can be more unpredictable."
Raiden,	 Foolish question. There are only two kinds of things — those that must be done and those that must not.
Raiden,	 Foolish question. There are only two kinds of foods — those that must be consumed to nourish the body and those that harm it.
Raiden, I	 A familiar flavor... Acceptable.
Raiden," II	 Leave it here, and I shall sample it."
Raiden, III	 Consuming this would be physically detrimental. Remove it from my presence.
Raiden," 	 Is today the day of your creation? Return to the city with me. I will read out a speech for you in front of all my attendants. ""Embarrassing""? ...Understood."
Raiden," The initial stage of my journey, or Shoden, involves learning the nine-way sword slash and the foundations of the art of the polearm. There is no great variation from other traditions at this point. Or rather, it is the other traditions that do not differ from mine."
 Raiden,"At the intermediate stage of my journey, or Chuden, the art of the sword focuses on the study of various stances and transitions. The art of the polearm — slashes and backslashes."
