context: It's such a waste to spoil such a cute face with a furrowed brow. response:	Go on. Smile, okay?
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay? response:	Cain-sama!
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Cain-sama! response:	That's it!
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Cain-sama!\That's it! response:	Wha-Wha-Wha-What did you do that for?!
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Cain-sama!\That's it!\Wha-Wha-Wha-What did you do that for?! response:	I guess that really was just an accidental bump, huh?
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Cain-sama!\That's it!\Wha-Wha-Wha-What did you do that for?!\I guess that really was just an accidental bump, huh? response:	An accidental...
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Cain-sama!\That's it!\Wha-Wha-Wha-What did you do that for?!\I guess that really was just an accidental bump, huh?\An accidental... response:	I've been trying so hard...
context: It's such a waste to spoil such a cute face with a furrowed brow.\Go on. Smile, okay?\Cain-sama!\That's it!\Wha-Wha-Wha-What did you do that for?!\I guess that really was just an accidental bump, huh?\An accidental...\I've been trying so hard... response:	Even though you rejected me, I've been trying my best.
context: Go on. Smile, okay?\Cain-sama!\That's it!\Wha-Wha-Wha-What did you do that for?!\I guess that really was just an accidental bump, huh?\An accidental...\I've been trying so hard...\Even though you rejected me, I've been trying my best. response:	But if I go on liking you like this, nothing will change.
context: Cain-sama!\That's it!\Wha-Wha-Wha-What did you do that for?!\I guess that really was just an accidental bump, huh?\An accidental...\I've been trying so hard...\Even though you rejected me, I've been trying my best.\But if I go on liking you like this, nothing will change. response:	Koizumi...
context: That's it!\Wha-Wha-Wha-What did you do that for?!\I guess that really was just an accidental bump, huh?\An accidental...\I've been trying so hard...\Even though you rejected me, I've been trying my best.\But if I go on liking you like this, nothing will change.\Koizumi... response:	I've had enough.
context: Wha-Wha-Wha-What did you do that for?!\I guess that really was just an accidental bump, huh?\An accidental...\I've been trying so hard...\Even though you rejected me, I've been trying my best.\But if I go on liking you like this, nothing will change.\Koizumi...\I've had enough. response:	I've had enough of this.
context: I guess that really was just an accidental bump, huh?\An accidental...\I've been trying so hard...\Even though you rejected me, I've been trying my best.\But if I go on liking you like this, nothing will change.\Koizumi...\I've had enough.\I've had enough of this. response:	I'm through with loving you!
context: An accidental...\I've been trying so hard...\Even though you rejected me, I've been trying my best.\But if I go on liking you like this, nothing will change.\Koizumi...\I've had enough.\I've had enough of this.\I'm through with loving you! response:	Enough...
context: I've been trying so hard...\Even though you rejected me, I've been trying my best.\But if I go on liking you like this, nothing will change.\Koizumi...\I've had enough.\I've had enough of this.\I'm through with loving you!\Enough... response:	I give up.
context: Even though you rejected me, I've been trying my best.\But if I go on liking you like this, nothing will change.\Koizumi...\I've had enough.\I've had enough of this.\I'm through with loving you!\Enough...\I give up. response:	A Dangerous Man Maity's Sweet Seduction
context: But if I go on liking you like this, nothing will change.\Koizumi...\I've had enough.\I've had enough of this.\I'm through with loving you!\Enough...\I give up.\A Dangerous Man Maity's Sweet Seduction response:	Rice.
context: Koizumi...\I've had enough.\I've had enough of this.\I'm through with loving you!\Enough...\I give up.\A Dangerous Man Maity's Sweet Seduction\Rice. response:	I remember now.
context: I've had enough.\I've had enough of this.\I'm through with loving you!\Enough...\I give up.\A Dangerous Man Maity's Sweet Seduction\Rice.\I remember now. response:	When I was sick and you came to visit me...
context: I've had enough of this.\I'm through with loving you!\Enough...\I give up.\A Dangerous Man Maity's Sweet Seduction\Rice.\I remember now.\When I was sick and you came to visit me... response:	That's right. I was staring at your face like this...
context: I'm through with loving you!\Enough...\I give up.\A Dangerous Man Maity's Sweet Seduction\Rice.\I remember now.\When I was sick and you came to visit me...\That's right. I was staring at your face like this... response:	And then...
context: Enough...\I give up.\A Dangerous Man Maity's Sweet Seduction\Rice.\I remember now.\When I was sick and you came to visit me...\That's right. I was staring at your face like this...\And then... response:	Your hair...
context: I give up.\A Dangerous Man Maity's Sweet Seduction\Rice.\I remember now.\When I was sick and you came to visit me...\That's right. I was staring at your face like this...\And then...\Your hair... response:	There was a grain of rice stuck to it.
