context: Confession from the Soul response:	Next Time
context: Confession from the Soul\Next Time response:	Rise Up, Life
context: Confession from the Soul\Next Time\Rise Up, Life response:	zetsubouteki ni kimi wa kirei sa
context: Confession from the Soul\Next Time\Rise Up, Life\zetsubouteki ni kimi wa kirei sa response:	hanten suru sekai no kattou ni aishiaou
context: Confession from the Soul\Next Time\Rise Up, Life\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou response:	bokura ga miteru sekai wa itsudemo sakasama de
context: Confession from the Soul\Next Time\Rise Up, Life\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de response:	doushiyou mo nai koto de taigai kimatteku
context: Confession from the Soul\Next Time\Rise Up, Life\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku response:	namida suru hodo kizu tsuku hitomi
context: Confession from the Soul\Next Time\Rise Up, Life\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi response:	kokoro de sakebi nagara
context: Next Time\Rise Up, Life\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara response:	tada atteitai saigo no futari masarenai mama
context: Rise Up, Life\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama response:	byouyomi ga kikoetekuru
context: zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru response:	zetsubouteki ni kimi wa kirei sa
context: hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa response:	sutareyuku doubutsu mitai ni aishiaou
context: bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou response:	nakitai kurai kimi wa kirei sa
context: doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa response:	hanten suru sekai no kattou ni kanjitai yo
context: namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo response:	You're so beautiful it's depressing
context: kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing response:	Let's love one another amidst the chaos in this backwards world
context: tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world response:	This world of ours moves in reverse
context: byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse response:	controlled by forces we can't even touch
context: zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch response:	There is pain in your eyes so deep I want to cry
context: sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry response:	Screaming from my heart
context: nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart response:	The last couple who desire each other cannot be together
