context: What is going on? response:	Apparently, the Union Lords are gathering.
context: What is going on?\Apparently, the Union Lords are gathering. response:	In the center is...
context: What is going on?\Apparently, the Union Lords are gathering.\In the center is... response:	The banner of the Marquis of Jalucia, Lord Alexis Doucet.
context: What is going on?\Apparently, the Union Lords are gathering.\In the center is...\The banner of the Marquis of Jalucia, Lord Alexis Doucet. response:	Hurry and ask the Margrave of Waldlind for reinforcements!
context: What is going on?\Apparently, the Union Lords are gathering.\In the center is...\The banner of the Marquis of Jalucia, Lord Alexis Doucet.\Hurry and ask the Margrave of Waldlind for reinforcements! response:	Lord Dawson.
context: What is going on?\Apparently, the Union Lords are gathering.\In the center is...\The banner of the Marquis of Jalucia, Lord Alexis Doucet.\Hurry and ask the Margrave of Waldlind for reinforcements!\Lord Dawson. response:	My Waldlind is battling the Altirk Treaty as we speak.
context: What is going on?\Apparently, the Union Lords are gathering.\In the center is...\The banner of the Marquis of Jalucia, Lord Alexis Doucet.\Hurry and ask the Margrave of Waldlind for reinforcements!\Lord Dawson.\My Waldlind is battling the Altirk Treaty as we speak. response:	There's no way we can send reinforcements to the center of Alonne.
context: What is going on?\Apparently, the Union Lords are gathering.\In the center is...\The banner of the Marquis of Jalucia, Lord Alexis Doucet.\Hurry and ask the Margrave of Waldlind for reinforcements!\Lord Dawson.\My Waldlind is battling the Altirk Treaty as we speak.\There's no way we can send reinforcements to the center of Alonne. response:	You are now a Lord of the Alliance, so show us some valor.
context: Apparently, the Union Lords are gathering.\In the center is...\The banner of the Marquis of Jalucia, Lord Alexis Doucet.\Hurry and ask the Margrave of Waldlind for reinforcements!\Lord Dawson.\My Waldlind is battling the Altirk Treaty as we speak.\There's no way we can send reinforcements to the center of Alonne.\You are now a Lord of the Alliance, so show us some valor. response:	My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.
context: In the center is...\The banner of the Marquis of Jalucia, Lord Alexis Doucet.\Hurry and ask the Margrave of Waldlind for reinforcements!\Lord Dawson.\My Waldlind is battling the Altirk Treaty as we speak.\There's no way we can send reinforcements to the center of Alonne.\You are now a Lord of the Alliance, so show us some valor.\My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union. response:	I humbly request that you show mercy in your ruling.
context: The banner of the Marquis of Jalucia, Lord Alexis Doucet.\Hurry and ask the Margrave of Waldlind for reinforcements!\Lord Dawson.\My Waldlind is battling the Altirk Treaty as we speak.\There's no way we can send reinforcements to the center of Alonne.\You are now a Lord of the Alliance, so show us some valor.\My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.\I humbly request that you show mercy in your ruling. response:	I deny that request.
context: Hurry and ask the Margrave of Waldlind for reinforcements!\Lord Dawson.\My Waldlind is battling the Altirk Treaty as we speak.\There's no way we can send reinforcements to the center of Alonne.\You are now a Lord of the Alliance, so show us some valor.\My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.\I humbly request that you show mercy in your ruling.\I deny that request. response:	If he hands over his territories and Crest, and surrenders to me, I will spare his life.
context: Lord Dawson.\My Waldlind is battling the Altirk Treaty as we speak.\There's no way we can send reinforcements to the center of Alonne.\You are now a Lord of the Alliance, so show us some valor.\My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.\I humbly request that you show mercy in your ruling.\I deny that request.\If he hands over his territories and Crest, and surrenders to me, I will spare his life. response:	Damn that insolent Doucet moppet!
context: My Waldlind is battling the Altirk Treaty as we speak.\There's no way we can send reinforcements to the center of Alonne.\You are now a Lord of the Alliance, so show us some valor.\My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.\I humbly request that you show mercy in your ruling.\I deny that request.\If he hands over his territories and Crest, and surrenders to me, I will spare his life.\Damn that insolent Doucet moppet! response:	Fine, I'll show him how to wage war!
context: There's no way we can send reinforcements to the center of Alonne.\You are now a Lord of the Alliance, so show us some valor.\My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.\I humbly request that you show mercy in your ruling.\I deny that request.\If he hands over his territories and Crest, and surrenders to me, I will spare his life.\Damn that insolent Doucet moppet!\Fine, I'll show him how to wage war! response:	We'll sally from the castle, and destroy the army surrounding us!
context: You are now a Lord of the Alliance, so show us some valor.\My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.\I humbly request that you show mercy in your ruling.\I deny that request.\If he hands over his territories and Crest, and surrenders to me, I will spare his life.\Damn that insolent Doucet moppet!\Fine, I'll show him how to wage war!\We'll sally from the castle, and destroy the army surrounding us! response:	If we win this battle, I will reward the mercenary troops,
context: My master, Lord of Dawson, Sir Bernard Durum, is requesting to return allegiance to the Union.\I humbly request that you show mercy in your ruling.\I deny that request.\If he hands over his territories and Crest, and surrenders to me, I will spare his life.\Damn that insolent Doucet moppet!\Fine, I'll show him how to wage war!\We'll sally from the castle, and destroy the army surrounding us!\If we win this battle, I will reward the mercenary troops, response:	and grant the Lords with new court ranks and territories!
context: I humbly request that you show mercy in your ruling.\I deny that request.\If he hands over his territories and Crest, and surrenders to me, I will spare his life.\Damn that insolent Doucet moppet!\Fine, I'll show him how to wage war!\We'll sally from the castle, and destroy the army surrounding us!\If we win this battle, I will reward the mercenary troops,\and grant the Lords with new court ranks and territories! response:	So fight with all your might!
context: I deny that request.\If he hands over his territories and Crest, and surrenders to me, I will spare his life.\Damn that insolent Doucet moppet!\Fine, I'll show him how to wage war!\We'll sally from the castle, and destroy the army surrounding us!\If we win this battle, I will reward the mercenary troops,\and grant the Lords with new court ranks and territories!\So fight with all your might! response:	So he chose to fight?
context: If he hands over his territories and Crest, and surrenders to me, I will spare his life.\Damn that insolent Doucet moppet!\Fine, I'll show him how to wage war!\We'll sally from the castle, and destroy the army surrounding us!\If we win this battle, I will reward the mercenary troops,\and grant the Lords with new court ranks and territories!\So fight with all your might!\So he chose to fight? response:	Then...
context: Damn that insolent Doucet moppet!\Fine, I'll show him how to wage war!\We'll sally from the castle, and destroy the army surrounding us!\If we win this battle, I will reward the mercenary troops,\and grant the Lords with new court ranks and territories!\So fight with all your might!\So he chose to fight?\Then... response:	Let me play my music.
context: Fine, I'll show him how to wage war!\We'll sally from the castle, and destroy the army surrounding us!\If we win this battle, I will reward the mercenary troops,\and grant the Lords with new court ranks and territories!\So fight with all your might!\So he chose to fight?\Then...\Let me play my music. response:	While keeping a fixed distance from the enemy mercenary troops,
context: We'll sally from the castle, and destroy the army surrounding us!\If we win this battle, I will reward the mercenary troops,\and grant the Lords with new court ranks and territories!\So fight with all your might!\So he chose to fight?\Then...\Let me play my music.\While keeping a fixed distance from the enemy mercenary troops, response:	the light cavalry will fire from horseback.
context: If we win this battle, I will reward the mercenary troops,\and grant the Lords with new court ranks and territories!\So fight with all your might!\So he chose to fight?\Then...\Let me play my music.\While keeping a fixed distance from the enemy mercenary troops,\the light cavalry will fire from horseback. response:	The light crossbow corps will advance while dispersing.
context: and grant the Lords with new court ranks and territories!\So fight with all your might!\So he chose to fight?\Then...\Let me play my music.\While keeping a fixed distance from the enemy mercenary troops,\the light cavalry will fire from horseback.\The light crossbow corps will advance while dispersing. response:	Envelope the Order of Knights as they charge towards us.
context: So fight with all your might!\So he chose to fight?\Then...\Let me play my music.\While keeping a fixed distance from the enemy mercenary troops,\the light cavalry will fire from horseback.\The light crossbow corps will advance while dispersing.\Envelope the Order of Knights as they charge towards us. response:	Gently at first...
context: So he chose to fight?\Then...\Let me play my music.\While keeping a fixed distance from the enemy mercenary troops,\the light cavalry will fire from horseback.\The light crossbow corps will advance while dispersing.\Envelope the Order of Knights as they charge towards us.\Gently at first... response:	And then... faster!
context: Then...\Let me play my music.\While keeping a fixed distance from the enemy mercenary troops,\the light cavalry will fire from horseback.\The light crossbow corps will advance while dispersing.\Envelope the Order of Knights as they charge towards us.\Gently at first...\And then... faster! response:	The right wing is in disarray.
context: Let me play my music.\While keeping a fixed distance from the enemy mercenary troops,\the light cavalry will fire from horseback.\The light crossbow corps will advance while dispersing.\Envelope the Order of Knights as they charge towards us.\Gently at first...\And then... faster!\The right wing is in disarray. response:	Fall back for now, and regroup.
context: While keeping a fixed distance from the enemy mercenary troops,\the light cavalry will fire from horseback.\The light crossbow corps will advance while dispersing.\Envelope the Order of Knights as they charge towards us.\Gently at first...\And then... faster!\The right wing is in disarray.\Fall back for now, and regroup. response:	Left wing, spread out further.
context: the light cavalry will fire from horseback.\The light crossbow corps will advance while dispersing.\Envelope the Order of Knights as they charge towards us.\Gently at first...\And then... faster!\The right wing is in disarray.\Fall back for now, and regroup.\Left wing, spread out further. response:	That's right, gently... Gently...
context: The light crossbow corps will advance while dispersing.\Envelope the Order of Knights as they charge towards us.\Gently at first...\And then... faster!\The right wing is in disarray.\Fall back for now, and regroup.\Left wing, spread out further.\That's right, gently... Gently... response:	Wh-What...
context: Envelope the Order of Knights as they charge towards us.\Gently at first...\And then... faster!\The right wing is in disarray.\Fall back for now, and regroup.\Left wing, spread out further.\That's right, gently... Gently...\Wh-What... response:	This is no battle...
context: Gently at first...\And then... faster!\The right wing is in disarray.\Fall back for now, and regroup.\Left wing, spread out further.\That's right, gently... Gently...\Wh-What...\This is no battle... response:	This is Alexis creating a work of art!
context: And then... faster!\The right wing is in disarray.\Fall back for now, and regroup.\Left wing, spread out further.\That's right, gently... Gently...\Wh-What...\This is no battle...\This is Alexis creating a work of art! response:	Raise the white flag.
