context: On the night of Christmas Eve, response:	I made up with Shiina,
context: On the night of Christmas Eve,\I made up with Shiina, response:	and passed the Let's Make a Game proposal screening.
context: On the night of Christmas Eve,\I made up with Shiina,\and passed the Let's Make a Game proposal screening. response:	If things had gone well between Jin-san and Misaki-senpai,
context: On the night of Christmas Eve,\I made up with Shiina,\and passed the Let's Make a Game proposal screening.\If things had gone well between Jin-san and Misaki-senpai, response:	it would have been the perfect Christmas Eve.
context: On the night of Christmas Eve,\I made up with Shiina,\and passed the Let's Make a Game proposal screening.\If things had gone well between Jin-san and Misaki-senpai,\it would have been the perfect Christmas Eve. response:	But...
context: On the night of Christmas Eve,\I made up with Shiina,\and passed the Let's Make a Game proposal screening.\If things had gone well between Jin-san and Misaki-senpai,\it would have been the perfect Christmas Eve.\But... response:	So, how did it turn out like this?
context: On the night of Christmas Eve,\I made up with Shiina,\and passed the Let's Make a Game proposal screening.\If things had gone well between Jin-san and Misaki-senpai,\it would have been the perfect Christmas Eve.\But...\So, how did it turn out like this? response:	Idiot.
context: On the night of Christmas Eve,\I made up with Shiina,\and passed the Let's Make a Game proposal screening.\If things had gone well between Jin-san and Misaki-senpai,\it would have been the perfect Christmas Eve.\But...\So, how did it turn out like this?\Idiot. response:	Hey, Shiina, you remember what I said, right?
context: I made up with Shiina,\and passed the Let's Make a Game proposal screening.\If things had gone well between Jin-san and Misaki-senpai,\it would have been the perfect Christmas Eve.\But...\So, how did it turn out like this?\Idiot.\Hey, Shiina, you remember what I said, right? response:	Chihiro-sensei's going on vacation to Australia over winter break,
context: and passed the Let's Make a Game proposal screening.\If things had gone well between Jin-san and Misaki-senpai,\it would have been the perfect Christmas Eve.\But...\So, how did it turn out like this?\Idiot.\Hey, Shiina, you remember what I said, right?\Chihiro-sensei's going on vacation to Australia over winter break, response:	so we can't stay in Sakura Hall.
context: If things had gone well between Jin-san and Misaki-senpai,\it would have been the perfect Christmas Eve.\But...\So, how did it turn out like this?\Idiot.\Hey, Shiina, you remember what I said, right?\Chihiro-sensei's going on vacation to Australia over winter break,\so we can't stay in Sakura Hall. response:	I know.
context: it would have been the perfect Christmas Eve.\But...\So, how did it turn out like this?\Idiot.\Hey, Shiina, you remember what I said, right?\Chihiro-sensei's going on vacation to Australia over winter break,\so we can't stay in Sakura Hall.\I know. response:	Then, why haven't you asked Rita to come get you?
context: But...\So, how did it turn out like this?\Idiot.\Hey, Shiina, you remember what I said, right?\Chihiro-sensei's going on vacation to Australia over winter break,\so we can't stay in Sakura Hall.\I know.\Then, why haven't you asked Rita to come get you? response:	You realize we're all going home, don't you?
context: So, how did it turn out like this?\Idiot.\Hey, Shiina, you remember what I said, right?\Chihiro-sensei's going on vacation to Australia over winter break,\so we can't stay in Sakura Hall.\I know.\Then, why haven't you asked Rita to come get you?\You realize we're all going home, don't you? response:	Aoyama-san, don't tell me you...
context: Idiot.\Hey, Shiina, you remember what I said, right?\Chihiro-sensei's going on vacation to Australia over winter break,\so we can't stay in Sakura Hall.\I know.\Then, why haven't you asked Rita to come get you?\You realize we're all going home, don't you?\Aoyama-san, don't tell me you... response:	I-It's not like that!
context: Hey, Shiina, you remember what I said, right?\Chihiro-sensei's going on vacation to Australia over winter break,\so we can't stay in Sakura Hall.\I know.\Then, why haven't you asked Rita to come get you?\You realize we're all going home, don't you?\Aoyama-san, don't tell me you...\I-It's not like that! response:	My head's been full of other thoughts,
context: Chihiro-sensei's going on vacation to Australia over winter break,\so we can't stay in Sakura Hall.\I know.\Then, why haven't you asked Rita to come get you?\You realize we're all going home, don't you?\Aoyama-san, don't tell me you...\I-It's not like that!\My head's been full of other thoughts, response:	and I completely forgot about going home.
context: so we can't stay in Sakura Hall.\I know.\Then, why haven't you asked Rita to come get you?\You realize we're all going home, don't you?\Aoyama-san, don't tell me you...\I-It's not like that!\My head's been full of other thoughts,\and I completely forgot about going home. response:	I'm sorry, I'm sorry, I'm really sorry.
context: I know.\Then, why haven't you asked Rita to come get you?\You realize we're all going home, don't you?\Aoyama-san, don't tell me you...\I-It's not like that!\My head's been full of other thoughts,\and I completely forgot about going home.\I'm sorry, I'm sorry, I'm really sorry. response:	Forgetting that is a huge problem!
context: Then, why haven't you asked Rita to come get you?\You realize we're all going home, don't you?\Aoyama-san, don't tell me you...\I-It's not like that!\My head's been full of other thoughts,\and I completely forgot about going home.\I'm sorry, I'm sorry, I'm really sorry.\Forgetting that is a huge problem! response:	I can't go home anyway, so I'm sorry...
context: You realize we're all going home, don't you?\Aoyama-san, don't tell me you...\I-It's not like that!\My head's been full of other thoughts,\and I completely forgot about going home.\I'm sorry, I'm sorry, I'm really sorry.\Forgetting that is a huge problem!\I can't go home anyway, so I'm sorry... response:	S-So, what about you, Misaki-senpai?
context: Aoyama-san, don't tell me you...\I-It's not like that!\My head's been full of other thoughts,\and I completely forgot about going home.\I'm sorry, I'm sorry, I'm really sorry.\Forgetting that is a huge problem!\I can't go home anyway, so I'm sorry...\S-So, what about you, Misaki-senpai? response:	I don't want to go home.
context: I-It's not like that!\My head's been full of other thoughts,\and I completely forgot about going home.\I'm sorry, I'm sorry, I'm really sorry.\Forgetting that is a huge problem!\I can't go home anyway, so I'm sorry...\S-So, what about you, Misaki-senpai?\I don't want to go home. response:	My hometown's full of memories of me and Jin.
context: My head's been full of other thoughts,\and I completely forgot about going home.\I'm sorry, I'm sorry, I'm really sorry.\Forgetting that is a huge problem!\I can't go home anyway, so I'm sorry...\S-So, what about you, Misaki-senpai?\I don't want to go home.\My hometown's full of memories of me and Jin. response:	I don't want to go home.
context: and I completely forgot about going home.\I'm sorry, I'm sorry, I'm really sorry.\Forgetting that is a huge problem!\I can't go home anyway, so I'm sorry...\S-So, what about you, Misaki-senpai?\I don't want to go home.\My hometown's full of memories of me and Jin.\I don't want to go home. response:	Senpai...
context: I'm sorry, I'm sorry, I'm really sorry.\Forgetting that is a huge problem!\I can't go home anyway, so I'm sorry...\S-So, what about you, Misaki-senpai?\I don't want to go home.\My hometown's full of memories of me and Jin.\I don't want to go home.\Senpai... response:	In that case, you'll all have to go stay at Kanda's place.
context: Forgetting that is a huge problem!\I can't go home anyway, so I'm sorry...\S-So, what about you, Misaki-senpai?\I don't want to go home.\My hometown's full of memories of me and Jin.\I don't want to go home.\Senpai...\In that case, you'll all have to go stay at Kanda's place. response:	What?
context: I can't go home anyway, so I'm sorry...\S-So, what about you, Misaki-senpai?\I don't want to go home.\My hometown's full of memories of me and Jin.\I don't want to go home.\Senpai...\In that case, you'll all have to go stay at Kanda's place.\What? response:	S-Sensei, what are you saying?!
context: S-So, what about you, Misaki-senpai?\I don't want to go home.\My hometown's full of memories of me and Jin.\I don't want to go home.\Senpai...\In that case, you'll all have to go stay at Kanda's place.\What?\S-Sensei, what are you saying?! response:	I'm leaving this afternoon.
context: I don't want to go home.\My hometown's full of memories of me and Jin.\I don't want to go home.\Senpai...\In that case, you'll all have to go stay at Kanda's place.\What?\S-Sensei, what are you saying?!\I'm leaving this afternoon. response:	Make sure you're packed and ready to leave by then.
context: My hometown's full of memories of me and Jin.\I don't want to go home.\Senpai...\In that case, you'll all have to go stay at Kanda's place.\What?\S-Sensei, what are you saying?!\I'm leaving this afternoon.\Make sure you're packed and ready to leave by then. response:	Sorata, strike while the iron's hot.
context: I don't want to go home.\Senpai...\In that case, you'll all have to go stay at Kanda's place.\What?\S-Sensei, what are you saying?!\I'm leaving this afternoon.\Make sure you're packed and ready to leave by then.\Sorata, strike while the iron's hot. response:	What?!
