context: The black pearl in the right eye... response:	Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.
context: The black pearl in the right eye...\Imagine, the gateway to the tomb was hidden in Inuyasha's right eye. response:	No wonder Lord Sesshomaru was not able to find it.
context: The black pearl in the right eye...\Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.\No wonder Lord Sesshomaru was not able to find it. response:	Now that the location of the tomb is known...
context: The black pearl in the right eye...\Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.\No wonder Lord Sesshomaru was not able to find it.\Now that the location of the tomb is known... response:	the sacred sword, Tetsusaiga, will belong to him.
context: The black pearl in the right eye...\Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.\No wonder Lord Sesshomaru was not able to find it.\Now that the location of the tomb is known...\the sacred sword, Tetsusaiga, will belong to him. response:	Tetsusaiga, the sword known to slay 100 demons in a single stroke...!
context: The black pearl in the right eye...\Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.\No wonder Lord Sesshomaru was not able to find it.\Now that the location of the tomb is known...\the sacred sword, Tetsusaiga, will belong to him.\Tetsusaiga, the sword known to slay 100 demons in a single stroke...! response:	Lord Sesshomaru, now take hold of it!
context: The black pearl in the right eye...\Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.\No wonder Lord Sesshomaru was not able to find it.\Now that the location of the tomb is known...\the sacred sword, Tetsusaiga, will belong to him.\Tetsusaiga, the sword known to slay 100 demons in a single stroke...!\Lord Sesshomaru, now take hold of it! response:	And you say that Inuyasha can?
context: The black pearl in the right eye...\Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.\No wonder Lord Sesshomaru was not able to find it.\Now that the location of the tomb is known...\the sacred sword, Tetsusaiga, will belong to him.\Tetsusaiga, the sword known to slay 100 demons in a single stroke...!\Lord Sesshomaru, now take hold of it!\And you say that Inuyasha can? response:	Sesshomaru couldn't do it!
context: Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.\No wonder Lord Sesshomaru was not able to find it.\Now that the location of the tomb is known...\the sacred sword, Tetsusaiga, will belong to him.\Tetsusaiga, the sword known to slay 100 demons in a single stroke...!\Lord Sesshomaru, now take hold of it!\And you say that Inuyasha can?\Sesshomaru couldn't do it! response:	Now, if you pull it out with ease...
context: No wonder Lord Sesshomaru was not able to find it.\Now that the location of the tomb is known...\the sacred sword, Tetsusaiga, will belong to him.\Tetsusaiga, the sword known to slay 100 demons in a single stroke...!\Lord Sesshomaru, now take hold of it!\And you say that Inuyasha can?\Sesshomaru couldn't do it!\Now, if you pull it out with ease... response:	Sesshomaru's pride will be in shreds!
context: Now that the location of the tomb is known...\the sacred sword, Tetsusaiga, will belong to him.\Tetsusaiga, the sword known to slay 100 demons in a single stroke...!\Lord Sesshomaru, now take hold of it!\And you say that Inuyasha can?\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds! response:	How embarrassing for him!
context: the sacred sword, Tetsusaiga, will belong to him.\Tetsusaiga, the sword known to slay 100 demons in a single stroke...!\Lord Sesshomaru, now take hold of it!\And you say that Inuyasha can?\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him! response:	Master Inuyasha is immune to the spell...
context: Tetsusaiga, the sword known to slay 100 demons in a single stroke...!\Lord Sesshomaru, now take hold of it!\And you say that Inuyasha can?\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\Master Inuyasha is immune to the spell... response:	which cast off Lord Sesshomaru!
context: Lord Sesshomaru, now take hold of it!\And you say that Inuyasha can?\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru! response:	I knew it! Tetsusaiga is destined to belong to Master Inuyasha!
context: And you say that Inuyasha can?\Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha! response:	Draw it out, Inuyasha!
context: Sesshomaru couldn't do it!\Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha! response:	Enough of your antics!
context: Now, if you pull it out with ease...\Sesshomaru's pride will be in shreds!\How embarrassing for him!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Enough of your antics! response:	Inuyasha!
context: Sesshomaru's pride will be in shreds!\How embarrassing for him!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Enough of your antics!\Inuyasha! response:	Huh?!
context: How embarrassing for him!\Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Enough of your antics!\Inuyasha!\Huh?! response:	Sorry! I pulled it out.
context: Master Inuyasha is immune to the spell...\which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Enough of your antics!\Inuyasha!\Huh?!\Sorry! I pulled it out. response:	Im... impossible!
context: which cast off Lord Sesshomaru!\I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Enough of your antics!\Inuyasha!\Huh?!\Sorry! I pulled it out.\Im... impossible! response:	Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...
context: I knew it! Tetsusaiga is destined to belong to Master Inuyasha!\Draw it out, Inuyasha!\Enough of your antics!\Inuyasha!\Huh?!\Sorry! I pulled it out.\Im... impossible!\Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga... response:	How could a mere mortal?
context: Draw it out, Inuyasha!\Enough of your antics!\Inuyasha!\Huh?!\Sorry! I pulled it out.\Im... impossible!\Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...\How could a mere mortal? response:	You shouldn't have looked away!
context: Enough of your antics!\Inuyasha!\Huh?!\Sorry! I pulled it out.\Im... impossible!\Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...\How could a mere mortal?\You shouldn't have looked away! response:	Huh?!
context: Inuyasha!\Huh?!\Sorry! I pulled it out.\Im... impossible!\Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...\How could a mere mortal?\You shouldn't have looked away!\Huh?! response:	Just who are you?
context: Huh?!\Sorry! I pulled it out.\Im... impossible!\Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...\How could a mere mortal?\You shouldn't have looked away!\Huh?!\Just who are you? response:	Why were you able to draw out the sword?
context: Sorry! I pulled it out.\Im... impossible!\Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...\How could a mere mortal?\You shouldn't have looked away!\Huh?!\Just who are you?\Why were you able to draw out the sword? response:	I guess he's no longer interested in you...
context: Im... impossible!\Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...\How could a mere mortal?\You shouldn't have looked away!\Huh?!\Just who are you?\Why were you able to draw out the sword?\I guess he's no longer interested in you... response:	and your life's been spared, huh?
context: Inuyasha, let alone Lord Sesshomaru, could not budge Tetsusaiga...\How could a mere mortal?\You shouldn't have looked away!\Huh?!\Just who are you?\Why were you able to draw out the sword?\I guess he's no longer interested in you...\and your life's been spared, huh? response:	Fool!
context: How could a mere mortal?\You shouldn't have looked away!\Huh?!\Just who are you?\Why were you able to draw out the sword?\I guess he's no longer interested in you...\and your life's been spared, huh?\Fool! response:	Sesshomaru! Leave her alone! She has nothing to do with you!
context: You shouldn't have looked away!\Huh?!\Just who are you?\Why were you able to draw out the sword?\I guess he's no longer interested in you...\and your life's been spared, huh?\Fool!\Sesshomaru! Leave her alone! She has nothing to do with you! response:	Inuyasha!
context: Huh?!\Just who are you?\Why were you able to draw out the sword?\I guess he's no longer interested in you...\and your life's been spared, huh?\Fool!\Sesshomaru! Leave her alone! She has nothing to do with you!\Inuyasha! response:	Don't come near me or I'll kill you!
context: Just who are you?\Why were you able to draw out the sword?\I guess he's no longer interested in you...\and your life's been spared, huh?\Fool!\Sesshomaru! Leave her alone! She has nothing to do with you!\Inuyasha!\Don't come near me or I'll kill you! response:	Neither you nor I could draw out Tetsusaiga.
context: Why were you able to draw out the sword?\I guess he's no longer interested in you...\and your life's been spared, huh?\Fool!\Sesshomaru! Leave her alone! She has nothing to do with you!\Inuyasha!\Don't come near me or I'll kill you!\Neither you nor I could draw out Tetsusaiga. response:	Yet she had no trouble against the spell.
context: I guess he's no longer interested in you...\and your life's been spared, huh?\Fool!\Sesshomaru! Leave her alone! She has nothing to do with you!\Inuyasha!\Don't come near me or I'll kill you!\Neither you nor I could draw out Tetsusaiga.\Yet she had no trouble against the spell. response:	You expect me to let her go?
context: and your life's been spared, huh?\Fool!\Sesshomaru! Leave her alone! She has nothing to do with you!\Inuyasha!\Don't come near me or I'll kill you!\Neither you nor I could draw out Tetsusaiga.\Yet she had no trouble against the spell.\You expect me to let her go? response:	I don't know why the spell had no effect on her!
context: Fool!\Sesshomaru! Leave her alone! She has nothing to do with you!\Inuyasha!\Don't come near me or I'll kill you!\Neither you nor I could draw out Tetsusaiga.\Yet she had no trouble against the spell.\You expect me to let her go?\I don't know why the spell had no effect on her! response:	But she's only a human girl!
context: Sesshomaru! Leave her alone! She has nothing to do with you!\Inuyasha!\Don't come near me or I'll kill you!\Neither you nor I could draw out Tetsusaiga.\Yet she had no trouble against the spell.\You expect me to let her go?\I don't know why the spell had no effect on her!\But she's only a human girl! response:	Kagome!
context: Inuyasha!\Don't come near me or I'll kill you!\Neither you nor I could draw out Tetsusaiga.\Yet she had no trouble against the spell.\You expect me to let her go?\I don't know why the spell had no effect on her!\But she's only a human girl!\Kagome! response:	Hand over Tetsusaiga to Sesshomaru!
context: Don't come near me or I'll kill you!\Neither you nor I could draw out Tetsusaiga.\Yet she had no trouble against the spell.\You expect me to let her go?\I don't know why the spell had no effect on her!\But she's only a human girl!\Kagome!\Hand over Tetsusaiga to Sesshomaru! response:	No!
