context: Interesting. response:	Wow.
context: Interesting.\Wow. response:	Giggle.
context: Interesting.\Wow.\Giggle. response:	I see.
context: Interesting.\Wow.\Giggle.\I see. response:	What are you looking at, Sis?
context: Interesting.\Wow.\Giggle.\I see.\What are you looking at, Sis? response:	Just observing.
context: Interesting.\Wow.\Giggle.\I see.\What are you looking at, Sis?\Just observing. response:	Don't mind me; continue.
context: Interesting.\Wow.\Giggle.\I see.\What are you looking at, Sis?\Just observing.\Don't mind me; continue. response:	In that case,
context: Interesting.\Wow.\Giggle.\I see.\What are you looking at, Sis?\Just observing.\Don't mind me; continue.\In that case, response:	I will continue without minding you.
context: Wow.\Giggle.\I see.\What are you looking at, Sis?\Just observing.\Don't mind me; continue.\In that case,\I will continue without minding you. response:	When did you start gaining interest in stuff like that?
context: Giggle.\I see.\What are you looking at, Sis?\Just observing.\Don't mind me; continue.\In that case,\I will continue without minding you.\When did you start gaining interest in stuff like that? response:	You don't need to worry, Sis.
context: I see.\What are you looking at, Sis?\Just observing.\Don't mind me; continue.\In that case,\I will continue without minding you.\When did you start gaining interest in stuff like that?\You don't need to worry, Sis. response:	I didn't buy these magazines. I borrowed them.
context: What are you looking at, Sis?\Just observing.\Don't mind me; continue.\In that case,\I will continue without minding you.\When did you start gaining interest in stuff like that?\You don't need to worry, Sis.\I didn't buy these magazines. I borrowed them. response:	We've stocked up on postcards with the club's budget, too.
context: Just observing.\Don't mind me; continue.\In that case,\I will continue without minding you.\When did you start gaining interest in stuff like that?\You don't need to worry, Sis.\I didn't buy these magazines. I borrowed them.\We've stocked up on postcards with the club's budget, too. response:	Oh, activities for the Prize Contest Club?
context: Don't mind me; continue.\In that case,\I will continue without minding you.\When did you start gaining interest in stuff like that?\You don't need to worry, Sis.\I didn't buy these magazines. I borrowed them.\We've stocked up on postcards with the club's budget, too.\Oh, activities for the Prize Contest Club? response:	Between a dietary supplement set, an assortment of canned salmon, and a special army knife,
context: In that case,\I will continue without minding you.\When did you start gaining interest in stuff like that?\You don't need to worry, Sis.\I didn't buy these magazines. I borrowed them.\We've stocked up on postcards with the club's budget, too.\Oh, activities for the Prize Contest Club?\Between a dietary supplement set, an assortment of canned salmon, and a special army knife, response:	which would you like?
context: I will continue without minding you.\When did you start gaining interest in stuff like that?\You don't need to worry, Sis.\I didn't buy these magazines. I borrowed them.\We've stocked up on postcards with the club's budget, too.\Oh, activities for the Prize Contest Club?\Between a dietary supplement set, an assortment of canned salmon, and a special army knife,\which would you like? response:	This won't do.
context: When did you start gaining interest in stuff like that?\You don't need to worry, Sis.\I didn't buy these magazines. I borrowed them.\We've stocked up on postcards with the club's budget, too.\Oh, activities for the Prize Contest Club?\Between a dietary supplement set, an assortment of canned salmon, and a special army knife,\which would you like?\This won't do. response:	I can't use her for reference at all.
context: You don't need to worry, Sis.\I didn't buy these magazines. I borrowed them.\We've stocked up on postcards with the club's budget, too.\Oh, activities for the Prize Contest Club?\Between a dietary supplement set, an assortment of canned salmon, and a special army knife,\which would you like?\This won't do.\I can't use her for reference at all. response:	Reference for?
context: I didn't buy these magazines. I borrowed them.\We've stocked up on postcards with the club's budget, too.\Oh, activities for the Prize Contest Club?\Between a dietary supplement set, an assortment of canned salmon, and a special army knife,\which would you like?\This won't do.\I can't use her for reference at all.\Reference for? response:	Not a maid, but a little sister...
context: We've stocked up on postcards with the club's budget, too.\Oh, activities for the Prize Contest Club?\Between a dietary supplement set, an assortment of canned salmon, and a special army knife,\which would you like?\This won't do.\I can't use her for reference at all.\Reference for?\Not a maid, but a little sister... response:	I still can't imagine what I'd do.
