context: I have two important announcements today. response:	First, I need to introduce a transfer student.
context: I have two important announcements today.\First, I need to introduce a transfer student. response:	She's a foreign exchange student.
context: I have two important announcements today.\First, I need to introduce a transfer student.\She's a foreign exchange student. response:	A foreign exchange student?
context: I have two important announcements today.\First, I need to introduce a transfer student.\She's a foreign exchange student.\A foreign exchange student? response:	Come in.
context: I have two important announcements today.\First, I need to introduce a transfer student.\She's a foreign exchange student.\A foreign exchange student?\Come in. response:	I'm Leila Overlock.
context: I have two important announcements today.\First, I need to introduce a transfer student.\She's a foreign exchange student.\A foreign exchange student?\Come in.\I'm Leila Overlock. response:	I'm also an adventurer at one of the guilds.
context: I have two important announcements today.\First, I need to introduce a transfer student.\She's a foreign exchange student.\A foreign exchange student?\Come in.\I'm Leila Overlock.\I'm also an adventurer at one of the guilds. response:	I hope we can all be friends.
context: I have two important announcements today.\First, I need to introduce a transfer student.\She's a foreign exchange student.\A foreign exchange student?\Come in.\I'm Leila Overlock.\I'm also an adventurer at one of the guilds.\I hope we can all be friends. response:	I hope she punches me.
context: First, I need to introduce a transfer student.\She's a foreign exchange student.\A foreign exchange student?\Come in.\I'm Leila Overlock.\I'm also an adventurer at one of the guilds.\I hope we can all be friends.\I hope she punches me. response:	What's wrong with those boys?
context: She's a foreign exchange student.\A foreign exchange student?\Come in.\I'm Leila Overlock.\I'm also an adventurer at one of the guilds.\I hope we can all be friends.\I hope she punches me.\What's wrong with those boys? response:	Oh, for crying out loud.
context: A foreign exchange student?\Come in.\I'm Leila Overlock.\I'm also an adventurer at one of the guilds.\I hope we can all be friends.\I hope she punches me.\What's wrong with those boys?\Oh, for crying out loud. response:	She's from Lahmu...
context: Come in.\I'm Leila Overlock.\I'm also an adventurer at one of the guilds.\I hope we can all be friends.\I hope she punches me.\What's wrong with those boys?\Oh, for crying out loud.\She's from Lahmu... response:	That's Leila. I never thought she'd end up in our class.
context: I'm Leila Overlock.\I'm also an adventurer at one of the guilds.\I hope we can all be friends.\I hope she punches me.\What's wrong with those boys?\Oh, for crying out loud.\She's from Lahmu...\That's Leila. I never thought she'd end up in our class. response:	You know him?
context: I'm also an adventurer at one of the guilds.\I hope we can all be friends.\I hope she punches me.\What's wrong with those boys?\Oh, for crying out loud.\She's from Lahmu...\That's Leila. I never thought she'd end up in our class.\You know him? response:	Yes.
context: I hope we can all be friends.\I hope she punches me.\What's wrong with those boys?\Oh, for crying out loud.\She's from Lahmu...\That's Leila. I never thought she'd end up in our class.\You know him?\Yes. response:	Then I guess you can sit next to Noir.
context: I hope she punches me.\What's wrong with those boys?\Oh, for crying out loud.\She's from Lahmu...\That's Leila. I never thought she'd end up in our class.\You know him?\Yes.\Then I guess you can sit next to Noir. response:	That's how these things work.
context: What's wrong with those boys?\Oh, for crying out loud.\She's from Lahmu...\That's Leila. I never thought she'd end up in our class.\You know him?\Yes.\Then I guess you can sit next to Noir.\That's how these things work. response:	It's nice to see you again.
context: Oh, for crying out loud.\She's from Lahmu...\That's Leila. I never thought she'd end up in our class.\You know him?\Yes.\Then I guess you can sit next to Noir.\That's how these things work.\It's nice to see you again. response:	Likewise.
context: She's from Lahmu...\That's Leila. I never thought she'd end up in our class.\You know him?\Yes.\Then I guess you can sit next to Noir.\That's how these things work.\It's nice to see you again.\Likewise. response:	Hey, don't just pay attention to Noir!
context: That's Leila. I never thought she'd end up in our class.\You know him?\Yes.\Then I guess you can sit next to Noir.\That's how these things work.\It's nice to see you again.\Likewise.\Hey, don't just pay attention to Noir! response:	He's already tight with Emma!
context: You know him?\Yes.\Then I guess you can sit next to Noir.\That's how these things work.\It's nice to see you again.\Likewise.\Hey, don't just pay attention to Noir!\He's already tight with Emma! response:	Quiet!
context: Yes.\Then I guess you can sit next to Noir.\That's how these things work.\It's nice to see you again.\Likewise.\Hey, don't just pay attention to Noir!\He's already tight with Emma!\Quiet! response:	Now, here's the next announcement.
context: Then I guess you can sit next to Noir.\That's how these things work.\It's nice to see you again.\Likewise.\Hey, don't just pay attention to Noir!\He's already tight with Emma!\Quiet!\Now, here's the next announcement. response:	This might be a lot to take in for your first day in class,
context: That's how these things work.\It's nice to see you again.\Likewise.\Hey, don't just pay attention to Noir!\He's already tight with Emma!\Quiet!\Now, here's the next announcement.\This might be a lot to take in for your first day in class, response:	but it has to do with the special lesson the rest of us had been discussing prior.
context: It's nice to see you again.\Likewise.\Hey, don't just pay attention to Noir!\He's already tight with Emma!\Quiet!\Now, here's the next announcement.\This might be a lot to take in for your first day in class,\but it has to do with the special lesson the rest of us had been discussing prior. response:	Special lesson?
context: Likewise.\Hey, don't just pay attention to Noir!\He's already tight with Emma!\Quiet!\Now, here's the next announcement.\This might be a lot to take in for your first day in class,\but it has to do with the special lesson the rest of us had been discussing prior.\Special lesson? response:	Yeah. Apparently, it's a tradition at the Hero Academy.
context: Hey, don't just pay attention to Noir!\He's already tight with Emma!\Quiet!\Now, here's the next announcement.\This might be a lot to take in for your first day in class,\but it has to do with the special lesson the rest of us had been discussing prior.\Special lesson?\Yeah. Apparently, it's a tradition at the Hero Academy. response:	You! What's the special lesson?
context: He's already tight with Emma!\Quiet!\Now, here's the next announcement.\This might be a lot to take in for your first day in class,\but it has to do with the special lesson the rest of us had been discussing prior.\Special lesson?\Yeah. Apparently, it's a tradition at the Hero Academy.\You! What's the special lesson? response:	The training camp!
context: Quiet!\Now, here's the next announcement.\This might be a lot to take in for your first day in class,\but it has to do with the special lesson the rest of us had been discussing prior.\Special lesson?\Yeah. Apparently, it's a tradition at the Hero Academy.\You! What's the special lesson?\The training camp! response:	You! And what's a training camp mean?
context: Now, here's the next announcement.\This might be a lot to take in for your first day in class,\but it has to do with the special lesson the rest of us had been discussing prior.\Special lesson?\Yeah. Apparently, it's a tradition at the Hero Academy.\You! What's the special lesson?\The training camp!\You! And what's a training camp mean? response:	We're going on vacation!
context: This might be a lot to take in for your first day in class,\but it has to do with the special lesson the rest of us had been discussing prior.\Special lesson?\Yeah. Apparently, it's a tradition at the Hero Academy.\You! What's the special lesson?\The training camp!\You! And what's a training camp mean?\We're going on vacation! response:	And if we're going on a vacation... Say it!
context: but it has to do with the special lesson the rest of us had been discussing prior.\Special lesson?\Yeah. Apparently, it's a tradition at the Hero Academy.\You! What's the special lesson?\The training camp!\You! And what's a training camp mean?\We're going on vacation!\And if we're going on a vacation... Say it! response:	Hot springs!
context: Special lesson?\Yeah. Apparently, it's a tradition at the Hero Academy.\You! What's the special lesson?\The training camp!\You! And what's a training camp mean?\We're going on vacation!\And if we're going on a vacation... Say it!\Hot springs! response:	And then, the day of our training camp arrived.
context: Yeah. Apparently, it's a tradition at the Hero Academy.\You! What's the special lesson?\The training camp!\You! And what's a training camp mean?\We're going on vacation!\And if we're going on a vacation... Say it!\Hot springs!\And then, the day of our training camp arrived. response:	I know hot springs sound fun and all,
context: You! What's the special lesson?\The training camp!\You! And what's a training camp mean?\We're going on vacation!\And if we're going on a vacation... Say it!\Hot springs!\And then, the day of our training camp arrived.\I know hot springs sound fun and all, response:	but there'll be monsters along the way.
context: The training camp!\You! And what's a training camp mean?\We're going on vacation!\And if we're going on a vacation... Say it!\Hot springs!\And then, the day of our training camp arrived.\I know hot springs sound fun and all,\but there'll be monsters along the way. response:	Stay on your toes.
