context: Every weekday's tightly packed. response:	Madly dashing around again since morning.
context: Every weekday's tightly packed.\Madly dashing around again since morning. response:	Rat race? Looks like fun. But surprisingly death-defying.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying. response:	What I'd like is a slow lifestyle.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle. response:	My wish made on a shootin' star.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star. response:	But there's no mercy, 1003.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003. response:	Full of things you can't divide.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide. response:	Full of things you can't divide. Genshiken
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken response:	That's why I've carried this in my hands...
context: Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands... response:	I jam-packed the rest with it...
context: Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it... response:	A modest happiness. A shared joy!
context: What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy! response:	We're about to etch them now right into our youth.
context: My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth. response:	So lonely to just walk on by.
context: But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by. response:	So sad to have this frustration!
context: Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration! response:	Let's take a break from today...
context: Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today... response:	Shiioh University
context: That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Shiioh University response:	Shiioh University
context: I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Shiioh University\Shiioh University response:	Shiioh University Hey there, Ogiue.
context: A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Shiioh University\Shiioh University\Shiioh University Hey there, Ogiue. response:	Hey there, Ogiue.
context: We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Shiioh University\Shiioh University\Shiioh University Hey there, Ogiue.\Hey there, Ogiue. response:	Uh, hi...
context: So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\Shiioh University\Shiioh University\Shiioh University Hey there, Ogiue.\Hey there, Ogiue.\Uh, hi... response:	Come eat with us.
context: So sad to have this frustration!\Let's take a break from today...\Shiioh University\Shiioh University\Shiioh University Hey there, Ogiue.\Hey there, Ogiue.\Uh, hi...\Come eat with us. response:	Are you sure?
context: Let's take a break from today...\Shiioh University\Shiioh University\Shiioh University Hey there, Ogiue.\Hey there, Ogiue.\Uh, hi...\Come eat with us.\Are you sure? response:	Positive.
context: Shiioh University\Shiioh University\Shiioh University Hey there, Ogiue.\Hey there, Ogiue.\Uh, hi...\Come eat with us.\Are you sure?\Positive. response:	Have a seat.
context: Shiioh University\Shiioh University Hey there, Ogiue.\Hey there, Ogiue.\Uh, hi...\Come eat with us.\Are you sure?\Positive.\Have a seat. response:	Huh? You wear contacts?
context: Shiioh University Hey there, Ogiue.\Hey there, Ogiue.\Uh, hi...\Come eat with us.\Are you sure?\Positive.\Have a seat.\Huh? You wear contacts? response:	Yes, well, since this spring.
context: Hey there, Ogiue.\Uh, hi...\Come eat with us.\Are you sure?\Positive.\Have a seat.\Huh? You wear contacts?\Yes, well, since this spring. response:	How's your eyesight?
context: Uh, hi...\Come eat with us.\Are you sure?\Positive.\Have a seat.\Huh? You wear contacts?\Yes, well, since this spring.\How's your eyesight? response:	Somewhere around 20l200.
context: Come eat with us.\Are you sure?\Positive.\Have a seat.\Huh? You wear contacts?\Yes, well, since this spring.\How's your eyesight?\Somewhere around 20l200. response:	Huh. So because you got into a Tokyo school, you changed your look.
context: Are you sure?\Positive.\Have a seat.\Huh? You wear contacts?\Yes, well, since this spring.\How's your eyesight?\Somewhere around 20l200.\Huh. So because you got into a Tokyo school, you changed your look. response:	You go, girl.
context: Positive.\Have a seat.\Huh? You wear contacts?\Yes, well, since this spring.\How's your eyesight?\Somewhere around 20l200.\Huh. So because you got into a Tokyo school, you changed your look.\You go, girl. response:	It isn't that big a deal.
context: Have a seat.\Huh? You wear contacts?\Yes, well, since this spring.\How's your eyesight?\Somewhere around 20l200.\Huh. So because you got into a Tokyo school, you changed your look.\You go, girl.\It isn't that big a deal. response:	Well, you should've also done something about your hair.
context: Huh? You wear contacts?\Yes, well, since this spring.\How's your eyesight?\Somewhere around 20l200.\Huh. So because you got into a Tokyo school, you changed your look.\You go, girl.\It isn't that big a deal.\Well, you should've also done something about your hair. response:	It's cute though.
context: Yes, well, since this spring.\How's your eyesight?\Somewhere around 20l200.\Huh. So because you got into a Tokyo school, you changed your look.\You go, girl.\It isn't that big a deal.\Well, you should've also done something about your hair.\It's cute though. response:	I did change it, actually...
