context: Mornin', Hikari! response:	You're up early.
context: Mornin', Hikari!\You're up early. response:	Yeah, I thought I'd head to the store today.
context: Mornin', Hikari!\You're up early.\Yeah, I thought I'd head to the store today. response:	I see.
context: Mornin', Hikari!\You're up early.\Yeah, I thought I'd head to the store today.\I see. response:	I'm heading out!
context: Mornin', Hikari!\You're up early.\Yeah, I thought I'd head to the store today.\I see.\I'm heading out! response:	What the heck?
context: Mornin', Hikari!\You're up early.\Yeah, I thought I'd head to the store today.\I see.\I'm heading out!\What the heck? response:	And here I was looking forward to leaving together.
context: Mornin', Hikari!\You're up early.\Yeah, I thought I'd head to the store today.\I see.\I'm heading out!\What the heck?\And here I was looking forward to leaving together. response:	Are you going to go end things?
context: Mornin', Hikari!\You're up early.\Yeah, I thought I'd head to the store today.\I see.\I'm heading out!\What the heck?\And here I was looking forward to leaving together.\Are you going to go end things? response:	Give up on the guy from the surface.
context: You're up early.\Yeah, I thought I'd head to the store today.\I see.\I'm heading out!\What the heck?\And here I was looking forward to leaving together.\Are you going to go end things?\Give up on the guy from the surface. response:	So you are a man of the sea after all...
context: Yeah, I thought I'd head to the store today.\I see.\I'm heading out!\What the heck?\And here I was looking forward to leaving together.\Are you going to go end things?\Give up on the guy from the surface.\So you are a man of the sea after all... response:	I know.
context: I see.\I'm heading out!\What the heck?\And here I was looking forward to leaving together.\Are you going to go end things?\Give up on the guy from the surface.\So you are a man of the sea after all...\I know. response:	Despite the sins the people...
context: I'm heading out!\What the heck?\And here I was looking forward to leaving together.\Are you going to go end things?\Give up on the guy from the surface.\So you are a man of the sea after all...\I know.\Despite the sins the people... response:	The people of Shioshishio since long ago...
context: What the heck?\And here I was looking forward to leaving together.\Are you going to go end things?\Give up on the guy from the surface.\So you are a man of the sea after all...\I know.\Despite the sins the people...\The people of Shioshishio since long ago... response:	The sacred fire is the soul of the Sea God.
context: And here I was looking forward to leaving together.\Are you going to go end things?\Give up on the guy from the surface.\So you are a man of the sea after all...\I know.\Despite the sins the people...\The people of Shioshishio since long ago...\The sacred fire is the soul of the Sea God. response:	Uroko-sama...
context: Are you going to go end things?\Give up on the guy from the surface.\So you are a man of the sea after all...\I know.\Despite the sins the people...\The people of Shioshishio since long ago...\The sacred fire is the soul of the Sea God.\Uroko-sama... response:	The sacred fire is letting us know.
context: Give up on the guy from the surface.\So you are a man of the sea after all...\I know.\Despite the sins the people...\The people of Shioshishio since long ago...\The sacred fire is the soul of the Sea God.\Uroko-sama...\The sacred fire is letting us know. response:	The sea and the surface should make their boundaries permanent.
context: So you are a man of the sea after all...\I know.\Despite the sins the people...\The people of Shioshishio since long ago...\The sacred fire is the soul of the Sea God.\Uroko-sama...\The sacred fire is letting us know.\The sea and the surface should make their boundaries permanent. response:	Eventually, the surface will...
context: I know.\Despite the sins the people...\The people of Shioshishio since long ago...\The sacred fire is the soul of the Sea God.\Uroko-sama...\The sacred fire is letting us know.\The sea and the surface should make their boundaries permanent.\Eventually, the surface will... response:	The saltflake snow is just a prelude.
context: Despite the sins the people...\The people of Shioshishio since long ago...\The sacred fire is the soul of the Sea God.\Uroko-sama...\The sacred fire is letting us know.\The sea and the surface should make their boundaries permanent.\Eventually, the surface will...\The saltflake snow is just a prelude. response:	Though Akari is solely up to you.
context: The people of Shioshishio since long ago...\The sacred fire is the soul of the Sea God.\Uroko-sama...\The sacred fire is letting us know.\The sea and the surface should make their boundaries permanent.\Eventually, the surface will...\The saltflake snow is just a prelude.\Though Akari is solely up to you. response:	Akari's life is her own.
context: The sacred fire is the soul of the Sea God.\Uroko-sama...\The sacred fire is letting us know.\The sea and the surface should make their boundaries permanent.\Eventually, the surface will...\The saltflake snow is just a prelude.\Though Akari is solely up to you.\Akari's life is her own. response:	Oh?
context: Uroko-sama...\The sacred fire is letting us know.\The sea and the surface should make their boundaries permanent.\Eventually, the surface will...\The saltflake snow is just a prelude.\Though Akari is solely up to you.\Akari's life is her own.\Oh? response:	Since long ago from the beginning of time...
context: The sacred fire is letting us know.\The sea and the surface should make their boundaries permanent.\Eventually, the surface will...\The saltflake snow is just a prelude.\Though Akari is solely up to you.\Akari's life is her own.\Oh?\Since long ago from the beginning of time... response:	Episode Five: Hey, Sea Slug
context: The sea and the surface should make their boundaries permanent.\Eventually, the surface will...\The saltflake snow is just a prelude.\Though Akari is solely up to you.\Akari's life is her own.\Oh?\Since long ago from the beginning of time...\Episode Five: Hey, Sea Slug response:	Chisaki's going to be late?
context: Eventually, the surface will...\The saltflake snow is just a prelude.\Though Akari is solely up to you.\Akari's life is her own.\Oh?\Since long ago from the beginning of time...\Episode Five: Hey, Sea Slug\Chisaki's going to be late? response:	Yeah, she said she's not feeling well.
