context: What's the point of a building this big? response:	Eastern Federation Elkia Embassy
context: What's the point of a building this big?\Eastern Federation Elkia Embassy response:	It's so funny how they're trying desperately
context: What's the point of a building this big?\Eastern Federation Elkia Embassy\It's so funny how they're trying desperately response:	to compensate for their own weakness by building something so huge.
context: What's the point of a building this big?\Eastern Federation Elkia Embassy\It's so funny how they're trying desperately\to compensate for their own weakness by building something so huge. response:	By the way, would you tell me why you suddenly dragged me here?
context: What's the point of a building this big?\Eastern Federation Elkia Embassy\It's so funny how they're trying desperately\to compensate for their own weakness by building something so huge.\By the way, would you tell me why you suddenly dragged me here? response:	Hey! The embassy is foreign soil!
context: What's the point of a building this big?\Eastern Federation Elkia Embassy\It's so funny how they're trying desperately\to compensate for their own weakness by building something so huge.\By the way, would you tell me why you suddenly dragged me here?\Hey! The embassy is foreign soil! response:	I know. I know it was originally our castle, too.
context: What's the point of a building this big?\Eastern Federation Elkia Embassy\It's so funny how they're trying desperately\to compensate for their own weakness by building something so huge.\By the way, would you tell me why you suddenly dragged me here?\Hey! The embassy is foreign soil!\I know. I know it was originally our castle, too. response:	You're invading their territory.
context: What's the point of a building this big?\Eastern Federation Elkia Embassy\It's so funny how they're trying desperately\to compensate for their own weakness by building something so huge.\By the way, would you tell me why you suddenly dragged me here?\Hey! The embassy is foreign soil!\I know. I know it was originally our castle, too.\You're invading their territory. response:	Don't worry.
context: Eastern Federation Elkia Embassy\It's so funny how they're trying desperately\to compensate for their own weakness by building something so huge.\By the way, would you tell me why you suddenly dragged me here?\Hey! The embassy is foreign soil!\I know. I know it was originally our castle, too.\You're invading their territory.\Don't worry. response:	I made an appointment.
context: It's so funny how they're trying desperately\to compensate for their own weakness by building something so huge.\By the way, would you tell me why you suddenly dragged me here?\Hey! The embassy is foreign soil!\I know. I know it was originally our castle, too.\You're invading their territory.\Don't worry.\I made an appointment. response:	Right?
context: to compensate for their own weakness by building something so huge.\By the way, would you tell me why you suddenly dragged me here?\Hey! The embassy is foreign soil!\I know. I know it was originally our castle, too.\You're invading their territory.\Don't worry.\I made an appointment.\Right? response:	I am the assistant ambassador for the Eastern Federation's Elkia Embassy,
context: By the way, would you tell me why you suddenly dragged me here?\Hey! The embassy is foreign soil!\I know. I know it was originally our castle, too.\You're invading their territory.\Don't worry.\I made an appointment.\Right?\I am the assistant ambassador for the Eastern Federation's Elkia Embassy, response:	Ino Hatsuse.
context: Hey! The embassy is foreign soil!\I know. I know it was originally our castle, too.\You're invading their territory.\Don't worry.\I made an appointment.\Right?\I am the assistant ambassador for the Eastern Federation's Elkia Embassy,\Ino Hatsuse. response:	A pleasure to meet you.
context: I know. I know it was originally our castle, too.\You're invading their territory.\Don't worry.\I made an appointment.\Right?\I am the assistant ambassador for the Eastern Federation's Elkia Embassy,\Ino Hatsuse.\A pleasure to meet you. response:	When did you
context: You're invading their territory.\Don't worry.\I made an appointment.\Right?\I am the assistant ambassador for the Eastern Federation's Elkia Embassy,\Ino Hatsuse.\A pleasure to meet you.\When did you response:	This morning.
context: Don't worry.\I made an appointment.\Right?\I am the assistant ambassador for the Eastern Federation's Elkia Embassy,\Ino Hatsuse.\A pleasure to meet you.\When did you\This morning. response:	He was looking at me
context: I made an appointment.\Right?\I am the assistant ambassador for the Eastern Federation's Elkia Embassy,\Ino Hatsuse.\A pleasure to meet you.\When did you\This morning.\He was looking at me response:	when I was in the library,
context: Right?\I am the assistant ambassador for the Eastern Federation's Elkia Embassy,\Ino Hatsuse.\A pleasure to meet you.\When did you\This morning.\He was looking at me\when I was in the library, response:	so I gestured to say I was on my way.
context: I am the assistant ambassador for the Eastern Federation's Elkia Embassy,\Ino Hatsuse.\A pleasure to meet you.\When did you\This morning.\He was looking at me\when I was in the library,\so I gestured to say I was on my way. response:	The Warbeasts' senses are as good as they say.
context: Ino Hatsuse.\A pleasure to meet you.\When did you\This morning.\He was looking at me\when I was in the library,\so I gestured to say I was on my way.\The Warbeasts' senses are as good as they say. response:	They've got great vision. I was really surprised.
context: A pleasure to meet you.\When did you\This morning.\He was looking at me\when I was in the library,\so I gestured to say I was on my way.\The Warbeasts' senses are as good as they say.\They've got great vision. I was really surprised. response:	No, I mean...
context: When did you\This morning.\He was looking at me\when I was in the library,\so I gestured to say I was on my way.\The Warbeasts' senses are as good as they say.\They've got great vision. I was really surprised.\No, I mean... response:	You've come to see Izuna Hatsuse, the ambassador, yes?
context: This morning.\He was looking at me\when I was in the library,\so I gestured to say I was on my way.\The Warbeasts' senses are as good as they say.\They've got great vision. I was really surprised.\No, I mean...\You've come to see Izuna Hatsuse, the ambassador, yes? response:	The Warbeasts can read minds!
context: He was looking at me\when I was in the library,\so I gestured to say I was on my way.\The Warbeasts' senses are as good as they say.\They've got great vision. I was really surprised.\No, I mean...\You've come to see Izuna Hatsuse, the ambassador, yes?\The Warbeasts can read minds! response:	The rumors are true!
context: when I was in the library,\so I gestured to say I was on my way.\The Warbeasts' senses are as good as they say.\They've got great vision. I was really surprised.\No, I mean...\You've come to see Izuna Hatsuse, the ambassador, yes?\The Warbeasts can read minds!\The rumors are true! response:	Glad we're on the same page.
context: so I gestured to say I was on my way.\The Warbeasts' senses are as good as they say.\They've got great vision. I was really surprised.\No, I mean...\You've come to see Izuna Hatsuse, the ambassador, yes?\The Warbeasts can read minds!\The rumors are true!\Glad we're on the same page. response:	Okay, take me there.
context: The Warbeasts' senses are as good as they say.\They've got great vision. I was really surprised.\No, I mean...\You've come to see Izuna Hatsuse, the ambassador, yes?\The Warbeasts can read minds!\The rumors are true!\Glad we're on the same page.\Okay, take me there. response:	Very well. This way.
context: They've got great vision. I was really surprised.\No, I mean...\You've come to see Izuna Hatsuse, the ambassador, yes?\The Warbeasts can read minds!\The rumors are true!\Glad we're on the same page.\Okay, take me there.\Very well. This way. response:	I understand the Warbeasts, but how did Sora see him from...
context: No, I mean...\You've come to see Izuna Hatsuse, the ambassador, yes?\The Warbeasts can read minds!\The rumors are true!\Glad we're on the same page.\Okay, take me there.\Very well. This way.\I understand the Warbeasts, but how did Sora see him from... response:	The game's already...
context: You've come to see Izuna Hatsuse, the ambassador, yes?\The Warbeasts can read minds!\The rumors are true!\Glad we're on the same page.\Okay, take me there.\Very well. This way.\I understand the Warbeasts, but how did Sora see him from...\The game's already... response:	The game's
context: The Warbeasts can read minds!\The rumors are true!\Glad we're on the same page.\Okay, take me there.\Very well. This way.\I understand the Warbeasts, but how did Sora see him from...\The game's already...\The game's response:	already begun, hasn't it?
context: The rumors are true!\Glad we're on the same page.\Okay, take me there.\Very well. This way.\I understand the Warbeasts, but how did Sora see him from...\The game's already...\The game's\already begun, hasn't it? response:	Fake End
context: Glad we're on the same page.\Okay, take me there.\Very well. This way.\I understand the Warbeasts, but how did Sora see him from...\The game's already...\The game's\already begun, hasn't it?\Fake End response:	Hey, Jibril.
context: Okay, take me there.\Very well. This way.\I understand the Warbeasts, but how did Sora see him from...\The game's already...\The game's\already begun, hasn't it?\Fake End\Hey, Jibril. response:	Yes?
context: Very well. This way.\I understand the Warbeasts, but how did Sora see him from...\The game's already...\The game's\already begun, hasn't it?\Fake End\Hey, Jibril.\Yes? response:	Do you know what this is?
context: I understand the Warbeasts, but how did Sora see him from...\The game's already...\The game's\already begun, hasn't it?\Fake End\Hey, Jibril.\Yes?\Do you know what this is? response:	Some sort of image display device...
context: The game's already...\The game's\already begun, hasn't it?\Fake End\Hey, Jibril.\Yes?\Do you know what this is?\Some sort of image display device... response:	But the Warbeasts don't use magic.
context: The game's\already begun, hasn't it?\Fake End\Hey, Jibril.\Yes?\Do you know what this is?\Some sort of image display device...\But the Warbeasts don't use magic. response:	M-My interest is piqued!
context: already begun, hasn't it?\Fake End\Hey, Jibril.\Yes?\Do you know what this is?\Some sort of image display device...\But the Warbeasts don't use magic.\M-My interest is piqued! response:	Th-The floor is moving!
