context: Takase! response:	I can't help but follow Sugawara-kun with my eyes these days.
context: Takase!\I can't help but follow Sugawara-kun with my eyes these days. response:	What's wrong with me?
context: Takase!\I can't help but follow Sugawara-kun with my eyes these days.\What's wrong with me? response:	Tuning
context: Takase!\I can't help but follow Sugawara-kun with my eyes these days.\What's wrong with me?\Tuning response:	Chii-chan?
context: Takase!\I can't help but follow Sugawara-kun with my eyes these days.\What's wrong with me?\Tuning\Chii-chan? response:	What's wrong? You've been weird lately.
context: Takase!\I can't help but follow Sugawara-kun with my eyes these days.\What's wrong with me?\Tuning\Chii-chan?\What's wrong? You've been weird lately. response:	Something on your mind?
context: Takase!\I can't help but follow Sugawara-kun with my eyes these days.\What's wrong with me?\Tuning\Chii-chan?\What's wrong? You've been weird lately.\Something on your mind? response:	Sorry, it's nothing.
context: Takase!\I can't help but follow Sugawara-kun with my eyes these days.\What's wrong with me?\Tuning\Chii-chan?\What's wrong? You've been weird lately.\Something on your mind?\Sorry, it's nothing. response:	Oh.
context: I can't help but follow Sugawara-kun with my eyes these days.\What's wrong with me?\Tuning\Chii-chan?\What's wrong? You've been weird lately.\Something on your mind?\Sorry, it's nothing.\Oh. response:	Are you in love or something?
context: What's wrong with me?\Tuning\Chii-chan?\What's wrong? You've been weird lately.\Something on your mind?\Sorry, it's nothing.\Oh.\Are you in love or something? response:	Huh? Really, Chii-chan?!
context: Tuning\Chii-chan?\What's wrong? You've been weird lately.\Something on your mind?\Sorry, it's nothing.\Oh.\Are you in love or something?\Huh? Really, Chii-chan?! response:	Wh-What? No, Yo-chan.
context: Chii-chan?\What's wrong? You've been weird lately.\Something on your mind?\Sorry, it's nothing.\Oh.\Are you in love or something?\Huh? Really, Chii-chan?!\Wh-What? No, Yo-chan. response:	I don't know much about love and stuff.
context: What's wrong? You've been weird lately.\Something on your mind?\Sorry, it's nothing.\Oh.\Are you in love or something?\Huh? Really, Chii-chan?!\Wh-What? No, Yo-chan.\I don't know much about love and stuff. response:	But don't you want to when you see everyone else?
context: Something on your mind?\Sorry, it's nothing.\Oh.\Are you in love or something?\Huh? Really, Chii-chan?!\Wh-What? No, Yo-chan.\I don't know much about love and stuff.\But don't you want to when you see everyone else? response:	Especially Goda-kun and Ayaka-chan.
context: Sorry, it's nothing.\Oh.\Are you in love or something?\Huh? Really, Chii-chan?!\Wh-What? No, Yo-chan.\I don't know much about love and stuff.\But don't you want to when you see everyone else?\Especially Goda-kun and Ayaka-chan. response:	I-I don't really...
context: Oh.\Are you in love or something?\Huh? Really, Chii-chan?!\Wh-What? No, Yo-chan.\I don't know much about love and stuff.\But don't you want to when you see everyone else?\Especially Goda-kun and Ayaka-chan.\I-I don't really... response:	Huh?
context: Are you in love or something?\Huh? Really, Chii-chan?!\Wh-What? No, Yo-chan.\I don't know much about love and stuff.\But don't you want to when you see everyone else?\Especially Goda-kun and Ayaka-chan.\I-I don't really...\Huh? response:	Hey, we were just talking about you, Ayaka-chan.
context: Huh? Really, Chii-chan?!\Wh-What? No, Yo-chan.\I don't know much about love and stuff.\But don't you want to when you see everyone else?\Especially Goda-kun and Ayaka-chan.\I-I don't really...\Huh?\Hey, we were just talking about you, Ayaka-chan. response:	Really? About what?
context: Wh-What? No, Yo-chan.\I don't know much about love and stuff.\But don't you want to when you see everyone else?\Especially Goda-kun and Ayaka-chan.\I-I don't really...\Huh?\Hey, we were just talking about you, Ayaka-chan.\Really? About what? response:	Ayaka-chan, how did you start going out with Goda-kun?
context: I don't know much about love and stuff.\But don't you want to when you see everyone else?\Especially Goda-kun and Ayaka-chan.\I-I don't really...\Huh?\Hey, we were just talking about you, Ayaka-chan.\Really? About what?\Ayaka-chan, how did you start going out with Goda-kun? response:	Don't you want to know, too, Chii-chan?
context: But don't you want to when you see everyone else?\Especially Goda-kun and Ayaka-chan.\I-I don't really...\Huh?\Hey, we were just talking about you, Ayaka-chan.\Really? About what?\Ayaka-chan, how did you start going out with Goda-kun?\Don't you want to know, too, Chii-chan? response:	N-Not really.
context: Especially Goda-kun and Ayaka-chan.\I-I don't really...\Huh?\Hey, we were just talking about you, Ayaka-chan.\Really? About what?\Ayaka-chan, how did you start going out with Goda-kun?\Don't you want to know, too, Chii-chan?\N-Not really. response:	Did you need something, Ayaka-chan?
context: I-I don't really...\Huh?\Hey, we were just talking about you, Ayaka-chan.\Really? About what?\Ayaka-chan, how did you start going out with Goda-kun?\Don't you want to know, too, Chii-chan?\N-Not really.\Did you need something, Ayaka-chan? response:	O-Oh, yeah, I was just looking for Sensei.
context: Huh?\Hey, we were just talking about you, Ayaka-chan.\Really? About what?\Ayaka-chan, how did you start going out with Goda-kun?\Don't you want to know, too, Chii-chan?\N-Not really.\Did you need something, Ayaka-chan?\O-Oh, yeah, I was just looking for Sensei. response:	Can't we talk just a little?
context: Hey, we were just talking about you, Ayaka-chan.\Really? About what?\Ayaka-chan, how did you start going out with Goda-kun?\Don't you want to know, too, Chii-chan?\N-Not really.\Did you need something, Ayaka-chan?\O-Oh, yeah, I was just looking for Sensei.\Can't we talk just a little? response:	No, we shouldn't pry.
context: Really? About what?\Ayaka-chan, how did you start going out with Goda-kun?\Don't you want to know, too, Chii-chan?\N-Not really.\Did you need something, Ayaka-chan?\O-Oh, yeah, I was just looking for Sensei.\Can't we talk just a little?\No, we shouldn't pry. response:	Well, if it's just a little...
context: Ayaka-chan, how did you start going out with Goda-kun?\Don't you want to know, too, Chii-chan?\N-Not really.\Did you need something, Ayaka-chan?\O-Oh, yeah, I was just looking for Sensei.\Can't we talk just a little?\No, we shouldn't pry.\Well, if it's just a little... response:	Come on, aren't you curious, Chii-chan?
context: Don't you want to know, too, Chii-chan?\N-Not really.\Did you need something, Ayaka-chan?\O-Oh, yeah, I was just looking for Sensei.\Can't we talk just a little?\No, we shouldn't pry.\Well, if it's just a little...\Come on, aren't you curious, Chii-chan? response:	I don't care.
context: N-Not really.\Did you need something, Ayaka-chan?\O-Oh, yeah, I was just looking for Sensei.\Can't we talk just a little?\No, we shouldn't pry.\Well, if it's just a little...\Come on, aren't you curious, Chii-chan?\I don't care. response:	Okay, so who confessed first?
context: Did you need something, Ayaka-chan?\O-Oh, yeah, I was just looking for Sensei.\Can't we talk just a little?\No, we shouldn't pry.\Well, if it's just a little...\Come on, aren't you curious, Chii-chan?\I don't care.\Okay, so who confessed first? response:	This is embarrassing.
context: O-Oh, yeah, I was just looking for Sensei.\Can't we talk just a little?\No, we shouldn't pry.\Well, if it's just a little...\Come on, aren't you curious, Chii-chan?\I don't care.\Okay, so who confessed first?\This is embarrassing. response:	Well, I did.
context: Can't we talk just a little?\No, we shouldn't pry.\Well, if it's just a little...\Come on, aren't you curious, Chii-chan?\I don't care.\Okay, so who confessed first?\This is embarrassing.\Well, I did. response:	Oh, Chii-chan.
context: No, we shouldn't pry.\Well, if it's just a little...\Come on, aren't you curious, Chii-chan?\I don't care.\Okay, so who confessed first?\This is embarrassing.\Well, I did.\Oh, Chii-chan. response:	You are interested, aren't you?
context: Well, if it's just a little...\Come on, aren't you curious, Chii-chan?\I don't care.\Okay, so who confessed first?\This is embarrassing.\Well, I did.\Oh, Chii-chan.\You are interested, aren't you? response:	N-Not really.
context: Come on, aren't you curious, Chii-chan?\I don't care.\Okay, so who confessed first?\This is embarrassing.\Well, I did.\Oh, Chii-chan.\You are interested, aren't you?\N-Not really. response:	Huh? Is there someone you like, Chii-chan?
context: I don't care.\Okay, so who confessed first?\This is embarrassing.\Well, I did.\Oh, Chii-chan.\You are interested, aren't you?\N-Not really.\Huh? Is there someone you like, Chii-chan? response:	She's been sighing nonstop lately.
context: Okay, so who confessed first?\This is embarrassing.\Well, I did.\Oh, Chii-chan.\You are interested, aren't you?\N-Not really.\Huh? Is there someone you like, Chii-chan?\She's been sighing nonstop lately. response:	I have not!
context: This is embarrassing.\Well, I did.\Oh, Chii-chan.\You are interested, aren't you?\N-Not really.\Huh? Is there someone you like, Chii-chan?\She's been sighing nonstop lately.\I have not! response:	Oh, I was like that, too, though.
context: Well, I did.\Oh, Chii-chan.\You are interested, aren't you?\N-Not really.\Huh? Is there someone you like, Chii-chan?\She's been sighing nonstop lately.\I have not!\Oh, I was like that, too, though. response:	That's what happens when you like someone.
context: Oh, Chii-chan.\You are interested, aren't you?\N-Not really.\Huh? Is there someone you like, Chii-chan?\She's been sighing nonstop lately.\I have not!\Oh, I was like that, too, though.\That's what happens when you like someone. response:	I know.
context: You are interested, aren't you?\N-Not really.\Huh? Is there someone you like, Chii-chan?\She's been sighing nonstop lately.\I have not!\Oh, I was like that, too, though.\That's what happens when you like someone.\I know. response:	There isn't really anyone I like.
context: N-Not really.\Huh? Is there someone you like, Chii-chan?\She's been sighing nonstop lately.\I have not!\Oh, I was like that, too, though.\That's what happens when you like someone.\I know.\There isn't really anyone I like. response:	I would follow Goda-kun with my eyes unconsciously,
context: Huh? Is there someone you like, Chii-chan?\She's been sighing nonstop lately.\I have not!\Oh, I was like that, too, though.\That's what happens when you like someone.\I know.\There isn't really anyone I like.\I would follow Goda-kun with my eyes unconsciously, response:	or think about him without realizing it.
context: She's been sighing nonstop lately.\I have not!\Oh, I was like that, too, though.\That's what happens when you like someone.\I know.\There isn't really anyone I like.\I would follow Goda-kun with my eyes unconsciously,\or think about him without realizing it. response:	I was pretty out of it during club work, too.
context: I have not!\Oh, I was like that, too, though.\That's what happens when you like someone.\I know.\There isn't really anyone I like.\I would follow Goda-kun with my eyes unconsciously,\or think about him without realizing it.\I was pretty out of it during club work, too. response:	Come on, Chii-chan, is there seriously no one you like?
context: Oh, I was like that, too, though.\That's what happens when you like someone.\I know.\There isn't really anyone I like.\I would follow Goda-kun with my eyes unconsciously,\or think about him without realizing it.\I was pretty out of it during club work, too.\Come on, Chii-chan, is there seriously no one you like? response:	Sugawara-kun's just a classmate.
context: That's what happens when you like someone.\I know.\There isn't really anyone I like.\I would follow Goda-kun with my eyes unconsciously,\or think about him without realizing it.\I was pretty out of it during club work, too.\Come on, Chii-chan, is there seriously no one you like?\Sugawara-kun's just a classmate. response:	He's kind to everyone.
context: I know.\There isn't really anyone I like.\I would follow Goda-kun with my eyes unconsciously,\or think about him without realizing it.\I was pretty out of it during club work, too.\Come on, Chii-chan, is there seriously no one you like?\Sugawara-kun's just a classmate.\He's kind to everyone. response:	Is it Sugawara-kun?
context: There isn't really anyone I like.\I would follow Goda-kun with my eyes unconsciously,\or think about him without realizing it.\I was pretty out of it during club work, too.\Come on, Chii-chan, is there seriously no one you like?\Sugawara-kun's just a classmate.\He's kind to everyone.\Is it Sugawara-kun? response:	What? Really?
context: I would follow Goda-kun with my eyes unconsciously,\or think about him without realizing it.\I was pretty out of it during club work, too.\Come on, Chii-chan, is there seriously no one you like?\Sugawara-kun's just a classmate.\He's kind to everyone.\Is it Sugawara-kun?\What? Really? response:	It's not.
context: or think about him without realizing it.\I was pretty out of it during club work, too.\Come on, Chii-chan, is there seriously no one you like?\Sugawara-kun's just a classmate.\He's kind to everyone.\Is it Sugawara-kun?\What? Really?\It's not. response:	Besides, why would you guess Sugawara-kun?
context: I was pretty out of it during club work, too.\Come on, Chii-chan, is there seriously no one you like?\Sugawara-kun's just a classmate.\He's kind to everyone.\Is it Sugawara-kun?\What? Really?\It's not.\Besides, why would you guess Sugawara-kun? response:	Oh, no, it's just a rumor that I heard.
context: Come on, Chii-chan, is there seriously no one you like?\Sugawara-kun's just a classmate.\He's kind to everyone.\Is it Sugawara-kun?\What? Really?\It's not.\Besides, why would you guess Sugawara-kun?\Oh, no, it's just a rumor that I heard. response:	That he likes you.
context: Sugawara-kun's just a classmate.\He's kind to everyone.\Is it Sugawara-kun?\What? Really?\It's not.\Besides, why would you guess Sugawara-kun?\Oh, no, it's just a rumor that I heard.\That he likes you. response:	I've heard that rumor, too.
context: He's kind to everyone.\Is it Sugawara-kun?\What? Really?\It's not.\Besides, why would you guess Sugawara-kun?\Oh, no, it's just a rumor that I heard.\That he likes you.\I've heard that rumor, too. response:	Sugawara-kun likes me?
context: Is it Sugawara-kun?\What? Really?\It's not.\Besides, why would you guess Sugawara-kun?\Oh, no, it's just a rumor that I heard.\That he likes you.\I've heard that rumor, too.\Sugawara-kun likes me? response:	Sugawara-kun does?
context: What? Really?\It's not.\Besides, why would you guess Sugawara-kun?\Oh, no, it's just a rumor that I heard.\That he likes you.\I've heard that rumor, too.\Sugawara-kun likes me?\Sugawara-kun does? response:	Sugawara-kun does?
context: It's not.\Besides, why would you guess Sugawara-kun?\Oh, no, it's just a rumor that I heard.\That he likes you.\I've heard that rumor, too.\Sugawara-kun likes me?\Sugawara-kun does?\Sugawara-kun does? response:	Suga
