context: Why was I beaten? response:	I won't lose to you!
context: Why was I beaten?\I won't lose to you! response:	What?!
context: Why was I beaten?\I won't lose to you!\What?! response:	Did I err somewhere?
context: Why was I beaten?\I won't lose to you!\What?!\Did I err somewhere? response:	No, I've made no mistakes.
context: Why was I beaten?\I won't lose to you!\What?!\Did I err somewhere?\No, I've made no mistakes. response:	As long as I have this Sacred Jewel...
context: Why was I beaten?\I won't lose to you!\What?!\Did I err somewhere?\No, I've made no mistakes.\As long as I have this Sacred Jewel... response:	I will be able to start over and over again!
context: Why was I beaten?\I won't lose to you!\What?!\Did I err somewhere?\No, I've made no mistakes.\As long as I have this Sacred Jewel...\I will be able to start over and over again! response:	Who's there?!
context: Why was I beaten?\I won't lose to you!\What?!\Did I err somewhere?\No, I've made no mistakes.\As long as I have this Sacred Jewel...\I will be able to start over and over again!\Who's there?! response:	Where do you think you are?
context: I won't lose to you!\What?!\Did I err somewhere?\No, I've made no mistakes.\As long as I have this Sacred Jewel...\I will be able to start over and over again!\Who's there?!\Where do you think you are? response:	If you are human, be gone!
context: What?!\Did I err somewhere?\No, I've made no mistakes.\As long as I have this Sacred Jewel...\I will be able to start over and over again!\Who's there?!\Where do you think you are?\If you are human, be gone! response:	If you are a demon, we will slay you!
context: Did I err somewhere?\No, I've made no mistakes.\As long as I have this Sacred Jewel...\I will be able to start over and over again!\Who's there?!\Where do you think you are?\If you are human, be gone!\If you are a demon, we will slay you! response:	Stand back!
context: No, I've made no mistakes.\As long as I have this Sacred Jewel...\I will be able to start over and over again!\Who's there?!\Where do you think you are?\If you are human, be gone!\If you are a demon, we will slay you!\Stand back! response:	I am Priestess Tsubaki.
context: As long as I have this Sacred Jewel...\I will be able to start over and over again!\Who's there?!\Where do you think you are?\If you are human, be gone!\If you are a demon, we will slay you!\Stand back!\I am Priestess Tsubaki. response:	At one time, I trained at this shrine.
context: I will be able to start over and over again!\Who's there?!\Where do you think you are?\If you are human, be gone!\If you are a demon, we will slay you!\Stand back!\I am Priestess Tsubaki.\At one time, I trained at this shrine. response:	How nostalgic.
context: Who's there?!\Where do you think you are?\If you are human, be gone!\If you are a demon, we will slay you!\Stand back!\I am Priestess Tsubaki.\At one time, I trained at this shrine.\How nostalgic. response:	Nothing has changed much since those days.
context: Where do you think you are?\If you are human, be gone!\If you are a demon, we will slay you!\Stand back!\I am Priestess Tsubaki.\At one time, I trained at this shrine.\How nostalgic.\Nothing has changed much since those days. response:	My name is Momiji.
context: If you are human, be gone!\If you are a demon, we will slay you!\Stand back!\I am Priestess Tsubaki.\At one time, I trained at this shrine.\How nostalgic.\Nothing has changed much since those days.\My name is Momiji. response:	I am Botan.
context: If you are a demon, we will slay you!\Stand back!\I am Priestess Tsubaki.\At one time, I trained at this shrine.\How nostalgic.\Nothing has changed much since those days.\My name is Momiji.\I am Botan. response:	Only you two protect this shrine now?
context: Stand back!\I am Priestess Tsubaki.\At one time, I trained at this shrine.\How nostalgic.\Nothing has changed much since those days.\My name is Momiji.\I am Botan.\Only you two protect this shrine now? response:	We were Master's last disciples.
context: I am Priestess Tsubaki.\At one time, I trained at this shrine.\How nostalgic.\Nothing has changed much since those days.\My name is Momiji.\I am Botan.\Only you two protect this shrine now?\We were Master's last disciples. response:	I see.
context: At one time, I trained at this shrine.\How nostalgic.\Nothing has changed much since those days.\My name is Momiji.\I am Botan.\Only you two protect this shrine now?\We were Master's last disciples.\I see. response:	Priestess Tsubaki, you said you were Master's disciple, too.
context: How nostalgic.\Nothing has changed much since those days.\My name is Momiji.\I am Botan.\Only you two protect this shrine now?\We were Master's last disciples.\I see.\Priestess Tsubaki, you said you were Master's disciple, too. response:	Please pardon my rudeness, but how old are you?
context: Nothing has changed much since those days.\My name is Momiji.\I am Botan.\Only you two protect this shrine now?\We were Master's last disciples.\I see.\Priestess Tsubaki, you said you were Master's disciple, too.\Please pardon my rudeness, but how old are you? response:	You look so young.
context: My name is Momiji.\I am Botan.\Only you two protect this shrine now?\We were Master's last disciples.\I see.\Priestess Tsubaki, you said you were Master's disciple, too.\Please pardon my rudeness, but how old are you?\You look so young. response:	I am much older than you, of course.
context: I am Botan.\Only you two protect this shrine now?\We were Master's last disciples.\I see.\Priestess Tsubaki, you said you were Master's disciple, too.\Please pardon my rudeness, but how old are you?\You look so young.\I am much older than you, of course. response:	But this is a result of my training.
context: Only you two protect this shrine now?\We were Master's last disciples.\I see.\Priestess Tsubaki, you said you were Master's disciple, too.\Please pardon my rudeness, but how old are you?\You look so young.\I am much older than you, of course.\But this is a result of my training. response:	Is there a skill to keep one young?
context: We were Master's last disciples.\I see.\Priestess Tsubaki, you said you were Master's disciple, too.\Please pardon my rudeness, but how old are you?\You look so young.\I am much older than you, of course.\But this is a result of my training.\Is there a skill to keep one young? response:	If you continue your training, it will become possible.
