context: I did it! response:	Kaio- sama, what should I do next?
context: I did it!\Kaio- sama, what should I do next? response:	What should you do? Let's see... You'll polish off whatever I give you, right?
context: I did it!\Kaio- sama, what should I do next?\What should you do? Let's see... You'll polish off whatever I give you, right? response:	Uh-huh.
context: I did it!\Kaio- sama, what should I do next?\What should you do? Let's see... You'll polish off whatever I give you, right?\Uh-huh. response:	Even apple-polishing?
context: I did it!\Kaio- sama, what should I do next?\What should you do? Let's see... You'll polish off whatever I give you, right?\Uh-huh.\Even apple-polishing? response:	Kaio- sama, I have to train fast, before the Saiyans arrive...
context: I did it!\Kaio- sama, what should I do next?\What should you do? Let's see... You'll polish off whatever I give you, right?\Uh-huh.\Even apple-polishing?\Kaio- sama, I have to train fast, before the Saiyans arrive... response:	Take it easy.
context: I did it!\Kaio- sama, what should I do next?\What should you do? Let's see... You'll polish off whatever I give you, right?\Uh-huh.\Even apple-polishing?\Kaio- sama, I have to train fast, before the Saiyans arrive...\Take it easy. response:	There are still 135 days left.
context: I did it!\Kaio- sama, what should I do next?\What should you do? Let's see... You'll polish off whatever I give you, right?\Uh-huh.\Even apple-polishing?\Kaio- sama, I have to train fast, before the Saiyans arrive...\Take it easy.\There are still 135 days left. response:	That ain't hardly time enough to catch my breath.
context: Kaio- sama, what should I do next?\What should you do? Let's see... You'll polish off whatever I give you, right?\Uh-huh.\Even apple-polishing?\Kaio- sama, I have to train fast, before the Saiyans arrive...\Take it easy.\There are still 135 days left.\That ain't hardly time enough to catch my breath. response:	W- what are you doing?
context: What should you do? Let's see... You'll polish off whatever I give you, right?\Uh-huh.\Even apple-polishing?\Kaio- sama, I have to train fast, before the Saiyans arrive...\Take it easy.\There are still 135 days left.\That ain't hardly time enough to catch my breath.\W- what are you doing? response:	It's about time for it to come back.
context: Uh-huh.\Even apple-polishing?\Kaio- sama, I have to train fast, before the Saiyans arrive...\Take it easy.\There are still 135 days left.\That ain't hardly time enough to catch my breath.\W- what are you doing?\It's about time for it to come back. response:	Come back?
context: Even apple-polishing?\Kaio- sama, I have to train fast, before the Saiyans arrive...\Take it easy.\There are still 135 days left.\That ain't hardly time enough to catch my breath.\W- what are you doing?\It's about time for it to come back.\Come back? response:	Here it comes.
context: Kaio- sama, I have to train fast, before the Saiyans arrive...\Take it easy.\There are still 135 days left.\That ain't hardly time enough to catch my breath.\W- what are you doing?\It's about time for it to come back.\Come back?\Here it comes. response:	It takes quite a while to catch one's breath, huh?
context: Take it easy.\There are still 135 days left.\That ain't hardly time enough to catch my breath.\W- what are you doing?\It's about time for it to come back.\Come back?\Here it comes.\It takes quite a while to catch one's breath, huh? response:	That's great, that's great!
context: There are still 135 days left.\That ain't hardly time enough to catch my breath.\W- what are you doing?\It's about time for it to come back.\Come back?\Here it comes.\It takes quite a while to catch one's breath, huh?\That's great, that's great! response:	Are you sure you're all that strong?
context: That ain't hardly time enough to catch my breath.\W- what are you doing?\It's about time for it to come back.\Come back?\Here it comes.\It takes quite a while to catch one's breath, huh?\That's great, that's great!\Are you sure you're all that strong? response:	How rude!
context: W- what are you doing?\It's about time for it to come back.\Come back?\Here it comes.\It takes quite a while to catch one's breath, huh?\That's great, that's great!\Are you sure you're all that strong?\How rude! response:	W- what was that?
context: It's about time for it to come back.\Come back?\Here it comes.\It takes quite a while to catch one's breath, huh?\That's great, that's great!\Are you sure you're all that strong?\How rude!\W- what was that? response:	It looks like a cricket.
context: Come back?\Here it comes.\It takes quite a while to catch one's breath, huh?\That's great, that's great!\Are you sure you're all that strong?\How rude!\W- what was that?\It looks like a cricket. response:	C- cricket?
context: Here it comes.\It takes quite a while to catch one's breath, huh?\That's great, that's great!\Are you sure you're all that strong?\How rude!\W- what was that?\It looks like a cricket.\C- cricket? response:	That's crickediculous!
context: It takes quite a while to catch one's breath, huh?\That's great, that's great!\Are you sure you're all that strong?\How rude!\W- what was that?\It looks like a cricket.\C- cricket?\That's crickediculous! response:	-Oh, nice one! -You are so disrespectful!
context: That's great, that's great!\Are you sure you're all that strong?\How rude!\W- what was that?\It looks like a cricket.\C- cricket?\That's crickediculous!\-Oh, nice one! -You are so disrespectful! response:	I am Gregory, the one who looks after Kaio- sama.
context: Are you sure you're all that strong?\How rude!\W- what was that?\It looks like a cricket.\C- cricket?\That's crickediculous!\-Oh, nice one! -You are so disrespectful!\I am Gregory, the one who looks after Kaio- sama. response:	You dare face the man who stands at the head of all
