context: Huh? Where'd I put my pass? response:	Ah, here it is.
context: Huh? Where'd I put my pass?\Ah, here it is. response:	Moto, I just remembered some things I need to take care of.
context: Huh? Where'd I put my pass?\Ah, here it is.\Moto, I just remembered some things I need to take care of. response:	I gave you my final notice this morning.
context: Huh? Where'd I put my pass?\Ah, here it is.\Moto, I just remembered some things I need to take care of.\I gave you my final notice this morning. response:	Didn't I tell you...
context: Huh? Where'd I put my pass?\Ah, here it is.\Moto, I just remembered some things I need to take care of.\I gave you my final notice this morning.\Didn't I tell you... response:	Sorry!
context: Huh? Where'd I put my pass?\Ah, here it is.\Moto, I just remembered some things I need to take care of.\I gave you my final notice this morning.\Didn't I tell you...\Sorry! response:	Hey!
context: Huh? Where'd I put my pass?\Ah, here it is.\Moto, I just remembered some things I need to take care of.\I gave you my final notice this morning.\Didn't I tell you...\Sorry!\Hey! response:	Love is...
context: Huh? Where'd I put my pass?\Ah, here it is.\Moto, I just remembered some things I need to take care of.\I gave you my final notice this morning.\Didn't I tell you...\Sorry!\Hey!\Love is... response:	The timing...
context: Ah, here it is.\Moto, I just remembered some things I need to take care of.\I gave you my final notice this morning.\Didn't I tell you...\Sorry!\Hey!\Love is...\The timing... response:	Usotsuki na anata nakimushi no atashi
context: Moto, I just remembered some things I need to take care of.\I gave you my final notice this morning.\Didn't I tell you...\Sorry!\Hey!\Love is...\The timing...\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: I gave you my final notice this morning.\Didn't I tell you...\Sorry!\Hey!\Love is...\The timing...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Didn't I tell you...\Sorry!\Hey!\Love is...\The timing...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Sorry!\Hey!\Love is...\The timing...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Hey!\Love is...\The timing...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: Love is...\The timing...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: The timing...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 14 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 14 ... response:	Wha...
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 14 ...\Wha... response:	What the fuck?!
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 14 ...\Wha...\What the fuck?! response:	C-Calm down! You're on the bus!
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 14 ...\Wha...\What the fuck?!\C-Calm down! You're on the bus! response:	Pick up! Hurry and answer your phone!
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 14 ...\Wha...\What the fuck?!\C-Calm down! You're on the bus!\Pick up! Hurry and answer your phone! response:	I cannot answer the phone right now, but after the beep...
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 14 ...\Wha...\What the fuck?!\C-Calm down! You're on the bus!\Pick up! Hurry and answer your phone!\I cannot answer the phone right now, but after the beep... response:	Take! If you lay a finger on her, I'll fucking kill you!
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 14 ...\Wha...\What the fuck?!\C-Calm down! You're on the bus!\Pick up! Hurry and answer your phone!\I cannot answer the phone right now, but after the beep...\Take! If you lay a finger on her, I'll fucking kill you! response:	The use of cellphones while on the bus is...
context: Episode 14 ...\Wha...\What the fuck?!\C-Calm down! You're on the bus!\Pick up! Hurry and answer your phone!\I cannot answer the phone right now, but after the beep...\Take! If you lay a finger on her, I'll fucking kill you!\The use of cellphones while on the bus is... response:	We're terribly sorry!
context: Wha...\What the fuck?!\C-Calm down! You're on the bus!\Pick up! Hurry and answer your phone!\I cannot answer the phone right now, but after the beep...\Take! If you lay a finger on her, I'll fucking kill you!\The use of cellphones while on the bus is...\We're terribly sorry! response:	Hey! Are you getting off?
context: What the fuck?!\C-Calm down! You're on the bus!\Pick up! Hurry and answer your phone!\I cannot answer the phone right now, but after the beep...\Take! If you lay a finger on her, I'll fucking kill you!\The use of cellphones while on the bus is...\We're terribly sorry!\Hey! Are you getting off? response:	What are you planning on doing?
context: C-Calm down! You're on the bus!\Pick up! Hurry and answer your phone!\I cannot answer the phone right now, but after the beep...\Take! If you lay a finger on her, I'll fucking kill you!\The use of cellphones while on the bus is...\We're terribly sorry!\Hey! Are you getting off?\What are you planning on doing? response:	I'm going to stop him.
context: Pick up! Hurry and answer your phone!\I cannot answer the phone right now, but after the beep...\Take! If you lay a finger on her, I'll fucking kill you!\The use of cellphones while on the bus is...\We're terribly sorry!\Hey! Are you getting off?\What are you planning on doing?\I'm going to stop him. response:	Puppies are just sooo adorable!
context: I cannot answer the phone right now, but after the beep...\Take! If you lay a finger on her, I'll fucking kill you!\The use of cellphones while on the bus is...\We're terribly sorry!\Hey! Are you getting off?\What are you planning on doing?\I'm going to stop him.\Puppies are just sooo adorable! response:	Y-Yeah...
context: Take! If you lay a finger on her, I'll fucking kill you!\The use of cellphones while on the bus is...\We're terribly sorry!\Hey! Are you getting off?\What are you planning on doing?\I'm going to stop him.\Puppies are just sooo adorable!\Y-Yeah... response:	Mizu-chin... it won't be able to breathe if you hug it that hard...
context: The use of cellphones while on the bus is...\We're terribly sorry!\Hey! Are you getting off?\What are you planning on doing?\I'm going to stop him.\Puppies are just sooo adorable!\Y-Yeah...\Mizu-chin... it won't be able to breathe if you hug it that hard... response:	Let me hold him, too.
context: We're terribly sorry!\Hey! Are you getting off?\What are you planning on doing?\I'm going to stop him.\Puppies are just sooo adorable!\Y-Yeah...\Mizu-chin... it won't be able to breathe if you hug it that hard...\Let me hold him, too. response:	No! He's mine!
context: Hey! Are you getting off?\What are you planning on doing?\I'm going to stop him.\Puppies are just sooo adorable!\Y-Yeah...\Mizu-chin... it won't be able to breathe if you hug it that hard...\Let me hold him, too.\No! He's mine! response:	Come on, come on.
context: What are you planning on doing?\I'm going to stop him.\Puppies are just sooo adorable!\Y-Yeah...\Mizu-chin... it won't be able to breathe if you hug it that hard...\Let me hold him, too.\No! He's mine!\Come on, come on. response:	I might have completely...
context: I'm going to stop him.\Puppies are just sooo adorable!\Y-Yeah...\Mizu-chin... it won't be able to breathe if you hug it that hard...\Let me hold him, too.\No! He's mine!\Come on, come on.\I might have completely... response:	Takeuchi-kun!
context: Puppies are just sooo adorable!\Y-Yeah...\Mizu-chin... it won't be able to breathe if you hug it that hard...\Let me hold him, too.\No! He's mine!\Come on, come on.\I might have completely...\Takeuchi-kun! response:	Take a picture for me?
context: Y-Yeah...\Mizu-chin... it won't be able to breathe if you hug it that hard...\Let me hold him, too.\No! He's mine!\Come on, come on.\I might have completely...\Takeuchi-kun!\Take a picture for me? response:	Well, I guess it's okay.
context: Mizu-chin... it won't be able to breathe if you hug it that hard...\Let me hold him, too.\No! He's mine!\Come on, come on.\I might have completely...\Takeuchi-kun!\Take a picture for me?\Well, I guess it's okay. response:	Menu Settings Back
context: Let me hold him, too.\No! He's mine!\Come on, come on.\I might have completely...\Takeuchi-kun!\Take a picture for me?\Well, I guess it's okay.\Menu Settings Back response:	Save Text Msg Cancel
context: No! He's mine!\Come on, come on.\I might have completely...\Takeuchi-kun!\Take a picture for me?\Well, I guess it's okay.\Menu Settings Back\Save Text Msg Cancel response:	I see... so you found someone to take care of them.
context: Come on, come on.\I might have completely...\Takeuchi-kun!\Take a picture for me?\Well, I guess it's okay.\Menu Settings Back\Save Text Msg Cancel\I see... so you found someone to take care of them. response:	Yeah. I'm going to drop this one off at relative's house next week.
context: I might have completely...\Takeuchi-kun!\Take a picture for me?\Well, I guess it's okay.\Menu Settings Back\Save Text Msg Cancel\I see... so you found someone to take care of them.\Yeah. I'm going to drop this one off at relative's house next week. response:	Honestly, I wanted to keep one here.
context: Takeuchi-kun!\Take a picture for me?\Well, I guess it's okay.\Menu Settings Back\Save Text Msg Cancel\I see... so you found someone to take care of them.\Yeah. I'm going to drop this one off at relative's house next week.\Honestly, I wanted to keep one here. response:	Wait up, wait up!
context: Take a picture for me?\Well, I guess it's okay.\Menu Settings Back\Save Text Msg Cancel\I see... so you found someone to take care of them.\Yeah. I'm going to drop this one off at relative's house next week.\Honestly, I wanted to keep one here.\Wait up, wait up! response:	Who did the other one go to?
context: Well, I guess it's okay.\Menu Settings Back\Save Text Msg Cancel\I see... so you found someone to take care of them.\Yeah. I'm going to drop this one off at relative's house next week.\Honestly, I wanted to keep one here.\Wait up, wait up!\Who did the other one go to? response:	A neighbour.
context: Menu Settings Back\Save Text Msg Cancel\I see... so you found someone to take care of them.\Yeah. I'm going to drop this one off at relative's house next week.\Honestly, I wanted to keep one here.\Wait up, wait up!\Who did the other one go to?\A neighbour. response:	Then that means I'll still be able to see them again, right?
context: Save Text Msg Cancel\I see... so you found someone to take care of them.\Yeah. I'm going to drop this one off at relative's house next week.\Honestly, I wanted to keep one here.\Wait up, wait up!\Who did the other one go to?\A neighbour.\Then that means I'll still be able to see them again, right? response:	Um... yeah, I guess.
context: I see... so you found someone to take care of them.\Yeah. I'm going to drop this one off at relative's house next week.\Honestly, I wanted to keep one here.\Wait up, wait up!\Who did the other one go to?\A neighbour.\Then that means I'll still be able to see them again, right?\Um... yeah, I guess. response:	Voice Mail 1 New Message
context: Yeah. I'm going to drop this one off at relative's house next week.\Honestly, I wanted to keep one here.\Wait up, wait up!\Who did the other one go to?\A neighbour.\Then that means I'll still be able to see them again, right?\Um... yeah, I guess.\Voice Mail 1 New Message response:	If you lay a finger on her, I'll fucking kill you!
context: Honestly, I wanted to keep one here.\Wait up, wait up!\Who did the other one go to?\A neighbour.\Then that means I'll still be able to see them again, right?\Um... yeah, I guess.\Voice Mail 1 New Message\If you lay a finger on her, I'll fucking kill you! response:	Heeey! Wait up!
context: Wait up, wait up!\Who did the other one go to?\A neighbour.\Then that means I'll still be able to see them again, right?\Um... yeah, I guess.\Voice Mail 1 New Message\If you lay a finger on her, I'll fucking kill you!\Heeey! Wait up! response:	Come on, puppy! Woof, woof! Wait up!
context: Who did the other one go to?\A neighbour.\Then that means I'll still be able to see them again, right?\Um... yeah, I guess.\Voice Mail 1 New Message\If you lay a finger on her, I'll fucking kill you!\Heeey! Wait up!\Come on, puppy! Woof, woof! Wait up! response:	Come on, wait, you...!
context: A neighbour.\Then that means I'll still be able to see them again, right?\Um... yeah, I guess.\Voice Mail 1 New Message\If you lay a finger on her, I'll fucking kill you!\Heeey! Wait up!\Come on, puppy! Woof, woof! Wait up!\Come on, wait, you...! response:	Waaait!
context: Then that means I'll still be able to see them again, right?\Um... yeah, I guess.\Voice Mail 1 New Message\If you lay a finger on her, I'll fucking kill you!\Heeey! Wait up!\Come on, puppy! Woof, woof! Wait up!\Come on, wait, you...!\Waaait! response:	When he came over...
context: Um... yeah, I guess.\Voice Mail 1 New Message\If you lay a finger on her, I'll fucking kill you!\Heeey! Wait up!\Come on, puppy! Woof, woof! Wait up!\Come on, wait, you...!\Waaait!\When he came over... response:	But Mizu-chin's here, too...
context: Voice Mail 1 New Message\If you lay a finger on her, I'll fucking kill you!\Heeey! Wait up!\Come on, puppy! Woof, woof! Wait up!\Come on, wait, you...!\Waaait!\When he came over...\But Mizu-chin's here, too... response:	Now that I started thinking about this, it's suddenly become hard to talk...
context: If you lay a finger on her, I'll fucking kill you!\Heeey! Wait up!\Come on, puppy! Woof, woof! Wait up!\Come on, wait, you...!\Waaait!\When he came over...\But Mizu-chin's here, too...\Now that I started thinking about this, it's suddenly become hard to talk... response:	Um, hey...
context: Heeey! Wait up!\Come on, puppy! Woof, woof! Wait up!\Come on, wait, you...!\Waaait!\When he came over...\But Mizu-chin's here, too...\Now that I started thinking about this, it's suddenly become hard to talk...\Um, hey... response:	Y-Yeah?
context: Come on, puppy! Woof, woof! Wait up!\Come on, wait, you...!\Waaait!\When he came over...\But Mizu-chin's here, too...\Now that I started thinking about this, it's suddenly become hard to talk...\Um, hey...\Y-Yeah? response:	Ah, sorry. Phone call for me.
context: Come on, wait, you...!\Waaait!\When he came over...\But Mizu-chin's here, too...\Now that I started thinking about this, it's suddenly become hard to talk...\Um, hey...\Y-Yeah?\Ah, sorry. Phone call for me. response:	It's from my house.
context: Waaait!\When he came over...\But Mizu-chin's here, too...\Now that I started thinking about this, it's suddenly become hard to talk...\Um, hey...\Y-Yeah?\Ah, sorry. Phone call for me.\It's from my house. response:	Yes?
context: When he came over...\But Mizu-chin's here, too...\Now that I started thinking about this, it's suddenly become hard to talk...\Um, hey...\Y-Yeah?\Ah, sorry. Phone call for me.\It's from my house.\Yes? response:	Masa?
