context: What about these? response:	Miuna, those are weeds.
context: What about these?\Miuna, those are weeds. response:	Probably shouldn't use those for a bride's bouquet.
context: What about these?\Miuna, those are weeds.\Probably shouldn't use those for a bride's bouquet. response:	But they're so cute.
context: What about these?\Miuna, those are weeds.\Probably shouldn't use those for a bride's bouquet.\But they're so cute. response:	Aren't there fancier flowers like roses or moth orchids growing around here?
context: What about these?\Miuna, those are weeds.\Probably shouldn't use those for a bride's bouquet.\But they're so cute.\Aren't there fancier flowers like roses or moth orchids growing around here? response:	Oh, henbits!
context: What about these?\Miuna, those are weeds.\Probably shouldn't use those for a bride's bouquet.\But they're so cute.\Aren't there fancier flowers like roses or moth orchids growing around here?\Oh, henbits! response:	Should I really be helping Aka-chan get ready to be married?
context: What about these?\Miuna, those are weeds.\Probably shouldn't use those for a bride's bouquet.\But they're so cute.\Aren't there fancier flowers like roses or moth orchids growing around here?\Oh, henbits!\Should I really be helping Aka-chan get ready to be married? response:	Well, it looks like hibernation is totally out of the question.
context: What about these?\Miuna, those are weeds.\Probably shouldn't use those for a bride's bouquet.\But they're so cute.\Aren't there fancier flowers like roses or moth orchids growing around here?\Oh, henbits!\Should I really be helping Aka-chan get ready to be married?\Well, it looks like hibernation is totally out of the question. response:	But I guess it can't be helped.
context: Miuna, those are weeds.\Probably shouldn't use those for a bride's bouquet.\But they're so cute.\Aren't there fancier flowers like roses or moth orchids growing around here?\Oh, henbits!\Should I really be helping Aka-chan get ready to be married?\Well, it looks like hibernation is totally out of the question.\But I guess it can't be helped. response:	What's wrong?
context: Probably shouldn't use those for a bride's bouquet.\But they're so cute.\Aren't there fancier flowers like roses or moth orchids growing around here?\Oh, henbits!\Should I really be helping Aka-chan get ready to be married?\Well, it looks like hibernation is totally out of the question.\But I guess it can't be helped.\What's wrong? response:	I'm a bad person.
context: But they're so cute.\Aren't there fancier flowers like roses or moth orchids growing around here?\Oh, henbits!\Should I really be helping Aka-chan get ready to be married?\Well, it looks like hibernation is totally out of the question.\But I guess it can't be helped.\What's wrong?\I'm a bad person. response:	Huh?
context: Aren't there fancier flowers like roses or moth orchids growing around here?\Oh, henbits!\Should I really be helping Aka-chan get ready to be married?\Well, it looks like hibernation is totally out of the question.\But I guess it can't be helped.\What's wrong?\I'm a bad person.\Huh? response:	I want Hikari to be saved, too...
