context: Don't talk to me anymore! response:	I don't want to have anything to do with you!
context: Don't talk to me anymore!\I don't want to have anything to do with you! response:	I'd never thought we'd meet again so quickly
context: Don't talk to me anymore!\I don't want to have anything to do with you!\I'd never thought we'd meet again so quickly response:	It's a hit and run
context: Don't talk to me anymore!\I don't want to have anything to do with you!\I'd never thought we'd meet again so quickly\It's a hit and run response:	Where are public morals?
context: Don't talk to me anymore!\I don't want to have anything to do with you!\I'd never thought we'd meet again so quickly\It's a hit and run\Where are public morals? response:	What a tragic women
context: Don't talk to me anymore!\I don't want to have anything to do with you!\I'd never thought we'd meet again so quickly\It's a hit and run\Where are public morals?\What a tragic women response:	But good thing you found me
context: Don't talk to me anymore!\I don't want to have anything to do with you!\I'd never thought we'd meet again so quickly\It's a hit and run\Where are public morals?\What a tragic women\But good thing you found me response:	I'll personally carry you to the hospital!
context: Don't talk to me anymore!\I don't want to have anything to do with you!\I'd never thought we'd meet again so quickly\It's a hit and run\Where are public morals?\What a tragic women\But good thing you found me\I'll personally carry you to the hospital! response:	And yet you said we're ill-fated!
context: I don't want to have anything to do with you!\I'd never thought we'd meet again so quickly\It's a hit and run\Where are public morals?\What a tragic women\But good thing you found me\I'll personally carry you to the hospital!\And yet you said we're ill-fated! response:	I'm clearly your saviour!
context: I'd never thought we'd meet again so quickly\It's a hit and run\Where are public morals?\What a tragic women\But good thing you found me\I'll personally carry you to the hospital!\And yet you said we're ill-fated!\I'm clearly your saviour! response:	A manhole without a cover?
context: It's a hit and run\Where are public morals?\What a tragic women\But good thing you found me\I'll personally carry you to the hospital!\And yet you said we're ill-fated!\I'm clearly your saviour!\A manhole without a cover? response:	Crap! I was thinking too much that I forgot to look in front of me!
context: Where are public morals?\What a tragic women\But good thing you found me\I'll personally carry you to the hospital!\And yet you said we're ill-fated!\I'm clearly your saviour!\A manhole without a cover?\Crap! I was thinking too much that I forgot to look in front of me! response:	I'll definately protect big sister from the impact!
context: What a tragic women\But good thing you found me\I'll personally carry you to the hospital!\And yet you said we're ill-fated!\I'm clearly your saviour!\A manhole without a cover?\Crap! I was thinking too much that I forgot to look in front of me!\I'll definately protect big sister from the impact! response:	Safe landing
context: But good thing you found me\I'll personally carry you to the hospital!\And yet you said we're ill-fated!\I'm clearly your saviour!\A manhole without a cover?\Crap! I was thinking too much that I forgot to look in front of me!\I'll definately protect big sister from the impact!\Safe landing response:	Also you're...
context: I'll personally carry you to the hospital!\And yet you said we're ill-fated!\I'm clearly your saviour!\A manhole without a cover?\Crap! I was thinking too much that I forgot to look in front of me!\I'll definately protect big sister from the impact!\Safe landing\Also you're... response:	Why do I get hurt everytime I see you?
context: And yet you said we're ill-fated!\I'm clearly your saviour!\A manhole without a cover?\Crap! I was thinking too much that I forgot to look in front of me!\I'll definately protect big sister from the impact!\Safe landing\Also you're...\Why do I get hurt everytime I see you? response:	Our encounter must be ill-fated
