context: Wait. response:	Be a good apple and stay where you are.
context: Wait.\Be a good apple and stay where you are. response:	There's one here, too.
context: Wait.\Be a good apple and stay where you are.\There's one here, too. response:	Oh, you're right. Thank you so much.
context: Wait.\Be a good apple and stay where you are.\There's one here, too.\Oh, you're right. Thank you so much. response:	I'm so sorry to have you help me out.
context: Wait.\Be a good apple and stay where you are.\There's one here, too.\Oh, you're right. Thank you so much.\I'm so sorry to have you help me out. response:	It's fine.
context: Wait.\Be a good apple and stay where you are.\There's one here, too.\Oh, you're right. Thank you so much.\I'm so sorry to have you help me out.\It's fine. response:	That uniform...
context: Wait.\Be a good apple and stay where you are.\There's one here, too.\Oh, you're right. Thank you so much.\I'm so sorry to have you help me out.\It's fine.\That uniform... response:	You must be a student at Seika.
context: Wait.\Be a good apple and stay where you are.\There's one here, too.\Oh, you're right. Thank you so much.\I'm so sorry to have you help me out.\It's fine.\That uniform...\You must be a student at Seika. response:	Oh, so there are kind boys like you, too.
context: Be a good apple and stay where you are.\There's one here, too.\Oh, you're right. Thank you so much.\I'm so sorry to have you help me out.\It's fine.\That uniform...\You must be a student at Seika.\Oh, so there are kind boys like you, too. response:	You see, my daughter also goes to Seika.
context: There's one here, too.\Oh, you're right. Thank you so much.\I'm so sorry to have you help me out.\It's fine.\That uniform...\You must be a student at Seika.\Oh, so there are kind boys like you, too.\You see, my daughter also goes to Seika. response:	Maybe it's because she's always so serious and uptight, she doesn't get along with boys.
context: Oh, you're right. Thank you so much.\I'm so sorry to have you help me out.\It's fine.\That uniform...\You must be a student at Seika.\Oh, so there are kind boys like you, too.\You see, my daughter also goes to Seika.\Maybe it's because she's always so serious and uptight, she doesn't get along with boys. response:	I was worried at first whether she would enjoy her high school life.
context: I'm so sorry to have you help me out.\It's fine.\That uniform...\You must be a student at Seika.\Oh, so there are kind boys like you, too.\You see, my daughter also goes to Seika.\Maybe it's because she's always so serious and uptight, she doesn't get along with boys.\I was worried at first whether she would enjoy her high school life. response:	She does nothing but work or study on days without school.
