context: Episode 7 response:	Saturday Night
context: Episode 7\Saturday Night response:	160cm
context: Episode 7\Saturday Night\160cm response:	Self-Practice
context: Episode 7\Saturday Night\160cm\Self-Practice response:	All done.
context: Episode 7\Saturday Night\160cm\Self-Practice\All done. response:	I love Saturdays because Sawako cooks for us.
context: Episode 7\Saturday Night\160cm\Self-Practice\All done.\I love Saturdays because Sawako cooks for us. response:	It's delicious!
context: Episode 7\Saturday Night\160cm\Self-Practice\All done.\I love Saturdays because Sawako cooks for us.\It's delicious! response:	By the way, my after-school ramen initiation never happened.
context: Episode 7\Saturday Night\160cm\Self-Practice\All done.\I love Saturdays because Sawako cooks for us.\It's delicious!\By the way, my after-school ramen initiation never happened. response:	I forgot.
context: Saturday Night\160cm\Self-Practice\All done.\I love Saturdays because Sawako cooks for us.\It's delicious!\By the way, my after-school ramen initiation never happened.\I forgot. response:	I was so ready to have ramen.
context: 160cm\Self-Practice\All done.\I love Saturdays because Sawako cooks for us.\It's delicious!\By the way, my after-school ramen initiation never happened.\I forgot.\I was so ready to have ramen. response:	Yoshida-san was really upset.
context: Self-Practice\All done.\I love Saturdays because Sawako cooks for us.\It's delicious!\By the way, my after-school ramen initiation never happened.\I forgot.\I was so ready to have ramen.\Yoshida-san was really upset. response:	I don't approve of light ramen.
context: All done.\I love Saturdays because Sawako cooks for us.\It's delicious!\By the way, my after-school ramen initiation never happened.\I forgot.\I was so ready to have ramen.\Yoshida-san was really upset.\I don't approve of light ramen. response:	To hell with healthy!
context: I love Saturdays because Sawako cooks for us.\It's delicious!\By the way, my after-school ramen initiation never happened.\I forgot.\I was so ready to have ramen.\Yoshida-san was really upset.\I don't approve of light ramen.\To hell with healthy! response:	But I had fun listening to Yoshida-san's ramen lecture over tea.
context: It's delicious!\By the way, my after-school ramen initiation never happened.\I forgot.\I was so ready to have ramen.\Yoshida-san was really upset.\I don't approve of light ramen.\To hell with healthy!\But I had fun listening to Yoshida-san's ramen lecture over tea. response:	Yano-san, Yoshida-san.
context: By the way, my after-school ramen initiation never happened.\I forgot.\I was so ready to have ramen.\Yoshida-san was really upset.\I don't approve of light ramen.\To hell with healthy!\But I had fun listening to Yoshida-san's ramen lecture over tea.\Yano-san, Yoshida-san. response:	Curry tonight, huh, Sawako?
context: I forgot.\I was so ready to have ramen.\Yoshida-san was really upset.\I don't approve of light ramen.\To hell with healthy!\But I had fun listening to Yoshida-san's ramen lecture over tea.\Yano-san, Yoshida-san.\Curry tonight, huh, Sawako? response:	Curry tonight, huh?
context: I was so ready to have ramen.\Yoshida-san was really upset.\I don't approve of light ramen.\To hell with healthy!\But I had fun listening to Yoshida-san's ramen lecture over tea.\Yano-san, Yoshida-san.\Curry tonight, huh, Sawako?\Curry tonight, huh? response:	The phone's ringing.
context: Yoshida-san was really upset.\I don't approve of light ramen.\To hell with healthy!\But I had fun listening to Yoshida-san's ramen lecture over tea.\Yano-san, Yoshida-san.\Curry tonight, huh, Sawako?\Curry tonight, huh?\The phone's ringing. response:	Hello, Kuronuma residence.
context: I don't approve of light ramen.\To hell with healthy!\But I had fun listening to Yoshida-san's ramen lecture over tea.\Yano-san, Yoshida-san.\Curry tonight, huh, Sawako?\Curry tonight, huh?\The phone's ringing.\Hello, Kuronuma residence. response:	Ignoring me tonight, huh?
context: To hell with healthy!\But I had fun listening to Yoshida-san's ramen lecture over tea.\Yano-san, Yoshida-san.\Curry tonight, huh, Sawako?\Curry tonight, huh?\The phone's ringing.\Hello, Kuronuma residence.\Ignoring me tonight, huh? response:	Sawako, it's from your friend!
