context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	All day every day.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day. response:	ANTIBODY ENCYCLOPEDIA
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA response:	24 hours and 365 days.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days. response:	WHITE BLOOD CELL
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard. response:	UNDER CONSTRUCTION
context: roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION response:	PLATELETS
context: DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS response:	This is the inside of a human body.
context: All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body. response:	CAPILLARY 34
context: ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\CAPILLARY 34 response:	Um...
context: 24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\CAPILLARY 34\Um... response:	RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.
context: WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\CAPILLARY 34\Um...\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation. response:	Huh?
context: They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\CAPILLARY 34\Um...\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Huh? response:	Which way was it again?
context: UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\CAPILLARY 34\Um...\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Huh?\Which way was it again? response:	CELL
context: PLATELETS\This is the inside of a human body.\CAPILLARY 34\Um...\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Huh?\Which way was it again?\CELL response:	What are you doing?
context: This is the inside of a human body.\CAPILLARY 34\Um...\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Huh?\Which way was it again?\CELL\What are you doing? response:	Senpai!
context: CAPILLARY 34\Um...\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Huh?\Which way was it again?\CELL\What are you doing?\Senpai! response:	Why are you here?
context: Um...\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Huh?\Which way was it again?\CELL\What are you doing?\Senpai!\Why are you here? response:	Seriously! You're as directionally-challenged as ever, aren't you?
context: RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Huh?\Which way was it again?\CELL\What are you doing?\Senpai!\Why are you here?\Seriously! You're as directionally-challenged as ever, aren't you? response:	Lost your way again?
context: Huh?\Which way was it again?\CELL\What are you doing?\Senpai!\Why are you here?\Seriously! You're as directionally-challenged as ever, aren't you?\Lost your way again? response:	Sorry.
context: Which way was it again?\CELL\What are you doing?\Senpai!\Why are you here?\Seriously! You're as directionally-challenged as ever, aren't you?\Lost your way again?\Sorry. response:	Let me see.
