context: Ko-Koizumi. response:	Nothing...
context: Ko-Koizumi.\Nothing... response:	It's all a blank after that.
context: Ko-Koizumi.\Nothing...\It's all a blank after that. response:	It's all a blank after that?!
context: Ko-Koizumi.\Nothing...\It's all a blank after that.\It's all a blank after that?! response:	A Killer Crush on Maity!
context: Ko-Koizumi.\Nothing...\It's all a blank after that.\It's all a blank after that?!\A Killer Crush on Maity! response:	Love Love Fantasia
context: Ko-Koizumi.\Nothing...\It's all a blank after that.\It's all a blank after that?!\A Killer Crush on Maity!\Love Love Fantasia response:	Risa, what's wrong? You look upset.
context: Ko-Koizumi.\Nothing...\It's all a blank after that.\It's all a blank after that?!\A Killer Crush on Maity!\Love Love Fantasia\Risa, what's wrong? You look upset. response:	It's not like you.
context: Ko-Koizumi.\Nothing...\It's all a blank after that.\It's all a blank after that?!\A Killer Crush on Maity!\Love Love Fantasia\Risa, what's wrong? You look upset.\It's not like you. response:	I look upset, do I?
context: Nothing...\It's all a blank after that.\It's all a blank after that?!\A Killer Crush on Maity!\Love Love Fantasia\Risa, what's wrong? You look upset.\It's not like you.\I look upset, do I? response:	Why don't you cast away all that sadness,
context: It's all a blank after that.\It's all a blank after that?!\A Killer Crush on Maity!\Love Love Fantasia\Risa, what's wrong? You look upset.\It's not like you.\I look upset, do I?\Why don't you cast away all that sadness, response:	There. That suits you much better.
context: It's all a blank after that?!\A Killer Crush on Maity!\Love Love Fantasia\Risa, what's wrong? You look upset.\It's not like you.\I look upset, do I?\Why don't you cast away all that sadness,\There. That suits you much better. response:	Seeing you smile is what gives me strength.
context: A Killer Crush on Maity!\Love Love Fantasia\Risa, what's wrong? You look upset.\It's not like you.\I look upset, do I?\Why don't you cast away all that sadness,\There. That suits you much better.\Seeing you smile is what gives me strength. response:	Cain-sama sure is sweet.
context: Love Love Fantasia\Risa, what's wrong? You look upset.\It's not like you.\I look upset, do I?\Why don't you cast away all that sadness,\There. That suits you much better.\Seeing you smile is what gives me strength.\Cain-sama sure is sweet. response:	It'd be nice if I could meet someone like him for real.
context: Risa, what's wrong? You look upset.\It's not like you.\I look upset, do I?\Why don't you cast away all that sadness,\There. That suits you much better.\Seeing you smile is what gives me strength.\Cain-sama sure is sweet.\It'd be nice if I could meet someone like him for real. response:	Ah... For some reason, my heart is racing.
context: It's not like you.\I look upset, do I?\Why don't you cast away all that sadness,\There. That suits you much better.\Seeing you smile is what gives me strength.\Cain-sama sure is sweet.\It'd be nice if I could meet someone like him for real.\Ah... For some reason, my heart is racing. response:	Risa, maybe I...
context: I look upset, do I?\Why don't you cast away all that sadness,\There. That suits you much better.\Seeing you smile is what gives me strength.\Cain-sama sure is sweet.\It'd be nice if I could meet someone like him for real.\Ah... For some reason, my heart is racing.\Risa, maybe I... response:	No. Never mind.
context: Why don't you cast away all that sadness,\There. That suits you much better.\Seeing you smile is what gives me strength.\Cain-sama sure is sweet.\It'd be nice if I could meet someone like him for real.\Ah... For some reason, my heart is racing.\Risa, maybe I...\No. Never mind. response:	No, no. Tell me, tell me.
context: There. That suits you much better.\Seeing you smile is what gives me strength.\Cain-sama sure is sweet.\It'd be nice if I could meet someone like him for real.\Ah... For some reason, my heart is racing.\Risa, maybe I...\No. Never mind.\No, no. Tell me, tell me. response:	Is that really my sister? This isn't good.
context: Seeing you smile is what gives me strength.\Cain-sama sure is sweet.\It'd be nice if I could meet someone like him for real.\Ah... For some reason, my heart is racing.\Risa, maybe I...\No. Never mind.\No, no. Tell me, tell me.\Is that really my sister? This isn't good. response:	Who's Cain-sama?
context: Cain-sama sure is sweet.\It'd be nice if I could meet someone like him for real.\Ah... For some reason, my heart is racing.\Risa, maybe I...\No. Never mind.\No, no. Tell me, tell me.\Is that really my sister? This isn't good.\Who's Cain-sama? response:	Risa, come back!
context: It'd be nice if I could meet someone like him for real.\Ah... For some reason, my heart is racing.\Risa, maybe I...\No. Never mind.\No, no. Tell me, tell me.\Is that really my sister? This isn't good.\Who's Cain-sama?\Risa, come back! response:	Hey, can I sit next to you?
context: Ah... For some reason, my heart is racing.\Risa, maybe I...\No. Never mind.\No, no. Tell me, tell me.\Is that really my sister? This isn't good.\Who's Cain-sama?\Risa, come back!\Hey, can I sit next to you? response:	I want to be near you...
context: Risa, maybe I...\No. Never mind.\No, no. Tell me, tell me.\Is that really my sister? This isn't good.\Who's Cain-sama?\Risa, come back!\Hey, can I sit next to you?\I want to be near you... response:	Let me just say this. That was my first kiss.
context: No. Never mind.\No, no. Tell me, tell me.\Is that really my sister? This isn't good.\Who's Cain-sama?\Risa, come back!\Hey, can I sit next to you?\I want to be near you...\Let me just say this. That was my first kiss. response:	But... But that idiot...
context: No, no. Tell me, tell me.\Is that really my sister? This isn't good.\Who's Cain-sama?\Risa, come back!\Hey, can I sit next to you?\I want to be near you...\Let me just say this. That was my first kiss.\But... But that idiot... response:	Man, the last thing I remember was eating oranges. It's all blank after that.
context: Is that really my sister? This isn't good.\Who's Cain-sama?\Risa, come back!\Hey, can I sit next to you?\I want to be near you...\Let me just say this. That was my first kiss.\But... But that idiot...\Man, the last thing I remember was eating oranges. It's all blank after that. response:	It's all blank after that.
context: Who's Cain-sama?\Risa, come back!\Hey, can I sit next to you?\I want to be near you...\Let me just say this. That was my first kiss.\But... But that idiot...\Man, the last thing I remember was eating oranges. It's all blank after that.\It's all blank after that. response:	What the heck do you mean,
context: Risa, come back!\Hey, can I sit next to you?\I want to be near you...\Let me just say this. That was my first kiss.\But... But that idiot...\Man, the last thing I remember was eating oranges. It's all blank after that.\It's all blank after that.\What the heck do you mean, response:	You think you can get off just by saying that?!
context: Hey, can I sit next to you?\I want to be near you...\Let me just say this. That was my first kiss.\But... But that idiot...\Man, the last thing I remember was eating oranges. It's all blank after that.\It's all blank after that.\What the heck do you mean,\You think you can get off just by saying that?! response:	Risa!
context: I want to be near you...\Let me just say this. That was my first kiss.\But... But that idiot...\Man, the last thing I remember was eating oranges. It's all blank after that.\It's all blank after that.\What the heck do you mean,\You think you can get off just by saying that?!\Risa! response:	Have you seen the notice board?
context: Let me just say this. That was my first kiss.\But... But that idiot...\Man, the last thing I remember was eating oranges. It's all blank after that.\It's all blank after that.\What the heck do you mean,\You think you can get off just by saying that?!\Risa!\Have you seen the notice board? response:	We're all in the same class again.
context: But... But that idiot...\Man, the last thing I remember was eating oranges. It's all blank after that.\It's all blank after that.\What the heck do you mean,\You think you can get off just by saying that?!\Risa!\Have you seen the notice board?\We're all in the same class again. response:	Is that right?
context: Man, the last thing I remember was eating oranges. It's all blank after that.\It's all blank after that.\What the heck do you mean,\You think you can get off just by saying that?!\Risa!\Have you seen the notice board?\We're all in the same class again.\Is that right? response:	Feeling down? What's the matter?
context: It's all blank after that.\What the heck do you mean,\You think you can get off just by saying that?!\Risa!\Have you seen the notice board?\We're all in the same class again.\Is that right?\Feeling down? What's the matter? response:	Nothing.
context: What the heck do you mean,\You think you can get off just by saying that?!\Risa!\Have you seen the notice board?\We're all in the same class again.\Is that right?\Feeling down? What's the matter?\Nothing. response:	Me, my darling, Chiharu-chan and hers, and Otani-kun too.
context: You think you can get off just by saying that?!\Risa!\Have you seen the notice board?\We're all in the same class again.\Is that right?\Feeling down? What's the matter?\Nothing.\Me, my darling, Chiharu-chan and hers, and Otani-kun too. response:	Are you serious?!
context: Risa!\Have you seen the notice board?\We're all in the same class again.\Is that right?\Feeling down? What's the matter?\Nothing.\Me, my darling, Chiharu-chan and hers, and Otani-kun too.\Are you serious?! response:	Don't eat me!
context: Have you seen the notice board?\We're all in the same class again.\Is that right?\Feeling down? What's the matter?\Nothing.\Me, my darling, Chiharu-chan and hers, and Otani-kun too.\Are you serious?!\Don't eat me! response:	Ah... We'll be in the same class for all three years...
context: We're all in the same class again.\Is that right?\Feeling down? What's the matter?\Nothing.\Me, my darling, Chiharu-chan and hers, and Otani-kun too.\Are you serious?!\Don't eat me!\Ah... We'll be in the same class for all three years... response:	Right up until the end, we'll still be called All Hanshin-Kyojin.
context: Is that right?\Feeling down? What's the matter?\Nothing.\Me, my darling, Chiharu-chan and hers, and Otani-kun too.\Are you serious?!\Don't eat me!\Ah... We'll be in the same class for all three years...\Right up until the end, we'll still be called All Hanshin-Kyojin. response:	How are you going to make this up to me?
context: Feeling down? What's the matter?\Nothing.\Me, my darling, Chiharu-chan and hers, and Otani-kun too.\Are you serious?!\Don't eat me!\Ah... We'll be in the same class for all three years...\Right up until the end, we'll still be called All Hanshin-Kyojin.\How are you going to make this up to me? response:	That's my line, you stunted dwarf!
context: Nothing.\Me, my darling, Chiharu-chan and hers, and Otani-kun too.\Are you serious?!\Don't eat me!\Ah... We'll be in the same class for all three years...\Right up until the end, we'll still be called All Hanshin-Kyojin.\How are you going to make this up to me?\That's my line, you stunted dwarf! response:	What's your problem?
context: Me, my darling, Chiharu-chan and hers, and Otani-kun too.\Are you serious?!\Don't eat me!\Ah... We'll be in the same class for all three years...\Right up until the end, we'll still be called All Hanshin-Kyojin.\How are you going to make this up to me?\That's my line, you stunted dwarf!\What's your problem? response:	Ask yourself, you jerk-off!
context: Are you serious?!\Don't eat me!\Ah... We'll be in the same class for all three years...\Right up until the end, we'll still be called All Hanshin-Kyojin.\How are you going to make this up to me?\That's my line, you stunted dwarf!\What's your problem?\Ask yourself, you jerk-off! response:	What's up with you?! Getting so upset right at the start of the new semester...
context: Don't eat me!\Ah... We'll be in the same class for all three years...\Right up until the end, we'll still be called All Hanshin-Kyojin.\How are you going to make this up to me?\That's my line, you stunted dwarf!\What's your problem?\Ask yourself, you jerk-off!\What's up with you?! Getting so upset right at the start of the new semester... response:	What the heck did I do?
context: Ah... We'll be in the same class for all three years...\Right up until the end, we'll still be called All Hanshin-Kyojin.\How are you going to make this up to me?\That's my line, you stunted dwarf!\What's your problem?\Ask yourself, you jerk-off!\What's up with you?! Getting so upset right at the start of the new semester...\What the heck did I do? response:	I-I'll go find Chiharu-chan and the others, okay?
context: Right up until the end, we'll still be called All Hanshin-Kyojin.\How are you going to make this up to me?\That's my line, you stunted dwarf!\What's your problem?\Ask yourself, you jerk-off!\What's up with you?! Getting so upset right at the start of the new semester...\What the heck did I do?\I-I'll go find Chiharu-chan and the others, okay? response:	See ya.
context: How are you going to make this up to me?\That's my line, you stunted dwarf!\What's your problem?\Ask yourself, you jerk-off!\What's up with you?! Getting so upset right at the start of the new semester...\What the heck did I do?\I-I'll go find Chiharu-chan and the others, okay?\See ya. response:	You've been in a foul mood ever since that last Umibouzu concert.
context: That's my line, you stunted dwarf!\What's your problem?\Ask yourself, you jerk-off!\What's up with you?! Getting so upset right at the start of the new semester...\What the heck did I do?\I-I'll go find Chiharu-chan and the others, okay?\See ya.\You've been in a foul mood ever since that last Umibouzu concert. response:	Was it something Umibouzu did?
