context: What's happened so far! response:	Our sister, the masked model student Miyazawa Yukino,
context: What's happened so far!\Our sister, the masked model student Miyazawa Yukino, response:	gets her weakness found out by Arima-kun...
context: What's happened so far!\Our sister, the masked model student Miyazawa Yukino,\gets her weakness found out by Arima-kun... response:	Feeling love for the first time helps to put Sis into big trouble...
context: What's happened so far!\Our sister, the masked model student Miyazawa Yukino,\gets her weakness found out by Arima-kun...\Feeling love for the first time helps to put Sis into big trouble... response:	The two of them settle into being friends for the time being.
context: What's happened so far!\Our sister, the masked model student Miyazawa Yukino,\gets her weakness found out by Arima-kun...\Feeling love for the first time helps to put Sis into big trouble...\The two of them settle into being friends for the time being. response:	The story so far.
context: What's happened so far!\Our sister, the masked model student Miyazawa Yukino,\gets her weakness found out by Arima-kun...\Feeling love for the first time helps to put Sis into big trouble...\The two of them settle into being friends for the time being.\The story so far. response:	Suddenly, Arima begins to treat Miyazawa Yukino coldly.
context: What's happened so far!\Our sister, the masked model student Miyazawa Yukino,\gets her weakness found out by Arima-kun...\Feeling love for the first time helps to put Sis into big trouble...\The two of them settle into being friends for the time being.\The story so far.\Suddenly, Arima begins to treat Miyazawa Yukino coldly. response:	Yukino feels bewildered by his unreasonable treatment.
context: What's happened so far!\Our sister, the masked model student Miyazawa Yukino,\gets her weakness found out by Arima-kun...\Feeling love for the first time helps to put Sis into big trouble...\The two of them settle into being friends for the time being.\The story so far.\Suddenly, Arima begins to treat Miyazawa Yukino coldly.\Yukino feels bewildered by his unreasonable treatment. response:	Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.
context: Our sister, the masked model student Miyazawa Yukino,\gets her weakness found out by Arima-kun...\Feeling love for the first time helps to put Sis into big trouble...\The two of them settle into being friends for the time being.\The story so far.\Suddenly, Arima begins to treat Miyazawa Yukino coldly.\Yukino feels bewildered by his unreasonable treatment.\Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction. response:	But her behavior gets results,
context: gets her weakness found out by Arima-kun...\Feeling love for the first time helps to put Sis into big trouble...\The two of them settle into being friends for the time being.\The story so far.\Suddenly, Arima begins to treat Miyazawa Yukino coldly.\Yukino feels bewildered by his unreasonable treatment.\Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.\But her behavior gets results, response:	and Arima reveals his past and true feelings to Yukino.
context: Feeling love for the first time helps to put Sis into big trouble...\The two of them settle into being friends for the time being.\The story so far.\Suddenly, Arima begins to treat Miyazawa Yukino coldly.\Yukino feels bewildered by his unreasonable treatment.\Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.\But her behavior gets results,\and Arima reveals his past and true feelings to Yukino. response:	Yukino listens to it all,
context: The two of them settle into being friends for the time being.\The story so far.\Suddenly, Arima begins to treat Miyazawa Yukino coldly.\Yukino feels bewildered by his unreasonable treatment.\Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.\But her behavior gets results,\and Arima reveals his past and true feelings to Yukino.\Yukino listens to it all, response:	and receives a confession of his love once again.
context: The story so far.\Suddenly, Arima begins to treat Miyazawa Yukino coldly.\Yukino feels bewildered by his unreasonable treatment.\Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.\But her behavior gets results,\and Arima reveals his past and true feelings to Yukino.\Yukino listens to it all,\and receives a confession of his love once again. response:	The story so far.
context: Suddenly, Arima begins to treat Miyazawa Yukino coldly.\Yukino feels bewildered by his unreasonable treatment.\Unable to specify the cause, she resorts to ignoring him as he did her, for self-satisfaction.\But her behavior gets results,\and Arima reveals his past and true feelings to Yukino.\Yukino listens to it all,\and receives a confession of his love once again.\The story so far. response:	Missing her chance to respond to Arima's reconfession of his love,
