context: You must not change history without my permission. response:	You must not tell anyone else the truth.
context: You must not change history without my permission.\You must not tell anyone else the truth. response:	I'll make it easy to understand.
context: You must not change history without my permission.\You must not tell anyone else the truth.\I'll make it easy to understand. response:	First, this is the world you're in.
context: You must not change history without my permission.\You must not tell anyone else the truth.\I'll make it easy to understand.\First, this is the world you're in. response:	And this train travels down the rail, toward the future.
context: You must not change history without my permission.\You must not tell anyone else the truth.\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future. response:	If it goes straight, it will arrive here, at the worst-case scenario,
context: You must not change history without my permission.\You must not tell anyone else the truth.\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario, response:	the New Year's Eve when the asteroid hits.
context: You must not change history without my permission.\You must not tell anyone else the truth.\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits. response:	But I need you to go
context: You must not change history without my permission.\You must not tell anyone else the truth.\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\But I need you to go response:	toward the New Year's Eve where the asteroid doesn't strike.
context: You must not tell anyone else the truth.\I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike. response:	Beyond that is a supremely happy and peaceful future.
context: I'll make it easy to understand.\First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future. response:	To guide the world to that future is
context: First, this is the world you're in.\And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is response:	the ultimate purpose of the Human Preservation Project.
context: And this train travels down the rail, toward the future.\If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project. response:	In any case, you absolutely, unfailingly, must succeed in this project.
context: If it goes straight, it will arrive here, at the worst-case scenario,\the New Year's Eve when the asteroid hits.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\In any case, you absolutely, unfailingly, must succeed in this project. response:	That is your destiny.
context: the New Year's Eve when the asteroid hits.\But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny. response:	there is no next for you.
context: But I need you to go\toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\there is no next for you. response:	Not good.
context: toward the New Year's Eve where the asteroid doesn't strike.\Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\there is no next for you.\Not good. response:	Two days with no progress.
context: Beyond that is a supremely happy and peaceful future.\To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\there is no next for you.\Not good.\Two days with no progress. response:	Hey, Ito, open up!
context: To guide the world to that future is\the ultimate purpose of the Human Preservation Project.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\there is no next for you.\Not good.\Two days with no progress.\Hey, Ito, open up! response:	What was that noise just now?
context: the ultimate purpose of the Human Preservation Project.\In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\there is no next for you.\Not good.\Two days with no progress.\Hey, Ito, open up!\What was that noise just now? response:	That was, uh... It was me. I screamed.
context: In any case, you absolutely, unfailingly, must succeed in this project.\That is your destiny.\there is no next for you.\Not good.\Two days with no progress.\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed. response:	Huh?
context: That is your destiny.\there is no next for you.\Not good.\Two days with no progress.\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh? response:	Oh, yeah, I remember this happening.
context: there is no next for you.\Not good.\Two days with no progress.\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\Oh, yeah, I remember this happening. response:	To Yu-tan.
context: Not good.\Two days with no progress.\Hey, Ito, open up!\What was that noise just now?\That was, uh... It was me. I screamed.\Huh?\Oh, yeah, I remember this happening.\To Yu-tan. response:	I found something funny here, so I'm sending it to you.
