context: Shion! Shion! response:	Ah, Suou... I'm glad you came.
context: Shion! Shion!\Ah, Suou... I'm glad you came. response:	What happened?
context: Shion! Shion!\Ah, Suou... I'm glad you came.\What happened? response:	I have remunerated the necessary price, that's all.
context: Shion! Shion!\Ah, Suou... I'm glad you came.\What happened?\I have remunerated the necessary price, that's all. response:	More importantly, I have a favor to ask.
context: Shion! Shion!\Ah, Suou... I'm glad you came.\What happened?\I have remunerated the necessary price, that's all.\More importantly, I have a favor to ask. response:	Can you take me outside?
context: Shion! Shion!\Ah, Suou... I'm glad you came.\What happened?\I have remunerated the necessary price, that's all.\More importantly, I have a favor to ask.\Can you take me outside? response:	I want to see the moon.
context: Shion! Shion!\Ah, Suou... I'm glad you came.\What happened?\I have remunerated the necessary price, that's all.\More importantly, I have a favor to ask.\Can you take me outside?\I want to see the moon. response:	Tsukiakari no michishirube
context: Shion! Shion!\Ah, Suou... I'm glad you came.\What happened?\I have remunerated the necessary price, that's all.\More importantly, I have a favor to ask.\Can you take me outside?\I want to see the moon.\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Ah, Suou... I'm glad you came.\What happened?\I have remunerated the necessary price, that's all.\More importantly, I have a favor to ask.\Can you take me outside?\I want to see the moon.\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: What happened?\I have remunerated the necessary price, that's all.\More importantly, I have a favor to ask.\Can you take me outside?\I want to see the moon.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: I have remunerated the necessary price, that's all.\More importantly, I have a favor to ask.\Can you take me outside?\I want to see the moon.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: More importantly, I have a favor to ask.\Can you take me outside?\I want to see the moon.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Can you take me outside?\I want to see the moon.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: I want to see the moon.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
