context: All of a sudden, I was there. response:	I was there, all alone.
context: All of a sudden, I was there.\I was there, all alone. response:	My parents went into the dungeon to make money,
context: All of a sudden, I was there.\I was there, all alone.\My parents went into the dungeon to make money, response:	and died quickly.
context: All of a sudden, I was there.\I was there, all alone.\My parents went into the dungeon to make money,\and died quickly. response:	To survive...
context: All of a sudden, I was there.\I was there, all alone.\My parents went into the dungeon to make money,\and died quickly.\To survive... response:	Just to survive...
context: All of a sudden, I was there.\I was there, all alone.\My parents went into the dungeon to make money,\and died quickly.\To survive...\Just to survive... response:	I struggled.
context: All of a sudden, I was there.\I was there, all alone.\My parents went into the dungeon to make money,\and died quickly.\To survive...\Just to survive...\I struggled. response:	You're cutting into my profits!
context: All of a sudden, I was there.\I was there, all alone.\My parents went into the dungeon to make money,\and died quickly.\To survive...\Just to survive...\I struggled.\You're cutting into my profits! response:	Hurry up!
context: I was there, all alone.\My parents went into the dungeon to make money,\and died quickly.\To survive...\Just to survive...\I struggled.\You're cutting into my profits!\Hurry up! response:	Stand up already!
context: My parents went into the dungeon to make money,\and died quickly.\To survive...\Just to survive...\I struggled.\You're cutting into my profits!\Hurry up!\Stand up already! response:	Here.
context: and died quickly.\To survive...\Just to survive...\I struggled.\You're cutting into my profits!\Hurry up!\Stand up already!\Here. response:	Beaten,
context: To survive...\Just to survive...\I struggled.\You're cutting into my profits!\Hurry up!\Stand up already!\Here.\Beaten, response:	exploited...
context: Just to survive...\I struggled.\You're cutting into my profits!\Hurry up!\Stand up already!\Here.\Beaten,\exploited... response:	Even if I ran away.
context: I struggled.\You're cutting into my profits!\Hurry up!\Stand up already!\Here.\Beaten,\exploited...\Even if I ran away. response:	Even if I hid...
context: You're cutting into my profits!\Hurry up!\Stand up already!\Here.\Beaten,\exploited...\Even if I ran away.\Even if I hid... response:	They would find me.
context: Hurry up!\Stand up already!\Here.\Beaten,\exploited...\Even if I ran away.\Even if I hid...\They would find me. response:	My home
context: Stand up already!\Here.\Beaten,\exploited...\Even if I ran away.\Even if I hid...\They would find me.\My home response:	was stolen from me.
context: Here.\Beaten,\exploited...\Even if I ran away.\Even if I hid...\They would find me.\My home\was stolen from me. response:	I hate adventurers.
context: Beaten,\exploited...\Even if I ran away.\Even if I hid...\They would find me.\My home\was stolen from me.\I hate adventurers. response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: exploited...\Even if I ran away.\Even if I hid...\They would find me.\My home\was stolen from me.\I hate adventurers.\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Liliruca Arde Reason
context: Even if I ran away.\Even if I hid...\They would find me.\My home\was stolen from me.\I hate adventurers.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Liliruca Arde Reason response:	This is wonderful!
context: Even if I hid...\They would find me.\My home\was stolen from me.\I hate adventurers.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Liliruca Arde Reason\This is wonderful! response:	It's been so long since I've had any Soma!
context: They would find me.\My home\was stolen from me.\I hate adventurers.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Liliruca Arde Reason\This is wonderful!\It's been so long since I've had any Soma! response:	So, Goddess Loki,
context: My home\was stolen from me.\I hate adventurers.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Liliruca Arde Reason\This is wonderful!\It's been so long since I've had any Soma!\So, Goddess Loki, response:	you say that it's not their god that the Soma Familia worships,
