context: My name is Glass. response:	Feel free to consider me your enemy, hero.
context: My name is Glass.\Feel free to consider me your enemy, hero. response:	She destroyed that Soul Eater in one hit.
context: My name is Glass.\Feel free to consider me your enemy, hero.\She destroyed that Soul Eater in one hit. response:	How overpowered can you be?
context: My name is Glass.\Feel free to consider me your enemy, hero.\She destroyed that Soul Eater in one hit.\How overpowered can you be? response:	I can't stop trembling.
context: My name is Glass.\Feel free to consider me your enemy, hero.\She destroyed that Soul Eater in one hit.\How overpowered can you be?\I can't stop trembling. response:	I'm Naofumi.
context: My name is Glass.\Feel free to consider me your enemy, hero.\She destroyed that Soul Eater in one hit.\How overpowered can you be?\I can't stop trembling.\I'm Naofumi. response:	Naofumi, is it?
context: My name is Glass.\Feel free to consider me your enemy, hero.\She destroyed that Soul Eater in one hit.\How overpowered can you be?\I can't stop trembling.\I'm Naofumi.\Naofumi, is it? response:	Now, shall we begin
context: My name is Glass.\Feel free to consider me your enemy, hero.\She destroyed that Soul Eater in one hit.\How overpowered can you be?\I can't stop trembling.\I'm Naofumi.\Naofumi, is it?\Now, shall we begin response:	the true battle of the Wave?
context: Feel free to consider me your enemy, hero.\She destroyed that Soul Eater in one hit.\How overpowered can you be?\I can't stop trembling.\I'm Naofumi.\Naofumi, is it?\Now, shall we begin\the true battle of the Wave? response:	The Rising of the Shield Hero
context: She destroyed that Soul Eater in one hit.\How overpowered can you be?\I can't stop trembling.\I'm Naofumi.\Naofumi, is it?\Now, shall we begin\the true battle of the Wave?\The Rising of the Shield Hero response:	Aren't you going to attack, Hero Naofumi?
context: How overpowered can you be?\I can't stop trembling.\I'm Naofumi.\Naofumi, is it?\Now, shall we begin\the true battle of the Wave?\The Rising of the Shield Hero\Aren't you going to attack, Hero Naofumi? response:	The Raven Invader
context: I can't stop trembling.\I'm Naofumi.\Naofumi, is it?\Now, shall we begin\the true battle of the Wave?\The Rising of the Shield Hero\Aren't you going to attack, Hero Naofumi?\The Raven Invader response:	Why not send those servants of yours at me?
context: I'm Naofumi.\Naofumi, is it?\Now, shall we begin\the true battle of the Wave?\The Rising of the Shield Hero\Aren't you going to attack, Hero Naofumi?\The Raven Invader\Why not send those servants of yours at me? response:	Servants?
context: Naofumi, is it?\Now, shall we begin\the true battle of the Wave?\The Rising of the Shield Hero\Aren't you going to attack, Hero Naofumi?\The Raven Invader\Why not send those servants of yours at me?\Servants? response:	Did you just call us...
context: Now, shall we begin\the true battle of the Wave?\The Rising of the Shield Hero\Aren't you going to attack, Hero Naofumi?\The Raven Invader\Why not send those servants of yours at me?\Servants?\Did you just call us... response:	Screw you!
context: the true battle of the Wave?\The Rising of the Shield Hero\Aren't you going to attack, Hero Naofumi?\The Raven Invader\Why not send those servants of yours at me?\Servants?\Did you just call us...\Screw you! response:	Meteor Slash!
context: The Rising of the Shield Hero\Aren't you going to attack, Hero Naofumi?\The Raven Invader\Why not send those servants of yours at me?\Servants?\Did you just call us...\Screw you!\Meteor Slash! response:	Meteor Thrust!
context: Aren't you going to attack, Hero Naofumi?\The Raven Invader\Why not send those servants of yours at me?\Servants?\Did you just call us...\Screw you!\Meteor Slash!\Meteor Thrust! response:	Meteor Shot!
context: The Raven Invader\Why not send those servants of yours at me?\Servants?\Did you just call us...\Screw you!\Meteor Slash!\Meteor Thrust!\Meteor Shot! response:	Is that all you've got?
context: Why not send those servants of yours at me?\Servants?\Did you just call us...\Screw you!\Meteor Slash!\Meteor Thrust!\Meteor Shot!\Is that all you've got? response:	Zero-Stance Rondo: Reverse Four Seasons.
context: Servants?\Did you just call us...\Screw you!\Meteor Slash!\Meteor Thrust!\Meteor Shot!\Is that all you've got?\Zero-Stance Rondo: Reverse Four Seasons. response:	So you are but mere servants.
context: Did you just call us...\Screw you!\Meteor Slash!\Meteor Thrust!\Meteor Shot!\Is that all you've got?\Zero-Stance Rondo: Reverse Four Seasons.\So you are but mere servants. response:	Sh-She's strong!
context: Screw you!\Meteor Slash!\Meteor Thrust!\Meteor Shot!\Is that all you've got?\Zero-Stance Rondo: Reverse Four Seasons.\So you are but mere servants.\Sh-She's strong! response:	Soul Soothing PotionEffect: SP Recovery
context: Meteor Slash!\Meteor Thrust!\Meteor Shot!\Is that all you've got?\Zero-Stance Rondo: Reverse Four Seasons.\So you are but mere servants.\Sh-She's strong!\Soul Soothing PotionEffect: SP Recovery response:	I hope you'll entertain me a little.
context: Meteor Thrust!\Meteor Shot!\Is that all you've got?\Zero-Stance Rondo: Reverse Four Seasons.\So you are but mere servants.\Sh-She's strong!\Soul Soothing PotionEffect: SP Recovery\I hope you'll entertain me a little. response:	Sorry, but I'm no entertainer.
context: Meteor Shot!\Is that all you've got?\Zero-Stance Rondo: Reverse Four Seasons.\So you are but mere servants.\Sh-She's strong!\Soul Soothing PotionEffect: SP Recovery\I hope you'll entertain me a little.\Sorry, but I'm no entertainer. response:	Shield Prison!
context: Is that all you've got?\Zero-Stance Rondo: Reverse Four Seasons.\So you are but mere servants.\Sh-She's strong!\Soul Soothing PotionEffect: SP Recovery\I hope you'll entertain me a little.\Sorry, but I'm no entertainer.\Shield Prison! response:	Raphtalia!
context: Zero-Stance Rondo: Reverse Four Seasons.\So you are but mere servants.\Sh-She's strong!\Soul Soothing PotionEffect: SP Recovery\I hope you'll entertain me a little.\Sorry, but I'm no entertainer.\Shield Prison!\Raphtalia! response:	Do you really think this feeble venom could put defeat me?
context: So you are but mere servants.\Sh-She's strong!\Soul Soothing PotionEffect: SP Recovery\I hope you'll entertain me a little.\Sorry, but I'm no entertainer.\Shield Prison!\Raphtalia!\Do you really think this feeble venom could put defeat me? response:	Filo!
context: Sh-She's strong!\Soul Soothing PotionEffect: SP Recovery\I hope you'll entertain me a little.\Sorry, but I'm no entertainer.\Shield Prison!\Raphtalia!\Do you really think this feeble venom could put defeat me?\Filo! response:	High Quick!
context: Soul Soothing PotionEffect: SP Recovery\I hope you'll entertain me a little.\Sorry, but I'm no entertainer.\Shield Prison!\Raphtalia!\Do you really think this feeble venom could put defeat me?\Filo!\High Quick! response:	Eight kicks in a single instant? How very admirable.
context: I hope you'll entertain me a little.\Sorry, but I'm no entertainer.\Shield Prison!\Raphtalia!\Do you really think this feeble venom could put defeat me?\Filo!\High Quick!\Eight kicks in a single instant? How very admirable. response:	But they cannot touch me.
context: Sorry, but I'm no entertainer.\Shield Prison!\Raphtalia!\Do you really think this feeble venom could put defeat me?\Filo!\High Quick!\Eight kicks in a single instant? How very admirable.\But they cannot touch me. response:	Not even worthy of mention.
context: Shield Prison!\Raphtalia!\Do you really think this feeble venom could put defeat me?\Filo!\High Quick!\Eight kicks in a single instant? How very admirable.\But they cannot touch me.\Not even worthy of mention. response:	Both of you, get behind me!
context: Raphtalia!\Do you really think this feeble venom could put defeat me?\Filo!\High Quick!\Eight kicks in a single instant? How very admirable.\But they cannot touch me.\Not even worthy of mention.\Both of you, get behind me! response:	Shield Prison!
context: Do you really think this feeble venom could put defeat me?\Filo!\High Quick!\Eight kicks in a single instant? How very admirable.\But they cannot touch me.\Not even worthy of mention.\Both of you, get behind me!\Shield Prison! response:	Reverse Four Seasons.
context: Filo!\High Quick!\Eight kicks in a single instant? How very admirable.\But they cannot touch me.\Not even worthy of mention.\Both of you, get behind me!\Shield Prison!\Reverse Four Seasons. response:	I'm impressed that you're still standing after that attack.
