context: kimi ni utai kikasetai koto response:	There's something I want to tell you
context: kimi ni utai kikasetai koto\There's something I want to tell you response:	kowarenai you ni daiji ni shisugichatte sa
context: kimi ni utai kikasetai koto\There's something I want to tell you\kowarenai you ni daiji ni shisugichatte sa response:	But I've been holding it too dear, afraid it might break
context: kimi ni utai kikasetai koto\There's something I want to tell you\kowarenai you ni daiji ni shisugichatte sa\But I've been holding it too dear, afraid it might break response:	kyou mo meeru wo tsuzutte wa mata
context: kimi ni utai kikasetai koto\There's something I want to tell you\kowarenai you ni daiji ni shisugichatte sa\But I've been holding it too dear, afraid it might break\kyou mo meeru wo tsuzutte wa mata response:	Today I write you a message again
context: kimi ni utai kikasetai koto\There's something I want to tell you\kowarenai you ni daiji ni shisugichatte sa\But I've been holding it too dear, afraid it might break\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again response:	kyou mo meeru wo tsuzutte wa mata
context: kimi ni utai kikasetai koto\There's something I want to tell you\kowarenai you ni daiji ni shisugichatte sa\But I've been holding it too dear, afraid it might break\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kyou mo meeru wo tsuzutte wa mata response:	Today I write you a message again
context: kimi ni utai kikasetai koto\There's something I want to tell you\kowarenai you ni daiji ni shisugichatte sa\But I've been holding it too dear, afraid it might break\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again response:	kuuhaku de nurikaete chigitte shimau no
context: There's something I want to tell you\kowarenai you ni daiji ni shisugichatte sa\But I've been holding it too dear, afraid it might break\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kuuhaku de nurikaete chigitte shimau no response:	Only to wipe it clean and discard it
context: kowarenai you ni daiji ni shisugichatte sa\But I've been holding it too dear, afraid it might break\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kuuhaku de nurikaete chigitte shimau no\Only to wipe it clean and discard it response:	konna itsumo wo fukitobasu kikkake wo
context: But I've been holding it too dear, afraid it might break\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kuuhaku de nurikaete chigitte shimau no\Only to wipe it clean and discard it\konna itsumo wo fukitobasu kikkake wo response:	A chance to break this cycle
context: kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kuuhaku de nurikaete chigitte shimau no\Only to wipe it clean and discard it\konna itsumo wo fukitobasu kikkake wo\A chance to break this cycle response:	maneku bakari no yubisaki wo
context: Today I write you a message again\kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kuuhaku de nurikaete chigitte shimau no\Only to wipe it clean and discard it\konna itsumo wo fukitobasu kikkake wo\A chance to break this cycle\maneku bakari no yubisaki wo response:	Lies in my fingertips
context: kyou mo meeru wo tsuzutte wa mata\Today I write you a message again\kuuhaku de nurikaete chigitte shimau no\Only to wipe it clean and discard it\konna itsumo wo fukitobasu kikkake wo\A chance to break this cycle\maneku bakari no yubisaki wo\Lies in my fingertips response:	maneku bakari no yubisaki wo
context: Today I write you a message again\kuuhaku de nurikaete chigitte shimau no\Only to wipe it clean and discard it\konna itsumo wo fukitobasu kikkake wo\A chance to break this cycle\maneku bakari no yubisaki wo\Lies in my fingertips\maneku bakari no yubisaki wo response:	Lies in my fingertips
context: kuuhaku de nurikaete chigitte shimau no\Only to wipe it clean and discard it\konna itsumo wo fukitobasu kikkake wo\A chance to break this cycle\maneku bakari no yubisaki wo\Lies in my fingertips\maneku bakari no yubisaki wo\Lies in my fingertips response:	tenohira de kasanete
context: Only to wipe it clean and discard it\konna itsumo wo fukitobasu kikkake wo\A chance to break this cycle\maneku bakari no yubisaki wo\Lies in my fingertips\maneku bakari no yubisaki wo\Lies in my fingertips\tenohira de kasanete response:	That I'm holding up with my hand
context: konna itsumo wo fukitobasu kikkake wo\A chance to break this cycle\maneku bakari no yubisaki wo\Lies in my fingertips\maneku bakari no yubisaki wo\Lies in my fingertips\tenohira de kasanete\That I'm holding up with my hand response:	ima wo kaeru koto wa tsurai koto mo aru kedo
context: A chance to break this cycle\maneku bakari no yubisaki wo\Lies in my fingertips\maneku bakari no yubisaki wo\Lies in my fingertips\tenohira de kasanete\That I'm holding up with my hand\ima wo kaeru koto wa tsurai koto mo aru kedo response:	Changing the status quo can be painful
context: maneku bakari no yubisaki wo\Lies in my fingertips\maneku bakari no yubisaki wo\Lies in my fingertips\tenohira de kasanete\That I'm holding up with my hand\ima wo kaeru koto wa tsurai koto mo aru kedo\Changing the status quo can be painful response:	tatoe piisu ga sorottemo
context: Lies in my fingertips\maneku bakari no yubisaki wo\Lies in my fingertips\tenohira de kasanete\That I'm holding up with my hand\ima wo kaeru koto wa tsurai koto mo aru kedo\Changing the status quo can be painful\tatoe piisu ga sorottemo response:	But even when all the pieces are gathered
context: maneku bakari no yubisaki wo\Lies in my fingertips\tenohira de kasanete\That I'm holding up with my hand\ima wo kaeru koto wa tsurai koto mo aru kedo\Changing the status quo can be painful\tatoe piisu ga sorottemo\But even when all the pieces are gathered response:	kono te de michibikanakya
context: Lies in my fingertips\tenohira de kasanete\That I'm holding up with my hand\ima wo kaeru koto wa tsurai koto mo aru kedo\Changing the status quo can be painful\tatoe piisu ga sorottemo\But even when all the pieces are gathered\kono te de michibikanakya response:	I still need to put them together myself
context: tenohira de kasanete\That I'm holding up with my hand\ima wo kaeru koto wa tsurai koto mo aru kedo\Changing the status quo can be painful\tatoe piisu ga sorottemo\But even when all the pieces are gathered\kono te de michibikanakya\I still need to put them together myself response:	daiji na ima wo tebanasu no wa kowai yo ne
context: That I'm holding up with my hand\ima wo kaeru koto wa tsurai koto mo aru kedo\Changing the status quo can be painful\tatoe piisu ga sorottemo\But even when all the pieces are gathered\kono te de michibikanakya\I still need to put them together myself\daiji na ima wo tebanasu no wa kowai yo ne response:	As much as I'm scared to let go of the present I cherish
context: ima wo kaeru koto wa tsurai koto mo aru kedo\Changing the status quo can be painful\tatoe piisu ga sorottemo\But even when all the pieces are gathered\kono te de michibikanakya\I still need to put them together myself\daiji na ima wo tebanasu no wa kowai yo ne\As much as I'm scared to let go of the present I cherish response:	demo machinozonda subete wa soko ni aru no
context: Changing the status quo can be painful\tatoe piisu ga sorottemo\But even when all the pieces are gathered\kono te de michibikanakya\I still need to put them together myself\daiji na ima wo tebanasu no wa kowai yo ne\As much as I'm scared to let go of the present I cherish\demo machinozonda subete wa soko ni aru no response:	Everything I've been waiting for is there
context: tatoe piisu ga sorottemo\But even when all the pieces are gathered\kono te de michibikanakya\I still need to put them together myself\daiji na ima wo tebanasu no wa kowai yo ne\As much as I'm scared to let go of the present I cherish\demo machinozonda subete wa soko ni aru no\Everything I've been waiting for is there response:	soko ni aru no
context: But even when all the pieces are gathered\kono te de michibikanakya\I still need to put them together myself\daiji na ima wo tebanasu no wa kowai yo ne\As much as I'm scared to let go of the present I cherish\demo machinozonda subete wa soko ni aru no\Everything I've been waiting for is there\soko ni aru no response:	It's all there
context: kono te de michibikanakya\I still need to put them together myself\daiji na ima wo tebanasu no wa kowai yo ne\As much as I'm scared to let go of the present I cherish\demo machinozonda subete wa soko ni aru no\Everything I've been waiting for is there\soko ni aru no\It's all there response:	Health Products
context: I still need to put them together myself\daiji na ima wo tebanasu no wa kowai yo ne\As much as I'm scared to let go of the present I cherish\demo machinozonda subete wa soko ni aru no\Everything I've been waiting for is there\soko ni aru no\It's all there\Health Products response:	S p e cialty Store
context: daiji na ima wo tebanasu no wa kowai yo ne\As much as I'm scared to let go of the present I cherish\demo machinozonda subete wa soko ni aru no\Everything I've been waiting for is there\soko ni aru no\It's all there\Health Products\S p e cialty Store response:	Fureai Road
context: As much as I'm scared to let go of the present I cherish\demo machinozonda subete wa soko ni aru no\Everything I've been waiting for is there\soko ni aru no\It's all there\Health Products\S p e cialty Store\Fureai Road response:	Ice Cream
context: demo machinozonda subete wa soko ni aru no\Everything I've been waiting for is there\soko ni aru no\It's all there\Health Products\S p e cialty Store\Fureai Road\Ice Cream response:	Ice Cream
context: Everything I've been waiting for is there\soko ni aru no\It's all there\Health Products\S p e cialty Store\Fureai Road\Ice Cream\Ice Cream response:	Ice Cream
context: soko ni aru no\It's all there\Health Products\S p e cialty Store\Fureai Road\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: It's all there\Health Products\S p e cialty Store\Fureai Road\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Health Products\S p e cialty Store\Fureai Road\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: S p e cialty Store\Fureai Road\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Fureai Road\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
context: Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream\Ice Cream response:	Ice Cream
