context: EPISODE 9: THYMOCYTE response:	Thymocyte!
context: EPISODE 9: THYMOCYTE\Thymocyte! response:	Inside the human body,
context: EPISODE 9: THYMOCYTE\Thymocyte!\Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: EPISODE 9: THYMOCYTE\Thymocyte!\Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: EPISODE 9: THYMOCYTE\Thymocyte!\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	all day every day.
context: EPISODE 9: THYMOCYTE\Thymocyte!\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day. response:	ANTIBODY ENCYCLOPEDIA
context: EPISODE 9: THYMOCYTE\Thymocyte!\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA response:	24 hours and 365 days.
context: EPISODE 9: THYMOCYTE\Thymocyte!\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days. response:	WHITE BLOOD CELL
context: Thymocyte!\Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard. response:	UNDER CONSTRUCTION
context: roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION response:	PLATELETS
context: DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS response:	This is the inside of a human body.
context: all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body. response:	We're the invincible T Cells!
context: ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\We're the invincible T Cells! response:	There's nothing in this world that we fear!
context: 24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\We're the invincible T Cells!\There's nothing in this world that we fear! response:	We're the invincible T Cells!
context: WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\We're the invincible T Cells!\There's nothing in this world that we fear!\We're the invincible T Cells! response:	Hey! Step on it, you slowass scrubs!
context: They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\We're the invincible T Cells!\There's nothing in this world that we fear!\We're the invincible T Cells!\Hey! Step on it, you slowass scrubs! response:	There's nothing in this world that we fear!
context: UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\We're the invincible T Cells!\There's nothing in this world that we fear!\We're the invincible T Cells!\Hey! Step on it, you slowass scrubs!\There's nothing in this world that we fear! response:	KILLER T CELLS (CYTOTOXIC T CELLS): Mobilize under orders from the Helper T Cells. Assassins who recognize and destroy foreign cells, such as Graft Cells, virus-infected cells and Cancer Cells.
