context: Thanks for treating us to breakfast, too. response:	We are country people so our food is not fancy.
context: Thanks for treating us to breakfast, too.\We are country people so our food is not fancy. response:	But I'm glad to see you've rested well.
context: Thanks for treating us to breakfast, too.\We are country people so our food is not fancy.\But I'm glad to see you've rested well. response:	Yep, sure did.
context: Thanks for treating us to breakfast, too.\We are country people so our food is not fancy.\But I'm glad to see you've rested well.\Yep, sure did. response:	I haven't slept so well through the night in a long time.
context: Thanks for treating us to breakfast, too.\We are country people so our food is not fancy.\But I'm glad to see you've rested well.\Yep, sure did.\I haven't slept so well through the night in a long time. response:	This is a great room.
context: Thanks for treating us to breakfast, too.\We are country people so our food is not fancy.\But I'm glad to see you've rested well.\Yep, sure did.\I haven't slept so well through the night in a long time.\This is a great room. response:	Nice and quiet.
context: Thanks for treating us to breakfast, too.\We are country people so our food is not fancy.\But I'm glad to see you've rested well.\Yep, sure did.\I haven't slept so well through the night in a long time.\This is a great room.\Nice and quiet. response:	Stay as long as you wish.
context: Thanks for treating us to breakfast, too.\We are country people so our food is not fancy.\But I'm glad to see you've rested well.\Yep, sure did.\I haven't slept so well through the night in a long time.\This is a great room.\Nice and quiet.\Stay as long as you wish. response:	Jeez, thanks but...
context: We are country people so our food is not fancy.\But I'm glad to see you've rested well.\Yep, sure did.\I haven't slept so well through the night in a long time.\This is a great room.\Nice and quiet.\Stay as long as you wish.\Jeez, thanks but... response:	We have rooms to spare.
context: But I'm glad to see you've rested well.\Yep, sure did.\I haven't slept so well through the night in a long time.\This is a great room.\Nice and quiet.\Stay as long as you wish.\Jeez, thanks but...\We have rooms to spare. response:	If you are not in a hurry, do stay with us for a while.
context: Yep, sure did.\I haven't slept so well through the night in a long time.\This is a great room.\Nice and quiet.\Stay as long as you wish.\Jeez, thanks but...\We have rooms to spare.\If you are not in a hurry, do stay with us for a while. response:	You're really generous in such hard times.
context: I haven't slept so well through the night in a long time.\This is a great room.\Nice and quiet.\Stay as long as you wish.\Jeez, thanks but...\We have rooms to spare.\If you are not in a hurry, do stay with us for a while.\You're really generous in such hard times. response:	Can I have some more?
context: This is a great room.\Nice and quiet.\Stay as long as you wish.\Jeez, thanks but...\We have rooms to spare.\If you are not in a hurry, do stay with us for a while.\You're really generous in such hard times.\Can I have some more? response:	I know not about other places, but our village has nothing but peace.
context: Nice and quiet.\Stay as long as you wish.\Jeez, thanks but...\We have rooms to spare.\If you are not in a hurry, do stay with us for a while.\You're really generous in such hard times.\Can I have some more?\I know not about other places, but our village has nothing but peace. response:	We are not rich, but we do not need for anything.
context: Stay as long as you wish.\Jeez, thanks but...\We have rooms to spare.\If you are not in a hurry, do stay with us for a while.\You're really generous in such hard times.\Can I have some more?\I know not about other places, but our village has nothing but peace.\We are not rich, but we do not need for anything. response:	Thanks.
context: Jeez, thanks but...\We have rooms to spare.\If you are not in a hurry, do stay with us for a while.\You're really generous in such hard times.\Can I have some more?\I know not about other places, but our village has nothing but peace.\We are not rich, but we do not need for anything.\Thanks. response:	We are able to live thus...
context: We have rooms to spare.\If you are not in a hurry, do stay with us for a while.\You're really generous in such hard times.\Can I have some more?\I know not about other places, but our village has nothing but peace.\We are not rich, but we do not need for anything.\Thanks.\We are able to live thus... response:	all thanks to the blessings from above.
context: If you are not in a hurry, do stay with us for a while.\You're really generous in such hard times.\Can I have some more?\I know not about other places, but our village has nothing but peace.\We are not rich, but we do not need for anything.\Thanks.\We are able to live thus...\all thanks to the blessings from above. response:	I'd been trying to think of a way to have him let us stay.
context: You're really generous in such hard times.\Can I have some more?\I know not about other places, but our village has nothing but peace.\We are not rich, but we do not need for anything.\Thanks.\We are able to live thus...\all thanks to the blessings from above.\I'd been trying to think of a way to have him let us stay. response:	I never imagined he'd come out and invite us to.
context: Can I have some more?\I know not about other places, but our village has nothing but peace.\We are not rich, but we do not need for anything.\Thanks.\We are able to live thus...\all thanks to the blessings from above.\I'd been trying to think of a way to have him let us stay.\I never imagined he'd come out and invite us to. response:	I won't let the demons go free.
context: I know not about other places, but our village has nothing but peace.\We are not rich, but we do not need for anything.\Thanks.\We are able to live thus...\all thanks to the blessings from above.\I'd been trying to think of a way to have him let us stay.\I never imagined he'd come out and invite us to.\I won't let the demons go free. response:	That huge one might come straight for you next time.
context: We are not rich, but we do not need for anything.\Thanks.\We are able to live thus...\all thanks to the blessings from above.\I'd been trying to think of a way to have him let us stay.\I never imagined he'd come out and invite us to.\I won't let the demons go free.\That huge one might come straight for you next time. response:	That would be good.
context: Thanks.\We are able to live thus...\all thanks to the blessings from above.\I'd been trying to think of a way to have him let us stay.\I never imagined he'd come out and invite us to.\I won't let the demons go free.\That huge one might come straight for you next time.\That would be good. response:	I'm going out to talk with the villagers.
context: We are able to live thus...\all thanks to the blessings from above.\I'd been trying to think of a way to have him let us stay.\I never imagined he'd come out and invite us to.\I won't let the demons go free.\That huge one might come straight for you next time.\That would be good.\I'm going out to talk with the villagers. response:	I'm curious about the nun and the burnt-out temple.
context: all thanks to the blessings from above.\I'd been trying to think of a way to have him let us stay.\I never imagined he'd come out and invite us to.\I won't let the demons go free.\That huge one might come straight for you next time.\That would be good.\I'm going out to talk with the villagers.\I'm curious about the nun and the burnt-out temple. response:	How about you?
context: I'd been trying to think of a way to have him let us stay.\I never imagined he'd come out and invite us to.\I won't let the demons go free.\That huge one might come straight for you next time.\That would be good.\I'm going out to talk with the villagers.\I'm curious about the nun and the burnt-out temple.\How about you? response:	I will watch Sabame.
context: I never imagined he'd come out and invite us to.\I won't let the demons go free.\That huge one might come straight for you next time.\That would be good.\I'm going out to talk with the villagers.\I'm curious about the nun and the burnt-out temple.\How about you?\I will watch Sabame. response:	Yeah. Well don't do anything crazy.
context: I won't let the demons go free.\That huge one might come straight for you next time.\That would be good.\I'm going out to talk with the villagers.\I'm curious about the nun and the burnt-out temple.\How about you?\I will watch Sabame.\Yeah. Well don't do anything crazy. response:	That old guy might just be brainwashed.
context: That huge one might come straight for you next time.\That would be good.\I'm going out to talk with the villagers.\I'm curious about the nun and the burnt-out temple.\How about you?\I will watch Sabame.\Yeah. Well don't do anything crazy.\That old guy might just be brainwashed. response:	He looks creepy, but don't judge a book by its cover.
context: That would be good.\I'm going out to talk with the villagers.\I'm curious about the nun and the burnt-out temple.\How about you?\I will watch Sabame.\Yeah. Well don't do anything crazy.\That old guy might just be brainwashed.\He looks creepy, but don't judge a book by its cover. response:	Betrayed this world
context: I'm going out to talk with the villagers.\I'm curious about the nun and the burnt-out temple.\How about you?\I will watch Sabame.\Yeah. Well don't do anything crazy.\That old guy might just be brainwashed.\He looks creepy, but don't judge a book by its cover.\Betrayed this world response:	And it simmers within
context: I'm curious about the nun and the burnt-out temple.\How about you?\I will watch Sabame.\Yeah. Well don't do anything crazy.\That old guy might just be brainwashed.\He looks creepy, but don't judge a book by its cover.\Betrayed this world\And it simmers within response:	Rupturing my innards
context: How about you?\I will watch Sabame.\Yeah. Well don't do anything crazy.\That old guy might just be brainwashed.\He looks creepy, but don't judge a book by its cover.\Betrayed this world\And it simmers within\Rupturing my innards response:	Swelling a reddish black
context: I will watch Sabame.\Yeah. Well don't do anything crazy.\That old guy might just be brainwashed.\He looks creepy, but don't judge a book by its cover.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black response:	Until the sun burnt skin ruptures
context: Yeah. Well don't do anything crazy.\That old guy might just be brainwashed.\He looks creepy, but don't judge a book by its cover.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures response:	There is a light in the depths of the seething darkness
context: That old guy might just be brainwashed.\He looks creepy, but don't judge a book by its cover.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness response:	Confirming each other's voices in the distance
context: He looks creepy, but don't judge a book by its cover.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	There is a light in the depths of the darkness
context: Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness response:	Confirming each other's voices in the distance
context: Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	15 The story of the scene from hell
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\15 The story of the scene from hell response:	Yeah, yeah. ! Take that.
context: As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\15 The story of the scene from hell\Yeah, yeah. ! Take that. response:	Hey, thanks for taking your time out to help me.
context: I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\15 The story of the scene from hell\Yeah, yeah. ! Take that.\Hey, thanks for taking your time out to help me. response:	Nah, it's nothing. What are neighbors for?
context: There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\15 The story of the scene from hell\Yeah, yeah. ! Take that.\Hey, thanks for taking your time out to help me.\Nah, it's nothing. What are neighbors for? response:	Ow...
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\15 The story of the scene from hell\Yeah, yeah. ! Take that.\Hey, thanks for taking your time out to help me.\Nah, it's nothing. What are neighbors for?\Ow... response:	Whoa, watch it now.
context: As if to stroke with wet fingertips\I'd like to touch you one day\15 The story of the scene from hell\Yeah, yeah. ! Take that.\Hey, thanks for taking your time out to help me.\Nah, it's nothing. What are neighbors for?\Ow...\Whoa, watch it now. response:	I'm getting old.
context: I'd like to touch you one day\15 The story of the scene from hell\Yeah, yeah. ! Take that.\Hey, thanks for taking your time out to help me.\Nah, it's nothing. What are neighbors for?\Ow...\Whoa, watch it now.\I'm getting old. response:	We'll get through winter now.
context: 15 The story of the scene from hell\Yeah, yeah. ! Take that.\Hey, thanks for taking your time out to help me.\Nah, it's nothing. What are neighbors for?\Ow...\Whoa, watch it now.\I'm getting old.\We'll get through winter now. response:	What a blessing.
context: Yeah, yeah. ! Take that.\Hey, thanks for taking your time out to help me.\Nah, it's nothing. What are neighbors for?\Ow...\Whoa, watch it now.\I'm getting old.\We'll get through winter now.\What a blessing. response:	Just a bit more work to do.
context: Hey, thanks for taking your time out to help me.\Nah, it's nothing. What are neighbors for?\Ow...\Whoa, watch it now.\I'm getting old.\We'll get through winter now.\What a blessing.\Just a bit more work to do. response:	All right.
context: Nah, it's nothing. What are neighbors for?\Ow...\Whoa, watch it now.\I'm getting old.\We'll get through winter now.\What a blessing.\Just a bit more work to do.\All right. response:	You all must be tired.
context: Ow...\Whoa, watch it now.\I'm getting old.\We'll get through winter now.\What a blessing.\Just a bit more work to do.\All right.\You all must be tired. response:	Take a break and have some tea.
context: Whoa, watch it now.\I'm getting old.\We'll get through winter now.\What a blessing.\Just a bit more work to do.\All right.\You all must be tired.\Take a break and have some tea. response:	Thanks.
context: I'm getting old.\We'll get through winter now.\What a blessing.\Just a bit more work to do.\All right.\You all must be tired.\Take a break and have some tea.\Thanks. response:	Hey, wait for me!
context: We'll get through winter now.\What a blessing.\Just a bit more work to do.\All right.\You all must be tired.\Take a break and have some tea.\Thanks.\Hey, wait for me! response:	Guess it's like any other village.
context: What a blessing.\Just a bit more work to do.\All right.\You all must be tired.\Take a break and have some tea.\Thanks.\Hey, wait for me!\Guess it's like any other village. response:	What a cool tower.
context: Just a bit more work to do.\All right.\You all must be tired.\Take a break and have some tea.\Thanks.\Hey, wait for me!\Guess it's like any other village.\What a cool tower. response:	Grandma, who's that kid over there?
context: All right.\You all must be tired.\Take a break and have some tea.\Thanks.\Hey, wait for me!\Guess it's like any other village.\What a cool tower.\Grandma, who's that kid over there? response:	Hey, want some rice cakes?
context: You all must be tired.\Take a break and have some tea.\Thanks.\Hey, wait for me!\Guess it's like any other village.\What a cool tower.\Grandma, who's that kid over there?\Hey, want some rice cakes? response:	-Me? -They're really tasty.
context: Take a break and have some tea.\Thanks.\Hey, wait for me!\Guess it's like any other village.\What a cool tower.\Grandma, who's that kid over there?\Hey, want some rice cakes?\-Me? -They're really tasty. response:	I see, you're Lord Sabame's guest then.
context: Thanks.\Hey, wait for me!\Guess it's like any other village.\What a cool tower.\Grandma, who's that kid over there?\Hey, want some rice cakes?\-Me? -They're really tasty.\I see, you're Lord Sabame's guest then. response:	Yeah. He's really nice for letting a stranger like me stay.
context: Hey, wait for me!\Guess it's like any other village.\What a cool tower.\Grandma, who's that kid over there?\Hey, want some rice cakes?\-Me? -They're really tasty.\I see, you're Lord Sabame's guest then.\Yeah. He's really nice for letting a stranger like me stay. response:	I'm really thankful.
context: Guess it's like any other village.\What a cool tower.\Grandma, who's that kid over there?\Hey, want some rice cakes?\-Me? -They're really tasty.\I see, you're Lord Sabame's guest then.\Yeah. He's really nice for letting a stranger like me stay.\I'm really thankful. response:	Rice cakes!
context: What a cool tower.\Grandma, who's that kid over there?\Hey, want some rice cakes?\-Me? -They're really tasty.\I see, you're Lord Sabame's guest then.\Yeah. He's really nice for letting a stranger like me stay.\I'm really thankful.\Rice cakes! response:	Here you go.
context: Grandma, who's that kid over there?\Hey, want some rice cakes?\-Me? -They're really tasty.\I see, you're Lord Sabame's guest then.\Yeah. He's really nice for letting a stranger like me stay.\I'm really thankful.\Rice cakes!\Here you go. response:	Thanks. This looks so good.
context: Hey, want some rice cakes?\-Me? -They're really tasty.\I see, you're Lord Sabame's guest then.\Yeah. He's really nice for letting a stranger like me stay.\I'm really thankful.\Rice cakes!\Here you go.\Thanks. This looks so good. response:	Lord Sabame puts this village before everything.
context: -Me? -They're really tasty.\I see, you're Lord Sabame's guest then.\Yeah. He's really nice for letting a stranger like me stay.\I'm really thankful.\Rice cakes!\Here you go.\Thanks. This looks so good.\Lord Sabame puts this village before everything. response:	We are able to live like this in peace.
context: I see, you're Lord Sabame's guest then.\Yeah. He's really nice for letting a stranger like me stay.\I'm really thankful.\Rice cakes!\Here you go.\Thanks. This looks so good.\Lord Sabame puts this village before everything.\We are able to live like this in peace. response:	All thanks to Lord Sabame.
context: Yeah. He's really nice for letting a stranger like me stay.\I'm really thankful.\Rice cakes!\Here you go.\Thanks. This looks so good.\Lord Sabame puts this village before everything.\We are able to live like this in peace.\All thanks to Lord Sabame. response:	He's a really great guy, huh.
context: I'm really thankful.\Rice cakes!\Here you go.\Thanks. This looks so good.\Lord Sabame puts this village before everything.\We are able to live like this in peace.\All thanks to Lord Sabame.\He's a really great guy, huh. response:	How dare you address him like that!
context: Rice cakes!\Here you go.\Thanks. This looks so good.\Lord Sabame puts this village before everything.\We are able to live like this in peace.\All thanks to Lord Sabame.\He's a really great guy, huh.\How dare you address him like that! response:	Uh, sorry.
context: Here you go.\Thanks. This looks so good.\Lord Sabame puts this village before everything.\We are able to live like this in peace.\All thanks to Lord Sabame.\He's a really great guy, huh.\How dare you address him like that!\Uh, sorry. response:	By the way, I saw a burnt-out temple on my way here.
context: Thanks. This looks so good.\Lord Sabame puts this village before everything.\We are able to live like this in peace.\All thanks to Lord Sabame.\He's a really great guy, huh.\How dare you address him like that!\Uh, sorry.\By the way, I saw a burnt-out temple on my way here. response:	You know about it?
context: Lord Sabame puts this village before everything.\We are able to live like this in peace.\All thanks to Lord Sabame.\He's a really great guy, huh.\How dare you address him like that!\Uh, sorry.\By the way, I saw a burnt-out temple on my way here.\You know about it? response:	Time to go now.
context: We are able to live like this in peace.\All thanks to Lord Sabame.\He's a really great guy, huh.\How dare you address him like that!\Uh, sorry.\By the way, I saw a burnt-out temple on my way here.\You know about it?\Time to go now. response:	Must get some more work done while the sun is still high.
context: All thanks to Lord Sabame.\He's a really great guy, huh.\How dare you address him like that!\Uh, sorry.\By the way, I saw a burnt-out temple on my way here.\You know about it?\Time to go now.\Must get some more work done while the sun is still high. response:	Aww, but Grandma...
context: He's a really great guy, huh.\How dare you address him like that!\Uh, sorry.\By the way, I saw a burnt-out temple on my way here.\You know about it?\Time to go now.\Must get some more work done while the sun is still high.\Aww, but Grandma... response:	Now, off we go.
context: How dare you address him like that!\Uh, sorry.\By the way, I saw a burnt-out temple on my way here.\You know about it?\Time to go now.\Must get some more work done while the sun is still high.\Aww, but Grandma...\Now, off we go. response:	But Grandma...
context: Uh, sorry.\By the way, I saw a burnt-out temple on my way here.\You know about it?\Time to go now.\Must get some more work done while the sun is still high.\Aww, but Grandma...\Now, off we go.\But Grandma... response:	This is my favorite place.
context: By the way, I saw a burnt-out temple on my way here.\You know about it?\Time to go now.\Must get some more work done while the sun is still high.\Aww, but Grandma...\Now, off we go.\But Grandma...\This is my favorite place. response:	I have a full view of the village from here.
context: You know about it?\Time to go now.\Must get some more work done while the sun is still high.\Aww, but Grandma...\Now, off we go.\But Grandma...\This is my favorite place.\I have a full view of the village from here. response:	Something's fishy.
context: Time to go now.\Must get some more work done while the sun is still high.\Aww, but Grandma...\Now, off we go.\But Grandma...\This is my favorite place.\I have a full view of the village from here.\Something's fishy. response:	A grand storehouse in the woods away from the village?
