context: One more! Give me another! response:	Shut up. I know that.
context: One more! Give me another!\Shut up. I know that. response:	Here goes.
context: One more! Give me another!\Shut up. I know that.\Here goes. response:	Yeah.
context: One more! Give me another!\Shut up. I know that.\Here goes.\Yeah. response:	Gosh, that feels good.
context: One more! Give me another!\Shut up. I know that.\Here goes.\Yeah.\Gosh, that feels good. response:	I feel the heft of the ball, snug in my palm.
context: One more! Give me another!\Shut up. I know that.\Here goes.\Yeah.\Gosh, that feels good.\I feel the heft of the ball, snug in my palm. response:	I love that.
context: One more! Give me another!\Shut up. I know that.\Here goes.\Yeah.\Gosh, that feels good.\I feel the heft of the ball, snug in my palm.\I love that. response:	All right.
context: One more! Give me another!\Shut up. I know that.\Here goes.\Yeah.\Gosh, that feels good.\I feel the heft of the ball, snug in my palm.\I love that.\All right. response:	We'll use our quick offense against Neko!
context: Shut up. I know that.\Here goes.\Yeah.\Gosh, that feels good.\I feel the heft of the ball, snug in my palm.\I love that.\All right.\We'll use our quick offense against Neko! response:	Neko?
context: Here goes.\Yeah.\Gosh, that feels good.\I feel the heft of the ball, snug in my palm.\I love that.\All right.\We'll use our quick offense against Neko!\Neko? response:	A match against Nekoma?
context: Yeah.\Gosh, that feels good.\I feel the heft of the ball, snug in my palm.\I love that.\All right.\We'll use our quick offense against Neko!\Neko?\A match against Nekoma? response:	It'll be a practice match on the last day of Golden Week.
context: Gosh, that feels good.\I feel the heft of the ball, snug in my palm.\I love that.\All right.\We'll use our quick offense against Neko!\Neko?\A match against Nekoma?\It'll be a practice match on the last day of Golden Week. response:	Yikes.
context: I feel the heft of the ball, snug in my palm.\I love that.\All right.\We'll use our quick offense against Neko!\Neko?\A match against Nekoma?\It'll be a practice match on the last day of Golden Week.\Yikes. response:	What do you mean, yikes? Hey, don't run away.
context: I love that.\All right.\We'll use our quick offense against Neko!\Neko?\A match against Nekoma?\It'll be a practice match on the last day of Golden Week.\Yikes.\What do you mean, yikes? Hey, don't run away. response:	But you're scary when you get mad.
context: All right.\We'll use our quick offense against Neko!\Neko?\A match against Nekoma?\It'll be a practice match on the last day of Golden Week.\Yikes.\What do you mean, yikes? Hey, don't run away.\But you're scary when you get mad. response:	I'm not mad right now.
context: We'll use our quick offense against Neko!\Neko?\A match against Nekoma?\It'll be a practice match on the last day of Golden Week.\Yikes.\What do you mean, yikes? Hey, don't run away.\But you're scary when you get mad.\I'm not mad right now. response:	Well, Nekoma sounds like ancient history to us.
context: Neko?\A match against Nekoma?\It'll be a practice match on the last day of Golden Week.\Yikes.\What do you mean, yikes? Hey, don't run away.\But you're scary when you get mad.\I'm not mad right now.\Well, Nekoma sounds like ancient history to us. response:	Our generation doesn't have the same Karasuno-Nekoma rivalry.
context: A match against Nekoma?\It'll be a practice match on the last day of Golden Week.\Yikes.\What do you mean, yikes? Hey, don't run away.\But you're scary when you get mad.\I'm not mad right now.\Well, Nekoma sounds like ancient history to us.\Our generation doesn't have the same Karasuno-Nekoma rivalry. response:	Although... Cat vs Raven: Battle at the Garbage Dump.
context: It'll be a practice match on the last day of Golden Week.\Yikes.\What do you mean, yikes? Hey, don't run away.\But you're scary when you get mad.\I'm not mad right now.\Well, Nekoma sounds like ancient history to us.\Our generation doesn't have the same Karasuno-Nekoma rivalry.\Although... Cat vs Raven: Battle at the Garbage Dump. response:	We've heard the stories about Neko.
context: Yikes.\What do you mean, yikes? Hey, don't run away.\But you're scary when you get mad.\I'm not mad right now.\Well, Nekoma sounds like ancient history to us.\Our generation doesn't have the same Karasuno-Nekoma rivalry.\Although... Cat vs Raven: Battle at the Garbage Dump.\We've heard the stories about Neko. response:	It'll be our fist match with them in years.
