context: Why did you only choose students within this school for your works of art? response:	This academy is a girls' boarding school.
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school. response:	What do you think of their education policy, Mr. Makishima?
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima? response:	We were so close.
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\We were so close. response:	Ouryou Rikako has already been put on the wanted list.
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\We were so close.\Ouryou Rikako has already been put on the wanted list. response:	It's just a matter of time.
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\We were so close.\Ouryou Rikako has already been put on the wanted list.\It's just a matter of time. response:	She'll disappear.
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\We were so close.\Ouryou Rikako has already been put on the wanted list.\It's just a matter of time.\She'll disappear. response:	What?
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\We were so close.\Ouryou Rikako has already been put on the wanted list.\It's just a matter of time.\She'll disappear.\What? response:	Come with me. I'd like to talk with you.
context: This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\We were so close.\Ouryou Rikako has already been put on the wanted list.\It's just a matter of time.\She'll disappear.\What?\Come with me. I'd like to talk with you. response:	What is it? If you have a problem with me, just spit it out.
context: What do you think of their education policy, Mr. Makishima?\We were so close.\Ouryou Rikako has already been put on the wanted list.\It's just a matter of time.\She'll disappear.\What?\Come with me. I'd like to talk with you.\What is it? If you have a problem with me, just spit it out. response:	I'm sorry.
context: We were so close.\Ouryou Rikako has already been put on the wanted list.\It's just a matter of time.\She'll disappear.\What?\Come with me. I'd like to talk with you.\What is it? If you have a problem with me, just spit it out.\I'm sorry. response:	It was me who got emotional. Looks like your culprit was real after all.
context: Ouryou Rikako has already been put on the wanted list.\It's just a matter of time.\She'll disappear.\What?\Come with me. I'd like to talk with you.\What is it? If you have a problem with me, just spit it out.\I'm sorry.\It was me who got emotional. Looks like your culprit was real after all. response:	Don't worry about it.
context: It's just a matter of time.\She'll disappear.\What?\Come with me. I'd like to talk with you.\What is it? If you have a problem with me, just spit it out.\I'm sorry.\It was me who got emotional. Looks like your culprit was real after all.\Don't worry about it. response:	If you took everything Enforcers said seriously, you'd be a poor Inspector.
context: She'll disappear.\What?\Come with me. I'd like to talk with you.\What is it? If you have a problem with me, just spit it out.\I'm sorry.\It was me who got emotional. Looks like your culprit was real after all.\Don't worry about it.\If you took everything Enforcers said seriously, you'd be a poor Inspector. response:	That's how it is, right?
context: What?\Come with me. I'd like to talk with you.\What is it? If you have a problem with me, just spit it out.\I'm sorry.\It was me who got emotional. Looks like your culprit was real after all.\Don't worry about it.\If you took everything Enforcers said seriously, you'd be a poor Inspector.\That's how it is, right? response:	But...
context: Come with me. I'd like to talk with you.\What is it? If you have a problem with me, just spit it out.\I'm sorry.\It was me who got emotional. Looks like your culprit was real after all.\Don't worry about it.\If you took everything Enforcers said seriously, you'd be a poor Inspector.\That's how it is, right?\But... response:	It feels like my quarry's tail just brushed the tip of my nose.
context: What is it? If you have a problem with me, just spit it out.\I'm sorry.\It was me who got emotional. Looks like your culprit was real after all.\Don't worry about it.\If you took everything Enforcers said seriously, you'd be a poor Inspector.\That's how it is, right?\But...\It feels like my quarry's tail just brushed the tip of my nose. response:	I'm feeling better than I have in a long time, Gino.
context: I'm sorry.\It was me who got emotional. Looks like your culprit was real after all.\Don't worry about it.\If you took everything Enforcers said seriously, you'd be a poor Inspector.\That's how it is, right?\But...\It feels like my quarry's tail just brushed the tip of my nose.\I'm feeling better than I have in a long time, Gino. response:	My head is full of things
