context: You can ask me about anything you'd like. I'll do whatever I can to help. response:	This is the broom you're provided with by the school.
context: You can ask me about anything you'd like. I'll do whatever I can to help.\This is the broom you're provided with by the school. response:	This is the broom you're provided with by the schooloh?!
context: You can ask me about anything you'd like. I'll do whatever I can to help.\This is the broom you're provided with by the school.\This is the broom you're provided with by the schooloh?! response:	The school has provided you with this broom.
context: You can ask me about anything you'd like. I'll do whatever I can to help.\This is the broom you're provided with by the school.\This is the broom you're provided with by the schooloh?!\The school has provided you with this broom. response:	Professor, can I write my name on my new broom?
context: You can ask me about anything you'd like. I'll do whatever I can to help.\This is the broom you're provided with by the school.\This is the broom you're provided with by the schooloh?!\The school has provided you with this broom.\Professor, can I write my name on my new broom? response:	Akko, chill out.
context: You can ask me about anything you'd like. I'll do whatever I can to help.\This is the broom you're provided with by the school.\This is the broom you're provided with by the schooloh?!\The school has provided you with this broom.\Professor, can I write my name on my new broom?\Akko, chill out. response:	As if I can!
context: You can ask me about anything you'd like. I'll do whatever I can to help.\This is the broom you're provided with by the school.\This is the broom you're provided with by the schooloh?!\The school has provided you with this broom.\Professor, can I write my name on my new broom?\Akko, chill out.\As if I can! response:	I'm about to have my first lesson on flight magic!
context: You can ask me about anything you'd like. I'll do whatever I can to help.\This is the broom you're provided with by the school.\This is the broom you're provided with by the schooloh?!\The school has provided you with this broom.\Professor, can I write my name on my new broom?\Akko, chill out.\As if I can!\I'm about to have my first lesson on flight magic! response:	I can learn to ride a broom at last!
context: This is the broom you're provided with by the school.\This is the broom you're provided with by the schooloh?!\The school has provided you with this broom.\Professor, can I write my name on my new broom?\Akko, chill out.\As if I can!\I'm about to have my first lesson on flight magic!\I can learn to ride a broom at last! response:	My longtime dream is coming true!
context: This is the broom you're provided with by the schooloh?!\The school has provided you with this broom.\Professor, can I write my name on my new broom?\Akko, chill out.\As if I can!\I'm about to have my first lesson on flight magic!\I can learn to ride a broom at last!\My longtime dream is coming true! response:	The new students are having a special lesson. Everyone else is to practice high speed flight.
context: The school has provided you with this broom.\Professor, can I write my name on my new broom?\Akko, chill out.\As if I can!\I'm about to have my first lesson on flight magic!\I can learn to ride a broom at last!\My longtime dream is coming true!\The new students are having a special lesson. Everyone else is to practice high speed flight. response:	Flight magic is the most basic essential in a witch's repertoire.
context: Professor, can I write my name on my new broom?\Akko, chill out.\As if I can!\I'm about to have my first lesson on flight magic!\I can learn to ride a broom at last!\My longtime dream is coming true!\The new students are having a special lesson. Everyone else is to practice high speed flight.\Flight magic is the most basic essential in a witch's repertoire. response:	Firmly grip your broom.
context: Akko, chill out.\As if I can!\I'm about to have my first lesson on flight magic!\I can learn to ride a broom at last!\My longtime dream is coming true!\The new students are having a special lesson. Everyone else is to practice high speed flight.\Flight magic is the most basic essential in a witch's repertoire.\Firmly grip your broom. response:	Then pay your respects to the broom.
context: As if I can!\I'm about to have my first lesson on flight magic!\I can learn to ride a broom at last!\My longtime dream is coming true!\The new students are having a special lesson. Everyone else is to practice high speed flight.\Flight magic is the most basic essential in a witch's repertoire.\Firmly grip your broom.\Then pay your respects to the broom. response:	Imagine yourself flying, cast the spell, and kick off the ground!
context: I'm about to have my first lesson on flight magic!\I can learn to ride a broom at last!\My longtime dream is coming true!\The new students are having a special lesson. Everyone else is to practice high speed flight.\Flight magic is the most basic essential in a witch's repertoire.\Firmly grip your broom.\Then pay your respects to the broom.\Imagine yourself flying, cast the spell, and kick off the ground! response:	More focus!
context: I can learn to ride a broom at last!\My longtime dream is coming true!\The new students are having a special lesson. Everyone else is to practice high speed flight.\Flight magic is the most basic essential in a witch's repertoire.\Firmly grip your broom.\Then pay your respects to the broom.\Imagine yourself flying, cast the spell, and kick off the ground!\More focus! response:	Concentrate!
context: My longtime dream is coming true!\The new students are having a special lesson. Everyone else is to practice high speed flight.\Flight magic is the most basic essential in a witch's repertoire.\Firmly grip your broom.\Then pay your respects to the broom.\Imagine yourself flying, cast the spell, and kick off the ground!\More focus!\Concentrate! response:	Focus magic into the broom!
context: The new students are having a special lesson. Everyone else is to practice high speed flight.\Flight magic is the most basic essential in a witch's repertoire.\Firmly grip your broom.\Then pay your respects to the broom.\Imagine yourself flying, cast the spell, and kick off the ground!\More focus!\Concentrate!\Focus magic into the broom! response:	Et voila!
context: Flight magic is the most basic essential in a witch's repertoire.\Firmly grip your broom.\Then pay your respects to the broom.\Imagine yourself flying, cast the spell, and kick off the ground!\More focus!\Concentrate!\Focus magic into the broom!\Et voila! response:	No acrobatics during class! When will you get that through your thick skull?!
context: Firmly grip your broom.\Then pay your respects to the broom.\Imagine yourself flying, cast the spell, and kick off the ground!\More focus!\Concentrate!\Focus magic into the broom!\Et voila!\No acrobatics during class! When will you get that through your thick skull?! response:	Well if it isn't Akko!
context: Then pay your respects to the broom.\Imagine yourself flying, cast the spell, and kick off the ground!\More focus!\Concentrate!\Focus magic into the broom!\Et voila!\No acrobatics during class! When will you get that through your thick skull?!\Well if it isn't Akko! response:	Are you still unable to ride a broom?
context: Imagine yourself flying, cast the spell, and kick off the ground!\More focus!\Concentrate!\Focus magic into the broom!\Et voila!\No acrobatics during class! When will you get that through your thick skull?!\Well if it isn't Akko!\Are you still unable to ride a broom? response:	Ourui Hon Daeantz!
context: More focus!\Concentrate!\Focus magic into the broom!\Et voila!\No acrobatics during class! When will you get that through your thick skull?!\Well if it isn't Akko!\Are you still unable to ride a broom?\Ourui Hon Daeantz! response:	You'll be able to fly with practice.
context: Concentrate!\Focus magic into the broom!\Et voila!\No acrobatics during class! When will you get that through your thick skull?!\Well if it isn't Akko!\Are you still unable to ride a broom?\Ourui Hon Daeantz!\You'll be able to fly with practice. response:	This race is an old tradition where teams of three have to fly a baton all the way to the goal.
context: Focus magic into the broom!\Et voila!\No acrobatics during class! When will you get that through your thick skull?!\Well if it isn't Akko!\Are you still unable to ride a broom?\Ourui Hon Daeantz!\You'll be able to fly with practice.\This race is an old tradition where teams of three have to fly a baton all the way to the goal. response:	Awesome, I wanna win too!
context: Et voila!\No acrobatics during class! When will you get that through your thick skull?!\Well if it isn't Akko!\Are you still unable to ride a broom?\Ourui Hon Daeantz!\You'll be able to fly with practice.\This race is an old tradition where teams of three have to fly a baton all the way to the goal.\Awesome, I wanna win too! response:	Awesome, I want to too!
context: No acrobatics during class! When will you get that through your thick skull?!\Well if it isn't Akko!\Are you still unable to ride a broom?\Ourui Hon Daeantz!\You'll be able to fly with practice.\This race is an old tradition where teams of three have to fly a baton all the way to the goal.\Awesome, I wanna win too!\Awesome, I want to too! response:	But, Akko... you can't fly.
context: Well if it isn't Akko!\Are you still unable to ride a broom?\Ourui Hon Daeantz!\You'll be able to fly with practice.\This race is an old tradition where teams of three have to fly a baton all the way to the goal.\Awesome, I wanna win too!\Awesome, I want to too!\But, Akko... you can't fly. response:	Weren't you the one who just told me I'd be able to fly with practice?
context: Are you still unable to ride a broom?\Ourui Hon Daeantz!\You'll be able to fly with practice.\This race is an old tradition where teams of three have to fly a baton all the way to the goal.\Awesome, I wanna win too!\Awesome, I want to too!\But, Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly with practice? response:	Y-Yeah... but there won't be enough time between now and the broom relay.
context: Ourui Hon Daeantz!\You'll be able to fly with practice.\This race is an old tradition where teams of three have to fly a baton all the way to the goal.\Awesome, I wanna win too!\Awesome, I want to too!\But, Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly with practice?\Y-Yeah... but there won't be enough time between now and the broom relay. response:	Y-Yeah... but there's not enough time until the broom relay.
context: You'll be able to fly with practice.\This race is an old tradition where teams of three have to fly a baton all the way to the goal.\Awesome, I wanna win too!\Awesome, I want to too!\But, Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly with practice?\Y-Yeah... but there won't be enough time between now and the broom relay.\Y-Yeah... but there's not enough time until the broom relay. response:	Isn't Chariot the coolest?
context: This race is an old tradition where teams of three have to fly a baton all the way to the goal.\Awesome, I wanna win too!\Awesome, I want to too!\But, Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly with practice?\Y-Yeah... but there won't be enough time between now and the broom relay.\Y-Yeah... but there's not enough time until the broom relay.\Isn't Chariot the coolest? response:	Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.
context: Awesome, I wanna win too!\Awesome, I want to too!\But, Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly with practice?\Y-Yeah... but there won't be enough time between now and the broom relay.\Y-Yeah... but there's not enough time until the broom relay.\Isn't Chariot the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired. response:	Magic item cafe?! What's that?
context: Awesome, I want to too!\But, Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly with practice?\Y-Yeah... but there won't be enough time between now and the broom relay.\Y-Yeah... but there's not enough time until the broom relay.\Isn't Chariot the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.\Magic item cafe?! What's that? response:	We'd already be there if we took a broom.
context: But, Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly with practice?\Y-Yeah... but there won't be enough time between now and the broom relay.\Y-Yeah... but there's not enough time until the broom relay.\Isn't Chariot the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.\Magic item cafe?! What's that?\We'd already be there if we took a broom. response:	You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.
context: Weren't you the one who just told me I'd be able to fly with practice?\Y-Yeah... but there won't be enough time between now and the broom relay.\Y-Yeah... but there's not enough time until the broom relay.\Isn't Chariot the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.\Magic item cafe?! What's that?\We'd already be there if we took a broom.\You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak. response:	Hey, what kinda place is the magic item cafe?
context: Y-Yeah... but there won't be enough time between now and the broom relay.\Y-Yeah... but there's not enough time until the broom relay.\Isn't Chariot the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.\Magic item cafe?! What's that?\We'd already be there if we took a broom.\You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.\Hey, what kinda place is the magic item cafe? response:	They service various magic items, and even serve tea while you wait.
context: Y-Yeah... but there's not enough time until the broom relay.\Isn't Chariot the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.\Magic item cafe?! What's that?\We'd already be there if we took a broom.\You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.\Hey, what kinda place is the magic item cafe?\They service various magic items, and even serve tea while you wait. response:	So where's the cafe?
context: Isn't Chariot the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.\Magic item cafe?! What's that?\We'd already be there if we took a broom.\You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.\Hey, what kinda place is the magic item cafe?\They service various magic items, and even serve tea while you wait.\So where's the cafe? response:	It's the broom of disaster.
context: Anyway, I need to stop by the magic item cafe to pick up the broom I had repaired.\Magic item cafe?! What's that?\We'd already be there if we took a broom.\You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.\Hey, what kinda place is the magic item cafe?\They service various magic items, and even serve tea while you wait.\So where's the cafe?\It's the broom of disaster. response:	I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!
context: Magic item cafe?! What's that?\We'd already be there if we took a broom.\You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.\Hey, what kinda place is the magic item cafe?\They service various magic items, and even serve tea while you wait.\So where's the cafe?\It's the broom of disaster.\I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too! response:	Besides, this year's cup is totally going to li'l Diana!
context: We'd already be there if we took a broom.\You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.\Hey, what kinda place is the magic item cafe?\They service various magic items, and even serve tea while you wait.\So where's the cafe?\It's the broom of disaster.\I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!\Besides, this year's cup is totally going to li'l Diana! response:	The favorite to win and number one in popularity is by and far Diana.
context: You can't really use that much magic here in the village where the Sorcerer's Stone's power is weak.\Hey, what kinda place is the magic item cafe?\They service various magic items, and even serve tea while you wait.\So where's the cafe?\It's the broom of disaster.\I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!\Besides, this year's cup is totally going to li'l Diana!\The favorite to win and number one in popularity is by and far Diana. response:	Kagari.
context: Hey, what kinda place is the magic item cafe?\They service various magic items, and even serve tea while you wait.\So where's the cafe?\It's the broom of disaster.\I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!\Besides, this year's cup is totally going to li'l Diana!\The favorite to win and number one in popularity is by and far Diana.\Kagari. response:	You sure love to clean, don't you...?
context: They service various magic items, and even serve tea while you wait.\So where's the cafe?\It's the broom of disaster.\I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!\Besides, this year's cup is totally going to li'l Diana!\The favorite to win and number one in popularity is by and far Diana.\Kagari.\You sure love to clean, don't you...? response:	I know how much you love to clean.
context: So where's the cafe?\It's the broom of disaster.\I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!\Besides, this year's cup is totally going to li'l Diana!\The favorite to win and number one in popularity is by and far Diana.\Kagari.\You sure love to clean, don't you...?\I know how much you love to clean. response:	We're going to win!
context: It's the broom of disaster.\I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!\Besides, this year's cup is totally going to li'l Diana!\The favorite to win and number one in popularity is by and far Diana.\Kagari.\You sure love to clean, don't you...?\I know how much you love to clean.\We're going to win! response:	We have no shot at victory as long as you can't fly a broom.
context: I bet even I could fly if I rode it, and I know I'll be able to win the broom relay too!\Besides, this year's cup is totally going to li'l Diana!\The favorite to win and number one in popularity is by and far Diana.\Kagari.\You sure love to clean, don't you...?\I know how much you love to clean.\We're going to win!\We have no shot at victory as long as you can't fly a broom. response:	We have no chance at victory if you can't fly a broom.
