context: Father... response:	Father... Father...
context: Father...\Father... Father... response:	Stop picking on my father!
context: Father...\Father... Father...\Stop picking on my father! response:	R- run! Gohan, run away!
context: Father...\Father... Father...\Stop picking on my father!\R- run! Gohan, run away! response:	Father...
context: Father...\Father... Father...\Stop picking on my father!\R- run! Gohan, run away!\Father... response:	All right, I've decided. I think I'll go back to where Mother is.
context: Father...\Father... Father...\Stop picking on my father!\R- run! Gohan, run away!\Father...\All right, I've decided. I think I'll go back to where Mother is. response:	Ain't I gotten to... Kaio- sama's place yet?
context: Father...\Father... Father...\Stop picking on my father!\R- run! Gohan, run away!\Father...\All right, I've decided. I think I'll go back to where Mother is.\Ain't I gotten to... Kaio- sama's place yet? response:	I wonder if Goku has arrived at Kaio- sama's place
context: Father...\Father... Father...\Stop picking on my father!\R- run! Gohan, run away!\Father...\All right, I've decided. I think I'll go back to where Mother is.\Ain't I gotten to... Kaio- sama's place yet?\I wonder if Goku has arrived at Kaio- sama's place response:	and is getting his training yet.
context: Father... Father...\Stop picking on my father!\R- run! Gohan, run away!\Father...\All right, I've decided. I think I'll go back to where Mother is.\Ain't I gotten to... Kaio- sama's place yet?\I wonder if Goku has arrived at Kaio- sama's place\and is getting his training yet. response:	Uranai Baba- sama told us that even once we gather the Dragon Balls,
context: Stop picking on my father!\R- run! Gohan, run away!\Father...\All right, I've decided. I think I'll go back to where Mother is.\Ain't I gotten to... Kaio- sama's place yet?\I wonder if Goku has arrived at Kaio- sama's place\and is getting his training yet.\Uranai Baba- sama told us that even once we gather the Dragon Balls, response:	not to bring him back to life for a year.
context: R- run! Gohan, run away!\Father...\All right, I've decided. I think I'll go back to where Mother is.\Ain't I gotten to... Kaio- sama's place yet?\I wonder if Goku has arrived at Kaio- sama's place\and is getting his training yet.\Uranai Baba- sama told us that even once we gather the Dragon Balls,\not to bring him back to life for a year. response:	Mmm... And one year is right about the time when those Saiyan guys
context: Father...\All right, I've decided. I think I'll go back to where Mother is.\Ain't I gotten to... Kaio- sama's place yet?\I wonder if Goku has arrived at Kaio- sama's place\and is getting his training yet.\Uranai Baba- sama told us that even once we gather the Dragon Balls,\not to bring him back to life for a year.\Mmm... And one year is right about the time when those Saiyan guys response:	are supposed to arrive here on earth.
context: All right, I've decided. I think I'll go back to where Mother is.\Ain't I gotten to... Kaio- sama's place yet?\I wonder if Goku has arrived at Kaio- sama's place\and is getting his training yet.\Uranai Baba- sama told us that even once we gather the Dragon Balls,\not to bring him back to life for a year.\Mmm... And one year is right about the time when those Saiyan guys\are supposed to arrive here on earth. response:	I wonder if he'll be able to defend earth against the Saiyans.
context: Ain't I gotten to... Kaio- sama's place yet?\I wonder if Goku has arrived at Kaio- sama's place\and is getting his training yet.\Uranai Baba- sama told us that even once we gather the Dragon Balls,\not to bring him back to life for a year.\Mmm... And one year is right about the time when those Saiyan guys\are supposed to arrive here on earth.\I wonder if he'll be able to defend earth against the Saiyans. response:	Bulma- san, aren't we there yet?
context: I wonder if Goku has arrived at Kaio- sama's place\and is getting his training yet.\Uranai Baba- sama told us that even once we gather the Dragon Balls,\not to bring him back to life for a year.\Mmm... And one year is right about the time when those Saiyan guys\are supposed to arrive here on earth.\I wonder if he'll be able to defend earth against the Saiyans.\Bulma- san, aren't we there yet? response:	There's no doubt that he's along this direction somewhere...
context: and is getting his training yet.\Uranai Baba- sama told us that even once we gather the Dragon Balls,\not to bring him back to life for a year.\Mmm... And one year is right about the time when those Saiyan guys\are supposed to arrive here on earth.\I wonder if he'll be able to defend earth against the Saiyans.\Bulma- san, aren't we there yet?\There's no doubt that he's along this direction somewhere... response:	We have to find Tenshinhan- san and them quickly,
context: Uranai Baba- sama told us that even once we gather the Dragon Balls,\not to bring him back to life for a year.\Mmm... And one year is right about the time when those Saiyan guys\are supposed to arrive here on earth.\I wonder if he'll be able to defend earth against the Saiyans.\Bulma- san, aren't we there yet?\There's no doubt that he's along this direction somewhere...\We have to find Tenshinhan- san and them quickly, response:	and climb up Karin-to Tower.
context: not to bring him back to life for a year.\Mmm... And one year is right about the time when those Saiyan guys\are supposed to arrive here on earth.\I wonder if he'll be able to defend earth against the Saiyans.\Bulma- san, aren't we there yet?\There's no doubt that he's along this direction somewhere...\We have to find Tenshinhan- san and them quickly,\and climb up Karin-to Tower. response:	Yamucha- san might already have arrived there.
context: Mmm... And one year is right about the time when those Saiyan guys\are supposed to arrive here on earth.\I wonder if he'll be able to defend earth against the Saiyans.\Bulma- san, aren't we there yet?\There's no doubt that he's along this direction somewhere...\We have to find Tenshinhan- san and them quickly,\and climb up Karin-to Tower.\Yamucha- san might already have arrived there. response:	Earth's fate is in the balance.
context: are supposed to arrive here on earth.\I wonder if he'll be able to defend earth against the Saiyans.\Bulma- san, aren't we there yet?\There's no doubt that he's along this direction somewhere...\We have to find Tenshinhan- san and them quickly,\and climb up Karin-to Tower.\Yamucha- san might already have arrived there.\Earth's fate is in the balance. response:	Hey! It's time to eat!
context: I wonder if he'll be able to defend earth against the Saiyans.\Bulma- san, aren't we there yet?\There's no doubt that he's along this direction somewhere...\We have to find Tenshinhan- san and them quickly,\and climb up Karin-to Tower.\Yamucha- san might already have arrived there.\Earth's fate is in the balance.\Hey! It's time to eat! response:	Come quick, Tenshinhan! I've got some top-notch cooking ready for you!
context: Bulma- san, aren't we there yet?\There's no doubt that he's along this direction somewhere...\We have to find Tenshinhan- san and them quickly,\and climb up Karin-to Tower.\Yamucha- san might already have arrived there.\Earth's fate is in the balance.\Hey! It's time to eat!\Come quick, Tenshinhan! I've got some top-notch cooking ready for you! response:	Ten- san, it's incredible!
context: There's no doubt that he's along this direction somewhere...\We have to find Tenshinhan- san and them quickly,\and climb up Karin-to Tower.\Yamucha- san might already have arrived there.\Earth's fate is in the balance.\Hey! It's time to eat!\Come quick, Tenshinhan! I've got some top-notch cooking ready for you!\Ten- san, it's incredible! response:	How is it that there's so much?
context: We have to find Tenshinhan- san and them quickly,\and climb up Karin-to Tower.\Yamucha- san might already have arrived there.\Earth's fate is in the balance.\Hey! It's time to eat!\Come quick, Tenshinhan! I've got some top-notch cooking ready for you!\Ten- san, it's incredible!\How is it that there's so much? response:	I hired these guys to make it all, of course!
context: and climb up Karin-to Tower.\Yamucha- san might already have arrived there.\Earth's fate is in the balance.\Hey! It's time to eat!\Come quick, Tenshinhan! I've got some top-notch cooking ready for you!\Ten- san, it's incredible!\How is it that there's so much?\I hired these guys to make it all, of course! response:	I had nothing but first-rate ingredients brought together! Right?
context: Yamucha- san might already have arrived there.\Earth's fate is in the balance.\Hey! It's time to eat!\Come quick, Tenshinhan! I've got some top-notch cooking ready for you!\Ten- san, it's incredible!\How is it that there's so much?\I hired these guys to make it all, of course!\I had nothing but first-rate ingredients brought together! Right? response:	Must have cost some money.
context: Earth's fate is in the balance.\Hey! It's time to eat!\Come quick, Tenshinhan! I've got some top-notch cooking ready for you!\Ten- san, it's incredible!\How is it that there's so much?\I hired these guys to make it all, of course!\I had nothing but first-rate ingredients brought together! Right?\Must have cost some money. response:	Don't worry. I just finished a pretty good job. By the way, Tenshinhan,
context: Hey! It's time to eat!\Come quick, Tenshinhan! I've got some top-notch cooking ready for you!\Ten- san, it's incredible!\How is it that there's so much?\I hired these guys to make it all, of course!\I had nothing but first-rate ingredients brought together! Right?\Must have cost some money.\Don't worry. I just finished a pretty good job. By the way, Tenshinhan, response:	how long are you planning on doing all this?
context: Come quick, Tenshinhan! I've got some top-notch cooking ready for you!\Ten- san, it's incredible!\How is it that there's so much?\I hired these guys to make it all, of course!\I had nothing but first-rate ingredients brought together! Right?\Must have cost some money.\Don't worry. I just finished a pretty good job. By the way, Tenshinhan,\how long are you planning on doing all this? response:	Until Ten- san beats Son Goku.
context: Ten- san, it's incredible!\How is it that there's so much?\I hired these guys to make it all, of course!\I had nothing but first-rate ingredients brought together! Right?\Must have cost some money.\Don't worry. I just finished a pretty good job. By the way, Tenshinhan,\how long are you planning on doing all this?\Until Ten- san beats Son Goku. response:	Cut it out, cut it out. Things are peaceful now.
context: How is it that there's so much?\I hired these guys to make it all, of course!\I had nothing but first-rate ingredients brought together! Right?\Must have cost some money.\Don't worry. I just finished a pretty good job. By the way, Tenshinhan,\how long are you planning on doing all this?\Until Ten- san beats Son Goku.\Cut it out, cut it out. Things are peaceful now. response:	There's no use in getting any stronger.
context: I hired these guys to make it all, of course!\I had nothing but first-rate ingredients brought together! Right?\Must have cost some money.\Don't worry. I just finished a pretty good job. By the way, Tenshinhan,\how long are you planning on doing all this?\Until Ten- san beats Son Goku.\Cut it out, cut it out. Things are peaceful now.\There's no use in getting any stronger. response:	And for that matter, you're strong enough as it is in the first place.
context: I had nothing but first-rate ingredients brought together! Right?\Must have cost some money.\Don't worry. I just finished a pretty good job. By the way, Tenshinhan,\how long are you planning on doing all this?\Until Ten- san beats Son Goku.\Cut it out, cut it out. Things are peaceful now.\There's no use in getting any stronger.\And for that matter, you're strong enough as it is in the first place. response:	I am not so strong.
context: Must have cost some money.\Don't worry. I just finished a pretty good job. By the way, Tenshinhan,\how long are you planning on doing all this?\Until Ten- san beats Son Goku.\Cut it out, cut it out. Things are peaceful now.\There's no use in getting any stronger.\And for that matter, you're strong enough as it is in the first place.\I am not so strong. response:	When I met Son, I learned that the world was a large place.
context: Don't worry. I just finished a pretty good job. By the way, Tenshinhan,\how long are you planning on doing all this?\Until Ten- san beats Son Goku.\Cut it out, cut it out. Things are peaceful now.\There's no use in getting any stronger.\And for that matter, you're strong enough as it is in the first place.\I am not so strong.\When I met Son, I learned that the world was a large place. response:	And it's not just Son, there's sure to be other strong guys out there in the world.
context: how long are you planning on doing all this?\Until Ten- san beats Son Goku.\Cut it out, cut it out. Things are peaceful now.\There's no use in getting any stronger.\And for that matter, you're strong enough as it is in the first place.\I am not so strong.\When I met Son, I learned that the world was a large place.\And it's not just Son, there's sure to be other strong guys out there in the world. response:	That is why I train.
context: Until Ten- san beats Son Goku.\Cut it out, cut it out. Things are peaceful now.\There's no use in getting any stronger.\And for that matter, you're strong enough as it is in the first place.\I am not so strong.\When I met Son, I learned that the world was a large place.\And it's not just Son, there's sure to be other strong guys out there in the world.\That is why I train. response:	How about, instead, you team up with me
context: Cut it out, cut it out. Things are peaceful now.\There's no use in getting any stronger.\And for that matter, you're strong enough as it is in the first place.\I am not so strong.\When I met Son, I learned that the world was a large place.\And it's not just Son, there's sure to be other strong guys out there in the world.\That is why I train.\How about, instead, you team up with me response:	and we hold up banks or something? We could make a real bundle!
context: There's no use in getting any stronger.\And for that matter, you're strong enough as it is in the first place.\I am not so strong.\When I met Son, I learned that the world was a large place.\And it's not just Son, there's sure to be other strong guys out there in the world.\That is why I train.\How about, instead, you team up with me\and we hold up banks or something? We could make a real bundle! response:	If we did, then you could eat as much of this delicious stuff as you want!
context: And for that matter, you're strong enough as it is in the first place.\I am not so strong.\When I met Son, I learned that the world was a large place.\And it's not just Son, there's sure to be other strong guys out there in the world.\That is why I train.\How about, instead, you team up with me\and we hold up banks or something? We could make a real bundle!\If we did, then you could eat as much of this delicious stuff as you want! response:	After all, from now on, money is everything!
context: I am not so strong.\When I met Son, I learned that the world was a large place.\And it's not just Son, there's sure to be other strong guys out there in the world.\That is why I train.\How about, instead, you team up with me\and we hold up banks or something? We could make a real bundle!\If we did, then you could eat as much of this delicious stuff as you want!\After all, from now on, money is everything! response:	Money talks in this world! As long as we have money, we'll be happy!
context: When I met Son, I learned that the world was a large place.\And it's not just Son, there's sure to be other strong guys out there in the world.\That is why I train.\How about, instead, you team up with me\and we hold up banks or something? We could make a real bundle!\If we did, then you could eat as much of this delicious stuff as you want!\After all, from now on, money is everything!\Money talks in this world! As long as we have money, we'll be happy! response:	Aren't you eating?
context: And it's not just Son, there's sure to be other strong guys out there in the world.\That is why I train.\How about, instead, you team up with me\and we hold up banks or something? We could make a real bundle!\If we did, then you could eat as much of this delicious stuff as you want!\After all, from now on, money is everything!\Money talks in this world! As long as we have money, we'll be happy!\Aren't you eating? response:	Ten- san, let's eat up!
context: That is why I train.\How about, instead, you team up with me\and we hold up banks or something? We could make a real bundle!\If we did, then you could eat as much of this delicious stuff as you want!\After all, from now on, money is everything!\Money talks in this world! As long as we have money, we'll be happy!\Aren't you eating?\Ten- san, let's eat up! response:	That's more like it! There's no need for you to hold back!
context: How about, instead, you team up with me\and we hold up banks or something? We could make a real bundle!\If we did, then you could eat as much of this delicious stuff as you want!\After all, from now on, money is everything!\Money talks in this world! As long as we have money, we'll be happy!\Aren't you eating?\Ten- san, let's eat up!\That's more like it! There's no need for you to hold back! response:	Go on, baldy, chow down!
context: and we hold up banks or something? We could make a real bundle!\If we did, then you could eat as much of this delicious stuff as you want!\After all, from now on, money is everything!\Money talks in this world! As long as we have money, we'll be happy!\Aren't you eating?\Ten- san, let's eat up!\That's more like it! There's no need for you to hold back!\Go on, baldy, chow down! response:	R- right.
context: If we did, then you could eat as much of this delicious stuff as you want!\After all, from now on, money is everything!\Money talks in this world! As long as we have money, we'll be happy!\Aren't you eating?\Ten- san, let's eat up!\That's more like it! There's no need for you to hold back!\Go on, baldy, chow down!\R- right. response:	Y'know, Tenshinhan, holding up banks is fun!
context: After all, from now on, money is everything!\Money talks in this world! As long as we have money, we'll be happy!\Aren't you eating?\Ten- san, let's eat up!\That's more like it! There's no need for you to hold back!\Go on, baldy, chow down!\R- right.\Y'know, Tenshinhan, holding up banks is fun! response:	Just by shooting off your gun, everybody gets the jitters!
context: Money talks in this world! As long as we have money, we'll be happy!\Aren't you eating?\Ten- san, let's eat up!\That's more like it! There's no need for you to hold back!\Go on, baldy, chow down!\R- right.\Y'know, Tenshinhan, holding up banks is fun!\Just by shooting off your gun, everybody gets the jitters! response:	Yeah, let's do it! If you teamed up with me,
context: Aren't you eating?\Ten- san, let's eat up!\That's more like it! There's no need for you to hold back!\Go on, baldy, chow down!\R- right.\Y'know, Tenshinhan, holding up banks is fun!\Just by shooting off your gun, everybody gets the jitters!\Yeah, let's do it! If you teamed up with me, response:	there's nothing we'd have to fear! We'd be invincible!
context: Ten- san, let's eat up!\That's more like it! There's no need for you to hold back!\Go on, baldy, chow down!\R- right.\Y'know, Tenshinhan, holding up banks is fun!\Just by shooting off your gun, everybody gets the jitters!\Yeah, let's do it! If you teamed up with me,\there's nothing we'd have to fear! We'd be invincible! response:	Chaozu, training!
context: That's more like it! There's no need for you to hold back!\Go on, baldy, chow down!\R- right.\Y'know, Tenshinhan, holding up banks is fun!\Just by shooting off your gun, everybody gets the jitters!\Yeah, let's do it! If you teamed up with me,\there's nothing we'd have to fear! We'd be invincible!\Chaozu, training! response:	He's really got himself a hard head.
context: Go on, baldy, chow down!\R- right.\Y'know, Tenshinhan, holding up banks is fun!\Just by shooting off your gun, everybody gets the jitters!\Yeah, let's do it! If you teamed up with me,\there's nothing we'd have to fear! We'd be invincible!\Chaozu, training!\He's really got himself a hard head. response:	Ten- san can even break rocks with his head!
context: R- right.\Y'know, Tenshinhan, holding up banks is fun!\Just by shooting off your gun, everybody gets the jitters!\Yeah, let's do it! If you teamed up with me,\there's nothing we'd have to fear! We'd be invincible!\Chaozu, training!\He's really got himself a hard head.\Ten- san can even break rocks with his head! response:	That's not what I meant... you stupid bastard!
