context: OP response:	OP
context: OP\OP response:	Wow, it's old school superhero shading!
context: OP\OP\Wow, it's old school superhero shading! response:	Um, who...
context: OP\OP\Wow, it's old school superhero shading!\Um, who... response:	Elena Peoples.
context: OP\OP\Wow, it's old school superhero shading!\Um, who...\Elena Peoples. response:	I like the color of your hair.
context: OP\OP\Wow, it's old school superhero shading!\Um, who...\Elena Peoples.\I like the color of your hair. response:	It looks like a blue crystal.
context: OP\OP\Wow, it's old school superhero shading!\Um, who...\Elena Peoples.\I like the color of your hair.\It looks like a blue crystal. response:	Make a contract with me and become a member of Pied Piper!
context: OP\OP\Wow, it's old school superhero shading!\Um, who...\Elena Peoples.\I like the color of your hair.\It looks like a blue crystal.\Make a contract with me and become a member of Pied Piper! response:	Huh?
context: OP\Wow, it's old school superhero shading!\Um, who...\Elena Peoples.\I like the color of your hair.\It looks like a blue crystal.\Make a contract with me and become a member of Pied Piper!\Huh? response:	Don't mind her.
context: Wow, it's old school superhero shading!\Um, who...\Elena Peoples.\I like the color of your hair.\It looks like a blue crystal.\Make a contract with me and become a member of Pied Piper!\Huh?\Don't mind her. response:	She's always like that.
context: Um, who...\Elena Peoples.\I like the color of your hair.\It looks like a blue crystal.\Make a contract with me and become a member of Pied Piper!\Huh?\Don't mind her.\She's always like that. response:	Don't talk to me before the playback ends.
context: Elena Peoples.\I like the color of your hair.\It looks like a blue crystal.\Make a contract with me and become a member of Pied Piper!\Huh?\Don't mind her.\She's always like that.\Don't talk to me before the playback ends. response:	Is that Generation Bleu HQ?
context: I like the color of your hair.\It looks like a blue crystal.\Make a contract with me and become a member of Pied Piper!\Huh?\Don't mind her.\She's always like that.\Don't talk to me before the playback ends.\Is that Generation Bleu HQ? response:	Wow... But why does it look like that?
context: It looks like a blue crystal.\Make a contract with me and become a member of Pied Piper!\Huh?\Don't mind her.\She's always like that.\Don't talk to me before the playback ends.\Is that Generation Bleu HQ?\Wow... But why does it look like that? response:	It's cool, isn't it?
context: Make a contract with me and become a member of Pied Piper!\Huh?\Don't mind her.\She's always like that.\Don't talk to me before the playback ends.\Is that Generation Bleu HQ?\Wow... But why does it look like that?\It's cool, isn't it? response:	It's built from stuff found inside the Scub Coral.
context: Huh?\Don't mind her.\She's always like that.\Don't talk to me before the playback ends.\Is that Generation Bleu HQ?\Wow... But why does it look like that?\It's cool, isn't it?\It's built from stuff found inside the Scub Coral. response:	This is control speaking.
context: Don't mind her.\She's always like that.\Don't talk to me before the playback ends.\Is that Generation Bleu HQ?\Wow... But why does it look like that?\It's cool, isn't it?\It's built from stuff found inside the Scub Coral.\This is control speaking. response:	Triton locked in.
context: She's always like that.\Don't talk to me before the playback ends.\Is that Generation Bleu HQ?\Wow... But why does it look like that?\It's cool, isn't it?\It's built from stuff found inside the Scub Coral.\This is control speaking.\Triton locked in. response:	This is the Triton.
context: Don't talk to me before the playback ends.\Is that Generation Bleu HQ?\Wow... But why does it look like that?\It's cool, isn't it?\It's built from stuff found inside the Scub Coral.\This is control speaking.\Triton locked in.\This is the Triton. response:	Lock in confirmed.
context: Is that Generation Bleu HQ?\Wow... But why does it look like that?\It's cool, isn't it?\It's built from stuff found inside the Scub Coral.\This is control speaking.\Triton locked in.\This is the Triton.\Lock in confirmed. response:	Beginning transport to deck number three.
context: Wow... But why does it look like that?\It's cool, isn't it?\It's built from stuff found inside the Scub Coral.\This is control speaking.\Triton locked in.\This is the Triton.\Lock in confirmed.\Beginning transport to deck number three. response:	Roger. All systems connecting.
context: It's cool, isn't it?\It's built from stuff found inside the Scub Coral.\This is control speaking.\Triton locked in.\This is the Triton.\Lock in confirmed.\Beginning transport to deck number three.\Roger. All systems connecting. response:	Connection confirmed.
context: It's built from stuff found inside the Scub Coral.\This is control speaking.\Triton locked in.\This is the Triton.\Lock in confirmed.\Beginning transport to deck number three.\Roger. All systems connecting.\Connection confirmed. response:	Beginning complete system check.
context: This is control speaking.\Triton locked in.\This is the Triton.\Lock in confirmed.\Beginning transport to deck number three.\Roger. All systems connecting.\Connection confirmed.\Beginning complete system check. response:	Complete system check startup confirmed.
context: Triton locked in.\This is the Triton.\Lock in confirmed.\Beginning transport to deck number three.\Roger. All systems connecting.\Connection confirmed.\Beginning complete system check.\Complete system check startup confirmed. response:	Triton's system check is complete.
context: This is the Triton.\Lock in confirmed.\Beginning transport to deck number three.\Roger. All systems connecting.\Connection confirmed.\Beginning complete system check.\Complete system check startup confirmed.\Triton's system check is complete. response:	Stopping Triton's engines.
context: Lock in confirmed.\Beginning transport to deck number three.\Roger. All systems connecting.\Connection confirmed.\Beginning complete system check.\Complete system check startup confirmed.\Triton's system check is complete.\Stopping Triton's engines. response:	Stopping engines.
context: Beginning transport to deck number three.\Roger. All systems connecting.\Connection confirmed.\Beginning complete system check.\Complete system check startup confirmed.\Triton's system check is complete.\Stopping Triton's engines.\Stopping engines. response:	Transportation of the Triston to deck number three is complete.
context: Roger. All systems connecting.\Connection confirmed.\Beginning complete system check.\Complete system check startup confirmed.\Triton's system check is complete.\Stopping Triton's engines.\Stopping engines.\Transportation of the Triston to deck number three is complete. response:	Maintenance crew, you may begin your jobs.
context: Connection confirmed.\Beginning complete system check.\Complete system check startup confirmed.\Triton's system check is complete.\Stopping Triton's engines.\Stopping engines.\Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs. response:	I repeat. Transportation of the Triston to deck number three is complete.
context: Beginning complete system check.\Complete system check startup confirmed.\Triton's system check is complete.\Stopping Triton's engines.\Stopping engines.\Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\I repeat. Transportation of the Triston to deck number three is complete. response:	Maintenance crew, you may begin your jobs.
context: Complete system check startup confirmed.\Triton's system check is complete.\Stopping Triton's engines.\Stopping engines.\Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\I repeat. Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs. response:	Are you the Mark I's pilot?
context: Triton's system check is complete.\Stopping Triton's engines.\Stopping engines.\Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\I repeat. Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\Are you the Mark I's pilot? response:	I'm the technical director, Alexander Boyd.
context: Stopping Triton's engines.\Stopping engines.\Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\I repeat. Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\Are you the Mark I's pilot?\I'm the technical director, Alexander Boyd. response:	I'd like to talk to you.
context: Stopping engines.\Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\I repeat. Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\Are you the Mark I's pilot?\I'm the technical director, Alexander Boyd.\I'd like to talk to you. response:	Oh, I'm sorry about the left arm.
context: Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\I repeat. Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\Are you the Mark I's pilot?\I'm the technical director, Alexander Boyd.\I'd like to talk to you.\Oh, I'm sorry about the left arm. response:	Don't worry about it.
context: Maintenance crew, you may begin your jobs.\I repeat. Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\Are you the Mark I's pilot?\I'm the technical director, Alexander Boyd.\I'd like to talk to you.\Oh, I'm sorry about the left arm.\Don't worry about it. response:	We'll finish adjusting the new parts within four hours.
context: I repeat. Transportation of the Triston to deck number three is complete.\Maintenance crew, you may begin your jobs.\Are you the Mark I's pilot?\I'm the technical director, Alexander Boyd.\I'd like to talk to you.\Oh, I'm sorry about the left arm.\Don't worry about it.\We'll finish adjusting the new parts within four hours. response:	I see you like to oversteer.
context: Maintenance crew, you may begin your jobs.\Are you the Mark I's pilot?\I'm the technical director, Alexander Boyd.\I'd like to talk to you.\Oh, I'm sorry about the left arm.\Don't worry about it.\We'll finish adjusting the new parts within four hours.\I see you like to oversteer. response:	Over...?
context: Are you the Mark I's pilot?\I'm the technical director, Alexander Boyd.\I'd like to talk to you.\Oh, I'm sorry about the left arm.\Don't worry about it.\We'll finish adjusting the new parts within four hours.\I see you like to oversteer.\Over...? response:	We'll be doing it over here.
context: I'm the technical director, Alexander Boyd.\I'd like to talk to you.\Oh, I'm sorry about the left arm.\Don't worry about it.\We'll finish adjusting the new parts within four hours.\I see you like to oversteer.\Over...?\We'll be doing it over here. response:	Section chiefs, gather over here.
context: I'd like to talk to you.\Oh, I'm sorry about the left arm.\Don't worry about it.\We'll finish adjusting the new parts within four hours.\I see you like to oversteer.\Over...?\We'll be doing it over here.\Section chiefs, gather over here. response:	Sorry for making you wait, Ao.
context: Oh, I'm sorry about the left arm.\Don't worry about it.\We'll finish adjusting the new parts within four hours.\I see you like to oversteer.\Over...?\We'll be doing it over here.\Section chiefs, gather over here.\Sorry for making you wait, Ao. response:	This way.
context: Don't worry about it.\We'll finish adjusting the new parts within four hours.\I see you like to oversteer.\Over...?\We'll be doing it over here.\Section chiefs, gather over here.\Sorry for making you wait, Ao.\This way. response:	But Noah is still...
context: We'll finish adjusting the new parts within four hours.\I see you like to oversteer.\Over...?\We'll be doing it over here.\Section chiefs, gather over here.\Sorry for making you wait, Ao.\This way.\But Noah is still... response:	I'll get someone to look for him.
context: I see you like to oversteer.\Over...?\We'll be doing it over here.\Section chiefs, gather over here.\Sorry for making you wait, Ao.\This way.\But Noah is still...\I'll get someone to look for him. response:	Don't worry about it.
context: Over...?\We'll be doing it over here.\Section chiefs, gather over here.\Sorry for making you wait, Ao.\This way.\But Noah is still...\I'll get someone to look for him.\Don't worry about it. response:	Lifting the looker!
