context: The conflict began from a single spark, response:	and has grown into a massive war.
context: The conflict began from a single spark,\and has grown into a massive war. response:	A multitude of people had myriad hopes and dreams that were at odds,
context: The conflict began from a single spark,\and has grown into a massive war.\A multitude of people had myriad hopes and dreams that were at odds, response:	resulting in great tragedy.
context: The conflict began from a single spark,\and has grown into a massive war.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy. response:	This is a sad thing indeed.
context: The conflict began from a single spark,\and has grown into a massive war.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed. response:	This war has brought me great sorrow.
context: The conflict began from a single spark,\and has grown into a massive war.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow. response:	I feel both shame and a deep regret over our use of power
context: The conflict began from a single spark,\and has grown into a massive war.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power response:	that was not meant for us.
context: The conflict began from a single spark,\and has grown into a massive war.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power\that was not meant for us. response:	I hereby...
context: and has grown into a massive war.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power\that was not meant for us.\I hereby... response:	and name myself Empress of the Vers Empire.
context: A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power\that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire. response:	I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband.
context: resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power\that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, to be my husband. response:	We, the imperial family of the Vers Empire, wish to make peace with Earth!
